MUNICIPALITY|CH|DES|VOTER ID|P|W/P|CG|SS|SR|CC|REQTYPE|REQDATE|REQDEN|ISSTYPE|ISSDATE|RECTYPE|RECDATE|DUP|ACC OR REJ|REJRSN|
ABBOT|||100217676|R|1-1|2|4|119|1|ER|05/27/2018||MV|05/29/2018|DV|06/09/2018 10:00 am||ACC||
ABBOT|||031600353|D|1-1|2|4|119|1|WV|06/05/2018||IV|06/05/2018|DV|06/05/2018 03:55 pm||ACC||
ABBOT|||031600356|R|1-1|2|4|119|1|WV|06/05/2018||IF|06/05/2018|IF|06/05/2018 03:50 pm||ACC||
ABBOT|||100328664|R|1-1|2|4|119|1|ER|05/27/2018||MV|05/29/2018|DV|06/09/2018 10:00 am||ACC||
ABBOT|||100328669|R|1-1|2|4|119|1|WV|06/07/2018||IF|06/07/2018|IF|06/08/2018 11:45 am||ACC||
ABBOT|||031600003|R|1-1|2|4|119|1|WV|06/05/2018||IF|06/05/2018|IF|06/08/2018 09:55 am||ACC||
ABBOT|||031600331|R|1-1|2|4|119|1|WV|06/07/2018||IF|06/07/2018|IF|06/12/2018 12:06 pm||ACC||
ABBOT|||031600126|D|1-1|2|4|119|1|WV|05/31/2018||MV|05/31/2018|MA|06/05/2018 12:00 pm||ACC||
ACTON|||046100034|R|1-1|1|34|20|1|WV|05/25/2018||IF|05/25/2018|DV|06/07/2018 05:50 pm||ACC||
ACTON|||046100037|R|1-1|1|34|20|1|WV|05/25/2018||IV|05/25/2018|MA|05/29/2018 01:19 pm||ACC||
ACTON|||046800236|U|1-1|1|34|20|1|ER|06/05/2018||MV|06/05/2018||||||
ACTON|||046800237|U|1-1|1|34|20|1|ER|06/05/2018||MV|06/05/2018||||||
ACTON|||100542450|D|1-1|1|34|20|1|VP|06/07/2018||VP|06/07/2018|VP|06/07/2018 05:04 pm||ACC||
ACTON|||100324923|D|1-1|1|34|20|1|WV|06/06/2018||IF|06/06/2018|DV|06/09/2018 11:00 am||ACC||
ACTON|||046100268|R|1-1|1|34|20|1|WV|05/22/2018||IF|05/22/2018|IF|06/08/2018 09:15 am||REJ|ENS|
ACTON|||100689478|R|1-1|1|34|20|1|WV|06/01/2018||IV|06/01/2018|DV|06/09/2018 10:00 am||ACC||
ACTON|||100689479|R|1-1|1|34|20|1|WV|06/01/2018||IV|06/01/2018|IF|06/09/2018 10:10 am||ACC||
ACTON|||100163203|D|1-1|1|34|20|1|WV|05/15/2018||IF|05/15/2018|IF|05/16/2018 02:11 pm||ACC||
ACTON|||046100373|R|1-1|1|34|20|1|WV|05/23/2018||IV|05/23/2018|DV|05/24/2018 06:44 pm||ACC||
ACTON|||046100374|R|1-1|1|34|20|1|WV|05/23/2018||IF|05/23/2018|IF|05/24/2018 06:44 pm||ACC||
ACTON|||046100588|D|1-1|1|34|20|1|WV|06/06/2018||IF|06/06/2018|IF|06/08/2018 09:30 am||ACC||
ACTON|||036500224|R|1-1|1|34|20|1|WV|06/05/2018||IV|06/05/2018|MA|06/06/2018 11:45 am||ACC||
ACTON|||036500225|R|1-1|1|34|20|1|WV|06/05/2018||IF|06/05/2018|MA|06/06/2018 11:45 am||ACC||
ACTON||S|100596430|R|1-1|1|34|20|1|ER|06/05/2018||EL|06/05/2018||||||
ACTON||S|100596428|R|1-1|1|34|20|1|ER|06/05/2018||EL|06/05/2018||||||
ACTON|||100446391|D|1-1|1|34|20|1|VP|06/05/2018||VP|06/05/2018|VP|06/05/2018 12:18 pm||ACC||
ACTON|||046100806|U|1-1|1|34|20|1|VP|06/01/2018||VP|06/01/2018|VP|06/01/2018 12:32 pm||ACC||
ACTON|||100403211|D|1-1|1|34|20|1|VP|06/05/2018||VP|06/05/2018|VP|06/05/2018 12:17 pm||ACC||
ACTON|||046100905|R|1-1|1|34|20|1|WV|06/07/2018||IF|06/07/2018|IF|06/12/2018 10:32 am||ACC||
ACTON|||046100958|R|1-1|1|34|20|1|VP|06/05/2018||VP|06/05/2018|VP|06/05/2018 12:37 pm||ACC||
ACTON||O|046101052|U|1-1|1|34|20|1|ER|05/01/2018||EL|05/02/2018||||||
ACTON|||046101081|D|1-1|1|34|20|1|WV|06/06/2018||IV|06/06/2018|DV|06/08/2018 09:21 am||ACC||
ACTON|||046101182|R|1-1|1|34|20|1|WV|05/22/2018||IV|05/22/2018|DV|06/06/2018 02:20 pm||ACC||
ACTON|||100173364|R|1-1|1|34|20|1|WV|05/24/2018||MV|05/25/2018|DV|06/12/2018 02:30 pm||ACC||
ACTON|||046101210|D|1-1|1|34|20|1|ER|05/16/2018||MV|05/16/2018|MA|06/04/2018 01:20 pm||ACC||
ACTON|||100661322|G|1-1|1|34|20|1|WV|05/18/2018||IF|05/22/2018|IF|05/22/2018 01:03 pm||ACC||
ACTON|||046101328|D|1-1|1|34|20|1|WV|05/16/2018||IV|05/16/2018|DV|05/18/2018 11:33 am||ACC||
