"state_fip","question","response","pct","pct_low","pct_upp","total_n"
"37","q6a",3,9.91,7.21,12.62,500
"37","q6a",4,80.56,76.9,84.23,500
"39","q6a",1,4.21,2.37,6.05,500
"39","q6a",2,6.98,4.53,9.44,500
"39","q6a",3,9.48,6.4,12.55,500
"39","q6a",4,79.33,75.32,83.35,500
"42","q6a",1,4.7,2.61,6.78,500
"42","q6a",2,5.33,3.33,7.34,500
"42","q6a",3,7.8,5.16,10.45,500
"42","q6a",4,82.17,78.49,85.84,500
"55","q6a",1,4.13,2.47,5.8,500
"55","q6a",2,3.64,1.61,5.68,500
"55","q6a",3,11.45,8.12,14.79,500
"55","q6a",4,80.77,76.8,84.73,500
"04","q6b",1,3.36,1.77,4.95,500
"04","q6b",2,6.92,4.29,9.55,500
"04","q6b",3,14.96,10.51,19.4,500
"04","q6b",4,74.77,69.81,79.72,500
"12","q6b",1,8.15,4.94,11.36,500
"12","q6b",2,10.89,8.02,13.76,500
"12","q6b",3,13.98,10.82,17.15,500
"12","q6b",4,66.98,62.42,71.54,500
"26","q6b",1,5.34,2.8,7.89,500
"26","q6b",2,10.3,6.78,13.81,500
"26","q6b",3,13.48,10.13,16.82,500
"26","q6b",4,70.88,66.06,75.71,500
"37","q6b",1,5.47,3.16,7.77,500
"37","q6b",2,8.42,5.94,10.9,500
"37","q6b",3,12.14,9.02,15.27,500
"37","q6b",4,73.97,69.73,78.2,500
"39","q6b",1,4.95,2.8,7.1,500
"39","q6b",2,7.92,5.4,10.45,500
"39","q6b",3,14.86,11.06,18.66,500
"39","q6b",4,72.27,67.76,76.78,500
"42","q6b",1,4.91,3.05,6.78,500
"42","q6b",2,7.08,4.81,9.35,500
"42","q6b",3,11.92,8.85,15,500
"42","q6b",4,76.08,72.13,80.03,500
"55","q6b",1,6.03,3.61,8.46,500
"55","q6b",2,4.6,2.5,6.71,500
"55","q6b",3,15.12,11.55,18.69,500
"55","q6b",4,74.25,69.91,78.58,500
"04","q6c",1,7.17,4.79,9.56,499
"04","q6c",2,11.5,8.44,14.56,499
"04","q6c",3,22.34,17.55,27.13,499
"04","q6c",4,58.98,53.65,64.31,499
"12","q6c",1,10.91,8.07,13.75,500
"12","q6c",2,14.88,11.07,18.7,500
"12","q6c",3,16.78,13.49,20.07,500
"12","q6c",4,57.43,52.72,62.14,500
"26","q6c",1,8.06,5.21,10.91,500
"26","q6c",2,14.17,10.19,18.14,500
"26","q6c",3,18.83,14.97,22.69,500
"26","q6c",4,58.94,53.79,64.09,500
"37","q6c",1,6.47,4.14,8.8,500
"37","q6c",2,12.55,9.39,15.71,500
"37","q6c",3,16.51,13.14,19.88,500
"37","q6c",4,64.48,59.85,69.11,500
"39","q6c",1,7.39,4.92,9.86,500
"39","q6c",2,10,7.23,12.77,500
"39","q6c",3,21.56,17.36,25.77,500
"39","q6c",4,61.05,56.27,65.82,500
"42","q6c",1,9.16,6.22,12.1,500
"42","q6c",2,9.56,6.93,12.2,500
"42","q6c",3,16.67,13.15,20.2,500
"42","q6c",4,64.6,60.03,69.18,500
"55","q6c",1,7.15,4.78,9.53,500
"55","q6c",2,12.97,9.61,16.33,500
"55","q6c",3,22.29,18.23,26.35,500
"55","q6c",4,57.59,52.84,62.34,500
"04","q6d",1,13.09,9.28,16.91,500
"04","q6d",2,17.31,13.56,21.07,500
"04","q6d",3,23.42,18.46,28.37,500
"04","q6d",4,46.18,40.77,51.58,500
"12","q6d",1,15.16,11.85,18.46,499
"12","q6d",2,19.34,15.22,23.45,499
"12","q6d",3,18.03,14.59,21.48,499
"12","q6d",4,47.47,42.72,52.22,499
"26","q6d",1,12.5,9.33,15.66,500
"26","q6d",2,18.3,14.11,22.49,500
"26","q6d",3,22.44,18.25,26.62,500
"26","q6d",4,46.77,41.54,52,500
"37","q6d",1,12.57,9.39,15.74,500
"37","q6d",2,16.88,13.29,20.47,500
"37","q6d",3,22.03,18.21,25.85,500
"37","q6d",4,48.53,43.47,53.59,500
"39","q6d",1,11.06,8.15,13.97,500
"39","q6d",2,15.86,12.41,19.3,500
