"POLL PLACE ID","POLLING PLACE NAME","VOTER COUNT"
"BASTROP","94178","BASTROP FIRE DEPARTMENT STATION #3 (CIRCLE D)","185"
"BASTROP","94169","BASTROP FIRE DEPARTMENT STATION 2 (TAHITIAN)","234"
"BASTROP","91377","CALVARY BAPTIST CHURCH","91"
"BASTROP","91380","CEDAR CREEK UNITED METHODIST CHURCH","229"
"BASTROP","91381","CIVIC CENTER","248"
"BASTROP","94186","FAITH LUTHERAN CHURCH","100"
"BASTROP","94184","FAMILY WORSHIP CENTER","205"
"BASTROP","94170","FIRST BAPTIST CHURCH","232"
"BASTROP","94176","HEART OF THE PINES VFD","60"
"BASTROP","94179","HILLS PRAIRIE BAPTIST CHURCH","52"
"BASTROP","94174","LAKE THUNDERBIRD COMMUNITY CENTER","84"
"BASTROP","94183","LOST PINES COWBOY CHURCH","57"
"BASTROP","94185","NEW LIFE BAPTIST FELLOWSHIP","255"
"BASTROP","94177","PAIGE COMMUNITY CENTER","81"
"BASTROP","94180","RED ROCK COMMUNITY CENTER","122"
"BASTROP","94171","RIVER VALLEY CHRISTIAN FELLOWSHIP","270"
"BASTROP","94175","ROSANKY COMMUNITY CENTER","120"
"BASTROP","91379","SMITHVILLE CITY HALL","238"
"BASTROP","94182","WYLDWOOD BAPTIST CHURCH","203"
"BAYLOR","22915","DEM 1 JP OFFICE","12"
"BAYLOR","22916","DEM 2 CO ATTN OFFICE","11"
"BAYLOR","22917","DEM 3 COURT RM","7"
"BAYLOR","17603","DEM 4  TAC OFFICE","7"
"BEE","94659","AMERICAN LEGION HALL","64"
"BEE","5500","BEE COUNTY COLISEUM","116"
"BEE","94166","COMMUNITY ENGAGEMENT CENTER","12"
"BEE","94163","NEW SHERIFF'S OFFICE -TRAINING ROOM/LOBBY","38"
"BEE","94164","PARISH HALL","62"
"BEE","90100","RECEPTION HALL","31"
"BEE","90522","STUDENT CENTER","44"
"BEE","32985","TRAINING ROOM","247"
"BELL","5514","109 ST. JOSEPH PARISH HALL","161"
"BELL","5536","310 ST JOSEPH CATH CHURCH FELLOWSHIP HALL","20"
"BELL","5530","A & E STORAGE","12"
"BELL","91541","BELL COUNTY ANNEX","420"
"BELL","91543","BELL COUNTY ANNEX","578"
"BELL","91548","BELL COUNTY ANNEX","397"
"BELL","5506","BELTON NAZARENE CHURCH","280"
"BELL","5508","BELTON SENIOR CENTER","122"
"BELL","5534","BETHEL ASSEMBLY OF GOD","178"
"BELL","5510","BLISS COMMUNITY CENTER","55"
"BELL","5542","BOYS RANCH ROAD","45"
"BELL","5547","CENTRAL FIRE STATION","112"
"BELL","94765","CONFERENCE ROOM","84"
"BELL","5531","CROSS CHURCH ON BIRDCREEK","204"
"BELL","94763","DESTINY OUTREACH CHURCH","337"
"BELL","5537","FIRST BAPTIST CHURCH MOFFAT","67"
"BELL","5538","FIRST BAPTIST CHURCH OF ROGERS","48"
"BELL","5526","FIRST BAPTIST CHURCH OF TRIMMIER","153"
"BELL","26935","FIRST CHURCH OF THE NAZARENE","334"
"BELL","5546","FOYER OF AUDITORIUM","459"
"BELL","5523","GRACE CHRISTIAN CENTER","467"
"BELL","5518","HARKER HEIGHTS PARKS AND RECREATION CENTER","710"
"BELL","5532","IMMANUEL BAPTIST CHURCH","160"
"BELL","5516","J. W. SIMS COMMUNITY CENTER","260"
"BELL","91546","KILLEEN COMMUNITY CENTER","777"
"BELL","5522","KILLEEN SENIOR CENTER @ LIONS CLUB PARK","618"
"BELL","5513","KUHLMANN CIVIC CENTER","58"
"BELL","5511","LIBERTY CHRISTIAN CENTER","238"
"BELL","94761","MPR COMMUNITY CTR","235"
"BELL","94764","NORTHSIDE CHURCH OF CHRIST","100"
"BELL","26933","PALO ALTO MIDDLE SCHOOL","401"
"BELL","94766","ROY J. SMITH MIDDLE SCHOOL","217"
