muni,longitude,latitude,year
CITY OF MILWAUKEE,-88.01229335,43.03254336,2016
CITY OF MILWAUKEE,-88.011471,43.10622,2016
CITY OF MILWAUKEE,-88.01040649,42.97279358,2016
CITY OF MILWAUKEE,-88.0090633,43.13781001,2016
CITY OF MILWAUKEE,-88.008209,43.096645,2016
CITY OF MILWAUKEE,-88.007535,43.118612,2016
CITY OF MILWAUKEE,-88.007149,42.985809,2016
CITY OF MILWAUKEE,-88.00415218,43.19004804,2016
CITY OF MILWAUKEE,-88.002993,43.072307,2016
CITY OF MILWAUKEE,-88.002855,43.102434,2016
CITY OF MILWAUKEE,-87.99955286,43.13763298,2016
CITY OF MILWAUKEE,-87.99684143,43.10836792,2016
CITY OF MILWAUKEE,-87.99491119,43.08898163,2016
CITY OF MILWAUKEE,-87.99480438,42.97952652,2016
CITY OF MILWAUKEE,-87.99478993,43.08623515,2016
CITY OF MILWAUKEE,-87.994354,43.115317,2016
CITY OF MILWAUKEE,-87.99375916,42.99176025,2016
CITY OF MILWAUKEE,-87.99350739,43.12217331,2016
CITY OF MILWAUKEE,-87.99324799,43.09365082,2016
CITY OF MILWAUKEE,-87.992987,43.066923,2016
CITY OF MILWAUKEE,-87.99277496,43.03266144,2016
CITY OF MILWAUKEE,-87.99099863,43.1175191,2016
CITY OF MILWAUKEE,-87.98794761,43.02775227,2016
CITY OF MILWAUKEE,-87.98492543,43.16095948,2016
CITY OF MILWAUKEE,-87.98388672,42.9939003,2016
CITY OF MILWAUKEE,-87.98337555,43.05149078,2016
CITY OF MILWAUKEE,-87.98331451,43.14222336,2016
CITY OF MILWAUKEE,-87.98288159,42.98464246,2016
CITY OF MILWAUKEE,-87.98259661,43.08989033,2016
CITY OF MILWAUKEE,-87.981598,43.039808,2016
CITY OF MILWAUKEE,-87.98127747,42.96854782,2016
CITY OF MILWAUKEE,-87.97981262,43.04689026,2016
CITY OF MILWAUKEE,-87.97960661,43.08364414,2016
CITY OF MILWAUKEE,-87.97878265,43.09837723,2016
CITY OF MILWAUKEE,-87.978367,43.109913,2016
CITY OF MILWAUKEE,-87.97815704,43.06157303,2016
CITY OF MILWAUKEE,-87.97809318,43.14198956,2016
CITY OF MILWAUKEE,-87.9779892,43.07255554,2016
CITY OF MILWAUKEE,-87.976477,43.063135,2016
CITY OF MILWAUKEE,-87.9753952,43.05856705,2016
CITY OF MILWAUKEE,-87.97019,43.095385,2016
CITY OF MILWAUKEE,-87.969737,43.040261,2016
CITY OF MILWAUKEE,-87.9694692,43.04888338,2016
CITY OF MILWAUKEE,-87.96904743,43.11561003,2016
CITY OF MILWAUKEE,-87.96838379,43.10959244,2016
CITY OF MILWAUKEE,-87.96824646,43.05748749,2016
CITY OF MILWAUKEE,-87.96820068,43.06607437,2016
CITY OF MILWAUKEE,-87.96813965,43.08435822,2016
CITY OF MILWAUKEE,-87.967925,43.073676,2016
