"","lon","lat","full_addr"
"1",-75.160964,39.930546,"740 S 17TH ST PHILADELPHIA, PA"
"2",-75.1623619,39.9314608,"20TH & CATHARINE STS PHILADELPHIA, PA"
"3",-75.1629206,39.9271656,"1427 CATHARINE ST PHILADELPHIA, PA"
"4",-95.712891,37.09024,"338-46 S 26TH ST PHILADELPHIA, PA"
"5",-90.9820668,30.432087,"300 S BROAD ST PHILADELPHIA, PA"
"6",-75.164776,39.933155,"N BROAD & RACE STS PHILADELPHIA, PA"
"7",-75.1558834,39.9315166,"N BROAD & RACE STS PHILADELPHIA, PA"
"8",-75.151764,39.93192,"7TH & DELANCEY STS PHILADELPHIA, PA"
"9",-94.5305556,37.0883333,"22ND & CHESTNUT STS PHILADELPHIA, PA"
"10",-75.1495461,39.9304233,"N BROAD & RACE STS PHILADELPHIA, PA"
"11",-75.1495689,39.9258685,"550 N BROAD ST PHILADELPHIA, PA"
"12",-75.1478114,39.9335658,"230 VINE ST PHILADELPHIA, PA"
"13",-75.1480774,39.9335426,"1401 N 06TH ST PHILADELPHIA, PA"
"14",-75.1546435,39.934414,"4500 RHAWN ST PHILADELPHIA, PA"
"15",-75.1606032,39.9358827,"8401 STATE RD PHILADELPHIA, PA"
"16",2.4350817,48.835128,"3201 RYAN AVE PHILADELPHIA, PA"
"17",-75.1552279,39.9372424,"9125 ACADEMY RD PHILADELPHIA, PA"
"18",-75.1501001,39.9348936,"3001 PRINCETON AVE PHILADELPHIA, PA"
"19",-75.1474622,39.9385998,"1601 COTTMAN AVE PHILADELPHIA, PA"
"20",-75.1510655,39.9380698,"8101 BUSTLETON AVE PHILADELPHIA, PA"
"21",-75.1553361,39.9391815,"2875 WELSH RD PHILADELPHIA, PA"
"22",-95.88656,36.15005,"9239 REAR ROOSEVELT BLVD PHILADELPHIA, PA"
"23",-95.9421867,36.1475032,"FRANKFORD AVE & EDEN ST PHILADELPHIA, PA"
"24",-75.1653913,39.9421224,"8300 CASTOR AVE PHILADELPHIA, PA"
"25",-96.0295105,36.0796013,"7370 CENTRAL AVE PHILADELPHIA, PA"
"26",-75.2456956,39.9622809,"500 RHAWN ST PHILADELPHIA, PA"
"27",-75.2458095,39.9591742,"8801 VERREE RD PHILADELPHIA, PA"
"28",-75.2395654,39.9565975,"9151 OLD NEWTOWN RD PHILADELPHIA, PA"
"29",-75.2461286,39.95737,"3700 MORRELL AVE PHILADELPHIA, PA"
"30",-75.2465689,39.9527617,"11630 CAROLINE RD PHILADELPHIA, PA"
"31",-75.2447613,39.9540513,"HAWLEY RD & BROOKVIEW RD PHILADELPHIA, PA"
"32",-95.975672,36.075884,"CHALFONT DR & DEERPATH LA PHILADELPHIA, PA"
"33",-95.9754614,36.2412375,"3500 ACADEMY RD PHILADELPHIA, PA"
"34",-95.9934769,36.2394905,"12770 DUNKS FERRY RD PHILADELPHIA, PA"
"35",-75.240306,39.9507542,"2000 BOWLER ST PHILADELPHIA, PA"
"36",-96.0295105,36.0796013,"PRESIDENT ST & CONWELL AVE PHILADELPHIA, PA"
"37",-96.0295105,36.0796013,"10175 BUSTLETON AVE PHILADELPHIA, PA"
"38",-75.2312927,39.9610016,"KELVIN & BYBERRY RDS PHILADELPHIA, PA"
"39",-75.2329108,39.9684551,"595 TOMLINSON RD PHILADELPHIA, PA"
"40",-95.9845123,36.2309608,"1655 UNITY ST PHILADELPHIA, PA"
"41",-94.8166559,38.8604233,"1010 ARROTT ST PHILADELPHIA, PA"
"42",-95.9934769,36.2394905,"5411 OXFORD AVE PHILADELPHIA, PA"
"43",-75.2327075,39.9638743,"6101 JACKSON ST PHILADELPHIA, PA"
"44",-75.2322612,39.9702257,"7300 COTTAGE ST PHILADELPHIA, PA"
"45",-96.0295105,36.0796013,"4131 UNRUH AVE PHILADELPHIA, PA"
"46",-75.2338915,39.976143,"5935 SAUL ST PHILADELPHIA, PA"
"47",-75.2355544,39.964244,"HELLERMAN & WALKER STS PHILADELPHIA, PA"
"48",-75.2344869,39.9653999,"3001 ROBBINS AVE PHILADELPHIA, PA"
"49",-75.2316551,39.967675,"TYSON AVE & SACKETT ST PHILADELPHIA, PA"
"50",-75.2389045,39.9754548,"5735 RISING SUN AVE PHILADELPHIA, PA"
"51",-95.9934769,36.2394905,"5500 LANGDON ST PHILADELPHIA, PA"
"52",-75.145809,39.9458523,"6250 FRONTENAC ST PHILADELPHIA, PA"
"53",-75.1495216,39.9430366,"6401 HORROCKS ST PHILADELPHIA, PA"
"54",-90.9820668,30.432087,"7001 HORROCKS ST PHILADELPHIA, PA"
"55",-90.9820668,30.432087,"6000 RISING SUN AVE PHILADELPHIA, PA"
"56",-75.154905,39.9463227,"6000 RISING SUN AVE PHILADELPHIA, PA"
"57",-75.1583687,39.9470964,"6900 SUMMERDALE AVE PHILADELPHIA, PA"
"58",-75.1633393,39.9470772,"601 FAIRMOUNT AVE PHILADELPHIA, PA"
"59",-95.7111092,37.2477361,"19TH & NORTH STS PHILADELPHIA, PA"
"60",-75.1632709,39.9457922,"2201 BROWN ST PHILADELPHIA, PA"
"61",-75.1400656,39.9505904,"1435 N 26TH ST PHILADELPHIA, PA"
"62",-75.1572867,39.9483287,"2101 CECIL B. MOORE AVE PHILADELPHIA, PA"
"63",-75.1555185,39.9560881,"1601 N 12TH ST PHILADELPHIA, PA"
"64",-75.164711,39.9452021,"1600 W NORRIS ST PHILADELPHIA, PA"
"65",-94.5305556,37.0883333,"1601 N 28TH ST PHILADELPHIA, PA"
"66",-75.146101,39.9541503,"29TH ST & GLENWOOD AVE PHILADELPHIA, PA"
"67",-75.1449773,39.9427882,"3133 RIDGE AVE PHILADELPHIA, PA"
"68",-94.2713961,39.0126194,"32ND ST & LEHIGH AVE PHILADELPHIA, PA"
"69",-75.1468309,39.9701251,"2501-19 W DIAMOND ST PHILADELPHIA, PA"
"70",-75.1432052,39.9624887,"2332 N 15TH ST PHILADELPHIA, PA"
"71",-75.1649809,39.9442286,"1101 W SUSQUEHANNA AVE PHILADELPHIA, PA"
"72",-90.9820668,30.432087,"12TH & RUSH STS PHILADELPHIA, PA"
"73",-75.1560886,39.9591263,"29TH & CLEARFIELD STS PHILADELPHIA, PA"
"74",-75.143895,39.955502,"3501 MIDVALE AVE PHILADELPHIA, PA"
"75",-87.6190347,41.8163312,"5700 WAYNE AVE PHILADELPHIA, PA"
"76",-75.2115249,39.9638907,"5116 PULASKI AVE PHILADELPHIA, PA"
"77",-75.2061527,39.9630558,"CHELTEN AVE & ARDLEIGH ST PHILADELPHIA, PA"
"78",-75.2110877,39.9590474,"RIDGE & ROXBOROUGH AVES PHILADELPHIA, PA"
"79",-98.4252579,29.6490251,"RIGHTER & SALAIGNAC STS PHILADELPHIA, PA"
"80",-75.2109475,39.9656315,"6340 WAYNE AVE PHILADELPHIA, PA"
"81",-75.2051041,39.9686902,"MORTON & JOHNSON STS PHILADELPHIA, PA"
"82",-87.6190347,41.8163312,"ARDLEIGH & CLIVEDEN STS PHILADELPHIA, PA"
"83",-75.2096537,39.9738291,"6324 CRITTENDEN ST PHILADELPHIA, PA"
"84",-75.2017793,39.9570452,"PLEASANT ST & CHEW AVE PHILADELPHIA, PA"
"85",-75.212421,39.9679337,"7001 GERMANTOWN AVE PHILADELPHIA, PA"
"86",-75.214176,39.9772881,"6945 GERMANTOWN AVE PHILADELPHIA, PA"
"87",-75.2125805,39.9724883,"175 GREEN LANE PHILADELPHIA, PA"
"88",-75.1354291,39.9928854,"6498 RIDGE AVE PHILADELPHIA, PA"
"89",-75.1316764,39.9983871,"7100 HENRY AVE PHILADELPHIA, PA"
"90",-75.1316479,39.9991127,"7301 GERMANTOWN AVE PHILADELPHIA, PA"
"91",-96.2636066,37.4703117,"500 W WILLOW GROVE AVE PHILADELPHIA, PA"
"92",-75.1290893,40.0062957,"6501 LIMEKILN PIKE PHILADELPHIA, PA"
"93",-75.1343718,40.0164658,"19TH & HAINES STS PHILADELPHIA, PA"
"94",-95.712891,37.09024,"7200 WOOLSTON AVE PHILADELPHIA, PA"
"95",-95.6390221,37.057223,"STENTON & HAINES STS PHILADELPHIA, PA"
"96",-75.1232624,39.9908337,"7401 LIMEKILN PIKE PHILADELPHIA, PA"
"97",-75.128652,39.999766,"7701 MANSFIELD AVE PHILADELPHIA, PA"
"98",-75.1228472,39.9935066,"SEDGWICK ST & THOURON AVE PHILADELPHIA, PA"
"99",-75.1783519,39.9483901,"8500 PICKERING AVE PHILADELPHIA, PA"
"100",-75.1726416,39.9448344,"HOWARD & BERKS STS PHILADELPHIA, PA"
"101",-75.1645249,39.9502943,"1202-32 E MONTGOMERY AVE PHILADELPHIA, PA"
"102",-75.169962,39.9470112,"ARAMINGO & LEHIGH AVES PHILADELPHIA, PA"
"103",-75.176107,39.9517253,"2463 EMERALD ST PHILADELPHIA, PA"
"104",-75.1755599,39.9504761,"2889 CEDAR ST PHILADELPHIA, PA"
"105",-122.949048,49.1999652,"ELKHART & HELEN STS PHILADELPHIA, PA"
"106",-118.2505056,34.0541472,"3539 GAUL ST PHILADELPHIA, PA"
"107",-75.1668505,39.9545628,"FRANKFORD AVE & ONTARIO ST PHILADELPHIA, PA"
"108",-75.172482,39.9524112,"4625 RICHMOND ST PHILADELPHIA, PA"
"109",-75.1704118,39.9544535,"1900 S 3RD ST PHILADELPHIA, PA"
"110",-75.1722291,39.9543129,"2136 W RITNER ST PHILADELPHIA, PA"
"111",-75.172824,39.957108,"2604 S 04TH ST PHILADELPHIA, PA"
"112",-75.1658929,39.9480384,"927 JOHNSTON ST PHILADELPHIA, PA"
"113",-75.1771153,39.9607986,"2201 S 16TH ST PHILADELPHIA, PA"
"114",-75.1773837,39.9578592,"2101 S BROAD ST PHILADELPHIA, PA"
"115",-75.1750123,39.9638372,"24TH & JACKSON STS PHILADELPHIA, PA"
"116",-75.1681273,39.9599112,"1801 S 22ND ST PHILADELPHIA, PA"
"117",2.2927665,48.8421616,"2600 MORRIS ST PHILADELPHIA, PA"
"118",-75.1797357,39.9527229,"23RD & REED STS PHILADELPHIA, PA"
"119",-76.6063285,39.2853726,"1701 S 15TH ST PHILADELPHIA, PA"
"120",-75.1718208,39.9547003,"1025 MIFFLIN ST PHILADELPHIA, PA"
"121",-75.1662372,39.963107,"410 WHARTON ST PHILADELPHIA, PA"
"122",-81.5086302,41.464009,"1200 WHARTON ST PHILADELPHIA, PA"
"123",-75.1962141,40.0683727,"1100 CATHARINE ST PHILADELPHIA, PA"
"124",-75.2092982,40.0777952,"242 FITZWATER PHILADELPHIA, PA"
"125",-75.2085688,40.0790389,"2515 S 77TH ST PHILADELPHIA, PA"
"126",-75.2080446,40.0747128,"7700 ELMWOOD AVE PHILADELPHIA, PA"
"127",-75.2068821,40.0654501,"69TH ST & GROVERS AVE PHILADELPHIA, PA"
"128",-75.1906518,40.0622402,"2501 S 63RD ST PHILADELPHIA, PA"
"129",-75.1955876,40.0575698,"7200 WOODLAND AVE PHILADELPHIA, PA"
"130",-75.2031325,40.052019,"5800 CHESTER AVE PHILADELPHIA, PA"
"131",-75.193139,40.0752728,"5404 GIBSON DR PHILADELPHIA, PA"
"132",-75.1906974,40.0732581,"5500 KINGSESSING AVE PHILADELPHIA, PA"
"133",-75.147572,40.0640573,"5400 WARRINGTON AVE PHILADELPHIA, PA"
"134",-75.149289,40.066552,"5700 WILLOWS AVE PHILADELPHIA, PA"
"135",-75.1545951,40.067404,"1034 S 60TH ST PHILADELPHIA, PA"
"136",-75.1526455,40.0644358,"1414 S 47TH ST PHILADELPHIA, PA"
"137",-75.1540726,40.0616978,"728 S 55TH ST PHILADELPHIA, PA"
"138",-75.2028027,40.0302074,"4901 CHESTNUT ST PHILADELPHIA, PA"
"139",-75.1416318,40.055414,"57TH & SPRUCE STS PHILADELPHIA, PA"
"140",-96.006582,36.135562,"5800 WALNUT ST PHILADELPHIA, PA"
"141",-75.1438209,40.0576596,"6001 CEDAR AVE PHILADELPHIA, PA"
"142",-92.057063,30.6163073,"2400 N FRONT ST PHILADELPHIA, PA"
"143",-75.1566938,40.0563251,"2761 N 22ND ST PHILADELPHIA, PA"
"144",-75.153099,40.054986,"06TH ST & INDIANA AVE PHILADELPHIA, PA"
"145",-79.7708779,40.2459036,"3199 D ST PHILADELPHIA, PA"
"146",-75.162807,40.0584365,"1099 E VENANGO ST PHILADELPHIA, PA"
"147",-75.1907351,40.0420668,"3449 N MASCHER ST PHILADELPHIA, PA"
"148",-75.1600547,39.9948436,"RANDOLPH ST & ERIE AVE PHILADELPHIA, PA"
"149",-122.949048,49.1999652,"1919-1941 W ONTARIO ST PHILADELPHIA, PA"
