OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,GlobalID,SHAPE_Length,SHAPE_Area
375,N136,43,3,33,C,1,4,L104p/N134p, ,0,{C411116C-F8F0-4921-81AA-914FFCDF523E},0.0973419556498804,0.000327566447459062
376,V131,36,4,36,A,7,19,S163, ,0,{8DF0C886-9B5D-415D-8E3E-97203C3B95DA},0.0901492433077459,0.000242231985048323
377,N104,43,3,33,C,1,5, ,Dry,0,{F99809E2-15CA-4AA8-BBE2-30414B265309},0.0415350194225045,5.70233291338056e-05
378,N115,43,3,33,C,1,5, , ,0,{5BE5BEBB-5406-4F0E-A30D-DE96A5A7DC61},0.0518389279593947,9.77053089877658e-05
379,F179,33,3,36,A,3,7,E172, ,0,{BF511322-3F4B-4950-AA63-57D43FE1B193},0.054322623531979,0.000142990748610356
380,E175,32,3,36,A,3,7, , ,0,{FCBE2C74-3C63-421D-A196-2460F1554D7B},0.0286844322840694,4.23708148342627e-05
381,E154,32,3,36,A,3,7, , ,0,{5E762C3E-D73F-4A7B-91EC-CC9DDBAD144C},0.036235708050999,7.91152353489986e-05
382,F183,33,3,36,A,3A,17,S148, ,0,{F90777A7-D20D-4EEA-80FE-3911D4B1BF06},0.087898083732487,0.000289693304710379
383,N142,43,3,26,A,3,7,E149, ,0,{EC9103F0-E3E0-4B94-9255-E0534D524039},0.0533711177246748,0.000134426642464989
384,F182,33,3,36,A,3,7,S133, ,0,{7011C7A1-E2F0-4DAD-85B2-CAD7C3E8942B},0.0475225135897737,0.000114951717721098
385,N143,43,3,26,A,3,7,E150, ,0,{C9BCC8BC-EB0E-4A0A-889D-999D1F4F9550},0.0819842014435627,0.00014632725845659
386,N126,43,3,26,A,2,7, , ,0,{FBBAAD5C-353E-4ADE-91C2-2ED9DE40E75E},0.0831449614591259,0.000178478002079927
387,N141,43,3,26,A,3,7,E147, ,0,{C4517973-7B2D-49C2-9370-464F72B2C02D},0.0448799974127356,6.8502473161676e-05
388,E171,32,3,36,A,3,7, , ,0,{E40975D2-288C-45EE-8ABD-2871996B59BC},0.0504313846953549,0.000100157935806957
389,S146,48,3,36,A,3,17, , ,0,{D17FE997-893D-4C49-B0A0-372E467E41BD},0.0399145770254918,7.07252017743894e-05
390,N101,43,3,33,C,1,5, , ,0,{4747015D-D48A-4E4D-BA61-38F7094D890E},0.140614164456671,0.000558924710590549
391,V129,36,4,36,A,7,19,S158, ,0,{2108FB2A-0478-4C14-BF8B-385B64EE595E},0.182675759339323,0.00092204828933089
392,V127,36,3,36,A,7,19,S154, ,0,{68EF6FB2-B091-48D3-B9BD-87F9E0744D49},0.168336627371684,0.000905546484593419
393,E183,32,3,36,A,3,7,S145p, ,0,{9C3755B1-0F73-4C58-BE08-3B33297C8A41},0.051707924672957,0.000123628824818853
394,S131,48,3,36,A,3,17, , ,0,{1724AFD4-3F4A-4915-A0D0-29237C8AF9DB},0.0321832516615203,5.77411137833815e-05
395,E148,32,3,26,A,3,16, , ,0,{9D2D315D-F2F3-4AA3-92F6-2774333D855D},0.0513518032822544,0.000148276049780435
396,N102,43,3,33,C,1,5, , ,0,{A02B11B1-6728-40D2-BE00-2CC53E56CDEF},0.117335615517359,0.00063459838132072
397,S119,48,3,36,A,3,7,S145p, ,0,{7268EAC2-C1C0-4AD0-8B61-079F3CA91444},0.0663497466317395,0.000161725446227306
398,F106,33,3,36,A,3,17, , ,0,{A5899898-6A66-4FE0-9032-940B3E4A4640},0.0974156369652375,0.00032432298518372
399,N131,43,3,26,A,2,7, , ,0,{78F90CEF-557F-4EE5-8EE4-70B0AAB4431E},0.113076963804604,0.000544158682647649
400,E181,32,3,26,A,3,16,S117, ,0,{48694192-234D-442C-9445-E0622CCECBE9},0.0439236454798503,7.42614422476194e-05
401,V130,36,3,36,A,7,17,S159, ,0,{B7CF11EC-90B6-48FF-B352-9E329419A1E7},0.041646409220331,4.16133928494222e-05
402,F145,33,3,36,A,3,17, , ,0,{F58D5150-5DBD-46FD-A00F-EDB4D6A893EC},0.113545061242189,0.000330880753704652
403,V126,36,3,36,A,7,17,S151, ,0,{25F860A5-1391-45EC-82FC-B4569577F9A7},0.085414284708242,0.000189777921775423
404,S152,48,3,36,A,3,17, , ,0,{7844F81D-446D-4E2B-B4B3-F5AA5A2E0D5E},0.0439747423415096,8.35597532982174e-05
405,S142,48,3,36,A,3,7, , ,0,{94D2E6BB-2806-44E6-BECF-69705552D8FB},0.0912512018162108,0.000322776002034722
406,E184,32,3,26,A,3,16,S162, ,0,{9734187C-1423-4962-86CF-0EDBE3BCB69C},0.0645013895978737,7.25575282229472e-05
407,S130,48,3,36,A,3,7, , ,0,{8227B303-FBE2-4A64-B598-92BBE8BF4A60},0.043554695508435,8.53763558462468e-05
408,S166,48,3,26,A,3,7,N132, ,0,{BBF321A3-2567-4D0B-8EBE-C474203FEA22},0.1030042857366,0.00028970270971228
409,V128,36,3,36,A,7,17,S155, ,0,{3123BD39-DAEB-4613-B590-6F5F9EA773E5},0.0691027747341195,0.000113784169313544
410,S165,48,3,36,A,3,17,F175, ,0,{E156F2C2-1964-4C53-806C-A6F47572E22C},0.0489492996931112,9.52155111236832e-05
411,S118,48,3,26,A,3,16, , ,0,{BA8CD954-819B-45E5-8C10-4496C3298915},0.0551324874288906,0.000116511378770438
412,S135,48,3,36,A,7,17, , ,0,{E6E15C12-E140-4A81-81D8-E3BF2A92CBF7},0.0565517330506191,0.000124305949397081
413,S164,48,3,36,A,3,17,F101, ,0,{2ADB4ACB-7148-4F7D-ACC8-AE1B6940D528},0.0768778376036554,0.000161235810562321
414,F184,33,3,36,A,7,17,S157, ,0,{1880BCD3-85AE-4C4C-93EB-BBF0D94FCECB},0.119854161031508,0.000611783108740644
415,S156,48,3,36,A,3,17, , ,0,{068935C5-2F81-47A6-9ADA-42905E98913C},0.0380146808222364,7.07993896321919e-05
416,F185,33,3,36,A,3,17,T101, ,0,{179D4AE4-566A-47CD-BE97-C46F4D036B97},0.0460039095795468,8.03443707748921e-05
417,S161,48,3,26,A,3,16, , ,0,{492506CE-129B-4A05-A5A6-6DD71B278FE0},0.0544965196357495,9.43977344970899e-05
418,S129,48,3,26,A,3,16, , ,0,{8CB8211A-ABB5-4F0C-BF6B-3DAFA12F4EF5},0.0715071366578822,0.000216961034698855
419,S132,48,3,36,A,3,17, , ,0,{1089EC15-5C89-4AA9-AAD9-3243409B770B},0.0765679927060871,0.000137276841082006
420,F186,33,3,36,A,7,16,T102, ,0,{EABFA07A-407B-449B-AB74-3918E4E9C841},0.051250499046245,0.000114100117251998
421,S140,48,3,26,A,3,16, , ,0,{C5D93443-B510-4923-8C55-7A2D3E67E3CA},0.0686521075550306,0.000174099954364348
422,E182,32,3,26,A,3,16,S137, ,0,{467E2ACB-A364-49C7-90B0-C81DD0F07D5F},0.109289141904213,0.000322235361588278
423,S168,48,3,26,A,3,16,T103, ,0,{29180441-D32C-4D02-A5C8-AAA88813BB98},0.0534805672498365,0.000120219749809105
424,S116,48,3,26,A,3,16, , ,0,{1162466D-79EE-4578-92FD-E48244902F20},0.127392789080548,0.000704792980292343
425,S128,48,3,26,A,3,16, , ,0,{B0D22461-7E5F-4A17-B023-8047CA0BB25D},0.082774456277355,0.000162961921439053
426,S160,48,3,26,A,3,16, , ,0,{E9AFBAEA-96AD-4762-84F8-02B3FE224A95},0.0727242394565072,0.000273273489368251
427,S144,48,3,26,A,3,16, , ,0,{98AF49D0-EC9A-409D-8F97-11AC18173586},0.0673954263202535,0.000136229990082556
428,S126,48,3,26,A,3,16, , ,0,{A5FB4CB0-FEE6-44AF-9FE9-27A070D37DB9},0.0973785492881437,0.000206480476839478
429,S153,48,3,26,A,3,16, , ,0,{67EE3514-EC5E-4B13-96C0-25F200E6105D},0.207037848197949,0.000917013097953575
430,S143,48,3,26,A,3,16, , ,0,{57AA6C46-345B-4A1C-A454-3ED2C5AABF4C},0.107314581000764,0.000394768672075627
431,S125,48,3,26,A,3,16, , ,0,{153C045C-7A65-4219-BAD6-BC41E6469F36},0.153061540412567,0.00120149933092307
432,L160,41,3,33,C,1,1,M107p/M161/N140, ,0,{1533EC1E-444E-4F36-BA4F-548C6AD40DE0},0.0441827532654576,4.05340216556493e-05
433,O127,44,3,37,C,4,1, , ,0,{CC8FA2F6-F13D-45BF-B616-08C485B6AED7},0.0734234851129761,0.000239354649127676
434,L162,41,3,33,C,1,5,M157,SM,0,{9D550B36-02AE-4E65-B4B4-F1986132560D},0.00618410118832641,2.37186403136934e-06
435,H127,35,3,35,B,6,2, , ,0,{CDA86870-F759-4134-8854-0BF86D6B57DA},0.0493672383951632,6.18836105663723e-05
436,Q124,46,3,35,B,6,2, , ,0,{85B60E77-4D40-4E1B-8838-A77354F9AA7E},0.0461310033941668,0.000100145212662605
437,K136,40,3,35,B,1,3,K113p, ,0,{40CDDFF6-0855-449B-8B57-CC57BDE8C819},0.0176986138675671,1.87244608027516e-05
438,K118,40,3,33,C,4,15, , ,0,{C8FCD2A2-D9E8-4353-BB30-0E93AD4D3394},0.0370147605337486,5.04781123039407e-05
439,K138,40,3,33,C,4,12,K126p, ,0,{BA52CCE9-A1B9-44B4-9636-4460AA930917},0.0246291178839042,3.34153697597101e-05
440,M130,42,3,35,C,1,3, , ,0,{631A5B40-1300-4D70-8EB4-F45D7C439E3A},0.0301952798606139,3.54921239888201e-05
441,M160,42,3,19,C,6,10,M144p, ,0,{6E169A49-5557-4738-9A91-E8B3E7D04E00},0.0120379683238086,8.04491819637813e-06
442,M159,42,3,19,C,6,4,M144p,SM,0,{30C82E6D-463C-4BAC-A36A-2A1887BBA20A},0.0125857229619875,9.46314835396396e-06
443,K112,40,3,35,B,1,6, , ,0,{F86BFF59-0680-40DF-898E-2705A124CD27},0.0292791873039338,4.82610233818604e-05
444,L140,41,3,33,C,1,6, , ,0,{00E69168-16D1-46B4-A74C-19C7D3D2CCFA},0.0195944135884831,2.30244580142126e-05
445,C128,30,3,19,A,2,10, , ,0,{B8CEB5FA-C52A-4EDD-9D8E-5CA3327A2433},0.0232409695205377,1.64437695997185e-05
446,C130,30,3,19,A,2,10, ,SM,0,{1F0698C3-4726-416F-A251-387962F1907F},0.0126407101126557,6.08196331402294e-06
447,C144,30,3,19,B,2,26, ,SM,0,{3F6E7495-52A7-4323-8683-647F87DF4D3E},0.0105621164696616,6.07725041469072e-06
448,D145,31,3,35,B,7,11,D113p, ,0,{4001D0C0-4964-410B-8C43-AEA4EB42D12A},0.0248776262063515,3.30698479437385e-05
449,V109,36,3,20,B,7,20,B178,SM,0,{75EE909E-D468-4E91-A98C-11722923134E},0.0573041669733138,0.000164120739411381
450,V123,36,4,36,A,7,19,F178,SM,0,{E3B2DF71-3DB5-44D0-BE76-50252E8A1540},0.0223129315318514,1.7118848629709e-05
451,C131,30,3,19,B,2,10, , ,0,{EC6A8055-4382-4CA1-B482-01D9981C17A3},0.0565865847972648,5.5510634138125e-05
452,K139,40,3,37,C,4,25,A124p,NV,0,{0912AD77-8BF5-4490-B13C-D478522C34A8},0.00653079271544,1.64446953644186e-06
453,J143,38,3,37,C,4,25,A123p,SM,0,{70D347A2-EAF5-43A2-B663-5EBE269C741E},0.0461156001828392,5.48041088115961e-05
454,H156,35,3,38,B,5,13,B131p,NV,0,{E06A907C-7171-477A-81E0-85D779AB01C3},0.000796782589014834,1.47442632312408e-08
455,C146,30,3,19,B,7,22,B155p,SM,0,{6A18304A-FAF6-43D2-A076-9F573A19F07D},0.0129819741899337,1.77106623245486e-06
456,I147,37,3,38,B,7,22,B173p,SM,0,{8941C10D-44BF-4F3C-9523-29C061EA2279},0.0520308456532592,0.000115915621717111
457,G168,34,3,19,A,2,26,D101p,SM,0,{DED202FF-A404-41E9-B12B-FF8E39E5D9F3},0.014260188690417,7.54306134180643e-06
