"PRECINCT.x","OBJECTID.x","LEGISDIST","CONGDIST","SENDIST","SCHOOLDIST","COUNDIST","FORMERPREC","precinct","tvotes16","tvotes20","vote_change","longitude_prec_cent","latitude_prec_cent","distance2020","OBJECTID_1","OBJECTID","PRECINCT","VOTE_LOC","VOTE_ADD","GlobalID","longitude2016poll","latitude2016poll","new_poll_long","new_poll_lat","distance2020miles","distance2016miles","poll_dist_change_miles"
"H162",11,35,3,38,"5",24,"H145p","H162",124,172,48,-85.6916057615444,38.0984885805304,104479.567033613,15,15,"I141","Blue Lick Elementary School Gym","9801 Blue Lick Rd","{8B7A3BCD-6F36-428E-AB32-49AA4B2741EF}",-85.691316844,38.1063162950001,-85.741452,38.199089,7.45082658906614,0.540116406531948,6.91071018253419
"A140",12,28,3,37,"4",25,"B119/J138p","A140",231,288,57,-85.8585174049831,38.0976867012156,119079.938259404,19,19,"A129","Highview Baptist Ch/Valley Campus","5415 Valley Station Rd","{318A3C45-6FF4-4165-8BF7-9BB26CE762E0}",-85.863643256,38.1081044320001,-85.741452,38.199089,9.46411820976195,0.770920134358329,8.69319807540362
"A139",13,28,3,10,"5",25,"A129p","A139",111,136,25,-85.8677087490124,38.098154158631,119887.829011319,21,21,"A127","Valley High School/Cafeteria","10200 Dixie Hwy","{B65EC4EE-D6E4-48EE-A15E-A82FB34A362F}",-85.867826666,38.1077935120001,-85.741452,38.199089,9.78539375444594,0.664868857781195,9.12052489666474
"I148",14,37,3,38,"7",23,"B180","I148",66,203,137,-85.6283046630792,38.0954189394369,98917.0882667886,6,6,"B173","Heritage Creek City Hall","8700 Justice Way","{45B14F3F-C958-4E46-A400-648F41A99A3F}",-85.6153501539999,38.0950029150001,-85.741452,38.199089,9.43965971886013,0.706680042161836,8.7329796766983
"I153",15,37,3,38,"7",23,"Q129","I153",270,386,116,-85.6421623563009,38.1028719386392,100194.383893336,8,8,"I153","Wilt Elementary School Gym","6700 Price Lane Rd","{E505D619-96F6-4AE8-BFAE-85A6F35D811E}",-85.6382248639999,38.102414674,-85.741452,38.199089,8.56059411240836,0.21689998246521,8.34369412994315
"I145",16,37,3,38,"5",13,"B127","I145",29,44,15,-85.7009529110313,38.0973435466304,105287.925798871,15,15,"I141","Blue Lick Elementary School Gym","9801 Blue Lick Rd","{8B7A3BCD-6F36-428E-AB32-49AA4B2741EF}",-85.691316844,38.1063162950001,-85.741452,38.199089,7.35607919010061,0.811663778333995,6.54441541176662
"J145",17,38,3,37,"4",25,"A137","J145",174,216,42,-85.8376716449397,38.103294659858,117296.564292675,30,30,"J137","Stonestreet Elementary School-Gym","10007 Stonestreet Rd","{22D7E8E0-58DF-4F24-B42E-4AAE151D72F6}",-85.834319949,38.109177819,-85.741452,38.199089,8.43309180271482,0.444986410679421,7.9881053920354
"A119",18,28,3,37,"4",14,NA,"A119",145,158,13,-85.8752775931095,38.1033901125044,120588.003853436,21,21,"A127","Valley High School/Cafeteria","10200 Dixie Hwy","{B65EC4EE-D6E4-48EE-A15E-A82FB34A362F}",-85.867826666,38.1077935120001,-85.741452,38.199089,9.83321830542019,0.507074853819798,9.32614345160039
"O134",19,44,3,10,"4",14,NA,"O134",176,304,128,-85.8954719674365,38.0877245022786,122253.115884242,10,10,"A119","Sun Valley Community Center","6505 Bethany Ln","{E5BC7A34-47C6-407B-8036-7F945FE72DFA}",-85.886464111,38.1021395440001,-85.741452,38.199089,11.3745784271996,1.10884658738095,10.2657318398187
"H148",20,35,3,38,"5",24,NA,"H148",144,197,53,-85.6877174723695,38.1108342492173,104250.605307943,15,15,"I141","Blue Lick Elementary School Gym","9801 Blue Lick Rd","{8B7A3BCD-6F36-428E-AB32-49AA4B2741EF}",-85.691316844,38.1063162950001,-85.741452,38.199089,6.75402471063272,0.368205808813017,6.38581890181971
"I133",21,37,3,38,"5",13,NA,"I133",225,266,41,-85.7435455143502,38.1006513187356,109040.704197196,27,27,"I130","Fairdale High School Lobby","1001 Fairdale Rd","{27D48F64-E3EF-47E2-821E-83429B845620}",-85.7516369589999,38.1120113580001,-85.741452,38.199089,6.7903770578301,0.899081320343834,5.89129573748627
"A127",22,28,3,37,"4",25,NA,"A127",124,204,80,-85.858177715551,38.109811018552,119142.249976412,23,23,"A128","Southwest Library","9725 Dixie Hwy","{0544E6E4-FE4B-405A-82CF-1DF9B06F82C1}",-85.859373305,38.1142931800001,-85.741452,38.199089,8.85039790811512,0.315931361729281,8.53446654638584
"J137",23,38,3,37,"4",25,NA,"J137",136,172,36,-85.8257683758875,38.1113719239169,116321.259011535,30,30,"J137","Stonestreet Elementary School-Gym","10007 Stonestreet Rd","{22D7E8E0-58DF-4F24-B42E-4AAE151D72F6}",-85.834319949,38.109177819,-85.741452,38.199089,7.59531686860417,0.489970760362946,7.10534610824122
"A128",24,28,3,37,"4",25,"A126p/A127p","A128",127,224,97,-85.8479720120944,38.1136528127097,118282.287422563,23,23,"A128","Southwest Library","9725 Dixie Hwy","{0544E6E4-FE4B-405A-82CF-1DF9B06F82C1}",-85.859373305,38.1142931800001,-85.741452,38.199089,8.26903049519664,0.622846856313338,7.6461836388833
"Q131",25,46,3,38,"5",24,NA,"Q131",105,141,36,-85.6639808575025,38.1164407831707,102234.784813663,44,44,"Q117","Messiah Trinity Church","8701 Shepherdsville Rd","{6C0D99E6-08EF-4BE3-825D-51142E7D19AA}",-85.6660368679999,38.123904759,-85.741452,38.199089,7.09188229068342,0.526849055330791,6.56503323535263
"E177",26,32,3,20,"7",18,"E166p","E177",75,106,31,-85.5843670536418,38.2136789155697,97001.6430663224,226,226,"E166","Community of Christ Church","2401 Merriwood Dr","{764C4AA2-87ED-48C8-890F-906D2D9E0B49}",-85.58322237,38.2112775480001,-85.741452,38.199089,8.60809179604596,0.176954947591634,8.43113684845433
"O143",27,44,3,37,"4",14,"A115p/A138","O143",7,8,1,-85.8790483511804,38.1179531246127,121036.743357231,46,46,"A113","Wilkerson Traditional School/Gym","5601 Johnsontown Rd","{8790CC86-7447-4CF3-8D26-D5F01C3BF963}",-85.8739755729999,38.122821726,-85.741452,38.199089,9.35234445764454,0.434920216619226,8.91742424102532
"A113",28,28,3,37,"4",14,NA,"A113",211,265,54,-85.8716389400127,38.1263595844098,120467.913741602,46,46,"A113","Wilkerson Traditional School/Gym","5601 Johnsontown Rd","{8790CC86-7447-4CF3-8D26-D5F01C3BF963}",-85.8739755729999,38.122821726,-85.741452,38.199089,8.68464407827299,0.275225631204083,8.40941844706891
"O141",29,44,3,37,"4",14,NA,"O141",0,0,0,-85.8978284428622,38.1196391324929,122693.286225325,36,36,"O135","Johnsontown Road Elem Sch Gym","7201 Johnsontown Rd","{7FF008B5-62B8-4DAF-81B0-193E888E4DFE}",-85.893219899,38.117212997,-85.741452,38.199089,10.1267072881955,0.301759133100547,9.82494815509492
"I146",30,37,3,38,"7",13,"B130","I146",125,190,65,-85.6558568568453,38.0868479622022,101261.573012951,8,8,"I153","Wilt Elementary School Gym","6700 Price Lane Rd","{E505D619-96F6-4AE8-BFAE-85A6F35D811E}",-85.6382248639999,38.102414674,-85.741452,38.199089,9.03703858676356,1.44095760366292,7.59608098310065
"J141",31,38,3,38,"5",13,"B143p","J141",92,91,-1,-85.7979336392531,38.0917901991369,113735.312342702,33,33,"A125","Valley View Baptist Church","8911 3rd Street Rd","{6999255E-9A5D-4FF7-B5D7-0097A415119C}",-85.815173962,38.116044543,-85.741452,38.199089,8.01456726405513,1.91866040601518,6.09590685803995
"H155",32,35,3,37,"6",21,"H134p","H155",53,79,26,-85.6961201469474,38.1489691893604,105437.066903809,73,73,"I142","Okolona Elementary School Gym","7606 Preston Hwy","{A46DC806-349B-45C0-ABA1-D5E231E059E3}",-85.690054787,38.1408244030001,-85.741452,38.199089,4.24757798660255,0.651706206009435,3.59587178059311
"A129",33,28,3,10,"5",14,"B125p","A129",197,211,14,-85.869228945948,38.0810184525804,119916.907777389,3,3,"J138","Medora Elementary School Gym","11801 Deering Rd","{2B985D7F-698C-4E42-B2C8-45E51074AF2E}",-85.8748662419999,38.0901800770001,-85.741452,38.199089,10.7127583611684,0.702650330564001,10.0101080306044
"A143",34,28,3,37,"4",14,"B179","A143",0,3,3,-85.8651380335825,38.0885834762852,119600.755298003,3,3,"J138","Medora Elementary School Gym","11801 Deering Rd","{2B985D7F-698C-4E42-B2C8-45E51074AF2E}",-85.8748662419999,38.0901800770001,-85.741452,38.199089,10.1725243612754,0.541599925923928,9.63092443535149
"H153",35,35,3,19,"6",15,"H114p","H153",0,0,0,-85.7481113068117,38.2043401780117,110870.641043398,213,213,"K140","Churchill Park School","435 Boxley Ave","{7EEE230E-5D19-4F57-81C9-918B620FA8D1}",-85.752383322,38.205868541,-85.741452,38.199089,0.512391068978102,0.255282185230623,0.257108883747479
"K141",36,40,3,35,"6",15,"I104/K134p","K141",68,93,25,-85.7541524638176,38.202028407634,111347.12210397,213,213,"K140","Churchill Park School","435 Boxley Ave","{7EEE230E-5D19-4F57-81C9-918B620FA8D1}",-85.752383322,38.205868541,-85.741452,38.199089,0.720372620666123,0.281821626384767,0.438550994281356
"I140",37,37,3,37,"5",15,"I110p","I140",32,31,-1,-85.7804157771349,38.1883581265955,113368.001713808,175,175,"J101","Most Blessed Sacrament Pioneer","3509 Taylor Blvd","{D7A58450-46DE-4979-8A2E-0AF1C04D216B}",-85.782280478,38.1957523350001,-85.741452,38.199089,2.24633525720828,0.519998035437245,1.72633722177103
"J140",38,38,3,37,"5",25,"J117p","J140",58,102,44,-85.7796287327355,38.1528669602219,112753.907858607,86,86,"J120","Kenwood Elementary School Gym","7420 Justan Ave","{AB510D66-8B6D-4C67-9D6E-ED7C38A76C15}",-85.787251785,38.145504712,-85.741452,38.199089,3.80578043878956,0.655923133157893,3.14985730563166
"B134",39,29,3,38,"7",22,NA,"B134",272,557,285,-85.5896353007174,38.1102612840814,95679.1709700774,594,595,"B177","Living Hope Baptist Church","10205 Bardstown Bluff Rd","{CDED9E36-6BB6-47D6-81E4-37DDA64A764C}",-85.562745481,38.0975718440001,-85.741452,38.199089,10.2906933905651,1.70693225233742,8.58376113822765
"A115",40,28,3,37,"4",14,NA,"A115",165,195,30,-85.8670036885594,38.1181164397266,119985.425793645,23,23,"A128","Southwest Library","9725 Dixie Hwy","{0544E6E4-FE4B-405A-82CF-1DF9B06F82C1}",-85.859373305,38.1142931800001,-85.741452,38.199089,8.82837599973004,0.492351426009366,8.33602457372067
"J153",41,38,3,37,"5",13,"I129p","J153",47,54,7,-85.7542416510708,38.1233335934926,110186.577673849,37,37,"I124","Fairdale Christian Church/Gym","9000 Brown Austin Rd","{880F6A8D-F522-4A18-83EB-AAD71CAAB195}",-85.767690902,38.1201002700001,-85.741452,38.199089,5.27120922089747,0.765980514505523,4.50522870639194
"Q119",42,46,3,19,"6",23,NA,"Q119",213,296,83,-85.627278892709,38.1153374769651,99019.5084142124,25,25,"Q119","Amvets Post #61","9405 Smyrna Pkwy","{B6A3F693-1D71-467B-B590-565633B75D75}",-85.644517779,38.111777299,-85.741452,38.199089,8.4870206606622,0.970948672472537,7.51607198818967
"Q126",43,46,3,19,"6",23,NA,"Q126",113,122,9,-85.6602748099609,38.1223643810214,101976.544677105,44,44,"Q117","Messiah Trinity Church","8701 Shepherdsville Rd","{6C0D99E6-08EF-4BE3-825D-51142E7D19AA}",-85.6660368679999,38.123904759,-85.741452,38.199089,6.89536217123695,0.331436103388973,6.56392606784798
"I130",44,37,3,37,"5",13,"I129p","I130",67,75,8,-85.7434230012756,38.116531337584,109172.548589535,27,27,"I130","Fairdale High School Lobby","1001 Fairdale Rd","{27D48F64-E3EF-47E2-821E-83429B845620}",-85.7516369589999,38.1120113580001,-85.741452,38.199089,5.69516622248794,0.545460242931189,5.14970597955675
"Q115",45,46,3,19,"6",23,NA,"Q115",242,331,89,-85.6360003926128,38.126948742916,99914.1248602734,66,66,"Q109","Central Government Center","7201 Outer Loop","{E858CD30-E3DD-4BC7-A764-2DEA79BAF359}",-85.629653344,38.138074983,-85.741452,38.199089,7.59818978098703,0.841697368426945,6.75649241256009
"B169",46,29,3,38,"6",23,NA,"B169",141,207,66,-85.607373951777,38.1216549559644,97355.1059854459,35,35,"B169","Teamsters Local 783","7711 Beulah Church Rd","{28BFA575-455A-4AE6-A24C-CC6044D49DED}",-85.6114310729999,38.134216107,-85.741452,38.199089,9.04635138389884,0.894114111476236,8.1522372724226
"Q117",47,46,3,19,"6",23,NA,"Q117",169,251,82,-85.6510475590272,38.126994615177,101226.146626961,39,39,"Q131","Maple Grove Bapt Ch/Family Life Ct","5911 E Manslick Rd","{0B63B780-A933-47B9-B2F1-599FE04F2F02}",-85.651945632,38.1221318610001,-85.741452,38.199089,6.99726583345971,0.338941732465722,6.65832410099399
"A126",48,28,3,37,"4",25,"A128p","A126",180,266,86,-85.8448268980992,38.1217920029364,118081.663454673,23,23,"A128","Southwest Library","9725 Dixie Hwy","{0544E6E4-FE4B-405A-82CF-1DF9B06F82C1}",-85.859373305,38.1142931800001,-85.741452,38.199089,7.75335832503233,0.946437555818334,6.80692076921399
"A114",49,28,3,37,"4",14,NA,"A114",149,177,28,-85.8585283915921,38.1262465111339,119321.781945788,23,23,"A128","Southwest Library","9725 Dixie Hwy","{0544E6E4-FE4B-405A-82CF-1DF9B06F82C1}",-85.859373305,38.1142931800001,-85.741452,38.199089,8.11715597863713,0.825722427660368,7.29143355097677
"H144",50,35,3,35,"5",24,NA,"H144",181,207,26,-85.6844732869356,38.1236346867119,104101.721412945,49,49,"Q112","St Rita Catholic Church Casper Ctr","8709 Preston Hwy","{2BDFBF03-475D-410F-B28A-987906197F03}",-85.679761737,38.1268969180001,-85.741452,38.199089,6.05902665028758,0.34135225288583,5.71767439740175
"B158",51,29,3,38,"7",22,NA,"B158",203,275,72,-85.5642420639544,38.1299076475083,93702.5897676644,61,61,"B158","Bates Elementary School Gym","7601 Bardstown Rd","{1AF96C80-99C4-4EED-832C-71F1504F99BC}",-85.578661511,38.137227281,-85.741452,38.199089,10.7651136261163,0.933773993178392,9.83133963293789
"I150",52,37,3,35,"5",13,"H149","I150",16,16,0,-85.7096241868426,38.1236430000079,106296.051595447,59,59,"I150","Minors Lane Elementary School-Gym","8510 Minor Ln","{C9D2EB63-BBFC-4A14-B605-D9B6B1600F72}",-85.714352777,38.1253441120001,-85.741452,38.199089,5.48471721083582,0.283091467246737,5.20162574358908
"I138",53,37,3,37,"5",13,NA,"I138",0,0,0,-85.7251340288106,38.1254519626156,107669.230187673,59,59,"I150","Minors Lane Elementary School-Gym","8510 Minor Ln","{C9D2EB63-BBFC-4A14-B605-D9B6B1600F72}",-85.714352777,38.1253441120001,-85.741452,38.199089,5.15603719524223,0.587447215024729,4.5685899802175
"B162",54,29,3,38,"7",22,NA,"B162",186,311,125,-85.5562947890013,38.1161966643087,92836.8761633212,594,595,"B177","Living Hope Baptist Church","10205 Bardstown Bluff Rd","{CDED9E36-6BB6-47D6-81E4-37DDA64A764C}",-85.562745481,38.0975718440001,-85.741452,38.199089,11.5915966562276,1.33181161689391,10.2597850393337
"B124",55,29,3,38,"6",23,NA,"B124",159,232,73,-85.6094711597413,38.1313174369407,97658.3736850207,35,35,"B169","Teamsters Local 783","7711 Beulah Church Rd","{28BFA575-455A-4AE6-A24C-CC6044D49DED}",-85.6114310729999,38.134216107,-85.741452,38.199089,8.57324214943301,0.226650856800569,8.34659129263244
"J152",56,38,3,38,"5",13,"I125p","J152",121,111,-10,-85.7656008825578,38.1227609888908,111172.225261504,37,37,"I124","Fairdale Christian Church/Gym","9000 Brown Austin Rd","{880F6A8D-F522-4A18-83EB-AAD71CAAB195}",-85.767690902,38.1201002700001,-85.741452,38.199089,5.42625553076568,0.215975360567932,5.21028017019775
"I149",57,37,3,37,"5",13,"H140","I149",0,0,0,-85.7075868675624,38.1356842329944,106259.313113084,59,59,"I150","Minors Lane Elementary School-Gym","8510 Minor Ln","{C9D2EB63-BBFC-4A14-B605-D9B6B1600F72}",-85.714352777,38.1253441120001,-85.741452,38.199089,4.74604124611769,0.802799095233195,3.94324215088449
"Q132",58,46,3,19,"6",23,NA,"Q132",127,149,22,-85.6355407333888,38.1340334790274,99963.5946029386,66,66,"Q109","Central Government Center","7201 Outer Loop","{E858CD30-E3DD-4BC7-A764-2DEA79BAF359}",-85.629653344,38.138074983,-85.741452,38.199089,7.30708515797671,0.424925350443085,6.88215980753363
"Q125",59,46,3,19,"6",23,NA,"Q125",307,456,149,-85.6216878537824,38.13197115259,98730.5886253863,64,64,"Q125","Summit Heights United Methodist Ch","7400 Outer Loop","{07EC9D36-4F8F-44A3-8838-00BF85E41699}",-85.6231364129999,38.136921618,-85.741452,38.199089,7.9975686135641,0.350441796656377,7.64712681690773
"H147",60,35,3,37,"5",24,NA,"H147",149,176,27,-85.6911492799648,38.1338564447916,104804.565015477,73,73,"I142","Okolona Elementary School Gym","7606 Preston Hwy","{A46DC806-349B-45C0-ABA1-D5E231E059E3}",-85.690054787,38.1408244030001,-85.741452,38.199089,5.2674268629175,0.484275509197213,4.78315135372028
"Q112",61,46,3,37,"5",24,NA,"Q112",219,264,45,-85.6766395907267,38.1332178465802,103532.51836579,49,49,"Q112","St Rita Catholic Church Casper Ctr","8709 Preston Hwy","{2BDFBF03-475D-410F-B28A-987906197F03}",-85.679761737,38.1268969180001,-85.741452,38.199089,5.75297910592093,0.467970972925324,5.28500813299561
"Q114",62,46,3,19,"6",23,NA,"Q114",164,267,103,-85.6505132454661,38.1341943949416,101269.346111905,53,53,"Q115","Smyrna Elementary School","6401 Outer Loop","{1E85358F-BB31-408B-BF1A-B2E80D4BF969}",-85.6410240869999,38.138818611,-85.741452,38.199089,6.67493570263199,0.607398466239629,6.06753723639236
"Q113",63,46,3,35,"6",24,NA,"Q113",92,107,15,-85.6635386028889,38.1343963907073,102406.23949948,75,75,"Q105","Hartstern Elementary School Gym","5200 Morningside Way","{4454B588-DF1D-4BA1-A349-BC55A6F94F2E}",-85.666574824,38.141668515,-85.741452,38.199089,6.15701687141074,0.528136590974947,5.62888028043579
"B149",64,29,3,38,"6",22,NA,"B149",98,152,54,-85.5978204076305,38.1331401225135,96668.3670007654,35,35,"B169","Teamsters Local 783","7711 Beulah Church Rd","{28BFA575-455A-4AE6-A24C-CC6044D49DED}",-85.6114310729999,38.134216107,-85.741452,38.199089,9.04771322065122,0.74517726804869,8.30253595260253
"B175",65,29,3,38,"6",22,NA,"B175",188,344,156,-85.5837430853564,38.1278989444943,95373.6636601191,61,61,"B158","Bates Elementary School Gym","7601 Bardstown Rd","{1AF96C80-99C4-4EED-832C-71F1504F99BC}",-85.578661511,38.137227281,-85.741452,38.199089,9.89262416445657,0.700419865876847,9.19220429857972
"A111",66,28,3,37,"4",14,NA,"A111",177,255,78,-85.852315396951,38.138082713855,118904.201218933,79,79,"A136","Greenwood Elementary School Gym","5801 Greenwood Rd","{BEFE36E5-E33B-43D4-A37D-7BCCC50FA239}",-85.861174018,38.1454139310001,-85.741452,38.199089,7.35841251538482,0.698944741228438,6.65946777415638
"A136",67,28,3,37,"4",14,NA,"A136",123,146,23,-85.8600991879753,38.1389966190823,119593.329585235,79,79,"A136","Greenwood Elementary School Gym","5801 Greenwood Rd","{BEFE36E5-E33B-43D4-A37D-7BCCC50FA239}",-85.861174018,38.1454139310001,-85.741452,38.199089,7.67567608427311,0.446468081496511,7.22920800277659
"J150",68,38,3,37,"5",13,"I122p/I123p","J150",124,181,57,-85.7754365791625,38.1423988464679,112253.480296899,57,57,"I122","Auburndale Elementary School Gym","5749 New Cut Rd","{4458E196-85FF-40A2-8619-BE24FB50185C}",-85.771030605,38.13502622,-85.741452,38.199089,4.32579856822493,0.562297713812154,3.76350085441278
"A108",69,28,3,37,"4",14,NA,"A108",242,306,64,-85.860613838434,38.1351322676082,119595.758384245,79,79,"A136","Greenwood Elementary School Gym","5801 Greenwood Rd","{BEFE36E5-E33B-43D4-A37D-7BCCC50FA239}",-85.861174018,38.1454139310001,-85.741452,38.199089,7.84611416367171,0.709799417995713,7.13631474567599
"A107",70,28,3,37,"4",12,NA,"A107",146,194,48,-85.8702751767692,38.1377295294174,120466.939775066,55,55,"A105","Sanders Elementary School/Gym","8408 Terry Rd","{91B57341-73B8-4304-AD36-D231A0D16171}",-85.875998265,38.1323548670001,-85.741452,38.199089,8.19239502298917,0.484375846246696,7.70801917674247
"H146",71,35,3,37,"6",13,"H134p","H146",173,248,75,-85.7011678614144,38.142630521008,105789.531024146,73,73,"I142","Okolona Elementary School Gym","7606 Preston Hwy","{A46DC806-349B-45C0-ABA1-D5E231E059E3}",-85.690054787,38.1408244030001,-85.741452,38.199089,4.46933074224575,0.618028617362683,3.85130212488306
"B160",72,29,3,19,"6",22,NA,"B160",129,182,53,-85.6012536678689,38.1452524920979,97138.6308717687,83,83,"B163","Beulah Presbyterian Church Gym","6704 Bardstown Rd","{FFA1336E-3AC9-433E-8DFD-988D4130263D}",-85.5875014009999,38.1493803120001,-85.741452,38.199089,8.48881810552391,0.801328614257604,7.68748949126631
"B154",73,29,3,14,"7",22,NA,"B154",161,260,99,-85.5746438519684,38.1445569126301,94817.1350872728,61,61,"B158","Bates Elementary School Gym","7601 Bardstown Rd","{1AF96C80-99C4-4EED-832C-71F1504F99BC}",-85.578661511,38.137227281,-85.741452,38.199089,9.83050591162852,0.550874452238397,9.27963145939013
"B133",74,29,3,19,"6",23,NA,"B133",239,299,60,-85.6161751968562,38.1420480424371,98388.4823837763,70,70,"B133","Highview Bapt Ch/Fegenbush Campus","7711 Fegenbush Ln","{3EEBFE4A-FD30-4555-B281-30EA84884DAB}",-85.617639173,38.1405518830001,-85.741452,38.199089,7.87454048644025,0.130414759354328,7.74412572708592
"Q105",75,46,3,35,"6",24,NA,"Q105",349,489,140,-85.6587967270818,38.142590768558,102102.365226437,77,77,"Q103","Parkland Baptist Church Gym","7206 Shepherdsville Rd","{374A5F98-AE06-4EAB-98C7-552964B6EC17}",-85.660848548,38.1451509940001,-85.741452,38.199089,5.9531504899096,0.208979328933737,5.74417116097587
"B163",76,29,3,14,"6",22,NA,"B163",237,352,115,-85.591458043714,38.1432946565917,96258.5809122315,83,83,"B163","Beulah Presbyterian Church Gym","6704 Bardstown Rd","{FFA1336E-3AC9-433E-8DFD-988D4130263D}",-85.5875014009999,38.1493803120001,-85.741452,38.199089,9.0283034363443,0.471831166445848,8.55647226989845
"J135",77,38,3,37,"5",25,NA,"J135",152,248,96,-85.7911062527334,38.1386084379211,113573.052063658,86,86,"J120","Kenwood Elementary School Gym","7420 Justan Ave","{AB510D66-8B6D-4C67-9D6E-ED7C38A76C15}",-85.787251785,38.145504712,-85.741452,38.199089,4.97104397063318,0.519925489826687,4.45111848080649
"Q104",78,46,3,37,"6",24,NA,"Q104",70,104,34,-85.6827382210237,38.1441071567718,104205.803543682,73,73,"I142","Okolona Elementary School Gym","7606 Preston Hwy","{A46DC806-349B-45C0-ABA1-D5E231E059E3}",-85.690054787,38.1408244030001,-85.741452,38.199089,4.95994961466968,0.458364607272804,4.50158500739687
"A124",79,28,3,37,"4",25,"A125p","A124",187,249,62,-85.8335051018809,38.1363526358452,117244.176453238,80,80,"K132","Southwest Government Center","7219 Dixie Hwy","{DAE32927-224A-4C79-99A1-347FD63C76C3}",-85.837697813,38.1459241270001,-85.741452,38.199089,6.621803090537,0.698550453186399,5.9232526373506
"Q103",80,46,3,35,"6",24,NA,"Q103",327,401,74,-85.6586644646906,38.1483879916643,102172.863121689,77,77,"Q103","Parkland Baptist Church Gym","7206 Shepherdsville Rd","{374A5F98-AE06-4EAB-98C7-552964B6EC17}",-85.660848548,38.1451509940001,-85.741452,38.199089,5.70499066071068,0.252977281621729,5.45201337908895
