"PRECINCT.x","OBJECTID.x","LEGISDIST","CONGDIST","SENDIST","SCHOOLDIST","COUNDIST","FORMERPREC","precinct","tvotes16","tvotes20","vote_change","longitude_prec_cent","latitude_prec_cent","distance2020","OBJECTID_1","OBJECTID","PRECINCT","VOTE_LOC","VOTE_ADD","GlobalID","longitude2016poll","latitude2016poll","new_poll_long","new_poll_lat","distance2020miles","distance2016miles","poll_dist_change_miles"
"O142",1,44,3,10,"4",14,"A122","O142",119,112,-7,-85.9141090219955,38.0412355111178,123731.128043607,1,1,"O142","Watson Lane Elementary School Gym","7201 Watson Ln","{17FFAFBE-1CF0-450A-8FC9-E0725836BAEC}",-85.897255613,38.061052816,-85.741452,38.199089,14.3888235171312,1.64712816075133,12.7416953563799
"A130",2,28,3,10,"5",14,NA,"A130",89,75,-14,-85.8845650608821,38.0443387654849,121141.605811504,1,1,"O142","Watson Lane Elementary School Gym","7201 Watson Ln","{17FFAFBE-1CF0-450A-8FC9-E0725836BAEC}",-85.897255613,38.061052816,-85.741452,38.199089,13.2183249684306,1.34458722824619,11.8737377401844
"A121",3,28,3,10,"4",14,NA,"A121",168,228,60,-85.893116009861,38.0667453571306,121948.254470204,1,1,"O142","Watson Lane Elementary School Gym","7201 Watson Ln","{17FFAFBE-1CF0-450A-8FC9-E0725836BAEC}",-85.897255613,38.061052816,-85.741452,38.199089,12.3120063457908,0.452883123828833,11.859123221962
"A142",4,28,3,10,"5",14,"J139p","A142",47,49,2,-85.8638652834706,38.0844259676038,119465.220808772,3,3,"J138","Medora Elementary School Gym","11801 Deering Rd","{2B985D7F-698C-4E42-B2C8-45E51074AF2E}",-85.8748662419999,38.0901800770001,-85.741452,38.199089,10.3444050668968,0.719111634179831,9.62529343271696
"I154",5,37,3,38,"5",23,"Q133","I154",242,451,209,-85.6488898358522,38.0937046801467,100703.781632547,8,8,"I153","Wilt Elementary School Gym","6700 Price Lane Rd","{E505D619-96F6-4AE8-BFAE-85A6F35D811E}",-85.6382248639999,38.102414674,-85.741452,38.199089,8.8459021937875,0.835927336726641,8.00997485706086
"J138",6,38,3,37,"4",25,NA,"J138",27,66,39,-85.8552929662824,38.0917642940398,118758.101278031,3,3,"J138","Medora Elementary School Gym","11801 Deering Rd","{2B985D7F-698C-4E42-B2C8-45E51074AF2E}",-85.8748662419999,38.0901800770001,-85.741452,38.199089,9.65631397002083,1.07250118325808,8.58381278676274
"I152",7,37,3,38,"5",23,"Q128","I152",197,282,85,-85.6618454547282,38.0985919799706,101877.455035462,25,25,"Q119","Amvets Post #61","9405 Smyrna Pkwy","{B6A3F693-1D71-467B-B590-565633B75D75}",-85.644517779,38.111777299,-85.741452,38.199089,8.17585966150705,1.31102471630872,6.86483494519833
"B173",8,29,3,38,"7",22,"B167","B173",185,337,152,-85.5941640455683,38.0889409192548,95877.5006088776,6,6,"B173","Heritage Creek City Hall","8700 Justice Way","{45B14F3F-C958-4E46-A400-648F41A99A3F}",-85.6153501539999,38.0950029150001,-85.741452,38.199089,11.0489777619532,1.22817610759538,9.82080165435785
"I141",9,37,3,38,"5",13,"B131p","I141",139,254,115,-85.6815939691092,38.0915260029998,103548.717839481,13,13,"H145","St Luke Catholic Church Gym","4211 Jim Hawkins Dr","{A9DD2B6F-5CD1-4619-A658-4F699E80F78F}",-85.686010541,38.105386406,-85.741452,38.199089,8.10362615556799,0.985809382209104,7.11781677335889
"B177",10,29,3,14,"7",20,NA,"B177",158,344,186,-85.5586269345049,38.0875809150723,92757.1240368252,594,595,"B177","Living Hope Baptist Church","10205 Bardstown Bluff Rd","{CDED9E36-6BB6-47D6-81E4-37DDA64A764C}",-85.562745481,38.0975718440001,-85.741452,38.199089,12.5825951948665,0.724731363116769,11.8578638317497
