"PRECINCT","OBJECTID.x","LEGISDIST","CONGDIST","SENDIST","SCHOOLDIST","COUNDIST","FORMERPREC","precinct","tvotes16","tvotes20","vote_change","longitude_prec_cent","latitude_prec_cent","distance2020","OBJECTID_1","OBJECTID","PRECINCT.y","VOTE_LOC","VOTE_ADD","GlobalID","longitude2016poll","latitude2016poll","new_poll_long","new_poll_lat","distance2020miles","distance2016miles","poll_dist_change_miles","total_pop_sum","white_sum","over65sum","white_pct","nonwhite_pct","over65pct","turnout_pct_chg","tvotes16B","dist_chgXage65over","dist_chgXnonwhite","dist_chg_squared","color_nonwhite","color65"
"H162",11,35,3,38,"5",24,"H145p","H162",124,172,48,-85.6916057615444,38.0984885805304,104479.567033613,15,15,"I141","Blue Lick Elementary School Gym","9801 Blue Lick Rd","{8B7A3BCD-6F36-428E-AB32-49AA4B2741EF}",-85.691316844,38.1063162950001,-85.741452,38.199089,7.45082658906614,0.540116406531948,6.91071018253419,566.690042833785,457.46251802017,53.7718092974278,80.7253495636851,19.2746504363149,9.48875138665522,38.7096774193548,124,65.5740108272936,133.201523035029,47.7579152269817,"#9FDDF3","#DDDBFB"
"A140",12,28,3,37,"4",25,"B119/J138p","A140",231,288,57,-85.8585174049831,38.0976867012156,119079.938259404,19,19,"A129","Highview Baptist Ch/Valley Campus","5415 Valley Station Rd","{318A3C45-6FF4-4165-8BF7-9BB26CE762E0}",-85.863643256,38.1081044320001,-85.741452,38.199089,9.46411820976195,0.770920134358329,8.69319807540362,2575.28430946407,2303.9297887936,280.748176746163,89.4631237540162,10.5368762459838,10.9016381497928,24.6753246753247,231,94.7700997825255,91.5991523023529,75.5716927782012,"#9FDDF3","#B1AAFB"
"A139",13,28,3,10,"5",25,"A129p","A139",111,136,25,-85.8677087490124,38.098154158631,119887.829011319,21,21,"A127","Valley High School/Cafeteria","10200 Dixie Hwy","{B65EC4EE-D6E4-48EE-A15E-A82FB34A362F}",-85.867826666,38.1077935120001,-85.741452,38.199089,9.78539375444594,0.664868857781195,9.12052489666474,1589.73575581511,1414.6311070435,148.692271280846,88.9852984603827,11.0147015396173,9.35326960703645,22.5225225225225,111,85.3067283161936,100.459859621411,83.1839743906814,"#9FDDF3","#DDDBFB"
"I148",14,37,3,38,"7",23,"B180","I148",66,203,137,-85.6283046630792,38.0954189394369,98917.0882667886,6,6,"B173","Heritage Creek City Hall","8700 Justice Way","{45B14F3F-C958-4E46-A400-648F41A99A3F}",-85.6153501539999,38.0950029150001,-85.741452,38.199089,9.43965971886013,0.706680042161836,8.7329796766983,1023.57082707615,943.202885201561,130.046973478764,92.1482774080069,7.85172259199312,12.7052246936585,207.575757575758,66,110.954469037605,68.5689338229488,76.2649340336255,"#9FDDF3","#B1AAFB"
"I153",15,37,3,38,"7",23,"Q129","I153",270,386,116,-85.6421623563009,38.1028719386392,100194.383893336,8,8,"I153","Wilt Elementary School Gym","6700 Price Lane Rd","{E505D619-96F6-4AE8-BFAE-85A6F35D811E}",-85.6382248639999,38.102414674,-85.741452,38.199089,8.56059411240836,0.21689998246521,8.34369412994315,2769.93291461385,2354.80116785013,235.009161994003,85.0129313755746,14.9870686244254,8.48429074776942,42.962962962963,270,70.7903269088947,125.047516506673,69.6172317340478,"#9FDDF3","#DDDBFB"
"I145",16,37,3,38,"5",13,"B127","I145",29,44,15,-85.7009529110313,38.0973435466304,105287.925798871,15,15,"I141","Blue Lick Elementary School Gym","9801 Blue Lick Rd","{8B7A3BCD-6F36-428E-AB32-49AA4B2741EF}",-85.691316844,38.1063162950001,-85.741452,38.199089,7.35607919010061,0.811663778333995,6.54441541176662,566.232512619826,483.668867522312,29.1694629759292,85.4187735148744,14.5812264851256,5.15149913256815,51.7241379310345,29,33.7135503168813,95.4256033317153,42.8293730817685,"#9FDDF3","#DDDBFB"
"J145",17,38,3,37,"4",25,"A137","J145",174,216,42,-85.8376716449397,38.103294659858,117296.564292675,30,30,"J137","Stonestreet Elementary School-Gym","10007 Stonestreet Rd","{22D7E8E0-58DF-4F24-B42E-4AAE151D72F6}",-85.834319949,38.109177819,-85.741452,38.199089,8.43309180271482,0.444986410679421,7.9881053920354,1419.32876925103,1349.30885922791,239.535502395685,95.0666884558347,4.93331154416529,16.8766749174038,24.1379310344828,174,134.812657907342,39.4078125465373,63.809827754265,"#9FDDF3","#B1AAFB"
"A119",18,28,3,37,"4",14,NA,"A119",145,158,13,-85.8752775931095,38.1033901125044,120588.003853436,21,21,"A127","Valley High School/Cafeteria","10200 Dixie Hwy","{B65EC4EE-D6E4-48EE-A15E-A82FB34A362F}",-85.867826666,38.1077935120001,-85.741452,38.199089,9.83321830542019,0.507074853819798,9.32614345160039,1299.87344656247,1227.14055437035,205.426981861613,94.4046174353001,5.5953825646999,15.803613990644,8.96551724137931,145,147.386771130465,52.183340464975,86.9769516798288,"#9FDDF3","#B1AAFB"
"O134",19,44,3,10,"4",14,NA,"O134",176,304,128,-85.8954719674365,38.0877245022786,122253.115884242,10,10,"A119","Sun Valley Community Center","6505 Bethany Ln","{E5BC7A34-47C6-407B-8036-7F945FE72DFA}",-85.886464111,38.1021395440001,-85.741452,38.199089,11.3745784271996,1.10884658738095,10.2657318398187,2643.74232951285,2414.30058131247,365.76628214786,91.3213271339249,8.67867286607506,13.8351713805354,72.7272727272727,176,142.02815935051,89.0929283686374,105.385250207067,"#9FDDF3","#B1AAFB"
"H148",20,35,3,38,"5",24,NA,"H148",144,197,53,-85.6877174723695,38.1108342492173,104250.605307943,15,15,"I141","Blue Lick Elementary School Gym","9801 Blue Lick Rd","{8B7A3BCD-6F36-428E-AB32-49AA4B2741EF}",-85.691316844,38.1063162950001,-85.741452,38.199089,6.75402471063272,0.368205808813017,6.38581890181971,3114.11554711425,2676.61612256769,363.605241670151,85.9510856958414,14.0489143041586,11.6760356566439,36.8055555555556,144,74.5610491945176,89.713822513541,40.7786830468379,"#9FDDF3","#B1AAFB"
"I133",21,37,3,38,"5",13,NA,"I133",225,266,41,-85.7435455143502,38.1006513187356,109040.704197196,27,27,"I130","Fairdale High School Lobby","1001 Fairdale Rd","{27D48F64-E3EF-47E2-821E-83429B845620}",-85.7516369589999,38.1120113580001,-85.741452,38.199089,6.7903770578301,0.899081320343834,5.89129573748627,1551.64032704336,1459.85966290019,211.714555445823,94.0849266067963,5.91507339320374,13.6445638693372,18.2222222222222,225,80.3841609632853,34.8474466682996,34.7073654665239,"#9FDDF3","#B1AAFB"
"A127",22,28,3,37,"4",25,NA,"A127",124,204,80,-85.858177715551,38.109811018552,119142.249976412,23,23,"A128","Southwest Library","9725 Dixie Hwy","{0544E6E4-FE4B-405A-82CF-1DF9B06F82C1}",-85.859373305,38.1142931800001,-85.741452,38.199089,8.85039790811512,0.315931361729281,8.53446654638584,1461.31817710374,1322.93920047478,160.930622088064,90.5305375107817,9.46946248921832,11.0127024086582,64.5161290322581,124,93.9875402919961,80.8168108264893,72.837119231379,"#9FDDF3","#B1AAFB"
"J137",23,38,3,37,"4",25,NA,"J137",136,172,36,-85.8257683758875,38.1113719239169,116321.259011535,30,30,"J137","Stonestreet Elementary School-Gym","10007 Stonestreet Rd","{22D7E8E0-58DF-4F24-B42E-4AAE151D72F6}",-85.834319949,38.109177819,-85.741452,38.199089,7.59531686860417,0.489970760362946,7.10534610824122,1148.69509107871,1092.77725045814,305.209556812646,95.1320554031387,4.86794459686131,26.570110657131,26.4705882352941,136,188.789832353184,34.5884311964424,50.4859433178987,"#9FDDF3","#7D76C7"
"A128",24,28,3,37,"4",25,"A126p/A127p","A128",127,224,97,-85.8479720120944,38.1136528127097,118282.287422563,23,23,"A128","Southwest Library","9725 Dixie Hwy","{0544E6E4-FE4B-405A-82CF-1DF9B06F82C1}",-85.859373305,38.1142931800001,-85.741452,38.199089,8.26903049519664,0.622846856313338,7.6461836388833,1859.10086062056,1696.80769118908,396.495276877213,91.2703407938125,8.72965920618746,21.3272601436409,76.3779527559055,127,163.072147572515,66.7485773953776,58.4641242395267,"#9FDDF3","#7D76C7"
"Q131",25,46,3,38,"5",24,NA,"Q131",105,141,36,-85.6639808575025,38.1164407831707,102234.784813663,44,44,"Q117","Messiah Trinity Church","8701 Shepherdsville Rd","{6C0D99E6-08EF-4BE3-825D-51142E7D19AA}",-85.6660368679999,38.123904759,-85.741452,38.199089,7.09188229068342,0.526849055330791,6.56503323535263,1052.36853671338,955.233563379939,251.636695799906,90.7698710152626,9.23012898473745,23.9114613389892,34.2857142857143,105,156.979538396314,60.596103551393,43.0996613812846,"#9FDDF3","#7D76C7"
"E177",26,32,3,20,"7",18,"E166p","E177",75,106,31,-85.5843670536418,38.2136789155697,97001.6430663224,226,226,"E166","Community of Christ Church","2401 Merriwood Dr","{764C4AA2-87ED-48C8-890F-906D2D9E0B49}",-85.58322237,38.2112775480001,-85.741452,38.199089,8.60809179604596,0.176954947591634,8.43113684845433,305.722702306563,287.653951718238,63.9276792180019,94.0898237350373,5.91017626496266,20.9103474278134,41.3333333333333,75,176.29800071262,49.8295048883868,71.0840685573644,"#9FDDF3","#7D76C7"
"O143",27,44,3,37,"4",14,"A115p/A138","O143",7,8,1,-85.8790483511804,38.1179531246127,121036.743357231,46,46,"A113","Wilkerson Traditional School/Gym","5601 Johnsontown Rd","{8790CC86-7447-4CF3-8D26-D5F01C3BF963}",-85.8739755729999,38.122821726,-85.741452,38.199089,9.35234445764454,0.434920216619226,8.91742424102532,301.317167963758,246.027231175516,33.8894122995475,81.6505852746855,18.3494147253145,11.2470897455214,14.2857142857143,7,100.2950707377,163.629515680147,79.520455094426,"#9FDDF3","#B1AAFB"
"A113",28,28,3,37,"4",14,NA,"A113",211,265,54,-85.8716389400127,38.1263595844098,120467.913741602,46,46,"A113","Wilkerson Traditional School/Gym","5601 Johnsontown Rd","{8790CC86-7447-4CF3-8D26-D5F01C3BF963}",-85.8739755729999,38.122821726,-85.741452,38.199089,8.68464407827299,0.275225631204083,8.40941844706891,1740.32101281714,1570.19435868127,293.569142793835,90.2244095840412,9.77559041595885,16.8686777112816,25.5924170616114,211,141.855769522912,82.2070303749544,70.7183186179029,"#9FDDF3","#B1AAFB"
"O141",29,44,3,37,"4",14,NA,"O141",0,0,0,-85.8978284428622,38.1196391324929,122693.286225325,36,36,"O135","Johnsontown Road Elem Sch Gym","7201 Johnsontown Rd","{7FF008B5-62B8-4DAF-81B0-193E888E4DFE}",-85.893219899,38.117212997,-85.741452,38.199089,10.1267072881955,0.301759133100547,9.82494815509492,21.8197397676669,16.2715619647021,2.34980278494496,74.5726674009821,25.4273325990179,10.7691604481322,0,1,105.806443076797,249.822224507706,96.5296062503031,"#00BAFF","#B1AAFB"
"I146",30,37,3,38,"7",13,"B130","I146",125,190,65,-85.6558568568453,38.0868479622022,101261.573012951,8,8,"I153","Wilt Elementary School Gym","6700 Price Lane Rd","{E505D619-96F6-4AE8-BFAE-85A6F35D811E}",-85.6382248639999,38.102414674,-85.741452,38.199089,9.03703858676356,1.44095760366292,7.59608098310065,1763.18731662176,1603.14538889579,84.8465972341137,90.9231466097089,9.07685339029113,4.81211476706165,52,125,36.5532134705748,68.9485134243832,57.7004463018233,"#9FDDF3","#DDDBFB"
"J141",31,38,3,38,"5",13,"B143p","J141",92,91,-1,-85.7979336392531,38.0917901991369,113735.312342702,33,33,"A125","Valley View Baptist Church","8911 3rd Street Rd","{6999255E-9A5D-4FF7-B5D7-0097A415119C}",-85.815173962,38.116044543,-85.741452,38.199089,8.01456726405513,1.91866040601518,6.09590685803995,664.492777027567,636.012252461727,94.894353318098,95.7139451999402,4.28605480005977,14.2807200617865,-1.08695652173913,92,87.053939362393,26.1273908496194,37.1600804218985,"#9FDDF3","#B1AAFB"
"H155",32,35,3,37,"6",21,"H134p","H155",53,79,26,-85.6961201469474,38.1489691893604,105437.066903809,73,73,"I142","Okolona Elementary School Gym","7606 Preston Hwy","{A46DC806-349B-45C0-ABA1-D5E231E059E3}",-85.690054787,38.1408244030001,-85.741452,38.199089,4.24757798660255,0.651706206009435,3.59587178059311,190.449784817738,143.85920700071,19.3805775967043,75.5365552858902,24.4634447141098,10.1762139638286,49.0566037735849,53,36.592360625809,87.967410503567,12.9302938624659,"#00BAFF","#B1AAFB"
"A129",33,28,3,10,"5",14,"B125p","A129",197,211,14,-85.869228945948,38.0810184525804,119916.907777389,3,3,"J138","Medora Elementary School Gym","11801 Deering Rd","{2B985D7F-698C-4E42-B2C8-45E51074AF2E}",-85.8748662419999,38.0901800770001,-85.741452,38.199089,10.7127583611684,0.702650330564001,10.0101080306044,1990.44454374236,1870.14209398614,212.404465688736,93.9560009278114,6.04399907218864,10.6712074122588,7.10659898477157,197,106.819939013697,60.501083649481,100.202262784371,"#9FDDF3","#B1AAFB"
"A143",34,28,3,37,"4",14,"B179","A143",0,3,3,-85.8651380335825,38.0885834762852,119600.755298003,3,3,"J138","Medora Elementary School Gym","11801 Deering Rd","{2B985D7F-698C-4E42-B2C8-45E51074AF2E}",-85.8748662419999,38.0901800770001,-85.741452,38.199089,10.1725243612754,0.541599925923928,9.63092443535149,54.7584325218721,51.0350101816619,8.46914579682745,93.2002758867814,6.79972411321862,15.4663773354809,300,1,148.95551140665,65.4876291156459,92.7547054794504,"#9FDDF3","#B1AAFB"
"H153",35,35,3,19,"6",15,"H114p","H153",0,0,0,-85.7481113068117,38.2043401780117,110870.641043398,213,213,"K140","Churchill Park School","435 Boxley Ave","{7EEE230E-5D19-4F57-81C9-918B620FA8D1}",-85.752383322,38.205868541,-85.741452,38.199089,0.512391068978102,0.255282185230623,0.257108883747479,66.3435726468411,58.0996498500602,7.75695197143137,87.5738937957641,12.4261062042359,11.6920926352927,0,1,3.00614088613222,3.19486229549872,0.0661049781018747,"#9FDDF3","#B1AAFB"
"K141",36,40,3,35,"6",15,"I104/K134p","K141",68,93,25,-85.7541524638176,38.202028407634,111347.12210397,213,213,"K140","Churchill Park School","435 Boxley Ave","{7EEE230E-5D19-4F57-81C9-918B620FA8D1}",-85.752383322,38.205868541,-85.741452,38.199089,0.720372620666123,0.281821626384767,0.438550994281356,273.325418786578,232.053668606709,26.2644154193232,84.9001419761491,15.0998580238509,9.60921071151136,36.7647058823529,68,4.21412891179236,6.62205774986711,0.192326974585166,"#9FDDF3","#DDDBFB"
"I140",37,37,3,37,"5",15,"I110p","I140",32,31,-1,-85.7804157771349,38.1883581265955,113368.001713808,175,175,"J101","Most Blessed Sacrament Pioneer","3509 Taylor Blvd","{D7A58450-46DE-4979-8A2E-0AF1C04D216B}",-85.782280478,38.1957523350001,-85.741452,38.199089,2.24633525720828,0.519998035437245,1.72633722177103,376.422193640517,274.696314251882,42.3767217561886,72.975589349606,27.024410650394,11.2577638811218,-3.125,32,19.4346968218901,46.6532460022006,2.98024020327212,"#00BAFF","#B1AAFB"
"J140",38,38,3,37,"5",25,"J117p","J140",58,102,44,-85.7796287327355,38.1528669602219,112753.907858607,86,86,"J120","Kenwood Elementary School Gym","7420 Justan Ave","{AB510D66-8B6D-4C67-9D6E-ED7C38A76C15}",-85.787251785,38.145504712,-85.741452,38.199089,3.80578043878956,0.655923133157893,3.14985730563166,347.244106524662,262.359697211302,45.8683215277787,75.554830818322,24.445169181678,13.209244063735,75.8620689655172,58,41.6072339160274,76.9987947343103,9.92160104584114,"#00BAFF","#B1AAFB"
"B134",39,29,3,38,"7",22,NA,"B134",272,557,285,-85.5896353007174,38.1102612840814,95679.1709700774,594,595,"B177","Living Hope Baptist Church","10205 Bardstown Bluff Rd","{CDED9E36-6BB6-47D6-81E4-37DDA64A764C}",-85.562745481,38.0975718440001,-85.741452,38.199089,10.2906933905651,1.70693225233742,8.58376113822765,2179.79265238807,1914.74085175307,296.348964754878,87.8405039880914,12.1594960119086,13.5952823049574,104.779411764706,272,116.698655912527,104.374209327455,73.6809552781473,"#9FDDF3","#B1AAFB"
"A115",40,28,3,37,"4",14,NA,"A115",165,195,30,-85.8670036885594,38.1181164397266,119985.425793645,23,23,"A128","Southwest Library","9725 Dixie Hwy","{0544E6E4-FE4B-405A-82CF-1DF9B06F82C1}",-85.859373305,38.1142931800001,-85.741452,38.199089,8.82837599973004,0.492351426009366,8.33602457372067,1796.55324733857,1710.95296237235,288.62924970708,95.2353048765446,4.76469512345538,16.0657219670309,18.1818181818182,165,133.924253111734,39.7186156354111,69.4893056936749,"#9FDDF3","#B1AAFB"
"J153",41,38,3,37,"5",13,"I129p","J153",47,54,7,-85.7542416510708,38.1233335934926,110186.577673849,37,37,"I124","Fairdale Christian Church/Gym","9000 Brown Austin Rd","{880F6A8D-F522-4A18-83EB-AAD71CAAB195}",-85.767690902,38.1201002700001,-85.741452,38.199089,5.27120922089747,0.765980514505523,4.50522870639194,486.727966154992,365.905700999481,39.1382310468811,75.1766338577231,24.8233661422769,8.04108943154871,14.8936170212766,47,36.2269469376781,111.834941733464,20.297085696898,"#00BAFF","#DDDBFB"
"Q119",42,46,3,19,"6",23,NA,"Q119",213,296,83,-85.627278892709,38.1153374769651,99019.5084142124,25,25,"Q119","Amvets Post #61","9405 Smyrna Pkwy","{B6A3F693-1D71-467B-B590-565633B75D75}",-85.644517779,38.111777299,-85.741452,38.199089,8.4870206606622,0.970948672472537,7.51607198818967,1727.01878929276,1505.94145156325,205.241650751865,87.198903735144,12.801096264856,11.8841585293878,38.9671361502347,213,89.3221910259367,96.2139610544034,56.4913381316494,"#9FDDF3","#B1AAFB"
"Q126",43,46,3,19,"6",23,NA,"Q126",113,122,9,-85.6602748099609,38.1223643810214,101976.544677105,44,44,"Q117","Messiah Trinity Church","8701 Shepherdsville Rd","{6C0D99E6-08EF-4BE3-825D-51142E7D19AA}",-85.6660368679999,38.123904759,-85.741452,38.199089,6.89536217123695,0.331436103388973,6.56392606784798,928.83141426199,859.479040360763,240.977792521306,92.5333733510368,7.46662664896316,25.9441906056522,7.9646017699115,113,170.295749025657,49.0103853000177,43.0851254241742,"#9FDDF3","#7D76C7"
"I130",44,37,3,37,"5",13,"I129p","I130",67,75,8,-85.7434230012756,38.116531337584,109172.548589535,27,27,"I130","Fairdale High School Lobby","1001 Fairdale Rd","{27D48F64-E3EF-47E2-821E-83429B845620}",-85.7516369589999,38.1120113580001,-85.741452,38.199089,5.69516622248794,0.545460242931189,5.14970597955675,2096.57445340855,1667.01030247616,196.814712796969,79.5111425576125,20.4888574423875,9.38744209522313,11.9402985074627,67,48.3425666905133,105.511591685349,26.5194716758825,"#00BAFF","#DDDBFB"
"Q115",45,46,3,19,"6",23,NA,"Q115",242,331,89,-85.6360003926128,38.126948742916,99914.1248602734,66,66,"Q109","Central Government Center","7201 Outer Loop","{E858CD30-E3DD-4BC7-A764-2DEA79BAF359}",-85.629653344,38.138074983,-85.741452,38.199089,7.59818978098703,0.841697368426945,6.75649241256009,1471.847844058,1263.65799034582,115.80020381513,85.8552054444579,14.1447945555421,7.86767492867063,36.7768595041322,242,53.1578859600524,95.5691970917417,45.6501897209821,"#9FDDF3","#DDDBFB"
"B169",46,29,3,38,"6",23,NA,"B169",141,207,66,-85.607373951777,38.1216549559644,97355.1059854459,35,35,"B169","Teamsters Local 783","7711 Beulah Church Rd","{28BFA575-455A-4AE6-A24C-CC6044D49DED}",-85.6114310729999,38.134216107,-85.741452,38.199089,9.04635138389884,0.894114111476236,8.1522372724226,1220.43675709883,1020.15450511699,77.7571333177672,83.5892969613648,16.4107030386352,6.37125462384532,46.8085106382979,141,51.9399794166067,133.78394497822,66.4589725458763,"#9FDDF3","#DDDBFB"
"Q117",47,46,3,19,"6",23,NA,"Q117",169,251,82,-85.6510475590272,38.126994615177,101226.146626961,39,39,"Q131","Maple Grove Bapt Ch/Family Life Ct","5911 E Manslick Rd","{0B63B780-A933-47B9-B2F1-599FE04F2F02}",-85.651945632,38.1221318610001,-85.741452,38.199089,6.99726583345971,0.338941732465722,6.65832410099399,1068.9419538196,980.430069623139,262.652646600435,91.7196734696221,8.28032653037792,24.5712730856815,48.5207100591716,169,163.603499778498,55.1330977013153,44.3332798338774,"#9FDDF3","#7D76C7"
"A126",48,28,3,37,"4",25,"A128p","A126",180,266,86,-85.8448268980992,38.1217920029364,118081.663454673,23,23,"A128","Southwest Library","9725 Dixie Hwy","{0544E6E4-FE4B-405A-82CF-1DF9B06F82C1}",-85.859373305,38.1142931800001,-85.741452,38.199089,7.75335832503233,0.946437555818334,6.80692076921399,1231.33154562639,1125.50643883322,285.825251122641,91.4056366728314,8.59436332716855,23.2126962179985,47.7777777777778,180,158.006983995749,58.5011502298747,46.3341703583568,"#9FDDF3","#7D76C7"
"A114",49,28,3,37,"4",14,NA,"A114",149,177,28,-85.8585283915921,38.1262465111339,119321.781945788,23,23,"A128","Southwest Library","9725 Dixie Hwy","{0544E6E4-FE4B-405A-82CF-1DF9B06F82C1}",-85.859373305,38.1142931800001,-85.741452,38.199089,8.11715597863713,0.825722427660368,7.29143355097677,1763.5721374726,1593.47106846446,261.445765584115,90.354742774973,9.64525722502698,14.8247843129795,18.7919463087248,149,108.093929725653,70.3277521383628,53.1650032283097,"#9FDDF3","#B1AAFB"
"H144",50,35,3,35,"5",24,NA,"H144",181,207,26,-85.6844732869356,38.1236346867119,104101.721412945,49,49,"Q112","St Rita Catholic Church Casper Ctr","8709 Preston Hwy","{2BDFBF03-475D-410F-B28A-987906197F03}",-85.679761737,38.1268969180001,-85.741452,38.199089,6.05902665028758,0.34135225288583,5.71767439740175,1545.60639006305,1368.37285134822,196.098608835357,88.5330741478367,11.4669258521633,12.6874869369139,14.3646408839779,181,72.5429192265619,65.5641483618183,32.6918005147035,"#9FDDF3","#B1AAFB"
