"PRECINCT","OBJECTID.x","LEGISDIST","CONGDIST","SENDIST","SCHOOLDIST","COUNDIST","FORMERPREC","precinct","tvotes16","tvotes20","vote_change","longitude_prec_cent","latitude_prec_cent","distance2020","OBJECTID_1","OBJECTID","PRECINCT.y","VOTE_LOC","VOTE_ADD","GlobalID","longitude2016poll","latitude2016poll","new_poll_long","new_poll_lat","distance2020miles","distance2016miles","poll_dist_change_miles","total_pop_sum","white_sum","over65sum","white_pct","nonwhite_pct","over65pct","turnout_pct_chg","tvotes16B","dist_chgXage65over","dist_chgXnonwhite","dist_chg_squared","color_nonwhite","color65"
"O142",1,44,3,10,"4",14,"A122","O142",119,112,-7,-85.9141090219955,38.0412355111178,123731.128043607,1,1,"O142","Watson Lane Elementary School Gym","7201 Watson Ln","{17FFAFBE-1CF0-450A-8FC9-E0725836BAEC}",-85.897255613,38.061052816,-85.741452,38.199089,14.3888235171312,1.64712816075133,12.7416953563799,865.580849627489,785.74499984351,107.274063430531,90.7766155156578,9.22338448434218,12.3933036962055,-5.88235294117647,119,157.911700156148,117.521555254249,162.350800554793,"#9FDDF3","#B1AAFB"
"A130",2,28,3,10,"5",14,NA,"A130",89,75,-14,-85.8845650608821,38.0443387654849,121141.605811504,1,1,"O142","Watson Lane Elementary School Gym","7201 Watson Ln","{17FFAFBE-1CF0-450A-8FC9-E0725836BAEC}",-85.897255613,38.061052816,-85.741452,38.199089,13.2183249684306,1.34458722824619,11.8737377401844,1830.49000377506,1694.54933046159,240.308989904514,92.5735364283267,7.42646357167325,13.1281235848827,-15.7303370786517,89,155.879896467626,88.1798807870813,140.985647922679,"#9FDDF3","#B1AAFB"
"A121",3,28,3,10,"4",14,NA,"A121",168,228,60,-85.893116009861,38.0667453571306,121948.254470204,1,1,"O142","Watson Lane Elementary School Gym","7201 Watson Ln","{17FFAFBE-1CF0-450A-8FC9-E0725836BAEC}",-85.897255613,38.061052816,-85.741452,38.199089,12.3120063457908,0.452883123828833,11.859123221962,1104.47641609379,986.480020598203,127.615407745857,89.3165310027258,10.6834689972742,11.5543805088383,35.7142857142857,168,137.02482220775,126.696575276685,140.638803593678,"#9FDDF3","#B1AAFB"
"A142",4,28,3,10,"5",14,"J139p","A142",47,49,2,-85.8638652834706,38.0844259676038,119465.220808772,3,3,"J138","Medora Elementary School Gym","11801 Deering Rd","{2B985D7F-698C-4E42-B2C8-45E51074AF2E}",-85.8748662419999,38.0901800770001,-85.741452,38.199089,10.3444050668968,0.719111634179831,9.62529343271696,632.196252136257,593.21808231615,72.2921903782117,93.8344826170044,6.16551738299557,11.435086831649,4.25531914893617,47,110.066066183219,59.3449139758496,92.6462736659042,"#9FDDF3","#B1AAFB"
"I154",5,37,3,38,"5",23,"Q133","I154",242,451,209,-85.6488898358522,38.0937046801467,100703.781632547,8,8,"I153","Wilt Elementary School Gym","6700 Price Lane Rd","{E505D619-96F6-4AE8-BFAE-85A6F35D811E}",-85.6382248639999,38.102414674,-85.741452,38.199089,8.8459021937875,0.835927336726641,8.00997485706086,1774.91216603975,1506.32987192016,94.5912487961806,84.867854350288,15.132145649712,5.32934815626601,86.3636363636364,242,42.6879447362144,121.208106187576,64.1596972107471,"#9FDDF3","#DDDBFB"
"J138",6,38,3,37,"4",25,NA,"J138",27,66,39,-85.8552929662824,38.0917642940398,118758.101278031,3,3,"J138","Medora Elementary School Gym","11801 Deering Rd","{2B985D7F-698C-4E42-B2C8-45E51074AF2E}",-85.8748662419999,38.0901800770001,-85.741452,38.199089,9.65631397002083,1.07250118325808,8.58381278676274,774.543608637026,661.27885581871,70.4301755577899,85.3765815694187,14.6234184305813,9.09311945414239,144.444444444444,27,78.0536350420285,125.524686110605,73.6818419581915,"#9FDDF3","#DDDBFB"
"I152",7,37,3,38,"5",23,"Q128","I152",197,282,85,-85.6618454547282,38.0985919799706,101877.455035462,25,25,"Q119","Amvets Post #61","9405 Smyrna Pkwy","{B6A3F693-1D71-467B-B590-565633B75D75}",-85.644517779,38.111777299,-85.741452,38.199089,8.17585966150705,1.31102471630872,6.86483494519833,2024.79672685739,1785.1443640282,168.244105249431,88.164127309651,11.835872690349,8.30918496744889,43.1472081218274,197,57.0411833306598,81.2513124516262,47.1259588248162,"#9FDDF3","#DDDBFB"
"B173",8,29,3,38,"7",22,"B167","B173",185,337,152,-85.5941640455683,38.0889409192548,95877.5006088776,6,6,"B173","Heritage Creek City Hall","8700 Justice Way","{45B14F3F-C958-4E46-A400-648F41A99A3F}",-85.6153501539999,38.0950029150001,-85.741452,38.199089,11.0489777619532,1.22817610759538,9.82080165435785,1329.17118584402,1270.97195389326,218.260657121058,95.6213892860007,4.37861071399928,16.4208086547154,82.1621621621622,185,161.265504802123,43.0014673438331,96.4481451342379,"#9FDDF3","#B1AAFB"
"I141",9,37,3,38,"5",13,"B131p","I141",139,254,115,-85.6815939691092,38.0915260029998,103548.717839481,13,13,"H145","St Luke Catholic Church Gym","4211 Jim Hawkins Dr","{A9DD2B6F-5CD1-4619-A658-4F699E80F78F}",-85.686010541,38.105386406,-85.741452,38.199089,8.10362615556799,0.985809382209104,7.11781677335889,2903.04378551335,2432.15225612063,293.112384378589,83.7793859072142,16.2206140927858,10.0967262650762,82.7338129496403,139,71.8666475655729,115.455359063812,50.6633156191092,"#9FDDF3","#B1AAFB"
"B177",10,29,3,14,"7",20,NA,"B177",158,344,186,-85.5586269345049,38.0875809150723,92757.1240368252,594,595,"B177","Living Hope Baptist Church","10205 Bardstown Bluff Rd","{CDED9E36-6BB6-47D6-81E4-37DDA64A764C}",-85.562745481,38.0975718440001,-85.741452,38.199089,12.5825951948665,0.724731363116769,11.8578638317497,1047.02356107112,970.626112198125,140.914461801171,92.7033687002382,7.29663129976183,13.4585760092173,117.721518987342,158,159.589961686553,86.5224603830586,140.608934652318,"#9FDDF3","#B1AAFB"
