party,year,daysbefore,n_early_cumulative
democratic,2020,-26,4221
republican,2020,-26,5763
democratic,2020,-25,7711
republican,2020,-25,8367
democratic,2020,-24,8972
republican,2020,-24,9645
democratic,2020,-23,10937
republican,2020,-23,11317
democratic,2020,-22,15014
republican,2020,-22,14363
democratic,2020,-21,17259
republican,2020,-21,15703
democratic,2020,-20,17668
republican,2020,-20,15843
democratic,2020,-19,17669
republican,2020,-19,15847
democratic,2020,-18,22715
republican,2020,-18,20397
democratic,2020,-17,25450
republican,2020,-17,22528
democratic,2020,-16,29939
republican,2020,-16,25911
democratic,2020,-15,33725
republican,2020,-15,29912
democratic,2020,-14,38058
republican,2020,-14,33121
democratic,2020,-13,38654
republican,2020,-13,33332
democratic,2020,-12,38758
republican,2020,-12,33409
democratic,2020,-11,39465
republican,2020,-11,34270
democratic,2020,-10,106093
republican,2020,-10,124536
democratic,2020,-9,162384
republican,2020,-9,205355
democratic,2020,-8,217443
republican,2020,-8,285831
democratic,2020,-7,284180
republican,2020,-7,390408
democratic,2020,-6,347660
republican,2020,-6,447340
democratic,2020,-5,376553
republican,2020,-5,466231
democratic,2020,-4,452738
republican,2020,-4,560360
democratic,2020,-3,535432
republican,2020,-3,659531
democratic,2020,-2,631363
republican,2020,-2,757878
democratic,2020,-1,759055
republican,2020,-1,879720
democratic,2020,0,999292
republican,2020,0,1072731
