party,mode,year,daysbefore,n_early_cumulative
democratic,IN-PERSON,2020,-26,2
democratic,MAIL-IN,2020,-26,4219
republican,MAIL-IN,2020,-26,5763
democratic,IN-PERSON,2020,-25,2
democratic,MAIL-IN,2020,-25,7709
republican,MAIL-IN,2020,-25,8367
democratic,IN-PERSON,2020,-24,2
democratic,MAIL-IN,2020,-24,8970
republican,MAIL-IN,2020,-24,9645
democratic,IN-PERSON,2020,-23,2
democratic,MAIL-IN,2020,-23,10935
republican,MAIL-IN,2020,-23,11317
democratic,IN-PERSON,2020,-22,2
democratic,MAIL-IN,2020,-22,15012
republican,MAIL-IN,2020,-22,14363
democratic,IN-PERSON,2020,-21,2
democratic,MAIL-IN,2020,-21,17257
republican,MAIL-IN,2020,-21,15703
democratic,IN-PERSON,2020,-20,2
democratic,MAIL-IN,2020,-20,17666
republican,MAIL-IN,2020,-20,15843
democratic,IN-PERSON,2020,-19,2
democratic,MAIL-IN,2020,-19,17667
republican,MAIL-IN,2020,-19,15847
democratic,IN-PERSON,2020,-18,2
democratic,MAIL-IN,2020,-18,22713
republican,MAIL-IN,2020,-18,20397
democratic,IN-PERSON,2020,-17,2
democratic,MAIL-IN,2020,-17,25448
republican,MAIL-IN,2020,-17,22528
democratic,IN-PERSON,2020,-16,2
democratic,MAIL-IN,2020,-16,29937
republican,MAIL-IN,2020,-16,25911
democratic,IN-PERSON,2020,-15,2
democratic,MAIL-IN,2020,-15,33723
republican,MAIL-IN,2020,-15,29912
democratic,IN-PERSON,2020,-14,2
democratic,MAIL-IN,2020,-14,38056
republican,MAIL-IN,2020,-14,33121
democratic,IN-PERSON,2020,-13,2
democratic,MAIL-IN,2020,-13,38652
republican,MAIL-IN,2020,-13,33332
democratic,IN-PERSON,2020,-12,2
democratic,MAIL-IN,2020,-12,38756
republican,MAIL-IN,2020,-12,33409
democratic,IN-PERSON,2020,-11,2
democratic,MAIL-IN,2020,-11,39463
republican,MAIL-IN,2020,-11,34270
democratic,IN-PERSON,2020,-10,59956
democratic,MAIL-IN,2020,-10,46137
republican,IN-PERSON,2020,-10,83715
republican,MAIL-IN,2020,-10,40821
democratic,IN-PERSON,2020,-9,110328
democratic,MAIL-IN,2020,-9,52056
republican,IN-PERSON,2020,-9,161429
republican,MAIL-IN,2020,-9,43926
democratic,IN-PERSON,2020,-8,156823
democratic,MAIL-IN,2020,-8,60620
republican,IN-PERSON,2020,-8,235983
republican,MAIL-IN,2020,-8,49848
democratic,IN-PERSON,2020,-7,217181
democratic,MAIL-IN,2020,-7,66999
republican,IN-PERSON,2020,-7,333888
republican,MAIL-IN,2020,-7,56520
democratic,IN-PERSON,2020,-6,276911
democratic,MAIL-IN,2020,-6,70749
republican,IN-PERSON,2020,-6,387382
republican,MAIL-IN,2020,-6,59958
democratic,IN-PERSON,2020,-5,304372
democratic,MAIL-IN,2020,-5,72181
republican,IN-PERSON,2020,-5,406079
republican,MAIL-IN,2020,-5,60152
democratic,IN-PERSON,2020,-4,371184
democratic,MAIL-IN,2020,-4,81554
republican,IN-PERSON,2020,-4,491114
republican,MAIL-IN,2020,-4,69246
democratic,IN-PERSON,2020,-3,446890
democratic,MAIL-IN,2020,-3,88542
republican,IN-PERSON,2020,-3,586181
republican,MAIL-IN,2020,-3,73350
democratic,IN-PERSON,2020,-2,534564
democratic,MAIL-IN,2020,-2,96799
republican,IN-PERSON,2020,-2,678564
republican,MAIL-IN,2020,-2,79314
democratic,IN-PERSON,2020,-1,652885
democratic,MAIL-IN,2020,-1,106170
republican,IN-PERSON,2020,-1,794391
republican,MAIL-IN,2020,-1,85329
democratic,IN-PERSON,2020,0,886091
democratic,MAIL-IN,2020,0,113201
republican,IN-PERSON,2020,0,984304
republican,MAIL-IN,2020,0,88427
