MUNICIPALITY|CH|DES|VOTER ID|P|W/P|CG|SS|SR|CC|REQTYPE|REQDATE|SENTTYPE|SENTDATE|RECTYPE|RECDATE|ACC OR REJ|DUP|REQ DENIED|
ACTON|N||046100137|D|1-1|1|34|20|1|WV|06/04/2014|IF|06/04/2014|IF|06/04/2014 02:54 pm|ACC|||
ACTON|N||046100138|D|1-1|1|34|20|1|WV|06/04/2014|IV|06/04/2014|DV|06/04/2014 02:15 pm|ACC|||
ACTON|N||046100268|R|1-1|1|34|20|1|WV|06/04/2014|IF|06/04/2014|IF|06/10/2014 08:00 am|ACC|||
ACTON|N||046101328|D|1-1|1|34|20|1|WV|06/05/2014|IF|06/05/2014|IF|06/10/2014 04:53 pm|ACC|||
ACTON|N||100064847|D|1-1|1|34|20|1|WV|05/29/2014|IV|05/29/2014|IF|06/03/2014 11:11 am|ACC|||
ACTON|N||046101817|D|1-1|1|34|20|1|WV|05/21/2014|IV|05/21/2014|||REJ|||
ADDISON|N||040900091|D|1-1|2|6|138|3|WV|06/03/2014|IV|06/03/2014|IF|06/06/2014 01:03 pm|ACC|||
ADDISON|N||100003219|D|1-1|2|6|138|3|WV|06/03/2014|IF|06/03/2014|DV|06/06/2014 01:03 pm|ACC|||
ADDISON|N||040900246|D|1-1|2|6|138|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 10:15 am|ACC|||
ADDISON|N||040900371|R|1-1|2|6|138|3|WV|06/03/2014|IF|06/03/2014|IF|06/05/2014 01:41 pm|ACC|||
ADDISON|N||100058905|R|1-1|2|6|138|3|VP|05/13/2014|VP|05/13/2014|VP|05/13/2014 12:45 pm|ACC|||
ADDISON|N||100058931|R|1-1|2|6|138|3|VP|05/13/2014|VP|05/13/2014|VP|05/13/2014 12:45 pm|ACC|||
ADDISON|N||040900577|D|1-1|2|6|138|3|TR|05/02/2014|MV|05/09/2014|MA|06/04/2014 10:42 am|ACC|||
ADDISON|N||040900640|R|1-1|2|6|138|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:40 am|ACC|||
ADDISON|N||040900762|D|1-1|2|6|138|3|TR|05/29/2014|MV|05/29/2014|MA|06/04/2014 10:42 am|ACC|||
ADDISON|N||040900763|D|1-1|2|6|138|3|TR|05/29/2014|MV|05/29/2014|MA|06/02/2014 10:30 am|ACC|||
ADDISON|N||100148941|R|1-1|2|6|138|3|VP|05/20/2014|VP|05/20/2014|VP|05/20/2014 03:00 pm|ACC|||
ALBANY TWP|N||025100077|D|1-1|2|18|117|1|TR|05/28/2014|IV|05/30/2014|MA|06/02/2014 05:00 pm|ACC|||
ALBANY TWP|N||100025214|R|1-1|2|18|117|1|TR|06/05/2014|IF|06/05/2014|IF|06/10/2014 02:00 pm|ACC|||
ALBANY TWP|N||100384771|D|1-1|2|18|117|1|TR|05/23/2014|IV|05/25/2014|MA|06/02/2014 11:00 am|ACC|||
ALBANY TWP|N||100384772|D|1-1|2|18|117|1|TR|05/23/2014|IV|05/25/2014|MA|06/02/2014 11:00 am|ACC|||
ALBION|N||015900851|R|1-1|2|16|79|3|VP|05/20/2014|VP|05/20/2014|VP|05/20/2014 03:25 pm|ACC|||
ALBION|N||100162732|D|1-1|2|16|79|3|ER|05/07/2014|MV|05/22/2014|||REJ|||
ALBION|N||015901229|R|1-1|2|16|79|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 03:15 pm|ACC|||
ALFRED|N||046200210|D|1-2|1|32|21|4|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 01:53 pm|ACC|||
ALFRED|N||046200211|D|1-2|1|32|21|4|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 01:51 pm|ACC|||
ALFRED|N||052202829|D|1-2|1|32|21|4|VP|05/15/2014|VP|05/15/2014|VP|05/15/2014 10:36 am|ACC|||
ALFRED|N||048302025|D|1-1|1|32|21|4|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 08:40 am|ACC|||
ALFRED|N||046201976|R|1-1|1|32|21|4|WV|06/09/2014|IF|06/09/2014|||REJ|||
ALFRED|N||048006760|D|1-2|1|32|21|4|WV|06/04/2014|IF|06/04/2014|IF|06/05/2014 12:43 pm|ACC|||
ALFRED|N||048006761|D|1-2|1|32|21|4|WV|06/04/2014|IV|06/04/2014|DV|06/05/2014 12:41 pm|ACC|||
ALFRED|N||046202234|D|1-1|1|32|21|4|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 01:25 pm|ACC|||
ALFRED|N||046202235|D|1-1|1|32|21|4|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 01:28 pm|ACC|||
ALFRED|N||046202424|D|1-2|1|32|21|4|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 10:51 am|ACC|||
ALFRED|N||046202429|D|1-2|1|32|21|4|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 02:06 pm|ACC|||
ALFRED|N||046202507|R|1-1|1|32|21|4|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 01:45 pm|ACC|||
ALFRED|N||046202508|R|1-1|1|32|21|4|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 01:43 pm|ACC|||
ALNA|N||020100540|R|1-1|1|13|87|3|VP|06/06/2014|VP|06/06/2014|VP|06/06/2014 09:39 am|ACC|||
ALNA|N||020100541|R|1-1|1|13|87|3|VP|06/06/2014|VP|06/06/2014|VP|06/06/2014 09:38 am|ACC|||
ALNA|N||020100582|D|1-1|1|13|87|3|VP|06/06/2014|VP|06/06/2014|VP|06/06/2014 09:37 am|ACC|||
ALTON|N||025800444|D|1-1|2|4|121|3|WV|06/05/2014|IF|06/05/2014|IF|06/10/2014 08:00 am|ACC|||
ALTON|N||025800445|D|1-1|2|4|121|3|WV|06/05/2014|IF|06/05/2014|IF|06/10/2014 08:00 am|ACC|||
AMHERST|N||012400086|R|1-1|2|7|137|1|TR|06/02/2014|MV|06/04/2014|MA|06/06/2014 02:00 pm|ACC|||
AMHERST|N||012400104|R|1-1|2|7|137|1|TR|06/02/2014|VP|06/02/2014|VP|06/02/2014 04:57 pm|ACC|||
AMHERST|N||012400105|R|1-1|2|7|137|1|TR|06/02/2014|VP|06/02/2014|VP|06/02/2014 04:57 pm|ACC|||
AMHERST|N||012500098|R|1-1|2|7|137|1|VP|06/06/2014|VP|06/06/2014|VP|06/06/2014 10:30 am|ACC|||
AMHERST|N||100059251|R|1-1|2|7|137|1|TR|06/05/2014|IV|06/05/2014|MA|06/06/2014 12:00 pm|ACC|||
AMHERST|N||100022240|D|1-1|2|7|137|1|TR|05/29/2014|MV|05/29/2014|DV|06/07/2014 09:00 am|ACC|||
ANDOVER|N||022000043|R|1-1|2|18|117|2|TR|05/12/2014|MV|05/20/2014|IF|06/10/2014 03:30 pm|ACC|||
ANDOVER|N||022000068|D|1-1|2|18|117|2|WV|06/02/2014|IV|06/02/2014|DV|06/03/2014 08:48 am|ACC|||
ANDOVER|N||022000185|D|1-1|2|18|117|2|TR|06/04/2014|IV|06/09/2014|IF|06/10/2014 10:35 am|ACC|||
ANDOVER|N||022000187|D|1-1|2|18|117|2|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 10:03 am|ACC|||
ANDOVER|N||024500264|D|1-1|2|18|117|2|VP|06/09/2014|VP|06/09/2014|VP|06/09/2014 10:02 am|ACC|||
ANDOVER|N||022000499|D|1-1|2|18|117|2|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 09:44 am|ACC|||
ANDOVER|N||100232901|U|1-1|2|18|117|2|ER|06/02/2014|MV|06/02/2014|||REJ|||
ANDOVER|N||022000582|D|1-1|2|18|117|2|TR|05/12/2014|MV|05/20/2014|MA|05/27/2014 11:30 am|ACC|||
ANDOVER|N||022000624|R|1-1|2|18|117|2|WV|05/30/2014|MV|05/31/2014|||REJ|||
ANDOVER|N||022000669|D|1-1|2|18|117|2|TR|05/12/2014|MV|05/20/2014|MA|05/24/2014 10:30 am|ACC|||
ANSON|N||035001471|R|1-1|2|3|112|2|ER|06/02/2014|MV|06/02/2014|||REJ|||
ANSON|N||035001499|D|1-1|2|3|112|2|ER|06/02/2014|MV|06/02/2014|||REJ|||
ANSON|N||049503723|D|1-1|2|3|112|2|WV|06/05/2014|IV|06/05/2014|DV|06/05/2014 02:31 pm|ACC|||
ANSON|N||049503724|D|1-1|2|3|112|2|WV|06/05/2014|IF|06/05/2014|IF|06/05/2014 02:30 pm|ACC|||
ANSON|N||035001631|R|1-1|2|3|112|2|VP|06/06/2014|VP|06/06/2014|VP|06/06/2014 11:12 am|ACC|||
APPLETON|N||018300218|R|1-1|1|12|95|3|TR|06/01/2014|MV|06/01/2014|DV|06/10/2014 03:26 pm|ACC|||
APPLETON|N||018300410|R|1-1|1|12|95|3|WV|06/03/2014|IV|06/03/2014|MA|06/09/2014 11:55 am|ACC|||
APPLETON|N||018300550|D|1-1|1|12|95|3|WV|05/29/2014|IF|05/29/2014|MA|06/02/2014 11:25 am|ACC|||
APPLETON|N||018300551|D|1-1|1|12|95|3|WV|05/29/2014|IV|05/29/2014|MA|06/05/2014 10:45 am|ACC|||
ARROWSIC|N||034200176|R|1-1|1|23|53|3|WV|06/04/2014|IV|06/04/2014|IF|06/10/2014 10:00 am|ACC|||
ARROWSIC|N||034200277|D|1-1|1|23|53|3|WV|05/21/2014|IV|05/21/2014|DV|05/26/2014 06:00 pm|ACC|||
ARUNDEL|N||047000177|R|1-1|1|32|10|2|WV|06/04/2014|IV|06/04/2014|DV|06/04/2014 02:33 pm|ACC|||
ARUNDEL|N||047000178|R|1-1|1|32|10|2|WV|06/04/2014|IF|06/04/2014|IF|06/04/2014 02:34 pm|ACC|||
ARUNDEL|N||046300325|R|1-1|1|32|10|2|WV|06/03/2014|IV|06/03/2014|DV|06/04/2014 09:45 am|ACC|||
ARUNDEL|N||046300326|R|1-1|1|32|10|2|WV|06/03/2014|IF|06/03/2014|IF|06/04/2014 09:45 am|ACC|||
ARUNDEL|N||046300731|R|1-1|1|32|10|2|VP|06/06/2014|VP|06/06/2014|VP|06/06/2014 02:29 pm|ACC|||
ARUNDEL|N||052106018|R|1-1|1|32|10|2|WV|05/21/2014|IV|05/21/2014|DV|05/27/2014 02:45 pm|ACC|||
ARUNDEL|N||052106023|R|1-1|1|32|10|2|WV|05/21/2014|IF|05/21/2014|IF|05/27/2014 02:38 pm|ACC|||
ARUNDEL|N||046301258|D|1-1|1|32|10|2|WV|05/21/2014|IV|05/21/2014|DV|05/30/2014 12:31 pm|ACC|||
ARUNDEL|N||046301264|D|1-1|1|32|10|2|WV|05/21/2014|IF|05/21/2014|IF|05/30/2014 12:34 pm|ACC|||
ARUNDEL|N||012302497|D|1-1|1|32|10|2|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 11:22 am|ACC|||
ARUNDEL|N||049647008|R|1-1|1|32|10|2|VP|05/23/2014|VP|05/23/2014|VP|05/23/2014 02:32 pm|ACC|||
ARUNDEL|N||046302560|D|1-1|1|32|10|2|ER|05/12/2014|MV|05/12/2014|||REJ|||
ARUNDEL|N||046302561|D|1-1|1|32|10|2|ER|05/12/2014|MV|05/12/2014|||REJ|||
ARUNDEL|N||100220948|D|1-1|1|32|10|2|ER|06/05/2014|MV|06/06/2014|IF|06/10/2014 04:00 pm|ACC|||
ARUNDEL|N||046302731|D|1-1|1|32|10|2|WV|05/29/2014|IF|05/29/2014|IF|05/30/2014 09:54 am|ACC|||
ARUNDEL|N||046302735|D|1-1|1|32|10|2|WV|05/29/2014|IV|05/29/2014|DV|05/30/2014 09:52 am|ACC|||
ASHLAND|N||001400008|R|1-1|2|1|151|2|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 10:25 am|ACC|||
ASHLAND|N||001400500|D|1-1|2|1|151|2|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 01:22 pm|ACC|||
ASHLAND|N||100288764|R|1-1|2|1|151|2|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 03:40 pm|ACC|||
ASHLAND|N||001400591|R|1-1|2|1|151|2|WV|06/05/2014|IF|06/05/2014|IF|06/06/2014 10:15 am|ACC|||
ASHLAND|N||001400592|R|1-1|2|1|151|2|WV|06/05/2014|IV|06/05/2014|DV|06/06/2014 10:15 am|ACC|||
ASHLAND|N||001401005|R|1-1|2|1|151|2|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:30 am|ACC|||
ATHENS|N||035100733|D|1-1|2|4|118|5|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 03:10 pm|ACC|||
ATKINSON|N||031700087|R|1-1|2|4|120|2|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 01:44 pm|ACC|||
AUBURN|N||048700029|R|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||048700031|R|4-1|2|20|63|5|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:00 am|ACC|||
AUBURN|N||024300052|D|1-1|2|20|64|5|VP|05/23/2014|VP|05/23/2014|VP|05/23/2014 10:30 am|ACC|||
AUBURN|N||024600134|D|1-1|2|20|64|5|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 03:03 pm|ACC|||
AUBURN|N||048700396|D|5-1|2|20|62|5|TR|05/28/2014|MV|05/28/2014|MA|06/02/2014 11:00 am|ACC|||
AUBURN|N||000900112|D|4-1|2|20|63|5|VP|05/20/2014|VP|05/20/2014|VP|05/20/2014 10:05 am|REJ|||
AUBURN|N||000900112|D|4-1|2|20|63|5|VP|05/29/2014|VP|05/29/2014|VP|05/29/2014 01:00 pm|ACC|2||
