MUNICIPALITY|CH|DES|VOTER ID|P|W/P|CG|SS|SR|CC|REQTYPE|REQDATE|REQDEN|ISSTYPE|ISSDATE|RECTYPE|RECDATE|DUP|ACC OR REJ|REJRSN|
ABBOT|||100151705|U|1-1|2|4|119|1|VP|06/08/2017||VP|06/08/2017|VP|06/08/2017 01:45 pm||ACC||
ABBOT|||031600504|R|1-1|2|4|119|1|VP|06/06/2017||VP|06/06/2017|VP|06/06/2017 10:45 am||ACC||
ABBOT|||031600505|R|1-1|2|4|119|1|VP|06/06/2017||VP|06/06/2017|VP|06/06/2017 10:43 am||ACC||
ABBOT|||100328669|R|1-1|2|4|119|1|WV|06/06/2017||IF|06/06/2017|IF|06/08/2017 01:35 pm||ACC||
ABBOT|||031600003|R|1-1|2|4|119|1|WV|06/08/2017||IF|06/08/2017|IF|06/09/2017 09:23 am||ACC||
ABBOT||S|100309321|R|1-1|2|4|119|1|UR|10/13/2016||EL|04/28/2017||||REJ|BND|
ACTON|||046100034|R|1-1|1|34|20|1|WV|06/07/2017||MV|06/07/2017|DV|06/13/2017 01:45 pm||ACC||
ACTON|||046100037|R|1-1|1|34|20|1|WV|06/07/2017||IF|06/07/2017|IF|06/13/2017 01:50 pm||ACC||
ACTON|||046100268|R|1-1|1|34|20|1|WV|06/07/2017||IF|06/07/2017|DV|06/13/2017 01:43 pm||ACC||
ACTON||S|100552958|U|1-1|1|34|20|1|UR|02/26/2016||EL|04/28/2017||||REJ|BND|
ACTON|||046100375|U|1-1|1|34|20|1|WV|06/08/2017||IF|06/08/2017|IF|06/09/2017 11:27 am||ACC||
ACTON|||046100378|U|1-1|1|34|20|1|WV|06/08/2017||IV|06/08/2017|DV|06/09/2017 11:00 am||ACC||
ACTON|||100064848|U|1-1|1|34|20|1|WV|05/17/2017||IV|05/17/2017|DV|05/23/2017 01:00 pm||ACC||
ACTON|||046100588|D|1-1|1|34|20|1|WV|05/31/2017||MV|05/31/2017|MA|06/06/2017 03:10 pm||ACC||
ACTON||O|100592726|R|1-1|1|34|20|1|UR|10/21/2016||EL|04/28/2017||||REJ|BND|
ACTON|||100061093|G|1-1|1|34|20|1|WV|06/06/2017||IF|06/06/2017|IF|06/09/2017 11:29 am||ACC||
ACTON|||046101081|D|1-1|1|34|20|1|WV|05/31/2017||MV|05/31/2017|MA|06/06/2017 03:10 pm||ACC||
ACTON|||100661322|G|1-1|1|34|20|1|WV|06/06/2017||IF|06/06/2017|IF|06/07/2017 11:30 am||ACC||
ACTON|||046101328|D|1-1|1|34|20|1|WV|06/06/2017||IF|06/06/2017|DV|06/07/2017 11:30 am||ACC||
ACTON|||046101331|U|1-1|1|34|20|1|WV|06/06/2017||IF|06/06/2017|IF|06/07/2017 11:30 am||ACC||
ACTON|||100217784|R|1-1|1|34|20|1|WV|06/06/2017||IF|06/06/2017|IF|06/07/2017 11:30 am||ACC||
ACTON|||100064847|D|1-1|1|34|20|1|WV|05/17/2017||IV|05/17/2017|DV|05/23/2017 01:00 pm||ACC||
ACTON|||048509733|R|1-1|1|34|20|1|VP|06/06/2017||VP|06/06/2017|VP|06/06/2017 03:04 pm||ACC||
ACTON|||046102054|U|1-1|1|34|20|1|WV|05/31/2017||IF|05/31/2017|IF|06/06/2017 01:45 pm||ACC||
ACTON|||052213317|D|1-1|1|34|20|1|VP|05/31/2017||VP|05/31/2017|VP|05/31/2017 03:17 pm||ACC||
ADDISON||O|040900815|D|1-1|2|6|138|3|UR|10/03/2016||EL|04/28/2017||||REJ|BND|
ALBANY TWP||O|100170394|D|1-1|2|18|117|1|UR|09/06/2016||EL|04/28/2017||||REJ|BND|
ALBANY TWP||O|025100284|D|1-1|2|18|117|1|UR|10/07/2016||MV|04/28/2017||||REJ|BND|
ALEXANDER||O|100372010|U|1-1|2|6|141|1|UR|09/20/2016||EL|04/28/2017||||REJ|BND|
ALEXANDER||O|100416873|D|1-1|2|6|141|1|UR|09/27/2016||EL|04/28/2017||||REJ|BND|
ALEXANDER||O|041000327|U|1-1|2|6|141|1|UR|09/28/2016||EL|04/28/2017||||REJ|BND|
ALFRED||S|046201365|D|1-2|1|32|21|4|UR|10/12/2016||MV|04/28/2017||||REJ|BND|
ALFRED||O|046200231|D|1-1|1|32|21|4|UR|08/10/2016||MV|04/28/2017||||REJ|BND|
ALFRED|||100062841|U|1-1|1|32|21|4|VP|06/08/2017||VP|06/08/2017|VP|06/08/2017 09:29 am||ACC||
ALFRED|||100062839|D|1-1|1|32|21|4|VP|06/08/2017||VP|06/08/2017|VP|06/08/2017 09:33 am||ACC||
ALFRED||O|046200611|G|1-1|1|32|21|4|UR|10/09/2016||EL|04/28/2017||||REJ|BND|
ALFRED|||046200654|R|1-1|1|32|21|4|VP|06/05/2017||VP|06/05/2017|VP|06/05/2017 01:13 pm||ACC||
ALFRED|||046200667|D|1-1|1|32|21|4|WV|06/05/2017||IF|06/05/2017|DV|06/08/2017 01:58 pm||ACC||
ALFRED|||046200668|D|1-1|1|32|21|4|WV|06/05/2017||IV|06/05/2017|DV|06/08/2017 01:57 pm||ACC||
ALFRED||S|049903175|D|1-1|1|32|21|4|UR|06/27/2016||EL|04/28/2017|MA|05/15/2017 08:00 am||ACC||
ALFRED||S|100581752|U|1-1|1|32|21|4|UR|09/30/2016||EL|04/28/2017||||REJ|BND|
ALFRED||O|100588237|D|1-1|1|32|21|4|UR|10/17/2016||EL|04/28/2017||||REJ|BND|
ALFRED|||046200953|R|1-1|1|32|21|4|VP|06/08/2017||VP|06/08/2017|VP|06/08/2017 12:57 pm||ACC||
ALFRED|||046200955|R|1-1|1|32|21|4|VP|06/08/2017||VP|06/08/2017|VP|06/08/2017 12:53 pm||ACC||
ALFRED|||046201224|R|1-1|1|32|21|4|TR|05/25/2017||MV|05/25/2017|IF|06/13/2017 12:11 pm||ACC||
ALFRED|||048302025|U|1-1|1|32|21|4|WV|06/07/2017||IV|06/07/2017|MA|06/12/2017 01:01 pm||ACC||
ALFRED|||100437014|U|1-2|1|32|21|4|WV|06/07/2017||IV|06/07/2017|MA|06/12/2017 01:09 pm||ACC||
ALFRED||O|046201367|D|1-2|1|32|21|4|UR|02/26/2016||EL|04/28/2017||||REJ|BND|
ALFRED||S|100132346|R|1-1|1|32|21|4|UR|04/06/2016||EL|04/28/2017||||REJ|BND|
ALFRED||O|100607122|U|1-1|1|32|21|4|UR|11/08/2016||EL|04/28/2017||||REJ|BND|
ALFRED||O|046201552|D|1-2|1|32|21|4|UR|11/04/2016||EL|04/28/2017||||REJ|BND|
ALFRED||O|100043088|R|1-1|1|32|21|4|UR|10/03/2016||EL|04/28/2017||||REJ|BND|
ALFRED||S|100316462|U|1-1|1|32|21|4|UR|10/15/2016||EL|04/28/2017||||REJ|BND|
ALFRED|||100292642|R|1-1|1|32|21|4|WV|05/31/2017||IF|05/31/2017||||REJ|BND|
ALFRED|||046202143|R|1-1|1|32|21|4|WV|05/31/2017||IF|05/31/2017||||REJ|BND|
ALFRED|||046202144|R|1-1|1|32|21|4|WV|05/31/2017||IF|05/31/2017||||REJ|BND|
ALLAGASH||S|001200152|D|1-1|2|1|151|3|UR|10/08/2016||EL|04/28/2017||||REJ|BND|
ALNA||O|100423646|U|1-1|1|13|87|3|UR|10/12/2016||MV|04/28/2017||||REJ|BND|
ALNA||O|100562950|D|1-1|1|13|87|3|UR|10/26/2016||EL|04/28/2017||||REJ|BND|
ALNA||O|100116497|R|1-1|1|13|87|3|UR|10/31/2016||EL|04/28/2017||||REJ|BND|
ALNA||O|020100330|U|1-1|1|13|87|3|UR|10/05/2016||EL|04/28/2017||||REJ|BND|
ALNA||O|100082418|U|1-1|1|13|87|3|UR|09/24/2016||EL|04/28/2017||||REJ|BND|
ALNA||O|008704282|D|1-1|1|13|87|3|UR|10/05/2016||EL|04/28/2017||||REJ|BND|
ALNA||O|020100418|U|1-1|1|13|87|3|UR|10/14/2016||EL|04/28/2017||||REJ|BND|
ALNA||O|020100458|U|1-1|1|13|87|3|UR|10/03/2016||EL|04/28/2017||||REJ|BND|
ALNA||O|020602081|G|1-1|1|13|87|3|UR|10/12/2016||EL|04/28/2017||||REJ|BND|
ALTON||S|100573412|G|1-1|2|4|121|3|UR|09/02/2016||EL|04/28/2017||||REJ|BND|
ALTON||S|100326859|D|1-1|2|4|121|3|UR|09/11/2016||MV|04/28/2017||||REJ|BND|
ALTON|||025800443|D|1-1|2|4|121|3|WV|06/06/2017||IF|06/06/2017|IF|06/13/2017 03:45 pm||ACC||
ALTON|||025800444|D|1-1|2|4|121|3|WV|06/06/2017||IF|06/06/2017|IF|06/13/2017 03:45 pm||ACC||
ALTON|||025800445|D|1-1|2|4|121|3|WV|06/06/2017||IF|06/06/2017|IF|06/13/2017 03:45 pm||ACC||
ALTON||S|100326855|U|1-1|2|4|121|3|UR|09/27/2016||MV|04/28/2017||||REJ|BND|
AMHERST||S|100042427|D|1-1|2|7|137|1|UR|10/17/2016||MV|04/28/2017||||REJ|BND|
AMHERST||O|051106336|U|1-1|2|7|137|1|UR|09/25/2016||EL|04/28/2017||||REJ|BND|
ANDOVER|||022000037|R|1-1|2|18|117|2|WV|06/12/2017||IF|06/12/2017|IF|06/13/2017 09:30 am||ACC||
ANDOVER|||022000042|R|1-1|2|18|117|2|WV|06/12/2017||IF|06/12/2017|IF|06/13/2017 09:30 am||ACC||
ANDOVER|||022000110|U|1-1|2|18|117|2|VP|06/07/2017||VP|06/07/2017|VP|06/07/2017 01:34 pm||ACC||
ANDOVER|||022000111|R|1-1|2|18|117|2|VP|06/07/2017||VP|06/07/2017|VP|06/07/2017 01:34 pm||ACC||
ANDOVER||O|100579235|U|1-1|2|18|117|2|UR|09/28/2016||EL|04/28/2017||||REJ|BND|
ANDOVER||S|100426019|R|1-1|2|18|117|2|UR|10/04/2016||EL|04/28/2017||||REJ|BND|
ANDOVER|||100071951|U|1-1|2|18|117|2|WV|05/31/2017||MV|06/02/2017||||REJ|OTH|
ANDOVER|||100597465|D|1-1|2|18|117|2|WV|05/31/2017||MV|06/02/2017|MA|06/12/2017 12:05 pm||ACC||
ANDOVER|||022000514|D|1-1|2|18|117|2|WV|05/30/2017||MV|06/02/2017|MA|06/07/2017 02:45 pm||ACC||
ANDOVER|||022000515|D|1-1|2|18|117|2|WV|05/30/2017||MV|06/02/2017|MA|06/07/2017 02:45 pm||ACC||
ANDOVER||O|022000540|D|1-1|2|18|117|2|UR|10/18/2016||EL|04/28/2017||||REJ|BND|
ANDOVER|||022000548|U|1-1|2|18|117|2|WV|06/07/2017||IV|06/07/2017|DV|06/07/2017 01:41 pm||ACC||
ANDOVER||O|100106820|U|1-1|2|18|117|2|UR|10/14/2016||EL|04/28/2017||||REJ|BND|
ANDOVER|||022000615|R|1-1|2|18|117|2|VP|06/07/2017||VP|06/07/2017|VP|06/07/2017 12:10 pm||ACC||
ANDOVER|||022000669|D|1-1|2|18|117|2|WV|05/22/2017||MV|06/02/2017|MA|06/12/2017 12:04 pm||ACC||
ANSON||O|051001352|D|1-1|2|3|112|2|UR|10/20/2016||EL|04/28/2017||||REJ|BND|
ANSON||S|100588180|R|1-1|2|3|112|2|UR|10/17/2016||EL|04/28/2017||||REJ|BND|
ANSON||O|100328180|D|1-1|2|3|112|2|UR|09/18/2016||EL|04/28/2017||||REJ|BND|
ANSON||O|035000624|U|1-1|2|3|112|2|UR|09/01/2016||EL|04/28/2017||||REJ|BND|
ANSON||S|100080349|R|1-1|2|3|112|2|UR|10/10/2016||MV|04/28/2017||||REJ|BND|
ANSON||S|100306402|U|1-1|2|3|112|2|UR|10/28/2016||EL|04/28/2017||||REJ|BND|
ANSON||O|035001646|U|1-1|2|3|112|2|UR|09/03/2016||EL|04/28/2017||||REJ|BND|
APPLETON||O|018300054|D|1-1|1|12|95|3|UR|10/18/2016||EL|04/28/2017||||REJ|BND|
APPLETON|||018300069|R|1-1|1|12|95|3|WV|06/08/2017||IV|06/08/2017|DV|06/12/2017 11:10 am||ACC||
APPLETON|||018300072|R|1-1|1|12|95|3|WV|06/08/2017||IF|06/08/2017|IF|06/12/2017 11:10 am||ACC||
APPLETON|||100199701|D|1-1|1|12|95|3|WV|06/05/2017||IV|06/05/2017|MA|06/09/2017 11:15 am||ACC||
APPLETON|||100199680|D|1-1|1|12|95|3|WV|06/05/2017||IF|06/05/2017|MA|06/09/2017 11:15 am||ACC||
APPLETON||O|018300252|D|1-1|1|12|95|3|UR|09/14/2016||EL|04/28/2017||||REJ|BND|
APPLETON||O|018300382|D|1-1|1|12|95|3|UR|09/06/2016||EL|04/28/2017||||REJ|BND|
