MUNICIPALITY|CH|DES|VOTER ID|P|W/P|CG|SS|SR|CC|REQTYPE|REQDATE|REQDEN|ISSTYPE|ISSDATE|RECTYPE|RECDATE|DUP|ACC OR REJ|REJRSN|
ABBOT|||100490388|D|1-1|2|4|119|1|VP|10/11/2019||VP|10/11/2019|VP|10/11/2019 11:00 am||ACC||
ABBOT||O|100712339|D|1-1|2|4|119|1|UR|10/28/2018||EL|09/19/2019||||||
ABBOT|||100217676|R|1-1|2|4|119|1|ER|10/15/2019||MV|10/15/2019|DV|10/22/2019 04:39 pm||ACC||
ABBOT|||100328664|R|1-1|2|4|119|1|ER|10/15/2019||MV|10/15/2019|DV|10/22/2019 04:38 pm||ACC||
ABBOT|||031600132|D|1-1|2|4|119|1|VP|10/18/2019||VP|10/18/2019|VP|10/18/2019 01:09 pm||ACC||
ABBOT|||031600129|D|1-1|2|4|119|1|VP|10/18/2019||VP|10/18/2019|VP|10/18/2019 01:10 pm||ACC||
ABBOT||S|100309321|R|1-1|2|4|119|1|UR|10/30/2018||EL|09/19/2019||||||
ABBOT||S|031600333|R|1-1|2|4|119|1|UR|10/12/2018||MV|09/20/2019||||||
ABBOT||S|100701982|D|1-1|2|4|119|1|UR|09/10/2018||MV|09/20/2019||||||
ABBOT|||031600126|D|1-1|2|4|119|1|TR|10/31/2019||MV|10/31/2019|DV|10/31/2019 12:28 pm||ACC||
ACTON|||046100034|R|1-1|1|34|20|1|WV|10/22/2019||IF|10/22/2019|IF|10/29/2019 10:32 am||ACC||
ACTON|||046100037|R|1-1|1|34|20|1|WV|10/22/2019||IV|10/22/2019|DV|10/29/2019 10:32 am||ACC||
ACTON|||052200400|U|1-1|1|34|20|1|WV|10/25/2019||IV|10/25/2019|MA|10/30/2019 03:30 pm||ACC||
ACTON|||100466386|D|1-1|1|34|20|1|VP|10/22/2019||VP|10/22/2019|VP|10/22/2019 03:27 pm||ACC||
ACTON|||046100373|R|1-1|1|34|20|1|WV|10/31/2019||IV|10/31/2019|DV|11/05/2019 08:00 am||ACC||
ACTON||S|100596430|R|1-1|1|34|20|1|UR|06/05/2018||EL|09/19/2019||||||
ACTON||S|100596428|R|1-1|1|34|20|1|UR|06/05/2018||EL|09/19/2019||||||
ACTON|||052206507|D|1-1|1|34|20|1|ER|10/18/2019||MV|10/22/2019||||||
ACTON|||052206511|U|1-1|1|34|20|1|ER|10/18/2019||MV|10/22/2019||||||
ACTON|||050407699|D|1-1|1|34|20|1|WV|10/22/2019||IV|10/22/2019|DV|11/01/2019 10:24 am||ACC||
ACTON|||050407722|D|1-1|1|34|20|1|WV|10/22/2019||IF|10/22/2019|IF|11/01/2019 10:24 am||ACC||
ACTON|||051907952|R|1-1|1|34|20|1|VP|10/18/2019||VP|10/18/2019|VP|10/18/2019 01:42 pm||ACC||
ACTON|||046101135|D|1-1|1|34|20|1|ER|10/11/2019||MV|10/12/2019|MA|10/29/2019 01:00 pm||ACC||
ACTON|||100021114|D|1-1|1|34|20|1|ER|10/11/2019||MV|10/12/2019|MA|10/29/2019 01:00 pm||ACC||
ACTON|||100173364|R|1-1|1|34|20|1|TR|10/25/2019||MV|10/25/2019|IF|11/05/2019 01:50 pm||ACC||
ACTON|||046101579|U|1-1|1|34|20|1|ER|10/07/2019||MV|10/11/2019||||||
ACTON|||046101707|R|1-1|1|34|20|1|VP|10/30/2019||VP|10/30/2019|VP|10/30/2019 09:09 am||ACC||
ACTON|||046102096|U|1-1|1|34|20|1|WV|10/22/2019||IF|10/22/2019|DV|10/31/2019 04:45 pm||ACC||
ADDISON|||040900091|D|1-1|2|6|138|3|WV|10/09/2019||IV|10/09/2019|IF|10/11/2019 02:15 pm||ACC||
ADDISON|||100003219|D|1-1|2|6|138|3|WV|10/09/2019||IF|10/09/2019|DV|10/11/2019 02:15 pm||ACC||
ADDISON|||100152009|R|1-1|2|6|138|3|WV|10/25/2019||IV|10/25/2019|DV|10/28/2019 09:54 am||ACC||
ADDISON|||100152011|G|1-1|2|6|138|3|WV|10/25/2019||IV|10/25/2019|IF|10/28/2019 09:54 am||ACC||
ADDISON|||100654993|U|1-1|2|6|138|3|ER|10/25/2019||MV|10/29/2019||||||
ADDISON|||040900574|U|1-1|2|6|138|3|WV|10/30/2019||IV|10/30/2019|IF|11/01/2019 03:32 pm||ACC||
ADDISON|||040900575|U|1-1|2|6|138|3|WV|10/30/2019||IF|10/30/2019|DV|11/01/2019 03:32 pm||ACC||
ADDISON|||040900577|D|1-1|2|6|138|3|ER|10/21/2019||MV|10/22/2019|MA|11/01/2019 08:52 am||ACC||
ADDISON|||100744039|U|1-1|2|6|138|3|TR|10/29/2019||MV|10/29/2019|MA|11/04/2019 12:40 pm||REJ|ENS|
