MUNICIPALITY|CH|DES|VOTER ID|P|W/P|CG|SS|SR|CC|REQTYPE|REQDATE|REQDEN|ISSTYPE|ISSDATE|RECTYPE|RECDATE|DUP|ACC OR REJ|REJRSN|
ABBOT|||100217676|R|1-1|2|4|119|1|VP|06/09/2016||VP|06/09/2016|VP|06/09/2016 10:07 am||ACC||
ABBOT|||100555258|D|1-1|2|4|119|1|WV|05/12/2016||MV|05/12/2016|MA|05/24/2016 10:45 am||ACC||
ACTON|||046100076|R|1-1|1|34|20|1|VP|06/03/2016||VP|06/03/2016|VP|06/03/2016 12:35 pm||ACC||
ACTON|||046101242|D|1-1|1|34|20|1|WV|06/07/2016||IF|06/07/2016|MA|06/11/2016 09:00 am||ACC||
ACTON|||046100086|D|1-1|1|34|20|1|WV|06/07/2016||IV|06/07/2016|MA|06/11/2016 09:00 am||ACC||
ACTON|||100068827|D|1-1|1|34|20|1|WV|05/25/2016||IV|05/25/2016|DV|05/26/2016 12:04 pm||ACC||
ACTON|||100068828|D|1-1|1|34|20|1|WV|05/25/2016||IF|05/25/2016|DV|05/27/2016 12:06 pm||ACC||
ACTON|||046100268|R|1-1|1|34|20|1|WV|06/03/2016||IF|06/03/2016|MA|06/11/2016 09:15 am||ACC||
ACTON|||046100429|R|1-1|1|34|20|1|ER|05/19/2016||MV|05/19/2016|DV|06/03/2016 12:49 pm||ACC||
ACTON|||046100553|D|1-1|1|34|20|1|WV|05/20/2016||IV|05/20/2016|DV|06/11/2016 09:00 am||ACC||
ACTON|||100160781|D|1-1|1|34|20|1|WV|05/20/2016||IF|05/20/2016|IF|06/11/2016 09:00 am||ACC||
ACTON|||046100588|D|1-1|1|34|20|1|ER|05/19/2016||MV|05/19/2016|MA|05/26/2016 02:01 pm||ACC||
ACTON|||046100636|D|1-1|1|34|20|1|WV|05/24/2016||IV|05/24/2016|MA|06/06/2016 12:34 pm||ACC||
ACTON|||100157383|R|1-1|1|34|20|1|VP|06/03/2016||VP|06/03/2016|VP|06/03/2016 03:41 pm||ACC||
ACTON|||046101081|D|1-1|1|34|20|1|VP|05/25/2016||VP|05/25/2016|VP|05/25/2016 02:25 pm||ACC||
ACTON|||046101087|D|1-1|1|34|20|1|WP|06/08/2016||IP|06/08/2016|TP|06/09/2016 02:00 pm||ACC||
ACTON|||046101088|D|1-1|1|34|20|1|WP|06/08/2016||IP|06/08/2016|TP|06/09/2016 02:00 pm||ACC||
ACTON|||046101212|D|1-1|1|34|20|1|VP|05/31/2016||VP|05/31/2016|VP|05/31/2016 01:23 pm||ACC||
ACTON|||046101328|D|1-1|1|34|20|1|VP|05/19/2016||VP|05/19/2016|VP|05/19/2016 05:30 pm||ACC||
ACTON|||100185968|D|1-1|1|34|20|1|ER|06/02/2016||MV|06/06/2016|IF|06/14/2016 08:00 am||ACC||
ACTON|||046101464|R|1-1|1|34|20|1|WV|05/31/2016||IF|05/31/2016|IF|06/03/2016 12:35 pm||ACC||
ACTON|||046101465|R|1-1|1|34|20|1|WV|05/31/2016||IV|05/31/2016|DV|06/03/2016 12:36 pm||ACC||
ACTON|||049639100|D|1-1|1|34|20|1|WV|06/07/2016||IV|06/07/2016|MA|06/11/2016 09:00 am||ACC||
ACTON|||046101988|R|1-1|1|34|20|1|WV|05/20/2016||IF|05/20/2016|MA|05/24/2016 02:30 pm||ACC||
ACTON|||046101992|R|1-1|1|34|20|1|WV|05/20/2016||IV|05/20/2016|MA|05/24/2016 02:30 pm||ACC||
ACTON|||052213317|D|1-1|1|34|20|1|VP|06/07/2016||VP|06/07/2016|VP|06/07/2016 10:11 am||ACC||
ADDISON|||100152009|R|1-1|2|6|138|3|WV|06/08/2016||IV|06/08/2016|DV|06/10/2016 10:55 am||ACC||
ADDISON|||040900323|R|1-1|2|6|138|3|WV|06/02/2016||IV|06/02/2016|MA|06/06/2016 11:02 am||ACC||
ADDISON|||040900577|D|1-1|2|6|138|3|TR|06/08/2016||MV|06/08/2016|MA|06/13/2016 11:00 am||ACC||
ADDISON|||040900822|R|1-1|2|6|138|3|WV|06/13/2016||IF|06/13/2016|IF|06/14/2016 08:15 am||ACC||
ALBION|||100200184|R|1-1|2|16|79|3|ER|05/25/2016||MV|06/03/2016|MA|06/09/2016 12:50 pm||ACC||
ALBION|||015901157|R|1-1|2|16|79|3|ER|05/24/2016||MV|06/03/2016|MA|06/09/2016 12:50 pm||ACC||
ALFRED||O|046201367|D|1-2|1|32|21|4|UR|02/26/2016||EL|04/29/2016||||REJ|BND|
ALFRED||S|100132346|R|1-1|1|32|21|4|UR|04/06/2016||EL|04/29/2016||||REJ|BND|
ALFRED|||047401065|D|1-2|1|32|21|4|VP|06/13/2016||VP|06/13/2016|VP|06/13/2016 12:27 pm||ACC||
ALFRED|||046202075|R|1-2|1|32|21|4|VP|06/08/2016||VP|06/08/2016|VP|06/08/2016 10:20 am||ACC||
ALFRED|||046202084|R|1-2|1|32|21|4|VP|06/08/2016||VP|06/08/2016|VP|06/08/2016 10:13 am||ACC||
ALFRED|||046202424|D|1-2|1|32|21|4|VP|05/26/2016||VP|05/26/2016|VP|05/26/2016 02:21 pm||ACC||
ALTON|||025800443|D|1-1|2|4|121|3|WV|06/02/2016||IF|06/02/2016|IF|06/14/2016 02:46 pm||ACC||
ALTON|||025800444|D|1-1|2|4|121|3|WV|06/02/2016||IF|06/02/2016|IF|06/14/2016 02:46 pm||ACC||
ALTON|||025800445|D|1-1|2|4|121|3|WV|06/02/2016||IF|06/02/2016|IF|06/14/2016 02:46 pm||ACC||
ANDOVER|||022000068|D|1-1|2|18|117|2|WV|06/09/2016||IV|06/09/2016|DV|06/11/2016 10:00 am||ACC||
ANDOVER|||022000139|R|1-1|2|18|117|2|WV|06/09/2016||IF|06/09/2016|IF|06/13/2016 11:51 am||ACC||
ANDOVER|||100232901|D|1-1|2|18|117|2|VP|06/04/2016||VP|06/04/2016|VP|06/04/2016 10:28 am||ACC||
ANDOVER|||100049187|D|1-1|2|18|117|2|WV|06/04/2016||IF|06/04/2016||||REJ|BND|
ANDOVER|||022000530|R|1-1|2|18|117|2|VP|06/08/2016||VP|06/08/2016|VP|06/08/2016 11:05 am||ACC||
ANDOVER|||022000669|D|1-1|2|18|117|2|TR|06/06/2016||MV|06/06/2016|MA|06/11/2016 12:30 pm||ACC||
ANSON|||035001631|R|1-1|2|3|112|2|VP|05/27/2016||VP|05/27/2016|VP|05/27/2016 01:08 pm||ACC||
ANSON|||036603313|D|1-1|2|3|112|2|WV|05/24/2016||IF|05/24/2016|IF|05/26/2016 09:50 am||ACC||
ANSON|||036603314|R|1-1|2|3|112|2|VP|05/24/2016||VP|05/24/2016|VP|05/24/2016 08:50 am||ACC||
ANSON|||035000722|D|1-1|2|3|112|2|VP|06/08/2016||VP|06/08/2016|VP|06/08/2016 10:17 am||ACC||
APPLETON|||100076225|D|1-1|1|12|95|3|WV|06/03/2016||IF|06/03/2016|MA|06/09/2016 11:15 am||ACC||
APPLETON|||018300580|D|1-1|1|12|95|3|VP|06/09/2016||VP|06/09/2016|VP|06/09/2016 01:23 pm||ACC||
APPLETON|||018300800|R|1-1|1|12|95|3|WV|05/26/2016||MV|05/26/2016|MA|06/06/2016 11:40 am||ACC||
APPLETON|||018300802|R|1-1|1|12|95|3|WV|05/26/2016||MV|05/26/2016|MA|06/06/2016 11:40 am||ACC||
APPLETON|||100314935|D|1-1|1|12|95|3|WV|05/17/2016||MV|05/17/2016|MA|06/07/2016 10:30 am||ACC||
APPLETON|||100314936|D|1-1|1|12|95|3|WV|05/17/2016||MV|05/17/2016|MA|06/07/2016 10:30 am||ACC||
ARROWSIC|||100160132|D|1-1|1|23|53|3|VP|06/03/2016||VP|06/03/2016|VP|06/03/2016 10:12 am||ACC||
ARROWSIC|||034200034|R|1-1|1|23|53|3|VP|06/08/2016||VP|06/08/2016|VP|06/08/2016 05:11 pm||ACC||
ARROWSIC|||034200035|R|1-1|1|23|53|3|VP|06/08/2016||VP|06/08/2016|VP|06/08/2016 05:12 pm||ACC||
ARROWSIC||S|034200056|R|1-1|1|23|53|3|UR|02/08/2016||EL|04/29/2016||||REJ|BND|
ARROWSIC|||034200089|R|1-1|1|23|53|3|WV|06/03/2016||MV|06/03/2016||||REJ|BND|
ARROWSIC|||034200090|R|1-1|1|23|53|3|WV|06/03/2016||MV|06/03/2016|MA|06/15/2016 03:30 pm||REJ|RAD|
ARROWSIC|||100112309|D|1-1|1|23|53|3|TR|06/03/2016||MV|06/03/2016|MA|06/10/2016 12:16 pm||ACC||
ARROWSIC|||100112295|D|1-1|1|23|53|3|TR|06/03/2016||MV|06/03/2016|MA|06/10/2016 12:18 pm||ACC||
ARROWSIC|||034200188|D|1-1|1|23|53|3|VP|06/10/2016||VP|06/10/2016|VP|06/10/2016 12:15 pm||ACC||
ARROWSIC|||034200204|D|1-1|1|23|53|3|WV|05/18/2016||IV|05/18/2016|MA|05/30/2016 10:30 am||ACC||
ARROWSIC|||034200206|D|1-1|1|23|53|3|WV|05/18/2016||IF|05/18/2016|MA|05/30/2016 10:30 am||ACC||
ARROWSIC|||034200218|D|1-1|1|23|53|3|VP|06/01/2016||VP|06/01/2016|VP|06/01/2016 05:32 pm||ACC||
ARROWSIC|||100024889|D|1-1|1|23|53|3|ER|05/18/2016||MV|05/18/2016|MA|06/08/2016 05:16 pm||ACC||
ARROWSIC|||100028572|D|1-1|1|23|53|3|WV|06/03/2016||IF|06/03/2016|DV|06/14/2016 04:43 pm||ACC||
ARROWSIC|||034200265|D|1-1|1|23|53|3|ER|05/20/2016||MV|05/20/2016|MA|06/08/2016 05:09 pm||ACC||
ARROWSIC|||034200277|D|1-1|1|23|53|3|VP|06/08/2016||VP|06/08/2016|VP|06/08/2016 05:13 pm||ACC||
