"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_STUSAB","total_pop","pop_ppsm","area_miles","gini_index","male_pct","female_pct","age18underpct","age18to24pct","age25to34pct","age35to44pct","age45to54pct","age55to64pct","age65to74pct","age75to84pct","age85over_pct","white_pct","black_pct","asianpi_pct","hispanic_pct","other_pct","less_than_hs_pct","high_school_pct","some_college_pct","college_degree_pct","masters_degree_pct","prof_degree_pct","phd_degree_pct","pop3over","school_enrolled","school_not_enrolled","households","pop_under25k","pop25k_49k","pop50k_74k","pop75k_99k","pop100kover","median_income","pov_denom","pov_under2q","pov2q_3q","pov3q_4q","pov4q_6q","pov6q_8q","pov_over8q","school_enrolled_pct","income_under25kpct","income25k_49kpct","pop50k_74kpct","pop75k_99kpct","pop100koverpct","pov_below_line","pov_1_2overline","pov_doubleline","county","cntyname2","pop10","afact","metro_type","duncan_index"
"45025","05000US45025","Chesterfield County","Chesterfield County, South Carolina","sc",46024,57.60528,798.9545465,0.4481,49.19607161,50.80392839,11.69824439,8.515122545,11.32018078,11.95245959,14.56631323,13.9253433,10.7791587,4.888753694,1.562228403,60.55318964,32.34616722,0.558404311,4.23040153,13.08665044,23.85211312,40.43899981,25.61881968,6.670025824,2.541412106,0.598349814,0.28027965,44360,10193,34167,17977,5922,4730,3625,1724,1976,40033,45400,3756,3319,3157,6240,5404,23524,22.977908025248,32.9420926739723,26.3113978973132,20.1646548367358,9.5900317071814,10.9918228847972,22.5374449339207,25.647577092511,51.8149779735683,NA,"Chesterfield SC",46734,1,"Noncore",0.276188182284227
"45027","05000US45027","Clarendon County","Clarendon County, South Carolina","sc",34017,56.04486,606.9601805,0.4848,49.21068877,50.78931123,10.01264074,9.33356851,11.15912632,10.11259076,12.71717083,14.96604639,13.30511215,6.658435488,1.904929888,47.52917659,48.76385337,0.088191199,3.045536056,7.566804833,20.20587747,37.34019592,26.95500581,9.874647186,4.408102275,0.47318612,0.742985223,33072,6815,26257,13327,4712,3580,2253,1198,1584,37525,32498,2975,2648,1986,4080,4023,16786,20.6065553942912,35.3567944773768,26.8627598109102,16.9055301268102,8.98926990320402,11.8856456816988,23.4137485383716,24.9338420825897,51.6524093790387,NA,"Clarendon SC",34971,1,"Noncore",0.36369080464007
"45029","05000US45029","Colleton County","Colleton County, South Carolina","sc",37568,35.55959,1056.480225,0.4535,47.80132027,52.19867973,11.4246167,7.895017036,11.44591141,11.45389693,13.00574957,14.36594974,11.67749148,5.201235094,2.361051959,56.50553663,38.35977428,0.657474446,3.159603918,8.941120102,13.34533201,44.09512139,27.322509,9.772535805,4.296545914,1.02244007,0.145515815,36344,8299,28045,15145,4471,5539,2199,1313,1623,36276,36774,2270,1986,3523,6604,4161,18230,22.8345806735637,29.5212941564873,36.5731264443711,14.5196434466821,8.66952789699571,10.7164080554638,21.1535323870126,29.2733996845597,49.5730679284277,NA,"Colleton SC",38892,1,"Noncore",0.331299896919263
"45031","05000US45031","Darlington County","Darlington County, South Carolina","sc",67253,119.9583,560.6366176,0.4789,47.12503531,52.87496469,11.43294723,8.826372058,11.50283259,11.73033173,13.26483577,14.30568153,10.82628284,5.065945014,1.81999316,54.86892778,40.70153004,0.474328283,1.989502327,7.517880243,17.94960828,35.38705267,29.49065735,11.03973611,4.32952104,0.635864494,1.16756006,64937,15657,49280,26592,9239,7341,4023,2519,3470,36254,65651,6282,4087,4290,7893,9240,33859,24.1110614903676,34.74353188929,27.6060469314079,15.1286101083033,9.47277376654633,13.0490373044525,22.3286774001919,26.0970891532498,51.5742334465583,NA,"Darlington SC",68681,1,"Small Metro",0.362736933710746
"45033","05000US45033","Dillon County","Dillon County, South Carolina","sc",30871,76.21245,405.0650428,0.5054,47.18668006,52.81331994,13.27783357,8.357358038,12.84700852,11.38609051,12.65265136,13.49162645,9.199572414,4.658093356,1.697385896,45.78406919,48.08396229,0.268860743,2.724239578,12.9668621,25.11054338,38.37574924,25.36602142,7.158298123,2.854475779,0.525695195,0.609216862,29871,7746,22125,10968,4620,2925,1547,850,1026,29362,30441,4301,2102,3885,3915,4312,11926,25.9315054735362,42.1225382932166,26.6684901531729,14.1046681254559,7.74981765134938,9.35448577680525,33.7965244242962,27.0260503925627,39.1774251831412,NA,"Dillon SC",32062,1,"Noncore",0.393513594225875
"45035","05000US45035","Dorchester County","Dorchester County, South Carolina","sc",155474,273.4359,568.5939055,0.4268,48.64800545,51.35199455,12.64520113,8.243822118,13.9708247,13.58683767,13.9251579,12.26957562,8.466367367,3.423723581,1.202773454,64.40691048,25.37530391,1.998404878,5.182216962,16.55517964,9.88963407,27.71560807,34.47419824,18.30419429,7.871871602,0.956440578,0.788053153,150200,41136,109064,54549,10088,11559,10855,8063,13984,61698,153098,8718,4563,5465,11170,14431,108751,27.387483355526,18.4934645914682,21.1901226420283,19.8995398632422,14.7812058882839,25.6356670149774,12.2444447347451,16.7219689349306,71.0335863303244,NA,"Dorchester SC",136555,1,"Small Metro",0.269048446058295
"45037","05000US45037","Edgefield County","Edgefield County, South Carolina","sc",26769,53.4567,500.7604607,0.4785,53.6553476,46.3446524,9.230826703,8.535993126,12.37999178,13.30643655,14.51305615,14.95386454,10.91934701,5.237401472,1.658634988,56.49445254,36.50117673,0.377302103,5.823900781,13.81075124,17.58562433,37.12691343,27.48169764,10.74079762,4.750934316,0.870322019,1.443710644,26360,5678,20682,9063,2420,2171,1388,895,2189,49200,24217,1817,783,1162,3034,2177,15244,21.5402124430956,26.7019750634448,23.9545404391482,15.3150171025047,9.8753172238773,24.153150171025,15.534541850766,21.5179419416113,62.9475162076227,NA,"Edgefield SC",26985,1,"Small Metro",0.41197141109922
"45039","05000US45039","Fairfield County","Fairfield County, South Carolina","sc",22712,33.09445,686.2781449,0.5119,47.78971469,52.21028531,10.25449102,8.061817541,9.783374428,11.01620289,14.56939063,17.1363156,12.21380768,5.283550546,2.192673477,37.99313138,56.33145474,0.32581895,2.073793589,11.18351532,17.46660975,39.34866134,26.15722388,12.6852473,3.024943587,0.597670306,0.719643837,22083,4623,17460,8979,3156,2450,1394,619,1360,36294,22435,2842,1049,1255,3203,2891,11195,20.9346556174433,35.1486802539258,27.2858892972491,15.5251141552511,6.89386345918254,15.1464528343914,22.9373746378427,27.1629150880321,49.8997102741253,NA,"Fairfield SC",23956,1,"Small Metro",0.28681335558401
"45041","05000US45041","Florence County","Florence County, South Carolina","sc",138561,173.0908,800.5103715,0.4834,46.62134367,53.37865633,12.00193417,8.837263011,12.66806677,12.45660756,13.08015964,13.08160305,9.753105131,4.494049552,1.651258291,52.19145358,42.50691031,1.379175959,2.541840778,8.15886144,15.4116358,33.05010098,28.47398273,14.67687879,6.217505264,1.156920036,1.01297641,133190,35867,97323,52051,14613,13135,9687,5467,9149,45479,135039,10919,7089,7742,15567,13042,80680,26.9291988888055,28.0743885804307,25.2348658046916,18.6105934564177,10.5031603619527,17.5769917965073,19.0685653774095,21.18573152941,59.7457030931805,NA,"Florence SC",136885,1,"Small Metro",0.439253684694353
"45043","05000US45043","Georgetown County","Georgetown County, South Carolina","sc",61605,75.69249,813.8852473,0.4948,47.2899927,52.7100073,9.814138463,6.979952926,9.307686064,10.08522036,12.38860482,15.9370181,16.44509374,7.457186917,2.249817385,63.68476585,31.26856586,0.521061602,3.059816573,9.05283662,12.9295948,29.03225806,30.85611321,16.87395623,7.798628813,1.619495473,0.889953415,60147,12781,47366,25111,6798,6124,3749,3305,5135,48071,60936,3993,2558,4609,6184,6698,36894,21.2496051340881,27.0718012026602,24.387718529728,14.929712078372,13.1615626617817,20.4492055274581,18.31429696731,21.1402126821583,60.5454903505317,NA,"Georgetown SC",60158,1,"Micro",0.533028964886191
