Group.1,Group.2,Group.3,Group.4,Group.5,Group.6,x
F,R,FOREST,AP,D,vote00_04/04/2000,1
M,R,FOREST,AP,R,vote00_04/04/2000,1
F,D,ADAMS,AB,D,vote00_11/07/2000,57
M,D,ADAMS,AB,D,vote00_11/07/2000,34
U,D,ADAMS,AB,D,vote00_11/07/2000,2
F,NF,ADAMS,AB,D,vote00_11/07/2000,1
F,R,ADAMS,AB,D,vote00_11/07/2000,12
M,R,ADAMS,AB,D,vote00_11/07/2000,11
F,D,ARMSTRONG,AB,D,vote00_11/07/2000,29
M,D,ARMSTRONG,AB,D,vote00_11/07/2000,18
F,I,ARMSTRONG,AB,D,vote00_11/07/2000,1
M,I,ARMSTRONG,AB,D,vote00_11/07/2000,1
F,R,ARMSTRONG,AB,D,vote00_11/07/2000,4
M,R,ARMSTRONG,AB,D,vote00_11/07/2000,3
F,D,BEAVER,AB,D,vote00_11/07/2000,217
M,D,BEAVER,AB,D,vote00_11/07/2000,136
M,I,BEAVER,AB,D,vote00_11/07/2000,2
F,NF,BEAVER,AB,D,vote00_11/07/2000,1
F,R,BEAVER,AB,D,vote00_11/07/2000,23
M,R,BEAVER,AB,D,vote00_11/07/2000,15
F,D,WARREN,AB,D,vote00_11/07/2000,3
M,D,WARREN,AB,D,vote00_11/07/2000,2
U,D,WARREN,AB,D,vote00_11/07/2000,7
F,D,ADAMS,AP,D,vote00_11/07/2000,2441
M,D,ADAMS,AP,D,vote00_11/07/2000,1616
U,D,ADAMS,AP,D,vote00_11/07/2000,14
F,GR,ADAMS,AP,D,vote00_11/07/2000,1
M,GR,ADAMS,AP,D,vote00_11/07/2000,1
F,I,ADAMS,AP,D,vote00_11/07/2000,17
M,I,ADAMS,AP,D,vote00_11/07/2000,14
F,INDE,ADAMS,AP,D,vote00_11/07/2000,1
M,INDE,ADAMS,AP,D,vote00_11/07/2000,1
F,LN,ADAMS,AP,D,vote00_11/07/2000,1
M,LN,ADAMS,AP,D,vote00_11/07/2000,2
F,NF,ADAMS,AP,D,vote00_11/07/2000,27
M,NF,ADAMS,AP,D,vote00_11/07/2000,27
M,NO,ADAMS,AP,D,vote00_11/07/2000,1
M,NOP,ADAMS,AP,D,vote00_11/07/2000,1
F,OTH,ADAMS,AP,D,vote00_11/07/2000,2
M,OTH,ADAMS,AP,D,vote00_11/07/2000,2
U,OTH,ADAMS,AP,D,vote00_11/07/2000,1
M,PR,ADAMS,AP,D,vote00_11/07/2000,1
F,R,ADAMS,AP,D,vote00_11/07/2000,403
M,R,ADAMS,AP,D,vote00_11/07/2000,299
U,R,ADAMS,AP,D,vote00_11/07/2000,3
F,D,ARMSTRONG,AP,D,vote00_11/07/2000,2368
M,D,ARMSTRONG,AP,D,vote00_11/07/2000,1862
U,D,ARMSTRONG,AP,D,vote00_11/07/2000,22
M,GR,ARMSTRONG,AP,D,vote00_11/07/2000,1
F,I,ARMSTRONG,AP,D,vote00_11/07/2000,11
M,I,ARMSTRONG,AP,D,vote00_11/07/2000,15
F,INDE,ARMSTRONG,AP,D,vote00_11/07/2000,1
M,INDE,ARMSTRONG,AP,D,vote00_11/07/2000,1
M,LN,ARMSTRONG,AP,D,vote00_11/07/2000,2
F,NF,ARMSTRONG,AP,D,vote00_11/07/2000,15
M,NF,ARMSTRONG,AP,D,vote00_11/07/2000,16
U,NF,ARMSTRONG,AP,D,vote00_11/07/2000,1
F,OTH,ARMSTRONG,AP,D,vote00_11/07/2000,3
F,R,ARMSTRONG,AP,D,vote00_11/07/2000,511
M,R,ARMSTRONG,AP,D,vote00_11/07/2000,424
U,R,ARMSTRONG,AP,D,vote00_11/07/2000,12
F,AI,BEAVER,AP,D,vote00_11/07/2000,1
M,CT,BEAVER,AP,D,vote00_11/07/2000,1
F,D,BEAVER,AP,D,vote00_11/07/2000,10690
M,D,BEAVER,AP,D,vote00_11/07/2000,7529
U,D,BEAVER,AP,D,vote00_11/07/2000,5
F,GR,BEAVER,AP,D,vote00_11/07/2000,1
M,GR,BEAVER,AP,D,vote00_11/07/2000,2
F,I,BEAVER,AP,D,vote00_11/07/2000,60
M,I,BEAVER,AP,D,vote00_11/07/2000,48
F,INDE,BEAVER,AP,D,vote00_11/07/2000,2
M,INDE,BEAVER,AP,D,vote00_11/07/2000,1
F,LN,BEAVER,AP,D,vote00_11/07/2000,5
M,LN,BEAVER,AP,D,vote00_11/07/2000,5
F,NF,BEAVER,AP,D,vote00_11/07/2000,79
M,NF,BEAVER,AP,D,vote00_11/07/2000,79
F,NO,BEAVER,AP,D,vote00_11/07/2000,2
M,NO,BEAVER,AP,D,vote00_11/07/2000,1
M,NON,BEAVER,AP,D,vote00_11/07/2000,2
F,OTH,BEAVER,AP,D,vote00_11/07/2000,8
M,OTH,BEAVER,AP,D,vote00_11/07/2000,14
F,R,BEAVER,AP,D,vote00_11/07/2000,1410
M,R,BEAVER,AP,D,vote00_11/07/2000,1132
U,R,BEAVER,AP,D,vote00_11/07/2000,20
M,D,CLEARFIELD,AP,D,vote00_11/07/2000,1
U,D,CLEARFIELD,AP,D,vote00_11/07/2000,1
F,D,WARREN,AP,D,vote00_11/07/2000,15
M,D,WARREN,AP,D,vote00_11/07/2000,11
U,D,WARREN,AP,D,vote00_11/07/2000,19
M,R,WARREN,AP,D,vote00_11/07/2000,5
U,R,WARREN,AP,D,vote00_11/07/2000,3
F,D,ARMSTRONG,AP,GR,vote00_11/07/2000,1
M,R,ARMSTRONG,AP,I,vote00_11/07/2000,1
F,D,ARMSTRONG,AP,NO,vote00_11/07/2000,3
M,NO,ARMSTRONG,AP,NO,vote00_11/07/2000,1
F,D,ADAMS,AB,R,vote00_11/07/2000,4
M,D,ADAMS,AB,R,vote00_11/07/2000,1
F,R,ADAMS,AB,R,vote00_11/07/2000,33
M,R,ADAMS,AB,R,vote00_11/07/2000,42
F,D,ARMSTRONG,AB,R,vote00_11/07/2000,1
M,D,ARMSTRONG,AB,R,vote00_11/07/2000,1
F,R,ARMSTRONG,AB,R,vote00_11/07/2000,17
M,R,ARMSTRONG,AB,R,vote00_11/07/2000,25
M,D,BEAVER,AB,R,vote00_11/07/2000,1
M,LN,BEAVER,AB,R,vote00_11/07/2000,1
F,NF,BEAVER,AB,R,vote00_11/07/2000,1
F,R,BEAVER,AB,R,vote00_11/07/2000,39
M,R,BEAVER,AB,R,vote00_11/07/2000,32
U,D,WARREN,AB,R,vote00_11/07/2000,1
F,R,WARREN,AB,R,vote00_11/07/2000,2
M,R,WARREN,AB,R,vote00_11/07/2000,4
U,R,WARREN,AB,R,vote00_11/07/2000,10
M,C,ADAMS,AP,R,vote00_11/07/2000,1
F,D,ADAMS,AP,R,vote00_11/07/2000,96
M,D,ADAMS,AP,R,vote00_11/07/2000,81
U,D,ADAMS,AP,R,vote00_11/07/2000,1
M,FR,ADAMS,AP,R,vote00_11/07/2000,1
F,GR,ADAMS,AP,R,vote00_11/07/2000,1
F,I,ADAMS,AP,R,vote00_11/07/2000,12
M,I,ADAMS,AP,R,vote00_11/07/2000,9
F,INDE,ADAMS,AP,R,vote00_11/07/2000,2
M,INDE,ADAMS,AP,R,vote00_11/07/2000,3
M,LN,ADAMS,AP,R,vote00_11/07/2000,2
F,NF,ADAMS,AP,R,vote00_11/07/2000,10
M,NF,ADAMS,AP,R,vote00_11/07/2000,21
U,NF,ADAMS,AP,R,vote00_11/07/2000,1
F,OTH,ADAMS,AP,R,vote00_11/07/2000,2
M,OTH,ADAMS,AP,R,vote00_11/07/2000,1
F,R,ADAMS,AP,R,vote00_11/07/2000,2535
M,R,ADAMS,AP,R,vote00_11/07/2000,2396
U,R,ADAMS,AP,R,vote00_11/07/2000,3
M,C,ARMSTRONG,AP,R,vote00_11/07/2000,1
F,D,ARMSTRONG,AP,R,vote00_11/07/2000,55
M,D,ARMSTRONG,AP,R,vote00_11/07/2000,26
F,I,ARMSTRONG,AP,R,vote00_11/07/2000,7
M,I,ARMSTRONG,AP,R,vote00_11/07/2000,11
M,LN,ARMSTRONG,AP,R,vote00_11/07/2000,2
F,NF,ARMSTRONG,AP,R,vote00_11/07/2000,2
M,NF,ARMSTRONG,AP,R,vote00_11/07/2000,8
F,OTH,ARMSTRONG,AP,R,vote00_11/07/2000,2
M,OTH,ARMSTRONG,AP,R,vote00_11/07/2000,2
F,R,ARMSTRONG,AP,R,vote00_11/07/2000,1835
M,R,ARMSTRONG,AP,R,vote00_11/07/2000,1695
U,R,ARMSTRONG,AP,R,vote00_11/07/2000,20
M,C,BEAVER,AP,R,vote00_11/07/2000,1
F,D,BEAVER,AP,R,vote00_11/07/2000,151
M,D,BEAVER,AP,R,vote00_11/07/2000,86
