,lon,lat,full_addr
25,-75.2374505,39.9584316,"58TH and WALNUT STS PHILADELPHIA, PA"
26,-75.2456956,39.9622809,"6224 MARKET ST PHILADELPHIA, PA"
27,-75.2458095,39.9591742,"6212 WALNUT ST PHILADELPHIA, PA"
28,-75.2395654,39.9565975,"5843 SPRUCE ST PHILADELPHIA, PA"
29,-75.2461286,39.95737,"286 S 62ND ST PHILADELPHIA, PA"
30,-75.2465689,39.9527617,"6150 CEDAR AVE PHILADELPHIA, PA"
31,-75.2447613,39.9540513,"500 S 61ST ST PHILADELPHIA, PA"
32,-75.2460236,39.9465401,"61ST and COBBS CREEK PKWY PHILADELPHIA, PA"
33,-75.2427549,39.9524351,"60TH and CEDAR AVE PHILADELPHIA, PA"
34,-75.241784,39.9453223,"59TH and BALTIMORE AVE PHILADELPHIA, PA"
35,-75.240306,39.9507542,"5841 CATHARINE ST PHILADELPHIA, PA"
36,-75.2336382,39.9403016,"58TH and WILLOWS AVE PHILADELPHIA, PA"
37,-75.2272571,39.9346623,"58TH and KINGSESSING AVE PHILADELPHIA, PA"
38,-75.2312927,39.9610016,"5501 MARKET ST PHILADELPHIA, PA"
39,-75.2329108,39.9684551,"5620 WYALUSING AVE PHILADELPHIA, PA"
40,-75.2279406,39.9756171,"53RD and MEDIA STS PHILADELPHIA, PA"
41,-75.2298555,39.9770769,"54TH and LANSDOWNE AVE PHILADELPHIA, PA"
42,-75.2393942,39.9804241,"59TH and OXFORD STS PHILADELPHIA, PA"
43,-75.2327075,39.9638743,"5600 RACE ST PHILADELPHIA, PA"
44,-75.2322612,39.9702257,"659 N 56TH ST PHILADELPHIA, PA"
45,-75.2365255,39.9747558,"58TH and MEDIA STS PHILADELPHIA, PA"
46,-75.2338915,39.976143,"1540-52 N 56TH ST PHILADELPHIA, PA"
47,-75.2355544,39.964244,"5732 RACE ST PHILADELPHIA, PA"
48,-75.2344869,39.9653999,"230 N 57TH ST PHILADELPHIA, PA"
49,-75.2316551,39.967675,"5543 HAVERFORD AVE PHILADELPHIA, PA"
50,-75.2389045,39.9754548,"1536 N 59TH ST PHILADELPHIA, PA"
51,-75.2381372,39.964814,"59TH and RACE STS PHILADELPHIA, PA"
52,-75.145809,39.9458523,"261 ST JAMES PLACE PHILADELPHIA, PA"
53,-75.1495216,39.9430366,"401 LOMBARD ST PHILADELPHIA, PA"
54,-75.1514428,39.9461094,"6TH and WASHINGTON SQ PHILADELPHIA, PA"
55,-75.152112,39.9430191,"6TH and LOMBARD STS PHILADELPHIA, PA"
56,-75.154905,39.9463227,"256 S 08TH ST PHILADELPHIA, PA"
57,-75.1583687,39.9470964,"1020 LOCUST ST PHILADELPHIA, PA"
58,-75.1633393,39.9470772,"1315 SPRUCE ST PHILADELPHIA, PA"
59,-75.1584117,39.9438121,"10TH and LOMBARD STS PHILADELPHIA, PA"
60,-75.1632709,39.9457922,"330 S 13TH ST PHILADELPHIA, PA"
61,-75.1400656,39.9505904,"3  N CHRIS COLUMBUS BLVD PHILADELPHIA, PA"
62,-75.1572867,39.9483287,"950 WALNUT ST PHILADELPHIA, PA"
