"","lon","lat","full_addr"
"47",-75.0536418,40.0265869,"HELLERMAN and WALKER STS PHILADELPHIA, PA"
"48",-75.0619162,40.0298287,"3001 ROBBINS AVE PHILADELPHIA, PA"
"49",-75.0513846,40.0362939,"TYSON AVE and SACKETT ST PHILADELPHIA, PA"
"50",-75.1050278,40.0421785,"5735 RISING SUN AVE PHILADELPHIA, PA"
"51",-75.0924854,40.0364576,"5500 LANGDON ST PHILADELPHIA, PA"
"52",-75.0821653,40.0404588,"6250 FRONTENAC ST PHILADELPHIA, PA"
"53",-75.0727043,40.0374885,"6401 HORROCKS ST PHILADELPHIA, PA"
"54",-75.0646281,40.0447756,"7001 HORROCKS ST PHILADELPHIA, PA"
"55",-75.1011274,40.0455673,"6000 RISING SUN AVE PHILADELPHIA, PA"
"56",-75.1011274,40.0455673,"6000 RISING SUN AVE PHILADELPHIA, PA"
"57",-75.0768107,40.0498632,"6900 SUMMERDALE AVE PHILADELPHIA, PA"
"58",-75.1481991,39.9638669,"601 FAIRMOUNT AVE PHILADELPHIA, PA"
"59",-75.1686806,39.9667136,"19TH and NORTH STS PHILADELPHIA, PA"
"60",-75.1734168,39.9698644,"2201 BROWN ST PHILADELPHIA, PA"
"61",-75.1775723,39.9781224,"1435 N 26TH ST PHILADELPHIA, PA"
"62",-75.1702705,39.9806396,"2101 CECIL B. MOORE AVE PHILADELPHIA, PA"
"63",-75.153854,39.977478,"1601 N 12TH ST PHILADELPHIA, PA"
"64",-75.1606488,39.9831128,"1600 W NORRIS ST PHILADELPHIA, PA"
"65",-75.1803259,39.980392,"1601 N 28TH ST PHILADELPHIA, PA"
"66",-75.1815444,39.9834509,"29TH ST and GLENWOOD AVE PHILADELPHIA, PA"
"67",-75.1839951,39.9905506,"3133 RIDGE AVE PHILADELPHIA, PA"
"68",-75.181564,40.005337,"32ND ST and LEHIGH AVE PHILADELPHIA, PA"
"69",-75.1746479,39.9872532,"2501-19 W DIAMOND ST PHILADELPHIA, PA"
"70",-75.1575994,39.9889493,"2332 N 15TH ST PHILADELPHIA, PA"
"71",-75.1518866,39.985983,"1101 W SUSQUEHANNA AVE PHILADELPHIA, PA"
"72",-75.149248,39.9967697,"12TH and RUSH STS PHILADELPHIA, PA"
"73",-75.177267,40.003098,"29TH and CLEARFIELD STS PHILADELPHIA, PA"
"74",-75.1924072,40.0143017,"3501 MIDVALE AVE PHILADELPHIA, PA"
"75",-75.1808946,40.0325089,"5700 WAYNE AVE PHILADELPHIA, PA"
"76",-75.1723224,40.0249608,"5116 PULASKI AVE PHILADELPHIA, PA"
"77",-75.1605283,40.0496652,"CHELTEN AVE and ARDLEIGH ST PHILADELPHIA, PA"
"78",-75.2112995,40.0299891,"RIDGE and ROXBOROUGH AVES PHILADELPHIA, PA"
