"Zone","POLLING PLACE","ADDRESS","full_addr"
"Far Northeast 24","WASHINGTON HIGH SCHOOL","10175 BUSTLETON AVE","10175 BUSTLETON AVE PHILADELPHIA, PA"
"Far Northeast 25","COMLY SCHOOL","KELVIN & BYBERRY RDS","KELVIN & BYBERRY RDS PHILADELPHIA, PA"
"Far Northeast 26","LOESCHE SCHOOL","595 TOMLINSON RD","595 TOMLINSON RD PHILADELPHIA, PA"
"Lower Northeast 1","STEARNE SCHOOL","1655 UNITY ST","1655 UNITY ST PHILADELPHIA, PA"
"Lower Northeast 2","SIMPSON RECREATION CENTER","1010 ARROTT ST","1010 ARROTT ST PHILADELPHIA, PA"
"Lower Northeast 3","REGAL BALLROOM","5411 OXFORD AVE","5411 OXFORD AVE PHILADELPHIA, PA"
"Lower Northeast 4","LAWTON SCHOOL","6101 JACKSON ST","6101 JACKSON ST PHILADELPHIA, PA"
"Lower Northeast 5","FORREST LITTLE SCHOOL HOUSE","7300 COTTAGE ST","7300 COTTAGE ST PHILADELPHIA, PA"
"Lower Northeast 6","VOGT RECREATION CENTER","4131 UNRUH AVE","4131 UNRUH AVE PHILADELPHIA, PA"
"Lower Northeast 7","ZIEGLER SCHOOL NEW BUILDING","5935 SAUL ST","5935 SAUL ST PHILADELPHIA, PA"
"Lower Northeast 8","ROOSEVELT RECREATION CENTER","HELLERMAN & WALKER STS","HELLERMAN & WALKER STS PHILADELPHIA, PA"
"Lower Northeast 9","LOWER MAYFAIR PLAYGROUND","3001 ROBBINS AVE","3001 ROBBINS AVE PHILADELPHIA, PA"
"Lower Northeast 10","ST JOHNS CHURCH","TYSON AVE & SACKETT ST","TYSON AVE & SACKETT ST PHILADELPHIA, PA"
"Lower Northeast 11","FRANKLIN SCHOOL","5735 RISING SUN AVE","5735 RISING SUN AVE PHILADELPHIA, PA"
"Lower Northeast 12","NEW FELS HIGH SCHOOL","5500 LANGDON ST","5500 LANGDON ST PHILADELPHIA, PA"
"Lower Northeast 13","TARKEN RECREATION CENTER","6250 FRONTENAC ST","6250 FRONTENAC ST PHILADELPHIA, PA"
"Lower Northeast 14","SPRUANCE LITTLE SCHOOL HOUSE","6401 HORROCKS ST","6401 HORROCKS ST PHILADELPHIA, PA"
"Lower Northeast 15","SOLIS COHEN SCHOOL","7001 HORROCKS ST","7001 HORROCKS ST PHILADELPHIA, PA"
"Lower Northeast 16","LAWNCREST RECREATION CENTER","6000 RISING SUN AVE","6000 RISING SUN AVE PHILADELPHIA, PA"
"Lower Northeast 17","LAWNCREST LIBRARY","6000 RISING SUN AVE","6000 RISING SUN AVE PHILADELPHIA, PA"
"Lower Northeast 18","HAMPTON MOORE SCHOOL","6900 SUMMERDALE AVE","6900 SUMMERDALE AVE PHILADELPHIA, PA"
"North 1","KEARNEY SCHOOL","601 FAIRMOUNT AVE","601 FAIRMOUNT AVE PHILADELPHIA, PA"
"North 2","ST ANDREWS LITHUANIAN CHURCH","19TH & NORTH STS","19TH & NORTH STS PHILADELPHIA, PA"
"North 3","BACHE MARTIN SCHOOL","2201 BROWN ST","2201 BROWN ST PHILADELPHIA, PA"
"North 4","BOONE SCHOOL(CAMELOT ACADEMY)","1435 N 26TH ST","1435 N 26TH ST PHILADELPHIA, PA"
"North 5","M L KING RECREATION CENTER","2101 CECIL B. MOORE AVE","2101 CECIL B. MOORE AVE PHILADELPHIA, PA"
"North 6","BRIGHT HOPE BAPTIST CHURCH","1601 N 12TH ST","1601 N 12TH ST PHILADELPHIA, PA"
"North 7","CARVER SCHOOL ENGINR & SCIENCE","1600 W NORRIS ST","1600 W NORRIS ST PHILADELPHIA, PA"
"North 8","W D KELLEY SCHOOL","1601 N 28TH ST","1601 N 28TH ST PHILADELPHIA, PA"
"North 9","GIDEON SCHOOL","29TH ST & GLENWOOD AVE","29TH ST & GLENWOOD AVE PHILADELPHIA, PA"
"North 10","STRAWBERRY MANSION SCHOOL","3133 RIDGE AVE","3133 RIDGE AVE PHILADELPHIA, PA"
"North 11","ETHEL ALLEN SCHOOL","32ND ST & LEHIGH AVE","32ND ST & LEHIGH AVE PHILADELPHIA, PA"
"North 12","HANK GATHERS RECREATION CTR","2501-19 W DIAMOND ST","2501-19 W DIAMOND ST PHILADELPHIA, PA"
"North 13","WINCHESTER RECREATION CENTER","2332 N 15TH ST","2332 N 15TH ST PHILADELPHIA, PA"
"North 14","PENROSE RECREATION CENTER","1101 W SUSQUEHANNA AVE","1101 W SUSQUEHANNA AVE PHILADELPHIA, PA"
"North 15","MASTERY CLYMER CHARTER SCHOOL","12TH & RUSH STS","12TH & RUSH STS PHILADELPHIA, PA"
"Northwest 1","E W RHODES SCHOOL","29TH & CLEARFIELD STS","29TH & CLEARFIELD STS PHILADELPHIA, PA"
"Northwest 2","FALLS OF SCHUYLKILL LIBRARY","3501 MIDVALE AVE","3501 MIDVALE AVE PHILADELPHIA, PA"
"Northwest 3","MASTERY PICKETT CHARTER SCHOOL","5700 WAYNE AVE","5700 WAYNE AVE PHILADELPHIA, PA"
"Northwest 4","J B KELLY SCHOOL","5116 PULASKI AVE","5116 PULASKI AVE PHILADELPHIA, PA"
"Northwest 5","LONNIE YOUNG RECREATION CENTER","CHELTEN AVE & ARDLEIGH ST","CHELTEN AVE & ARDLEIGH ST PHILADELPHIA, PA"
"Northwest 6","KENDRICK RECREATION CENTER","RIDGE & ROXBOROUGH AVES","RIDGE & ROXBOROUGH AVES PHILADELPHIA, PA"
"Northwest 7","COOK WISSAHICKON SCHOOL","RIGHTER & SALAIGNAC STS","RIGHTER & SALAIGNAC STS PHILADELPHIA, PA"
"Northwest 8","LINGELBACH SCHOOL","6340 WAYNE AVE","6340 WAYNE AVE PHILADELPHIA, PA"
"Northwest 9","MALLERY RECREATION CENTER","MORTON & JOHNSON STS","MORTON & JOHNSON STS PHILADELPHIA, PA"
"Northwest 10","AWBURY REC CENTER","ARDLEIGH & CLIVEDEN STS","ARDLEIGH & CLIVEDEN STS PHILADELPHIA, PA"
"Northwest 11","A B DAY SCHOOL","6324 CRITTENDEN ST","6324 CRITTENDEN ST PHILADELPHIA, PA"
"Northwest 12","PLEASANT RECREATION CENTER","PLEASANT ST & CHEW AVE","PLEASANT ST & CHEW AVE PHILADELPHIA, PA"
"Northwest 13","MT AIRY RECREATION CENTER","7001 GERMANTOWN AVE","7001 GERMANTOWN AVE PHILADELPHIA, PA"
"Northwest 14","LOVETT LIBRARY","6945 GERMANTOWN AVE","6945 GERMANTOWN AVE PHILADELPHIA, PA"
"Northwest 15","NORTH LIGHT COMMUNITY CENTER","175 GREEN LANE","175 GREEN LANE PHILADELPHIA, PA"
"Northwest 16","ROXBOROUGH HIGH SCHOOL","6498 RIDGE AVE","6498 RIDGE AVE PHILADELPHIA, PA"
