Ward,Division,Address,Location,Building Code,Parking Code
17,15,1953 NEDRO AVE,CHAMPLOST HOMES (PHA),F,L
17,16,21ST ST & CHEW AVE,BELFIELD RECREATION CENTER,B,L
17,17,21ST ST & CHEW AVE,BELFIELD RECREATION CENTER,B,L
17,18,NEDRO & OGONTZ AVE,PENNELL SCHOOL,M,L
17,19,5801 OGONTZ AVE,LOVE MISSIONARY BAPTIST CHURCH,B,L
17,20,1424 CLEARVIEW ST,SUFFOLK MANOR APTS-BLDG H,F,N
17,21,1500 W OLNEY AVE,WIDENER SCHOOL,F,L
17,22,1500 W OLNEY AVE,WIDENER SCHOOL,F,L
17,23,1500 W OLNEY AVE,WIDENER SCHOOL,F,L
17,24,1605 W ROCKLAND ST,ESTHER MARIA'S BALLROOM,M,L
17,25,1605 W ROCKLAND ST,ESTHER MARIA'S BALLROOM,M,L
17,26,1424 CLEARVIEW ST,SUFFOLK MANOR APTS-BLDG H,F,N
17,27,NEDRO & OGONTZ AVE,PENNELL SCHOOL,M,L
17,28,6100 N 21ST ST,CORINTHIAN COMM & EDUC CTR,B,L
17,29,1950 W ROCKLAND ST,PROVISION OF GRACE CHURCH,M,L
18,1,HANCOCK & MASTER STS,HANCOCK RECREATION CENTER,F,N
18,2,236 RICHMOND ST,UNION HALL,N,N
18,3,ORKNEY & DIAMOND STS,MC KINLEY SCHOOL,M,N
18,4,PALMER & THOMPSON STS,ADAIRE SCHOOL,M,N
18,5,E MONTGOMERY & GIRARD AVES,FISHTOWN RECREATION CENTER,F,N
18,6,E MONTGOMERY & GIRARD AVES,FISHTOWN RECREATION CENTER,F,N
18,7,PALMER & THOMPSON STS,ADAIRE SCHOOL,M,N
18,8,ORKNEY & DIAMOND STS,MC KINLEY SCHOOL,M,N
18,9,301 W GIRARD AVE,HEALTH CENTER DISTRICT 06,F,L
18,10,1601 E PALMER ST,NEUMANN SENIOR HOUSING,M,N
18,11,1401 E SUSQUEHANNA AVE,PENNA HOME,M,N
18,12,PALMER & THOMPSON STS,ADAIRE SCHOOL,M,N
18,13,2011 N MASCHER ST,NORRIS SQUARE CHILD CARE CTR,F,L
18,14,1501-11 GERMANTOWN AVE,AL-AQSA ISLAMIC SOCIETY,A,N
18,15,1501-11 GERMANTOWN AVE,AL-AQSA ISLAMIC SOCIETY,A,N
18,16,HOWARD & BERKS STS,TOWEY RECREATION CENTER,M,N
18,17,HOWARD & BERKS STS,TOWEY RECREATION CENTER,M,N
19,1,5TH & ALLEGHENY AVE,RIVERA RECREATION CENTER,B,L
19,2,3RD & ONTARIO STS,MUNOZ MARIN SCHOOL,F,H
19,3,3RD & ONTARIO STS,MUNOZ MARIN SCHOOL,F,H
19,4,3RD & ONTARIO STS,MUNOZ MARIN SCHOOL,F,H
19,5,6TH & INDIANA AVE,POTTER THOMAS SCHOOL,M,L
19,6,2800 N AMERICAN ST,CONGRESO EDUC & TRAINING CTR,F,H
19,7,2800 N AMERICAN ST,CONGRESO EDUC & TRAINING CTR,F,H
19,8,6TH & INDIANA AVE,POTTER THOMAS SCHOOL,M,L
19,9,2820 N 4TH ST,FAIRHILL COMMUNITY HIGH SCHOOL,M,H
19,10,2354 N MASCHER ST,GARAGE,R,N
19,11,2400 N HOWARD ST,HUNTER SCHOOL,F,H
19,12,HANCOCK & SUSQUEHANNA AVE,NORRIS SQUARE UN PRES CHURCH,M,N
19,13,4TH & YORK STS,WELSH SCHOOL,F,L
19,14,ORKNEY & DIAMOND STS,MC KINLEY SCHOOL,M,N
19,15,ORKNEY & DIAMOND STS,MC KINLEY SCHOOL,M,N
19,16,2603 N 05TH ST,SCHOOL DISTRICT REGION OFFICE,M,N
19,17,4TH & YORK STS,WELSH SCHOOL,F,L
19,18,4TH & YORK STS,WELSH SCHOOL,F,L
19,19,2426 N 2ND ST,FIRE ENGINE CO # 02,M,L
20,1,1701 N 08TH ST,BROWN COMMUNITY CENTER,M,H
20,2,1401 N 06TH ST,CRUZ RECREATION CENTER,M,L
20,3,10TH & OXFORD STS,DENDY REC CTR,M,L
20,4,1600 N 08TH ST,GRAY MANOR,F,H
20,5,8TH & DIAMOND STS,8TH & DIAMOND ST REC CTR,M,L
20,6,1300 W JEFFERSON ST,YORKTOWN APARTMENTS,R,N
20,7,12TH & SUSQUEHANNA AVE,PENROSE RECREATION CENTER,F,N
20,8,1701 N 08TH ST,BROWN COMMUNITY CENTER,M,H
20,9,1915 N 11TH STREET,NORRIS HOMES,M,L
20,10,8TH & DIAMOND STS,8TH & DIAMOND ST REC CTR,M,L
20,11,10TH & OXFORD STS,DENDY REC CTR,M,N
21,1,3815 TERRACE ST,PILGRIM ORTHODOX CHURCH,M,L
21,2,3815 TERRACE ST,PILGRIM ORTHODOX CHURCH,M,L
21,3,7901 HENRY AVE,HENRY ON THE PARK/BLDG E,M,L
21,4,7 LOCK STREET,VENICE ISLAND RECREATION CTR,F,L
21,5,SHAWMONT AVE & EVA ST,SHAWMONT SCHOOL,A,L
21,6,175 GREEN LANE,NORTH LIGHT COMMUNITY CENTER,B,L
21,7,175 GREEN LANE,NORTH LIGHT COMMUNITY CENTER,B,L
21,8,201 FOUNTAIN ST,HILLSIDE RECREATION CENTER,B,L
21,9,201 FOUNTAIN ST,HILLSIDE RECREATION CENTER,B,L
21,10,403 RECTOR ST,JOURNEYS WAY,F,L
21,11,235 COTTON ST,TONYS GLASS WORKS,F,L
21,12,175 GREEN LANE,NORTH LIGHT COMMUNITY CENTER,B,L
21,13,201 FOUNTAIN ST,HILLSIDE RECREATION CENTER,B,L
21,14,RIGHTER & SALAIGNAC STS,COOK WISSAHICKON SCHOOL,M,L
21,15,5301 RIDGE AVE,NORTHERN CHILDREN SERVICES,F,L
21,16,RIGHTER & SALAIGNAC STS,COOK WISSAHICKON SCHOOL,M,L
21,17,403 RECTOR ST,JOURNEYS WAY,F,L
21,18,403 RECTOR ST,JOURNEYS WAY,F,L
21,19,401 MARTIN ST,BETHANY LUTHERAN CHURCH,M,N
21,20,401 MARTIN ST,BETHANY LUTHERAN CHURCH,M,N
21,21,6400 RIDGE AVENUE,ROXBOROUGH HIGH SCHOOL,F,L
21,22,RIDGE & CINNAMINSON ST,FIREHOUSE,M,L
21,23,5450 WISSAHICKON AVE,CHARTER COURT APARTMENTS,F,L
21,24,WAYNE AVE & JOHNSON ST,LINGELBACH SCHOOL,A,L
21,25,RIDGE AVE & JAMESTOWN ST,ROX MEM HOSPITAL AUDITORIUM,M,L
21,26,RIDGE AVE & JAMESTOWN ST,ROX MEM HOSPITAL AUDITORIUM,M,L
21,27,401 MARTIN ST,BETHANY LUTHERAN CHURCH,M,N
21,28,6400 RIDGE AVENUE,ROXBOROUGH HIGH SCHOOL,F,L
21,29,6730 RIDGE AVE,SALVATION ARMY,M,L
21,30,SHAWMONT AVE & EVA ST,SHAWMONT SCHOOL,A,L
21,31,6400 RIDGE AVENUE,ROXBOROUGH HIGH SCHOOL,F,L
21,32,7100 HENRY AVE,SAUL HIGH SCHOOL,F,L
21,33,600 E CATHEDRAL RD,CATHEDRAL VILLAGE AUDITORIUM,F,L
21,34,WISSAHICKON & GRAKYN LA,HOUSTON RECREATION CENTER,M,L
21,35,RIGHTER & SALAIGNAC STS,COOK WISSAHICKON SCHOOL,M,L
21,36,RIDGE AVE & JAMESTOWN ST,ROX MEM HOSPITAL AUDITORIUM,M,L
21,37,RIDGE AVE & JAMESTOWN ST,ROX MEM HOSPITAL AUDITORIUM,M,L
21,38,7100 HENRY AVE,SAUL HIGH SCHOOL,F,L
21,39,8201 HENRY AVE,SUMMIT PARK APTS-CLUBHOUSE,M,L
21,40,6730 RIDGE AVE,SALVATION ARMY,M,L
21,41,DOMINO LA & RIDGE AVE,ROXBOROUGH Y M C A,M,L
21,42,SHAWMONT AVE & EVA ST,SHAWMONT SCHOOL,A,L
21,43,705 E CATHEDRAL ROAD,ANDORRA BRANCH LIBRARY,R,H
21,44,WISSAHICKON & GRAKYN LA,HOUSTON RECREATION CENTER,M,L
21,45,600 E CATHEDRAL RD,CATHEDRAL VILLAGE AUDITORIUM,F,L
22,1,6757 GREENE ST,SUMMIT PRESBYTERIAN CHURCH,M,L
22,2,6757 GREENE ST,SUMMIT PRESBYTERIAN CHURCH,M,L
22,3,6400 GREENE ST,CLIVEDEN CONVALESCENT CENTER,F,H
22,4,400 W ELLET ST,GERMANTOWN JEWISH CENTER,F,N
22,5,400 W ELLET ST,GERMANTOWN JEWISH CENTER,F,N
22,6,6950 GERMANTOWN AVE,GERMANTOWN HOME,M,H
22,7,6753 GERMANTOWN AVE,JESUS IS THE WAY CHURCH,M,N
22,8,220 W UPSAL ST,BLAIR CHRISTIAN ACADEMY,A,L
22,9,6671 GERMANTOWN AVE,ST MICHAELS LUTHERAN CHURCH,B,L
22,10,220 W UPSAL ST,BLAIR CHRISTIAN ACADEMY,A,L
22,11,6950 GERMANTOWN AVE,GERMANTOWN HOME,M,H
22,12,PLEASANT ST & CHEW AVE,PLEASANT RECREATION CENTER,M,L
22,13,6671 GERMANTOWN AVE,ST MICHAELS LUTHERAN CHURCH,B,L
22,14,6445 GERMANTOWN AVE,CARING HEART NURSING HOME,M,N
22,15,6415 MUSGRAVE ST,CLIVEDEN HOUSE,B,N
22,16,GERMANTOWN AVE & SEDGWICK ST,MT AIRY RECREATION CENTER,M,N
22,17,GERMANTOWN AVE & SEDGWICK ST,MT AIRY RECREATION CENTER,M,N
22,18,PLEASANT ST & CHEW AVE,PLEASANT RECREATION CENTER,M,L
22,19,PLEASANT ST & CHEW AVE,PLEASANT RECREATION CENTER,M,L
22,20,CHEW & UPSAL STS,EMLEN SCHOOL,R,L
22,21,CHEW & UPSAL STS,EMLEN SCHOOL,M,L
22,22,CHEW & UPSAL STS,EMLEN SCHOOL,R,L
22,23,610 E MT PLEASANT AVE,GERMANTOWN CHRISTIAN ASSEMBLY,B,L
22,24,610 E MT PLEASANT AVE,GERMANTOWN CHRISTIAN ASSEMBLY,B,L
22,25,6611 ARDLEIGH ST,OLD ST THERESE SCHOOL,R,L
22,26,6611 ARDLEIGH ST,OLD ST THERESE SCHOOL,R,L
22,27,CRITTENDEN & JOHNSON STS,A B DAY SCHOOL,M,L
22,28,CRITTENDEN & JOHNSON STS,A B DAY SCHOOL,M,L
22,29,CRITTENDEN & JOHNSON STS,A B DAY SCHOOL,M,L
23,1,4442 FRANKFORD AVE,ST MARKS CHURCH FRANKFORD,M,N
23,2,4442 FRANKFORD AVE,ST MARKS CHURCH FRANKFORD,M,N
23,3,4442 FRANKFORD AVE,ST MARKS CHURCH FRANKFORD,M,N
23,4,ARROTT & LARGE STS,SIMPSON RECREATION CENTER,M,L
23,5,4634 FRANKFORD AVE,FRANKFORD BRANCH LIBRARY,M,N
23,6,4634 FRANKFORD AVE,FRANKFORD BRANCH LIBRARY,M,N
23,7,4634 FRANKFORD AVE,FRANKFORD BRANCH LIBRARY,M,N
23,8,ARROTT & LARGE STS,SIMPSON RECREATION CENTER,M,L
23,9,OXFORD & WAKELING STS,FRANKFORD HIGH SCHOOL,M,L
23,10,LARGE & DYRE STS,STRING THEORY CHARTER SCHOOL,A,N
23,11,4800 WHITAKER AVE,VAIRD-FELTONVILLE YOUTH CLUB,F,L
23,12,4800 WHITAKER AVE,VAIRD-FELTONVILLE YOUTH CLUB,F,L
23,13,LARGE & DYRE STS,STRING THEORY CHARTER SCHOOL,A,N
23,14,2369 ORTHODOX ST,AMERICAN LEGION POST 396,B,N
23,15,TULIP & WAKELING ST,CARMELLA RECREATION CENTER,R,N
23,16,1655 UNITY ST,STEARNE SCHOOL,R,N
23,17,2006 ORTHODOX ST,AMERICAN LEGION POST,N,N
23,18,1824-26 FOULKROD ST,WHITEHALL RES COUNCIL OFFICE,M,N
23,19,DITMAN & WAKELING ST,GAMBRELL RECREATION CENTER,M,N
23,20,DARRAH & FOULKROD STS,FIREHOUSE,M,N
23,21,DARRAH & FOULKROD STS,FIREHOUSE,M,N
23,22,1655 UNITY ST,STEARNE SCHOOL,R,N
23,23,1655 UNITY ST,STEARNE SCHOOL,R,N
24,1,36TH & POWELTON AVE,POWELL SCHOOL,M,N
24,2,34TH & HAVERFORD AVE,DURHAM LIBRARY,F,N
24,3,34TH & HAVERFORD AVE,DURHAM LIBRARY,F,N
24,4,36TH & FAIRMOUNT AVE,MC MICHAEL SCHOOL,M,N
24,5,36TH & POWELTON AVE,POWELL SCHOOL,M,N
24,6,3901 MARKET ST,UNIVERSITY SQUARE,F,L
24,7,631 N 39TH ST,MANTUA HAVERFORD COMM CTR,R,L
24,8,325 N 39TH ST,ROWAN HOUSE,F,L
24,9,4015-17 POPLAR ST,HEAVENLY HALL,M,L
24,10,25 N 33RD ST,THE ARMORY AT DREXEL,F,L
24,11,34TH & HAVERFORD AVE,DURHAM LIBRARY,F,N
24,12,631 N 39TH ST,MANTUA HAVERFORD COMM CTR,R,L
24,13,36TH & FAIRMOUNT AVE,MC MICHAEL SCHOOL,M,N
24,14,4015-17 POPLAR ST,HEAVENLY HALL,M,L
24,15,41ST & BROWN STS,BELMONT ACADEMY CHARTER SCHOOL,M,N
24,16,41ST & BROWN STS,BELMONT ACADEMY CHARTER SCHOOL,M,N
24,17,631 N 39TH ST,MANTUA HAVERFORD COMM CTR,R,L
24,18,25 N 33RD ST,THE ARMORY AT DREXEL,F,L
24,19,25 N 33RD ST,THE ARMORY AT DREXEL,F,L
25,1,3068 BELGRADE ST,PORT RICHMOND SENIOR CENTER,R,N
25,2,MEMPHIS & ANN STS,MEMPHIS ST ACADEMY CHARTER,A,N
25,3,3068 BELGRADE ST,PORT RICHMOND SENIOR CENTER,R,N
25,4,INDIANA & ALMOND STS,RICHMOND LIBRARY,M,N
25,5,INDIANA & ALMOND STS,RICHMOND LIBRARY,M,N
25,6,3068 BELGRADE ST,PORT RICHMOND SENIOR CENTER,R,N
25,7,2649 E SOMERSET ST,GARAGE,M,N
25,8,3068 BELGRADE ST,PORT RICHMOND SENIOR CENTER,R,N
25,9,3116 FRANKFORD AVE,MASTBAUM HIGH SCHOOL,M,N
25,10,2649 E SOMERSET ST,GARAGE,M,N
25,11,CEDAR & CAMBRIA STS,COHOCKSINK RECREATION CENTER,F,L
25,12,CEDAR & CAMBRIA STS,COHOCKSINK RECREATION CENTER,F,L
25,13,MEMPHIS & ANN STS,MEMPHIS ST ACADEMY CHARTER,A,N
25,14,2646 KENSINGTON AVE,CARDINAL BEVILACQUA CENTER,F,N
25,15,ELKHART & HELEN STS,WILLARD SCHOOL,M,N
25,16,2271-75 E WILLIAM ST,FUNERAL HOME,N,N
25,17,MEMPHIS & ANN STS,MEMPHIS ST ACADEMY CHARTER,A,N
25,18,3116 FRANKFORD AVE,MASTBAUM HIGH SCHOOL,M,N
25,19,ELKHART & HELEN STS,WILLARD SCHOOL,M,N
25,20,ELKHART & HELEN STS,WILLARD SCHOOL,M,N
25,21,3116 FRANKFORD AVE,MASTBAUM HIGH SCHOOL,M,N
25,22,CEDAR & CAMBRIA STS,COHOCKSINK RECREATION CENTER,F,L
25,23,MEMPHIS & ANN STS,MEMPHIS ST ACADEMY CHARTER,A,N
25,24,MEMPHIS & ANN STS,MEMPHIS ST ACADEMY CHARTER,A,N
26,1,3301 S 20TH ST,CALVARY TEMPLE ACADEMY,M,L
26,2,3301 S 20TH ST,CALVARY TEMPLE ACADEMY,M,L
26,3,3301 S 20TH ST,CALVARY TEMPLE ACADEMY,M,L
26,4,BROAD & OREGON AVE,MARCONI PLAZA BOCCE COURTS,M,N
26,5,3301 S 20TH ST,CALVARY TEMPLE ACADEMY,M,L
26,6,18TH & JOHNSTON STS,BARRY RECREATION CENTER,R,N
26,7,2437 S BROAD ST,FUMO FAMILY BRANCH LIBRARY,M,N
26,8,2500 S 16TH ST,ST MONICAS BOWLING LANES,R,N
26,9,3301 S 20TH ST,CALVARY TEMPLE ACADEMY,M,L
26,10,16TH & JACKSON STS,GUERIN REC CTR-BOCCE BUILDING,M,N
26,11,2433 S 15TH ST,CARING PEOPLE ALLIANCE,F,N
26,12,16TH & JACKSON STS,GUERIN RECREATION CENTER,M,N
26,13,22ND & RITNER STS,G.A.M.P. SCHOOL,A,N
26,14,22ND & RITNER STS,G.A.M.P. SCHOOL,A,N
26,15,22ND & RITNER STS,G.A.M.P. SCHOOL,A,N
26,16,16TH & JACKSON STS,GUERIN RECREATION CENTER,M,N
26,17,16TH & JACKSON STS,GUERIN RECREATION CENTER,M,N
26,18,22ND & RITNER STS,G.A.M.P. SCHOOL,A,N
26,19,16TH & JACKSON STS,GUERIN RECREATION CENTER,M,N
26,20,3301 S 20TH ST,CALVARY TEMPLE ACADEMY,M,L
26,21,2437 S BROAD ST,FUMO FAMILY BRANCH LIBRARY,M,N
26,22,16TH & JACKSON STS,GUERIN REC CTR-BOCCE BUILDING,M,N
26,23,3301 S 20TH ST,CALVARY TEMPLE ACADEMY,M,L
27,1,4247 LOCUST ST,FAIRFAX APARTMENTS,R,N
27,2,4400 BALTIMORE AVE,H M S SCHOOL,F,H
27,3,3609 CHESTNUT ST,PENN CARE & REHABILITATION CTR,M,L
27,4,51ST ST & GREENWAY AVE,COMEGYS SCHOOL,M,L
27,5,3914 LOCUST WALK,CIVIC HOUSE/UNIV OF PENNA,F,N
27,6,42ND & LUDLOW STS,ROBESON HIGH SCHOOL,M,N
27,7,600 S 43RD ST,ROSENBERGER HALL/ROOM 100,F,N
27,8,3948 WALNUT ST,WALNUT ST WEST LIBRARY,M,N
27,9,3948 WALNUT ST,WALNUT ST WEST LIBRARY,M,N
27,10,257 S 45TH ST,SPRUCE HILL COMM ASSOC,M,L
27,11,3609 CHESTNUT ST,PENN CARE & REHABILITATION CTR,M,L
27,12,51ST ST & GREENWAY AVE,COMEGYS SCHOOL,M,L
27,13,42ND & LUDLOW STS,ROBESON HIGH SCHOOL,M,N
27,14,257 S 45TH ST,SPRUCE HILL COMM ASSOC,M,L
27,15,48TH & WOODLAND AVE,48TH & WOODLAND REC CENTER,M,L
27,16,48TH & WOODLAND AVE,48TH & WOODLAND REC CENTER,M,L
27,17,1450 S 50TH ST,REBA BROWN SR APTS,F,H
27,18,3733 SPRUCE ST,VANCE HALL,F,N
27,19,3333 WALNUT ST,HILL HOUSE,M,N
27,20,3910 IRVING ST,HARRISON COLLEGE HOUSE,F,N
27,21,3820 LOCUST WALK,UNIV OF PA HARNWELL HOUSE,F,N
27,22,3417 SPRUCE ST,HOUSTON HALL  READING ROOM,F,N
27,23,4247 LOCUST ST,FAIRFAX APARTMENTS,R,N
28,1,22ND & HUNTINGDON STS,CECIL B MOORE RECREATION CTR,M,L
28,2,28TH & DAUPHIN STS,WRIGHT SCHOOL,F,L
28,3,28TH & DAUPHIN STS,WRIGHT SCHOOL,F,L
28,4,32ND & RIDGE AVE,STRAWBERRY MANSION SCHOOL,F,L
28,5,32ND & RIDGE AVE,STRAWBERRY MANSION SCHOOL,F,L
28,6,28TH & DAUPHIN STS,WRIGHT SCHOOL,F,L
28,7,26TH & YORK STS,FIRE ENGINE CO # 45,M,N
28,8,2450 W SERGEANT ST,NEW LIFE BAPTIST CHURCH,M,N
28,9,32ND & LEHIGH AVE,ETHEL ALLEN SCHOOL,M,L
28,10,32ND & LEHIGH AVE,ETHEL ALLEN SCHOOL,M,L
28,11,32ND & LEHIGH AVE,ETHEL ALLEN SCHOOL,M,L
28,12,32ND & LEHIGH AVE,ETHEL ALLEN SCHOOL,M,L
28,13,2808 W LEHIGH AVE,WIDENER BRANCH LIBRARY,F,L
28,14,2808 W LEHIGH AVE,WIDENER BRANCH LIBRARY,F,L
28,15,2808 W LEHIGH AVE,WIDENER BRANCH LIBRARY,F,L
28,16,2808 W LEHIGH AVE,WIDENER BRANCH LIBRARY,F,L
28,17,2832 N 28TH ST,MEDIATOR LUTHERAN CHURCH,F,N
28,18,22ND & HUNTINGDON STS,CECIL B MOORE RECREATION CTR,M,L
29,1,1999 RIDGE AVE,MOORE MANOR SR HOME,F,L
29,2,1450 N 21ST ST,SHARSWOOD COMMUNITY CENTER,F,L
29,3,28TH & THOMPSON STS,FIRE ENGINE CO # 34,F,N
29,4,1450 N 21ST ST,SHARSWOOD COMMUNITY CENTER,F,L
29,5,2320 CECIL B MOORE AVE,CECIL B MOORE LIBRARY,F,L
29,6,2320 CECIL B MOORE AVE,CECIL B MOORE LIBRARY,F,L
29,7,1425 N 23RD ST,SHARSWOOD ONE SENIOR APTS,F,N
29,8,1425 N 23RD ST,SHARSWOOD ONE SENIOR APTS,F,N
29,9,26TH & JEFFERSON STS,BOONE SCHOOL,R,N
29,10,3000 W MASTER ST,BREWERYTOWN CDC OFFICE,F,N
29,11,26TH & THOMPSON STS,MORRIS SCHOOL,F,L
29,12,2632 W THOMPSON ST,COLLEGEVIEW HOMES (PHA),F,L
29,13,26TH & THOMPSON STS,MORRIS SCHOOL,F,L
29,14,26TH & JEFFERSON STS,BOONE SCHOOL,R,N
29,15,28TH & OXFORD STS,W D KELLEY SCHOOL,M,L
29,16,28TH & OXFORD STS,W D KELLEY SCHOOL,M,L
29,17,3000 W MASTER ST,BREWERYTOWN CDC OFFICE,F,N
29,18,28TH & THOMPSON STS,FIRE ENGINE CO # 34,F,N
30,1,1525 FITZWATER ST,GIDEON HALL@SCOTTISH RITE HSE,M,L
30,2,1530 FITZWATER ST,SCOTTISH RITE TOWER,F,N
30,3,BROAD & LOMBARD STS,HEALTH CENTER DISTRICT 01,F,N
30,4,1427 CATHARINE ST,UNIVERSAL CHARTER SCHOOL,F,N
30,5,1724 CHRISTIAN ST,Y M C A,F,N
30,6,17TH & FITZWATER STS,ANDERSON RECREATION CENTER,F,N
30,7,1800 LOMBARD ST,PENN MEDICINE AT RITTENHOUSE,F,H
30,8,2501 LOMBARD ST,THE PHILADELPHIA SCHOOL,F,L
30,9,20TH & CATHARINE STS,ARTHUR SCHOOL,M,L
30,10,1724 CHRISTIAN ST,Y M C A,F,N
30,11,20TH & CATHARINE STS,ARTHUR SCHOOL,M,L
30,12,2309 CARPENTER ST,ST ANTHONYS SENIOR RESIDENCE,M,L
30,13,2309 CARPENTER ST,ST ANTHONYS SENIOR RESIDENCES,M,L
30,14,20TH & CATHARINE STS,ARTHUR SCHOOL,M,L
30,15,20TH & CATHARINE STS,ARTHUR SCHOOL,M,L
30,16,2501 LOMBARD ST,THE PHILADELPHIA SCHOOL,F,L
30,17,2309 CARPENTER ST,ST ANTHONYS SENIOR RESIDENCE,M,L
31,1,2446-48 CORAL ST,ARTS HOUSE APTS,F,L
31,2,2646 KENSINGTON AVE,CARDINAL BEVILACQUA CENTER,F,N
31,3,YORK & TRENTON STS,HACKETT SCHOOL,M,N
31,4,2212-18 E SUSQUEHANNA AVE,BETHEL BAPTIST CHURCH,F,N
31,5,2230 TAGGERT ST,GARAGE,F,L
31,6,2204 ARAMINGO AVE,DERKA'S AUTO GARAGE,M,L
31,7,EDGEMONT & HUNTINGDON STS,MARITIME ACADEMY CHARTER,M,N
31,8,2463 EMERALD ST,KENSINGTON HIGH SCHOOL ANNEX,M,H
31,9,2463 EMERALD ST,KENSINGTON HIGH SCHOOL ANNEX,M,H
31,10,2139 E CUMBERLAND ST,ST MICHAELS LUTHERAN CHURCH,M,N
31,11,SERGEANT & JASPER STS,H A BROWN SCHOOL,A,N
31,12,SERGEANT & JASPER STS,H A BROWN SCHOOL,A,N
31,13,YORK & TRENTON STS,HACKETT SCHOOL,M,N
31,14,2301 E CUMBERLAND ST,OFFICE,R,N
31,15,2424 E YORK ST,2424 STUDIOS,M,N
31,16,2364 E CUMBERLAND ST,BEACON PRESBYTERIAN CHURCH,R,N
31,17,BELGRADE & HUNTINGDON STS,FIRE ENGINE CO # 06,F,L
31,18,MEMPHIS & TUCKER STS,ST ANNE'S SOCIAL HALL,R,N
31,19,ARAMINGO & LEHIGH AVES,CIONE RECREATION CENTER,M,N
32,1,28TH & OXFORD STS,W D KELLEY SCHOOL,M,L
32,2,1900 N 20TH ST,HEALTH CENTER DISTRICT 05,M,N
32,3,28TH & OXFORD STS,W D KELLEY SCHOOL,M,L
32,4,28TH & OXFORD STS,W D KELLEY SCHOOL,M,N
32,5,16TH & BERKS STS,AMOS RECREATION CENTER,F,L
32,6,16TH & BERKS STS,AMOS RECREATION CENTER,F,L
32,7,16TH & DIAMOND STS,DUCKREY SCHOOL,F,N
32,8,16TH & BERKS STS,AMOS RECREATION CENTER,F,L
32,9,17TH & NORRIS STS,CARVER SCHOOL ENGINR & SCIENCE,F,L
32,10,3226 CLIFFORD ST,VERNON MARKS HOUSE,M,L
32,11,17TH & NORRIS STS,CARVER SCHOOL ENGINR & SCIENCE,F,L
32,12,2121 GRATZ ST,CHURCH OF THE ADVOCATE GYM,M,L
32,13,1924 N WOODSTOCK ST,WOODSTOCK COMMUNITY CENTER,M,L
32,14,1924 N WOODSTOCK ST,WOODSTOCK COMMUNITY CENTER,M,L
32,15,23RD & MONTGOMERY AVE,OLD ST ELIZABETHS SCHOOL,F,L
32,16,23RD & MONTGOMERY AVE,OLD ST ELIZABETHS SCHOOL,F,L
32,17,23RD & MONTGOMERY AVE,OLD ST ELIZABETHS SCHOOL,F,L
32,18,2500 W NORRIS ST,JOHNSON HOMES (PHA),M,L
32,19,2600 W SUSQUEHANNA AVE,CLARA BALDWIN MANOR,B,L
32,20,29TH & GLENWOOD AVE,GIDEON SCHOOL,M,N
32,21,30TH & BERKS STS,BLAINE SCHOOL,M,L
32,22,32ND & RIDGE AVE,STRAWBERRY MANSION SCHOOL,F,L
32,23,30TH & BERKS STS,BLAINE SCHOOL,M,L
32,24,30TH & BERKS STS,BLAINE SCHOOL,M,L
32,25,30TH & BERKS STS,BLAINE SCHOOL,M,L
32,26,33RD & DIAMOND STS,MANDER RECREATION CENTER,F,N
32,27,33RD & DIAMOND STS,MANDER RECREATION CENTER,F,N
32,28,2500 W NORRIS ST,JOHNSON HOMES (PHA),M,L
32,29,25TH & DIAMOND STS,HANK GATHERS RECREATION CTR,M,N
32,30,29TH & GLENWOOD AVE,GIDEON SCHOOL,M,L
32,31,3017 W OXFORD ST,THE SARTAIN APTS,M,N
33,1,901 E CAYUGA ST,RESTAURANT,M,H
33,2,J & CAYUGA STS,FERKO RECREATION CENTER,B,L
33,3,HOWLAND & CAYUGA STS,JUNIATA YOUTH CLUB,M,L
33,4,HOWLAND & CAYUGA STS,JUNIATA YOUTH CLUB,M,L
33,5,CASTOR AVE & CAYUGA ST,PICCOLI RECREATION CENTER,M,L
33,6,CASTOR AVE & CAYUGA ST,PICCOLI RECREATION CENTER,M,L
33,7,1500 E HUNTING PARK AVE,WATER DEPT LABORATORY,N,L
33,8,1500 E HUNTING PARK AVE,WATER DEPT LABORATORY,N,L
33,9,L & LUZERNE STS,HOPKINSON LITTLE SCHOOL HOUSE,M,L
33,10,L & LUZERNE STS,HOPKINSON LITTLE SCHOOL HOUSE,M,L
33,11,J ST & ERIE AVE,J STREET CAFE DINING ROOM,M,N
33,12,J ST & ERIE AVE,J STREET CAFE DINING ROOM,M,N
33,13,L & LUZERNE STS,HOPKINSON LITTLE SCHOOL HOUSE,M,L
33,14,L & SEDGELY STS,JUNIATA PARK OLDER ADULT CTR,F,L
33,15,H & TIOGA STS,HARROWGATE PAL CENTER,M,L
33,16,J & TIOGA STS,SCANLON RECREATION CENTER,F,N
33,17,ELKHART & HELEN STS,WILLARD SCHOOL,M,N
33,18,ELKHART & HELEN STS,WILLARD SCHOOL,M,N
33,19,H & TIOGA STS,HARROWGATE PAL CENTER,M,L
33,20,J & TIOGA STS,SCANLON RECREATION CENTER,F,N
33,21,H & TIOGA STS,HARROWGATE PAL CENTER,M,L
33,22,H & TIOGA STS,HARROWGATE PAL CENTER,M,L
