Ward,Division,Address,Location,Building Code,Parking Code
6,17,4700 PARKSIDE AVE,DISCOVERY CHARTER SCHOOL,F,H
6,18,1030 BELMONT AVE,STEPHEN SMITH TOWERS,M,H
7,1,216 W SOMERSET ST,CONGRESO DE LATINOS,M,N
7,2,216 W SOMERSET ST,CONGRESO DE LATINOS,M,N
7,3,216 W SOMERSET ST,CONGRESO DE LATINOS,M,N
7,4,3150 N MASCHER ST,SALVATION ARMY,F,N
7,5,167 W ALLEGHENY AVE,VILLAS DEL CARIBE,F,H
7,6,HOWARD & ONTARIO STS,SCHMIDT RECREATION CENTER,R,L
7,7,122 W ERIE AVE,ROBERTO CLEMENTE SCHOOL,B,L
7,8,4261 N 05TH ST,NUEVA ESPERANZA BUILDING,F,N
7,9,4261 N 05TH ST,NUEVA ESPERANZA BUILDING,F,N
7,10,D & CLEARFIELD STS,ELKIN SCHOOL,M,L
7,11,B & ALLEGHENY AVE,ASPIRA STETSON CHARTER SCHOOL,R,N
7,12,HOWARD & ONTARIO STS,CRAMP SCHOOL,M,N
7,13,2755 KENSINGTON AVE,ROCK MINISTRIES,M,N
7,14,3255 N FRONT ST,STOREFRONT,M,N
7,15,B & ALLEGHENY AVE,ASPIRA STETSON CHARTER SCHOOL,R,N
7,16,D & CLEARFIELD STS,ELKIN SCHOOL,M,L
7,17,2755 KENSINGTON AVE,ROCK MINISTRIES,M,N
7,18,B & ALLEGHENY AVE,ASPIRA STETSON CHARTER SCHOOL,R,N
7,19,B & ALLEGHENY AVE,ASPIRA STETSON CHARTER SCHOOL,R,N
7,20,2937 BOUDINOT @HART LA,FIRE ENGINE CO # 25,F,N
7,21,D & CLEARFIELD STS,ELKIN SCHOOL,M,L
7,22,D & CLEARFIELD STS,ELKIN SCHOOL,M,L
7,23,2937 BOUDINOT @HART LA,FIRE ENGINE CO # 25,F,N
8,1,2212 SPRUCE ST,TRINITY MEMORIAL CHURCH,B,N
8,2,2212 SPRUCE ST,TRINITY MEMORIAL CHURCH,B,N
8,3,1800 LOMBARD ST,PENN MEDICINE AT RITTENHOUSE,F,H
8,4,1800 LOMBARD ST,PENN MEDICINE AT RITTENHOUSE,F,H
8,5,100 S BROAD ST,LAND TITLE BUILDING,F,N
8,6,1701 DELANCEY ST,TENTH PRESBTERIAN CHURCH,M,N
8,7,2111 SANSOM ST,HOLY COMMUNION LUTHERAN CHURCH,M,N
8,8,201 S 21ST ST,FIRST PRESBYTERIAN CHURCH,A,N
8,9,22ND & CHESTNUT STS,GREENFIELD SCHOOL-ROOM 108,M,N
8,10,201 S 21ST ST,FIRST PRESBYTERIAN CHURCH,A,N
8,11,100 S BROAD ST,LAND TITLE BUILDING,F,N
8,12,201 S 21ST ST,FIRST PRESBYTERIAN CHURCH,A,N
8,13,22ND & CHESTNUT STS,GREENFIELD SCHOOL,M,N
8,14,BROAD & LOMBARD STS,HEALTH CENTER DISTRICT 01,F,N
8,15,1600 ARCH STREET,THE PHOENIX APTS,M,L
8,16,1919 CHESTNUT ST,WILLIAM PENN HOUSE,F,L
8,17,1815 JOHN F KENNEDY BLVD,THE STERLING APTS,F,N
8,18,1900 JOHN F KENNEDY BLVD,PENN CENTER HOUSE APTS,M,L
8,19,150 N 20TH ST,ATRIA SENIOR HOME,F,N
8,20,1701 DELANCEY ST,TENTH PRESBYTERIAN CHURCH,M,N
8,21,1420 LOCUST ST,ACADEMY HOUSE CONDOMINIUMS,M,L
8,22,2200 BEN FRANKLIN PKWY,PARK TOWNE PLACE SOUTH LOBBY,F,L
8,23,158 N 23RD ST,RIVERSIDE PRESBYTERIAN APTS,M,N
8,24,2201 PENNSYLVANIA AVE,PARKWAY HOUSE,M,L
8,25,2 FRANKLIN TOWN BLVD,THE WATERMARK,F,H
8,26,15TH & GREEN STS,BEN FRANKLIN HIGH SCHOOL,F,N
8,27,2400 CHESTNUT ST,2400 CHESTNUT ST BLDG,F,H
8,28,TANEY & PINE STS,MARKWARD RECREATION CENTER,F,L
8,29,1901 J F KENNEDY BLVD,KENNEDY HOUSE APTS,F,L
8,30,17TH ST-SOUTH OF SPRING GARDEN,COMMUNITY COLLEGE-WINNET BLDG,F,H
9,1,ARDLEIGH & GOWEN STS,GRACE EPIPHANY CHURCH,M,L
9,2,ARDLEIGH & GOWEN STS,GRACE EPIPHANY CHURCH,M,L
9,3,ARDLEIGH & GOWEN STS,GRACE EPIPHANY CHURCH,M,L
9,4,20 E MERMAID LANE,CHESTNUT HILL FRIENDS MEETING,F,H
