"","lon","lat","full_addr"
"1",-80.1394312,40.5324105," 100 NORTH DRIVE, ALEPPO, Pennsylvania, 15143"
"2",-79.9043584,40.49042," 217 COMMERCIAL AVE., ASPINWALL, Pennsylvania, 15215"
"3",-79.9037462,40.4991048," 201 12TH STREET, ASPINWALL, Pennsylvania, 15215"
"4",-79.9015214,40.4914404," 300 MAPLE AVE., ASPINWALL, Pennsylvania, 15215"
"5",-80.0675496,40.5007938," 640 CALIFORNIA AVE., AVALON, Pennsylvania, 15202"
"6",-80.0628129,40.4971343," CONF ROOM- 317 S. HOME AVE., AVALON, Pennsylvania, 15202"
"7",-80.0574188,40.4974439," EPIPHANY CHURCH 1ST FLOOR, AVALON, Pennsylvania, 15202"
"8",-80.0663706,40.5009265," 721 CALIFORNIA AVE., AVALON, Pennsylvania, 15202"
"9",-80.062276,40.499119," 939 CALIFORNIA AVE., AVALON, Pennsylvania, 15202"
"10",-80.062276,40.499119," 939 CALIFORNIA AVE., AVALON, Pennsylvania, 15212"
"11",-79.9706547,40.3955799," 330 JOSEPH ST., BALDWIN BORO, Pennsylvania, 15227"
"12",-79.9706547,40.3955799," 330 JOSEPH ST., BALDWIN BORO, Pennsylvania, 15227"
"13",-79.9569164,40.3834152," 3344 CHURCHVIEW AVE., BALDWIN BORO, Pennsylvania, 15227"
"14",-79.9616127,40.3866552," 3198 SCHIECK STREET, BALDWIN BORO, Pennsylvania, 15227"
"15",-79.9718564,40.3481272," 825 STREETS RUN RD., BALDWIN BORO, Pennsylvania, 15236"
"16",-79.9957567,40.3454344," 5151 MCANNULTY RD. , BALDWIN BORO, Pennsylvania, 15236"
"17",-79.9777147,40.3417063," 374 KNOEDLER RD., BALDWIN BORO, Pennsylvania, 15236"
"18",-79.9957567,40.3454344," 5151 MCANNULTY RD., BALDWIN BORO, Pennsylvania, 15236"
"19",-79.9633346,40.3572096," 41 MACEK DR., BALDWIN BORO, Pennsylvania, 15227"
"20",-79.9777147,40.3417063," 374 KNOEDLER RD., BALDWIN BORO, Pennsylvania, 15236"
"21",-79.9777147,40.3417063," 374 KNOEDLER RD., BALDWIN BORO, Pennsylvania, 15236"
"22",-79.9616127,40.3866552," 3198 SCHIECK STREET, BALDWIN BORO, Pennsylvania, 15227"
