Group.1,Group.2,Group.3,Group.4,Group.5,Group.6,x
F,R,FOREST,AP,D,vote00_04/04/2000,1
M,R,FOREST,AP,R,vote00_04/04/2000,1
F,D,ADAMS,AB,D,vote00_11/07/2000,14
M,D,ADAMS,AB,D,vote00_11/07/2000,6
F,R,ADAMS,AB,D,vote00_11/07/2000,2
M,R,ADAMS,AB,D,vote00_11/07/2000,1
F,D,ARMSTRONG,AB,D,vote00_11/07/2000,21
M,D,ARMSTRONG,AB,D,vote00_11/07/2000,6
F,R,ARMSTRONG,AB,D,vote00_11/07/2000,5
M,R,ARMSTRONG,AB,D,vote00_11/07/2000,1
F,D,BEAVER,AB,D,vote00_11/07/2000,93
M,D,BEAVER,AB,D,vote00_11/07/2000,63
F,R,BEAVER,AB,D,vote00_11/07/2000,8
M,R,BEAVER,AB,D,vote00_11/07/2000,2
F,D,WARREN,AB,D,vote00_11/07/2000,2
M,D,WARREN,AB,D,vote00_11/07/2000,1
U,D,WARREN,AB,D,vote00_11/07/2000,1
F,D,ADAMS,AP,D,vote00_11/07/2000,1034
M,D,ADAMS,AP,D,vote00_11/07/2000,724
U,D,ADAMS,AP,D,vote00_11/07/2000,4
M,GR,ADAMS,AP,D,vote00_11/07/2000,1
F,I,ADAMS,AP,D,vote00_11/07/2000,3
M,I,ADAMS,AP,D,vote00_11/07/2000,5
F,INDE,ADAMS,AP,D,vote00_11/07/2000,1
F,NF,ADAMS,AP,D,vote00_11/07/2000,4
M,NF,ADAMS,AP,D,vote00_11/07/2000,4
M,OTH,ADAMS,AP,D,vote00_11/07/2000,1
M,PR,ADAMS,AP,D,vote00_11/07/2000,1
F,R,ADAMS,AP,D,vote00_11/07/2000,94
M,R,ADAMS,AP,D,vote00_11/07/2000,93
U,R,ADAMS,AP,D,vote00_11/07/2000,1
F,D,ARMSTRONG,AP,D,vote00_11/07/2000,1104
M,D,ARMSTRONG,AP,D,vote00_11/07/2000,956
U,D,ARMSTRONG,AP,D,vote00_11/07/2000,8
F,I,ARMSTRONG,AP,D,vote00_11/07/2000,5
M,I,ARMSTRONG,AP,D,vote00_11/07/2000,3
M,LN,ARMSTRONG,AP,D,vote00_11/07/2000,1
F,NF,ARMSTRONG,AP,D,vote00_11/07/2000,5
M,NF,ARMSTRONG,AP,D,vote00_11/07/2000,3
F,OTH,ARMSTRONG,AP,D,vote00_11/07/2000,2
F,R,ARMSTRONG,AP,D,vote00_11/07/2000,166
M,R,ARMSTRONG,AP,D,vote00_11/07/2000,184
U,R,ARMSTRONG,AP,D,vote00_11/07/2000,4
M,CT,BEAVER,AP,D,vote00_11/07/2000,1
F,D,BEAVER,AP,D,vote00_11/07/2000,5151
M,D,BEAVER,AP,D,vote00_11/07/2000,4316
M,GR,BEAVER,AP,D,vote00_11/07/2000,1
F,I,BEAVER,AP,D,vote00_11/07/2000,24
M,I,BEAVER,AP,D,vote00_11/07/2000,15
F,INDE,BEAVER,AP,D,vote00_11/07/2000,1
M,INDE,BEAVER,AP,D,vote00_11/07/2000,1
F,LN,BEAVER,AP,D,vote00_11/07/2000,1
M,LN,BEAVER,AP,D,vote00_11/07/2000,1
F,NF,BEAVER,AP,D,vote00_11/07/2000,24
M,NF,BEAVER,AP,D,vote00_11/07/2000,23
F,NO,BEAVER,AP,D,vote00_11/07/2000,1
M,NO,BEAVER,AP,D,vote00_11/07/2000,1
M,NON,BEAVER,AP,D,vote00_11/07/2000,1
F,OTH,BEAVER,AP,D,vote00_11/07/2000,1
M,OTH,BEAVER,AP,D,vote00_11/07/2000,2
F,R,BEAVER,AP,D,vote00_11/07/2000,521
M,R,BEAVER,AP,D,vote00_11/07/2000,518
U,R,BEAVER,AP,D,vote00_11/07/2000,9
M,D,CLEARFIELD,AP,D,vote00_11/07/2000,1
F,D,WARREN,AP,D,vote00_11/07/2000,2
M,D,WARREN,AP,D,vote00_11/07/2000,4
U,D,WARREN,AP,D,vote00_11/07/2000,9
M,R,WARREN,AP,D,vote00_11/07/2000,1
F,R,ARMSTRONG,AP,LN,vote00_11/07/2000,1
F,NO,ARMSTRONG,AP,NO,vote00_11/07/2000,1
F,D,ADAMS,AB,R,vote00_11/07/2000,2
F,R,ADAMS,AB,R,vote00_11/07/2000,37
M,R,ADAMS,AB,R,vote00_11/07/2000,39
F,D,ARMSTRONG,AB,R,vote00_11/07/2000,2
M,D,ARMSTRONG,AB,R,vote00_11/07/2000,3
F,R,ARMSTRONG,AB,R,vote00_11/07/2000,35
M,R,ARMSTRONG,AB,R,vote00_11/07/2000,27
M,D,BEAVER,AB,R,vote00_11/07/2000,1
F,R,BEAVER,AB,R,vote00_11/07/2000,47
M,R,BEAVER,AB,R,vote00_11/07/2000,30
U,D,WARREN,AB,R,vote00_11/07/2000,1
F,R,WARREN,AB,R,vote00_11/07/2000,1
M,R,WARREN,AB,R,vote00_11/07/2000,1
U,R,WARREN,AB,R,vote00_11/07/2000,2
M,C,ADAMS,AP,R,vote00_11/07/2000,1
F,D,ADAMS,AP,R,vote00_11/07/2000,65
M,D,ADAMS,AP,R,vote00_11/07/2000,55
U,D,ADAMS,AP,R,vote00_11/07/2000,1
F,I,ADAMS,AP,R,vote00_11/07/2000,6
M,I,ADAMS,AP,R,vote00_11/07/2000,5
F,INDE,ADAMS,AP,R,vote00_11/07/2000,2
M,INDE,ADAMS,AP,R,vote00_11/07/2000,1
F,LN,ADAMS,AP,R,vote00_11/07/2000,2
M,LN,ADAMS,AP,R,vote00_11/07/2000,3
F,NF,ADAMS,AP,R,vote00_11/07/2000,7
M,NF,ADAMS,AP,R,vote00_11/07/2000,19
U,NF,ADAMS,AP,R,vote00_11/07/2000,2
F,OTH,ADAMS,AP,R,vote00_11/07/2000,1
M,OTH,ADAMS,AP,R,vote00_11/07/2000,1
F,R,ADAMS,AP,R,vote00_11/07/2000,2351
M,R,ADAMS,AP,R,vote00_11/07/2000,2390
U,R,ADAMS,AP,R,vote00_11/07/2000,7
M,C,ARMSTRONG,AP,R,vote00_11/07/2000,1
U,C,ARMSTRONG,AP,R,vote00_11/07/2000,1
F,D,ARMSTRONG,AP,R,vote00_11/07/2000,30
M,D,ARMSTRONG,AP,R,vote00_11/07/2000,16
F,I,ARMSTRONG,AP,R,vote00_11/07/2000,6
M,I,ARMSTRONG,AP,R,vote00_11/07/2000,10
F,LN,ARMSTRONG,AP,R,vote00_11/07/2000,1
F,NF,ARMSTRONG,AP,R,vote00_11/07/2000,4
M,NF,ARMSTRONG,AP,R,vote00_11/07/2000,6
F,OTH,ARMSTRONG,AP,R,vote00_11/07/2000,1
M,OTH,ARMSTRONG,AP,R,vote00_11/07/2000,2
F,R,ARMSTRONG,AP,R,vote00_11/07/2000,1938
M,R,ARMSTRONG,AP,R,vote00_11/07/2000,1981
U,R,ARMSTRONG,AP,R,vote00_11/07/2000,14
M,C,BEAVER,AP,R,vote00_11/07/2000,1
F,D,BEAVER,AP,R,vote00_11/07/2000,76
M,D,BEAVER,AP,R,vote00_11/07/2000,49
F,I,BEAVER,AP,R,vote00_11/07/2000,16
M,I,BEAVER,AP,R,vote00_11/07/2000,16
F,LN,BEAVER,AP,R,vote00_11/07/2000,1
M,LN,BEAVER,AP,R,vote00_11/07/2000,4
U,LN,BEAVER,AP,R,vote00_11/07/2000,1
F,NF,BEAVER,AP,R,vote00_11/07/2000,21
M,NF,BEAVER,AP,R,vote00_11/07/2000,17
M,OTH,BEAVER,AP,R,vote00_11/07/2000,1
F,R,BEAVER,AP,R,vote00_11/07/2000,2860
M,R,BEAVER,AP,R,vote00_11/07/2000,2733
F,R,CLEARFIELD,AP,R,vote00_11/07/2000,1
M,R,CLEARFIELD,AP,R,vote00_11/07/2000,1
U,D,WARREN,AP,R,vote00_11/07/2000,1
F,R,WARREN,AP,R,vote00_11/07/2000,21
M,R,WARREN,AP,R,vote00_11/07/2000,22
U,R,WARREN,AP,R,vote00_11/07/2000,30
F,D,BEAVER,AB,D,vote01_05/15/2001,1
M,D,BEAVER,AB,D,vote01_05/15/2001,1
F,D,CUMBERLAND,AB,D,vote01_05/15/2001,37
M,D,CUMBERLAND,AB,D,vote01_05/15/2001,24
F,R,CUMBERLAND,AB,D,vote01_05/15/2001,1
U,D,FRANKLIN,AB,D,vote01_05/15/2001,3
F,D,GREENE,AB,D,vote01_05/15/2001,10
M,D,GREENE,AB,D,vote01_05/15/2001,8
U,D,GREENE,AB,D,vote01_05/15/2001,30
F,R,GREENE,AB,D,vote01_05/15/2001,1
M,R,GREENE,AB,D,vote01_05/15/2001,2
U,R,GREENE,AB,D,vote01_05/15/2001,1
F,D,ADAMS,AP,D,vote01_05/15/2001,6
M,D,ADAMS,AP,D,vote01_05/15/2001,6
