,full_addr,lon,lat
89,"2001 Wylie Avenue, Pittsburgh 15219",-79.9811202,40.4443671
90,"2001 Wylie Avenue, Pittsburgh 15219",-79.9811202,40.4443671
91,"2001 Wylie Avenue, Pittsburgh 15219",-79.9811202,40.4443671
92,"230 South Bouquet Street, Pittsburgh 15213",-79.9538257,40.4417447
93,"2250 Centre Avenue, Pittsburgh 15219",-79.9739103,40.4446442
94,"4701 Butler Street, Pittsburgh 15201",-79.9581337,40.4743459
95,"4905 Fifth Avenue, Pittsburgh 15213",-79.9434692,40.4479845
96,"113 North Pacific Avenue, Pittsburgh 15224",-79.9400892,40.4652237
97,"4701 Butler Street, Pittsburgh 15201",-79.9581337,40.4743459
98,"4801 Stanton Avenue, Pittsburgh 15201",-79.9334387,40.4812232
99,"5799 Hampton Street, Pittsburgh 15206",-79.9219774,40.4749256
100,"6435 Frankstown Avenue, Pittsburgh 15206",-79.9152903,40.4614167
101,"7430 Tioga Street, Pittsburgh 15208",-79.894168,40.4526263
102,"2409 Shady Avenue, Pittsburgh 15217",-79.9191314,40.4295431
103,"2409 Shady Avenue, Pittsburgh 15217",-79.9191314,40.4295431
104,"202 Bedford Square, Pittsburgh 15203",-79.9865062,40.4294671
105,"202 Bedford Square, Pittsburgh 15203",-79.9865062,40.4294671
106,"125 Parkfield Street, Pittsburgh 15210",-79.9889586,40.3909252
107,"590 Crane Avenue, Pittsburgh 15216",-80.0179879,40.4181457
108,"2940 Sheraden Boulevard, Pittsburgh 15204",-80.0558498,40.4542883
109,"1612 Manhattan Street, Pittsburgh 15233",-80.0265946,40.4564013
110,"1612 Manhattan Street, Pittsburgh 15233",-80.0265946,40.4564013
111,"3875 Perrysville Avenue, Pittsburgh 15214",-80.019851,40.488746
112,"3875 Perrysville Avenue, Pittsburgh 15214",-80.019851,40.488746
113,"3875 Perrysville Avenue, Pittsburgh 15214",-80.019851,40.488746
114,"3875 Perrysville Avenue, Pittsburgh 15214",-80.019851,40.488746
115,"3875 Perrysville Avenue, Pittsburgh 15214",-80.019851,40.488746
116,"2940 Sheraden Boulevard, Pittsburgh 15204",-80.0558498,40.4542883
117,"125 Parkfield Street, Pittsburgh 15210",-79.9889586,40.3909252
118,"125 Parkfield Street, Pittsburgh 15210",-79.9889586,40.3909252
119,"1290 Mifflin Road, Pittsburgh 15207",-79.9147522,40.3700512
120,"125 Parkfield Street, Pittsburgh 15210",-79.9889586,40.3909252
121,"199 Old Clairton Road, Pittsburgh 15236",-79.9616393,40.3374249
122,"900 Elicker Road, Pittsburgh 15239",-79.7671025,40.5072527
123,"1707 Washington Boulevard, McKeesport 15133",-79.8781466,40.3303987
124,"320 Hawkins Avenue, Braddock 15104",-79.868016,40.410011
125,"33 Lonsdale Street, Pittsburgh 15214",-79.9824277,40.4742414
126,"4015 Dickey Road, Gibsonia 15044",-79.9524517,40.6416854
127,"225 Clever Road, McKees Rocks 15136",-80.1212841,40.4667849
128,"225 Cemetery Lane, Pittsburgh 15237",-80.0183563,40.509346
129,"400 Kings Highway, Carnegie 15106",-80.0915833,40.4231324
130,"2030 Swallow Hill Road, Pittsburgh 15220",-80.0795888,40.3968032
131,"618 Harbaugh Street, Sewickley 15143",-80.1807933,40.5359193
132,"1901 Glen Mitchell Road, Sewickley 15143",-80.1514497,40.5448584
133,"349 Magee Road, Sewickley 15143",-80.1230967,40.5620248
134,"1800 Mt. Royal Boulevard, Glenshaw 15116",-79.9622857,40.5276524
135,"1611 Main Street, Pittsburgh 15215",-79.9568091,40.466841
136,"3640 Old Oakdale Road, McDonald 15057",-80.1672145,40.375173
137,"1030 Cochrans Mill Road, Pittsburgh 15236",-79.9833649,40.321447
138,"414 Railroad Street, Coulter 15028",-79.804065,40.297677
139,"501 Butler Road, Springdale 15144",-79.7826526,40.5472806
140,"100 Plate Drive, Harwick 15049",-79.8058382,40.5547486
141,"555 Broadway Avenue, McKees Rocks 15136",-80.0714243,40.4706431
142,"7600 Evans Street, Pittsburgh 15218",-79.8777209,40.418869
143,"344 West Ninth Avenue, Tarentum 15084",-79.7654401,40.6000982
144,"545 Hamilton Road, Pittsburgh 15205",-80.0831249,40.432308
145,"550 5th Street Extension, Trafford 15085",-79.7672814,40.3876901
146,"126 Monroeville Avenue, Turtle Creek 15145",-79.8236338,40.4051033
147,"1500 Boyce Road, Pittsburgh 15241",-80.0945791,40.3167847
148,"736 East Railroad Avenue, Verona 15147",-79.8444236,40.5061515
149,"749 Center Street, McKeesport 15132",-79.8259579,40.318578
150,"413 Wall Avenue, Wilmerding 15148",-79.7904037,40.3939157
151,"17 East Union Road, Russellton 15076",-79.8575078,40.6239461
152,"800 4TH Street, Elizabeth 15088",-79.8972701,40.2718605
153,"447 West 8th Avenue, Homestead 15120",-79.9178695,40.4019404
154,"81 Commonwealth Avenue, West Mifflin 15122",-79.8717979,40.3802308
155,"398 Perry Highway, Pittsburgh 15229",-80.0305504,40.5181034
156,"239 Church Street, Whitaker 15120",-79.8864479,40.3988048
157,"4653 Clairton Boulevard, Pittsburgh 15236",-79.9773187,40.3559045
158,"1796 Lower Heckman Road, McKeesport 15131",-79.8066902,40.3530683
159,"110 Peffer Road, Turtle Creek 15145",-79.8288426,40.4194772
160,"605 Ross Avenue, Pittsburgh 15221",-79.8857873,40.4433836
161,"One Memorial Drive, Wilmerding 15148",-79.780718,40.426175
