agenew,yearofreg,weekofreg,c,cumulative_c
18-29,2012,13,460,6774
18-29,2012,14,436,7210
18-29,2012,15,507,7717
18-29,2012,16,721,8438
18-29,2012,17,745,9183
18-29,2012,18,480,9663
18-29,2012,19,548,10211
30-44,2012,1,649,649
30-44,2012,2,569,1218
30-44,2012,3,646,1864
30-44,2012,4,713,2577
30-44,2012,5,816,3393
30-44,2012,6,816,4209
30-44,2012,7,603,4812
30-44,2012,8,672,5484
30-44,2012,9,678,6162
30-44,2012,10,1045,7207
30-44,2012,11,735,7942
30-44,2012,12,652,8594
30-44,2012,13,689,9283
30-44,2012,14,581,9864
30-44,2012,15,541,10405
30-44,2012,16,544,10949
30-44,2012,17,598,11547
30-44,2012,18,584,12131
30-44,2012,19,609,12740
45-60,2012,1,681,681
45-60,2012,2,611,1292
45-60,2012,3,642,1934
45-60,2012,4,877,2811
45-60,2012,5,943,3754
45-60,2012,6,967,4721
45-60,2012,7,659,5380
45-60,2012,8,738,6118
45-60,2012,9,836,6954
45-60,2012,10,1179,8133
45-60,2012,11,767,8900
45-60,2012,12,671,9571
45-60,2012,13,680,10251
45-60,2012,14,605,10856
45-60,2012,15,621,11477
45-60,2012,16,560,12037
45-60,2012,17,544,12581
45-60,2012,18,595,13176
45-60,2012,19,606,13782
60+,2012,1,838,838
60+,2012,2,943,1781
60+,2012,3,911,2692
60+,2012,4,1149,3841
60+,2012,5,1308,5149
60+,2012,6,1349,6498
60+,2012,7,808,7306
60+,2012,8,826,8132
60+,2012,9,1070,9202
60+,2012,10,1403,10605
60+,2012,11,812,11417
60+,2012,12,808,12225
60+,2012,13,723,12948
60+,2012,14,580,13528
60+,2012,15,685,14213
60+,2012,16,707,14920
60+,2012,17,690,15610
60+,2012,18,694,16304
60+,2012,19,790,17094
18-29,2016,1,1080,1080
18-29,2016,2,1136,2216
18-29,2016,3,1360,3576
18-29,2016,4,3762,7338
18-29,2016,5,6038,13376
18-29,2016,6,537,13913
18-29,2016,7,468,14381
18-29,2016,8,841,15222
18-29,2016,9,2283,17505
18-29,2016,10,584,18089
18-29,2016,11,700,18789
18-29,2016,12,508,19297
18-29,2016,13,584,19881
18-29,2016,14,801,20682
18-29,2016,15,778,21460
18-29,2016,16,680,22140
18-29,2016,17,1130,23270
18-29,2016,18,432,23702
18-29,2016,19,498,24200
30-44,2016,1,977,977
30-44,2016,2,1345,2322
30-44,2016,3,1595,3917
30-44,2016,4,3301,7218
30-44,2016,5,4038,11256
30-44,2016,6,800,12056
30-44,2016,7,696,12752
30-44,2016,8,1146,13898
30-44,2016,9,3705,17603
30-44,2016,10,753,18356
30-44,2016,11,812,19168
30-44,2016,12,764,19932
30-44,2016,13,802,20734
30-44,2016,14,901,21635
30-44,2016,15,788,22423
30-44,2016,16,688,23111
30-44,2016,17,851,23962
30-44,2016,18,647,24609
30-44,2016,19,606,25215
45-60,2016,1,794,794
45-60,2016,2,1079,1873
45-60,2016,3,1113,2986
45-60,2016,4,2376,5362
45-60,2016,5,2798,8160
45-60,2016,6,601,8761
45-60,2016,7,580,9341
45-60,2016,8,947,10288
45-60,2016,9,2527,12815
45-60,2016,10,666,13481
45-60,2016,11,639,14120
45-60,2016,12,675,14795
45-60,2016,13,752,15547
45-60,2016,14,797,16344
45-60,2016,15,807,17151
45-60,2016,16,657,17808
45-60,2016,17,814,18622
45-60,2016,18,529,19151
45-60,2016,19,547,19698
60+,2016,1,1259,1259
60+,2016,2,1385,2644
60+,2016,3,1372,4016
60+,2016,4,2589,6605
60+,2016,5,3197,9802
60+,2016,6,812,10614
60+,2016,7,721,11335
60+,2016,8,1068,12403
60+,2016,9,2122,14525
60+,2016,10,869,15394
60+,2016,11,812,16206
60+,2016,12,821,17027
60+,2016,13,849,17876
60+,2016,14,1066,18942
60+,2016,15,955,19897
60+,2016,16,803,20700
60+,2016,17,976,21676
60+,2016,18,574,22250
60+,2016,19,584,22834
18-29,2020,1,1415,1415
18-29,2020,2,1271,2686
18-29,2020,3,1372,4058
18-29,2020,4,1428,5486
18-29,2020,5,1794,7280
18-29,2020,6,1803,9083
18-29,2020,7,2531,11614
18-29,2020,8,6187,17801
18-29,2020,9,1211,19012
18-29,2020,10,1252,20264
18-29,2020,11,972,21236
18-29,2020,12,569,21805
18-29,2020,13,479,22284
18-29,2020,14,743,23027
18-29,2020,15,653,23680
18-29,2020,16,703,24383
18-29,2020,17,554,24937
18-29,2020,18,1011,25948
18-29,2020,19,1281,27229
30-44,2020,1,1005,1005
30-44,2020,2,1011,2016
30-44,2020,3,969,2985
30-44,2020,4,1215,4200
30-44,2020,5,1206,5406
30-44,2020,6,1258,6664
30-44,2020,7,1651,8315
30-44,2020,8,3045,11360
30-44,2020,9,974,12334
30-44,2020,10,959,13293
30-44,2020,11,778,14071
30-44,2020,12,595,14666
30-44,2020,13,471,15137
30-44,2020,14,564,15701
