county,age_2016prepri,age1829_2016prepri,age3044_2016prepri,age4560_2016prepri,age60plus_2016prepri,age1829reject_2016prepri,age3044reject_2016prepri,age4560reject_2016prepri,age60plusreject_2016prepri,white_2016prepri,black_2016prepri,hispanic_2016prepri,other_2016prepri,male_2016prepri,VBM2016gen_2016prepri,VBM2016prepri_2016prepri,VBM2016genpri_2016prepri,VBM2018gen_2016prepri,VBM2018genpri_2016prepri,partydem_2016prepri,partyrep_2016prepri,partynp_2016prepri,electionday_2016prepri,bymail_2016prepri,early_2016prepri,rejected_2016prepri,lateballot_2016prepri,WHreject_2016prepri,BHreject_2016prepri,HPreject_2016prepri,OTreject_2016prepri,votedpop_2016prepri,votedbymailpop_2016prepri,rejectedpop_2016prepri,whitepop_2016prepri,blackpop_2016prepri,hispanicpop_2016prepri,otherpop_2016prepri,asianpop_2016prepri,age_2020combopri,age1829_2020combopri,age3044_2020combopri,age4560_2020combopri,age60plus_2020combopri,age1829reject_2020combopri,age3044reject_2020combopri,age4560reject_2020combopri,age60plusreject_2020combopri,white_2020combopri,black_2020combopri,hispanic_2020combopri,other_2020combopri,male_2020combopri,VBM2016gen_2020combopri,VBM2016prepri_2020combopri,VBM2016genpri_2020combopri,VBM2018gen_2020combopri,VBM2018genpri_2020combopri,partydem_2020combopri,partyrep_2020combopri,partynp_2020combopri,electionday_2020combopri,bymail_2020combopri,early_2020combopri,newvoter_2020combopri,rejected_2020combopri,lateballot_2020combopri,WHreject_2020combopri,BHreject_2020combopri,HPreject_2020combopri,OTreject_2020combopri,votedpop_2020combopri,votedbymailpop_2020combopri,newvoterpop_2020combopri,rejectedpop_2020combopri,whitepop_2020combopri,blackpop_2020combopri,hispanicpop_2020combopri,otherpop_2020combopri,asianpop_2020combopri,county_code,county_age,county_age1829,county_age3044,county_age4560,county_age60plus,county_white,county_black,county_hispanic,county_other,datestr,state,fips,cases,deaths
JONES,59.173561,.040590979,.14758943,.29393467,.51788491,.026819924,.0031612224,.00052910054,.0045045046,.72466767,.20827179,.0033973411,.012286158,.42215657,.066217043,.053210463,.08855664,.071172051,.084538735,.29512554,.70487446,0,.74564254,.058788773,.19556868,.090452261,0,.089686096,.05479452,1,.0099009899,6770,398,36,4906,1410,23,79,12,58.437168,.081043661,.13823216,.24749734,.53322685,.0039421814,.0023112481,.0043029259,.0025963651,.67967671,.29299161,.0038285654,.019488817,.44273105,.091381229,.080174133,.11127523,.1123798,.11938099,.39327875,.58811015,.018611081,.29501224,.51292139,.19206636,.055910543,.0072809439,.0097841118,.0053313025,.010325655,0,.01369863,9403,4823,525,29,6391,2755,36,183,25,84,49.113914,.18551254,.23800118,.26096189,.3155244,.70309103,.2444203,.0064684968,.046020146,2020-06-09,Georgia,13169,49,0
LAMAR,59.244797,.040882871,.15550539,.27062955,.53298217,.024539877,.0048387097,.0037071363,.0032941177,.71669841,.19291151,.0019029495,.038625535,.42221692,.034371909,.018407842,.037940379,.041454934,.024501424,.26474786,.73525214,0,.76022834,.023073263,.21669838,.19587629,0,.18367347,.2857143,,.050000001,4204,97,19,3013,811,8,154,1,58.461956,.078438461,.12669438,.25501537,.53985178,.0023041475,.0014265336,.0014174344,.0033478406,.69133574,.25685921,.0046931407,.044641245,.44332129,.050700042,.02331214,.038920276,.068958379,.033535164,.34981948,.63339353,.016787004,.29241878,.52617329,.18140794,.061630219,.0059752455,.0014440434,.007175473,.0014430014,0,.01980198,5540,2915,341,14,3830,1423,26,247,7,85,49.508369,.1812727,.23582821,.25359228,.32930681,.67827255,.2309332,.0086057158,.082188539,2020-06-09,Georgia,13171,76,4
LANIER,57.606861,.053649954,.18293755,.27176782,.49164468,.016393442,.0048076925,0,.0035778175,.72450656,.15953948,.0041118423,.043975376,.42105263,.011158798,.0074380166,.0085714282,.031609196,.014195584,.25575659,.74424344,0,.73026317,.01069079,.25904605,.30769232,0,.60000002,.5,,0,1216,13,4,881,194,5,50,7,56.18903,.084231146,.18070519,.25563174,.47943193,0,0,0,.0030643514,.76111382,.17098193,.011235955,.051909894,.43527111,.018181818,.0032258064,.010660981,.045893721,.01835853,.25403029,.72056669,.025403028,.2418173,.48168051,.27650219,.095004894,.003773585,.0034196386,.0016366612,.014492754,0,0,2047,986,194,3,1558,350,23,106,5,86,46.971607,.20518322,.28111589,.24215913,.27154177,.69907558,.20303731,.020468801,.07741829,2020-06-09,Georgia,13173,34,2
LAURENS,59.8988,.038057461,.14944254,.27026159,.54223841,.050704226,.0093256813,.0031733438,.0035587188,.70043516,.21556522,.002732517,.02476415,.41969436,.053573295,.034394775,.04508435,.055686537,.049828913,.28827643,.71121693,.00050663692,.8105455,.041797388,.14765713,.16707022,0,.16143498,.20987654,,.036697246,9881,413,69,6921,2130,27,231,19,57.801636,.081986219,.15109165,.25445998,.51246214,.0015710919,.0021312872,.00075930142,.0017594571,.6563223,.30107942,.0040478026,.032266375,.42855307,.076794654,.048157606,.05421396,.10038325,.078396931,.36648676,.61211771,.021395529,.31174505,.52319455,.1650604,.058800798,.0036204555,.0033410434,.0027868091,.0053242981,0,.0045454544,15564,8143,913,24,10215,4686,63,501,62,87,49.179958,.19058061,.24197035,.24586165,.32158741,.58699816,.33746138,.0082458304,.067294627,2020-06-09,Georgia,13175,116,1
LEE,56.462582,.043853443,.17753571,.3324374,.44617343,.025806451,.0015936255,.0012765958,.0025364617,.7907387,.12968495,.0043454645,.032960813,.44744703,.023786066,.011583538,.015873017,.024813896,.017869657,.18712656,.81287342,0,.86501902,.014801738,.12017925,.22018349,0,.2238806,.25,,0,7364,109,24,5823,955,32,233,26,55.603638,.082521118,.17489712,.28665799,.45592377,.0065616798,.0037151703,.0026445033,.0021377672,.73169678,.20968963,.0052990159,.044401128,.45582351,.037216417,.015039062,.023129251,.046659995,.027417028,.28492528,.68648475,.028589994,.37525684,.48967233,.13507083,.063569419,.007395234,.018384341,.0059947544,.011627907,.1,.0058139535,9247,4528,587,27,6766,1939,49,410,70,88,47.13752,.18555169,.27898583,.27282766,.26263484,.70496053,.18742037,.011509386,.09610974,2020-06-09,Georgia,13177,368,22
LIBERTY,58.892517,.035881687,.14352675,.30046871,.52012283,.027027028,.0078828828,.0005379236,.0015537601,.44091329,.43150261,.024220919,.05236787,.4207035,.021436753,.0057391035,.066299945,.03008596,.0090318937,.54736191,.45263806,0,.78679419,.0089478558,.20425795,.36206895,0,.27777779,.4642857,0,.090909094,6482,58,21,2858,2797,157,324,51,55.489216,.087160677,.1624358,.29559794,.45480558,.012626262,.00767841,.0076942169,.0077431845,.36279616,.52424264,.026406514,.074027881,.4343138,.032470632,.0059181899,.08214698,.061639521,.011247272,.78867453,.18440549,.026919974,.22188807,.48631996,.29179198,.094057225,.020196507,.0064549255,.015013649,.022710349,.02919708,.030927835,13633,6630,1282,111,4946,7147,360,1009,168,89,43.94651,.26445383,.29052636,.22543561,.21958418,.33557725,.42200243,.061491858,.18092847,2020-06-09,Georgia,13179,86,1
LINCOLN,60.867119,.052607711,.12879819,.230839,.58775508,.017241379,.0035211267,.0039292732,.0023148148,.69875908,.20710312,.001711596,.03718821,.41934103,.063386522,.042332612,.032996632,.06904877,.051369864,.27941805,.72058195,0,.7518186,.048780486,.19940095,.087719299,0,.0625,.10714286,,0,2337,114,10,1633,484,4,82,2,60.346653,.076899789,.10838632,.22282773,.59188616,0,0,0,0,.66103232,.28342891,.0018110474,.049349077,.44642317,.11719833,.056272585,.081126757,.12665986,.07778915,.35416666,.63466185,.011171497,.28282523,.53546637,.18170843,.03996367,0,0,0,0,0,0,3313,1774,132,0,2190,939,6,163,5,90,52.562004,.15172638,.20003241,.24444805,.40379316,.65348458,.26272285,.0035656402,.080077812,2020-06-09,Georgia,13181,16,1
LONG,56.421917,.042465754,.17876713,.33356163,.44520548,0,0,0,0,.70638019,.14908855,.018229166,.075342469,.45898438,.010966416,.0026058631,.006554307,.024114544,.012820513,.25,.74934894,.00065104169,.82877606,.0026041667,.1686198,0,0,0,,,0,1536,4,0,1085,229,28,110,8,51.966995,.1074117,.2298784,.29820499,.36450493,0,.0037783375,.0077669905,.0023828435,.65538192,.23350695,.025173612,.079617836,.4620949,.018424148,.00079302141,.020966802,.040719002,.023711341,.34346065,.6032986,.053240743,.36226851,.3454861,.29224536,.11146497,.014846236,.0037615742,.012302285,.018726591,.034482758,.01369863,3456,1194,385,14,2265,807,87,275,20,91,43.722786,.24126984,.3184844,.24219149,.19805427,.54039937,.24167947,.051612902,.16630824,2020-06-09,Georgia,13183,17,1
LOWNDES,56.950577,.072899885,.18314154,.26542002,.47853854,.0063141277,.00062833802,.00043355735,.001442828,.68914145,.22290885,.0082763191,.03452244,.42120945,.030333372,.021960305,.052465703,.036541432,.013870044,.33107102,.66892898,0,.73466122,.028029133,.23730965,.057312254,0,.044520549,.10227273,0,.017094018,18124,508,29,12490,4040,150,600,100,57.780468,.094044328,.1415585,.23368165,.53071553,0,0,.00020052136,.00017658484,.58552229,.35196891,.011378002,.042875215,.41695932,.042265873,.028840922,.047287207,.073235981,.017718572,.49894649,.47946808,.021585429,.24479094,.51472586,.24048321,.074691907,.00036491911,.0018260991,0,.0011737089,0,0,21357,10993,1594,3,12505,7517,243,915,161,92,46.15551,.23028599,.28123972,.22806951,.2604048,.55515867,.34075537,.024621932,.079463989,2020-06-09,Georgia,13185,474,4
LUMPKIN,59.350594,.061390534,.14201184,.23994082,.55665678,.012048192,.003125,.0006165228,.0018602179,.89169729,.0040948885,.0072013554,.051775146,.45679188,.038410202,.01489573,.028405797,.038696874,.023507463,.15842982,.8415702,0,.7595312,.018356396,.2221124,.15384616,0,.13402061,0,,.09375,7082,130,20,6315,29,51,350,15,58.373947,.082717113,.13533963,.23430783,.54763544,.0041580042,.00063532399,.0011009175,.0012560842,.92586547,.0043810671,.0075594881,.058555461,.46550983,.052207574,.019102486,.032102022,.052599009,.031242313,.18280217,.78592902,.03126879,.17275149,.54204965,.28519887,.077644028,.0029795158,.0013744524,.0028169013,0,.068965517,0,11641,6310,903,16,10778,51,88,681,32,93,49.669773,.20029713,.21745002,.23118134,.35107151,.87781382,.0085539352,.015262021,.098370254,2020-06-09,Georgia,13187,103,1
