county,age_2016gen,age1829_2016gen,age3044_2016gen,age4560_2016gen,age60plus_2016gen,age1829reject_2016gen,age3044reject_2016gen,age4560reject_2016gen,age60plusreject_2016gen,white_2016gen,black_2016gen,hispanic_2016gen,other_2016gen,male_2016gen,VBM2016gen_2016gen,VBM2016prepri_2016gen,VBM2016genpri_2016gen,VBM2018gen_2016gen,VBM2018genpri_2016gen,partydem_2016gen,partyrep_2016gen,partynp_2016gen,electionday_2016gen,bymail_2016gen,early_2016gen,rejected_2016gen,lateballot_2016gen,WHreject_2016gen,BHreject_2016gen,HPreject_2016gen,OTreject_2016gen,votedpop_2016gen,votedbymailpop_2016gen,rejectedpop_2016gen,whitepop_2016gen,blackpop_2016gen,hispanicpop_2016gen,otherpop_2016gen,asianpop_2016gen,age_2016prepri,age1829_2016prepri,age3044_2016prepri,age4560_2016prepri,age60plus_2016prepri,age1829reject_2016prepri,age3044reject_2016prepri,age4560reject_2016prepri,age60plusreject_2016prepri,white_2016prepri,black_2016prepri,hispanic_2016prepri,other_2016prepri,male_2016prepri,VBM2016gen_2016prepri,VBM2016prepri_2016prepri,VBM2016genpri_2016prepri,VBM2018gen_2016prepri,VBM2018genpri_2016prepri,partydem_2016prepri,partyrep_2016prepri,partynp_2016prepri,electionday_2016prepri,bymail_2016prepri,early_2016prepri,rejected_2016prepri,lateballot_2016prepri,WHreject_2016prepri,BHreject_2016prepri,HPreject_2016prepri,OTreject_2016prepri,votedpop_2016prepri,votedbymailpop_2016prepri,rejectedpop_2016prepri,whitepop_2016prepri,blackpop_2016prepri,hispanicpop_2016prepri,otherpop_2016prepri,asianpop_2016prepri,age_2016genpri,age1829_2016genpri,age3044_2016genpri,age4560_2016genpri,age60plus_2016genpri,age1829reject_2016genpri,age3044reject_2016genpri,age4560reject_2016genpri,age60plusreject_2016genpri,white_2016genpri,black_2016genpri,hispanic_2016genpri,other_2016genpri,male_2016genpri,VBM2016gen_2016genpri,VBM2016prepri_2016genpri,VBM2016genpri_2016genpri,VBM2018gen_2016genpri,VBM2018genpri_2016genpri,partydem_2016genpri,partyrep_2016genpri,partynp_2016genpri,electionday_2016genpri,bymail_2016genpri,early_2016genpri,rejected_2016genpri,lateballot_2016genpri,WHreject_2016genpri,BHreject_2016genpri,HPreject_2016genpri,OTreject_2016genpri,votedpop_2016genpri,votedbymailpop_2016genpri,rejectedpop_2016genpri,whitepop_2016genpri,blackpop_2016genpri,hispanicpop_2016genpri,otherpop_2016genpri,asianpop_2016genpri,age_2018gen,age1829_2018gen,age3044_2018gen,age4560_2018gen,age60plus_2018gen,age1829reject_2018gen,age3044reject_2018gen,age4560reject_2018gen,age60plusreject_2018gen,white_2018gen,black_2018gen,hispanic_2018gen,other_2018gen,male_2018gen,VBM2016gen_2018gen,VBM2016prepri_2018gen,VBM2016genpri_2018gen,VBM2018gen_2018gen,VBM2018genpri_2018gen,partydem_2018gen,partyrep_2018gen,partynp_2018gen,electionday_2018gen,bymail_2018gen,early_2018gen,rejected_2018gen,lateballot_2018gen,WHreject_2018gen,BHreject_2018gen,HPreject_2018gen,OTreject_2018gen,votedpop_2018gen,votedbymailpop_2018gen,rejectedpop_2018gen,whitepop_2018gen,blackpop_2018gen,hispanicpop_2018gen,otherpop_2018gen,asianpop_2018gen,age_2018genpri,age1829_2018genpri,age3044_2018genpri,age4560_2018genpri,age60plus_2018genpri,age1829reject_2018genpri,age3044reject_2018genpri,age4560reject_2018genpri,age60plusreject_2018genpri,white_2018genpri,black_2018genpri,hispanic_2018genpri,other_2018genpri,male_2018genpri,VBM2016gen_2018genpri,VBM2016prepri_2018genpri,VBM2016genpri_2018genpri,VBM2018gen_2018genpri,VBM2018genpri_2018genpri,partydem_2018genpri,partyrep_2018genpri,partynp_2018genpri,electionday_2018genpri,bymail_2018genpri,early_2018genpri,rejected_2018genpri,lateballot_2018genpri,WHreject_2018genpri,BHreject_2018genpri,HPreject_2018genpri,OTreject_2018genpri,votedpop_2018genpri,votedbymailpop_2018genpri,rejectedpop_2018genpri,whitepop_2018genpri,blackpop_2018genpri,hispanicpop_2018genpri,otherpop_2018genpri,asianpop_2018genpri,age_2020combopri,age1829_2020combopri,age3044_2020combopri,age4560_2020combopri,age60plus_2020combopri,age1829reject_2020combopri,age3044reject_2020combopri,age4560reject_2020combopri,age60plusreject_2020combopri,white_2020combopri,black_2020combopri,hispanic_2020combopri,other_2020combopri,male_2020combopri,VBM2016gen_2020combopri,VBM2016prepri_2020combopri,VBM2016genpri_2020combopri,VBM2018gen_2020combopri,VBM2018genpri_2020combopri,partydem_2020combopri,partyrep_2020combopri,partynp_2020combopri,electionday_2020combopri,bymail_2020combopri,early_2020combopri,newvoter_2020combopri,rejected_2020combopri,lateballot_2020combopri,WHreject_2020combopri,BHreject_2020combopri,HPreject_2020combopri,OTreject_2020combopri,votedpop_2020combopri,votedbymailpop_2020combopri,newvoterpop_2020combopri,rejectedpop_2020combopri,whitepop_2020combopri,blackpop_2020combopri,hispanicpop_2020combopri,otherpop_2020combopri,asianpop_2020combopri,county_code,county_age,county_age1829,county_age3044,county_age4560,county_age60plus,county_white,county_black,county_hispanic,county_other,datestr,state,fips,cases,deaths,d_cases,d_deaths
CHATTOOGA,56.161705,.074872307,.18774137,.28229725,.45508906,.0033277869,0,.00044130627,.0024637284,.82710338,.062299751,.0037973181,.06004734,.43752226,.027820896,.0077441917,.01230884,.027803099,.01010565,,,,.46244216,.032633204,.50492465,.047430828,0,.044585988,.14814815,,.014492754,8427,275,12,6970,525,32,482,18,60.055866,.04246714,.13523762,.2618807,.56041455,.011904762,0,.00096525095,.0022553001,.85446686,.051392891,.0019212295,.043225482,.46902016,.013937282,.008441872,.0096571706,.021264995,.0060240962,.21763152,.78236848,0,.75912583,.012728146,.22814602,.30769232,0,.25,0,,0,4164,53,16,3558,214,8,171,5,61.975834,.035289604,.11392405,.24204066,.60874569,0,0,0,.0012602394,.85052478,.056098443,.0010857764,.036056772,.46471226,.024181549,.0091831805,.012731902,.020016341,.0093390802,.47788253,.52139229,.00072516315,.67064786,.01664857,.31270358,.11627907,0,.041666668,.5,,0,2763,46,5,2350,155,3,94,5,56.072536,.082263947,.17749561,.27907604,.46116439,.0016420361,.00076103501,.0014520814,.0014645577,.84414029,.068695188,.0047834176,.06497366,.46651608,.020189844,.0057189544,.008903278,.02989677,.010564998,,,,.50159448,.036805741,.4615998,.041322313,0,.046052631,.020833334,.5,.025641026,7526,277,10,6353,517,36,481,16,62.111462,.026733123,.1087449,.23742637,.62709558,.016949153,0,.001908397,0,.85543239,.083370291,.00088691799,.038966924,.49002218,.017857144,.0048019206,.0078459345,.021168891,.01023587,.29693741,.67376828,.029294275,.69578713,.013747228,.29046562,.07692308,0,.13333334,0,,0,2255,31,2,1929,188,2,86,2,57.582039,.081258006,.14387363,.26312792,.51174045,.0087565677,.002967359,.0016224986,.0058398219,.86701751,.05959323,.0031290001,.068165645,.46451429,.022812394,.0059456397,.0084615387,.029988073,.010457517,.1765794,.78727943,.03614115,.3330963,.41985494,.24704878,.082254164,.012769354,.0051201819,.010722611,.011173184,.16666667,.035294119,7031,2952,578,32,6096,419,22,479,11,27,50.227116,.18230014,.2182795,.25326926,.34615111,.80038172,.065102145,.0095426589,.12497349,2020-06-09,Georgia,13055,27,2,.6875,0
CHEROKEE,53.164658,.089357071,.21898736,.3295925,.36206308,.0042300331,.00086302555,.00043688391,.0010191146,.81854916,.045925833,.026214536,.076469637,.44832906,.045947835,.014381758,.029281089,.045447957,.01884253,,,,.40210521,.052525483,.54536927,.023746233,0,.019399539,.056122448,.037593983,.017640574,114097,5993,134,93394,5240,2991,8497,994,56.775723,.055909913,.16998194,.32273704,.4513711,.015375154,.0022251441,.00074579159,.0030090653,.84877539,.031412043,.016973173,.069423191,.45267352,.03780758,.014162881,.026970038,.041048523,.018381277,.15691081,.84308916,0,.75657338,.017823499,.22560315,.17924528,0,.17380661,.30000001,.30000001,.068807341,59977,1069,190,50907,1884,1018,4038,318,60.883511,.035027239,.11584951,.28319713,.56592613,.0048602675,.00073475385,.0010519988,.0020305333,.87917978,.01919535,.0081037944,.053881511,.47349897,.055006932,.025365854,.028533455,.050455373,.025567766,.069376513,.92881507,.0018083926,.62366474,.039454836,.33688045,.065721646,0,.059322033,.125,0,.019108281,24433,964,51,21481,469,198,1266,82,53.155235,.097852454,.20982756,.31945202,.37286797,.0036513885,.00053773075,.00026490065,.00093302398,.81678152,.05428385,.026923077,.084077701,.46386665,.039974038,.012409726,.024597231,.048411056,.019327732,,,,.49051034,.055485193,.45400447,.018617973,0,.014536341,.038684718,.017167382,.012311902,107380,5958,104,87706,5829,2891,8942,986,59.918819,.047962982,.12534326,.26938269,.55731106,.0015686274,.00030012004,.0002792906,.0016874789,.85957432,.044830911,.012125482,.065681078,.48342481,.041304264,.01605658,.024584185,.045333948,.018097188,.19305792,.80082327,.0061188163,.70961881,.021729456,.26865172,.061913695,0,.05934066,0,0,0,26968,586,33,23181,1209,327,1746,120,56.318935,.10384811,.14995494,.26021442,.48598254,.0023890357,.0013932427,.0012545163,.00051050569,.81775367,.0612402,.022374721,.088570572,.44826415,.061667208,.019663943,.03324113,.073908724,.027880231,.30991951,.65813476,.03194575,.27560699,.58917922,.13521376,.078529179,.0022529587,.0012002765,.0018693495,.0063731172,.0017825312,.0039643212,76649,45160,6014,79,62680,4694,1715,6783,711,28,48.518589,.18689066,.2425718,.27636707,.29417047,.77002949,.056320176,.037983373,.13566698,2020-06-09,Georgia,13057,978,35,.64924109,1.0588236
CLARKE,48.213169,.21155569,.27558473,.20147415,.31138542,.007307,.0049589463,.0027799399,.0037412765,.61001968,.21947627,.026944486,.09460973,.4045355,.055104677,.01873159,.058205932,.074534163,.027820447,,,,.42402911,.061664753,.51430613,.086528316,0,.068154402,.12007874,.15384616,.029259896,46169,2847,246,28164,10133,1244,4223,872,52.430996,.13134678,.26854518,.2039521,.39615592,.0068540098,.0038551793,.001324211,.0015907283,.67491859,.17420195,.017893594,.088989913,.41954398,.045946196,.017025363,.051022559,.064845532,.026346928,.61383772,.38616225,0,.82380021,.020846905,.15535288,.1691023,0,.13531353,.18867925,.33333334,.0625,23025,480,81,15540,4011,412,1977,276,63.127293,.03688838,.13283639,.18425076,.64602447,.025906736,.011510791,.0072614108,.0147929,.69226587,.18764716,.0057960516,.058295108,.42220613,.096461825,.047818791,.059698716,.093218647,.050250113,.60355359,.38922819,.0072182119,.72849119,.077341065,.19416772,.20892018,0,.19379845,.26666668,,.037037037,5521,427,89,3822,1036,32,305,37,48.158508,.22015636,.25789219,.2033059,.31864554,.00020826825,.00026669036,.00033829498,.0007194762,.62429279,.22384918,.028606346,.093697697,.42273572,.056010734,.017706973,.049944505,.06759993,.028405352,,,,.46288416,.07948219,.45763364,.0057161003,0,.0029498525,.013888889,.010869565,0,44186,3512,18,27585,9891,1264,4087,792,54.73365,.092785165,.23890437,.22737993,.44093055,.00057770073,0,0,.00060782884,.6783132,.19792052,.01541141,.085602485,.43421122,.046246383,.016785631,.043374021,.054655086,.02665817,.68855226,.2631551,.048292607,.65414047,.031139495,.31472,.017307693,0,.014044944,.011363637,0,0,18947,590,9,12852,3750,292,1597,165,51.958939,.17553525,.21835452,.19599202,.41011822,.0067854114,.0028637666,.0036463081,.0035576853,.65421814,.21919358,.022020532,.090373106,.41458115,.069885306,.0234375,.058121957,.087542675,.037077997,.75300562,.21408166,.03291275,.25499183,.57595599,.16905223,.078015663,.0081118708,.010355602,.0063764667,.011896669,.016528925,.011627907,33605,19355,2620,134,21985,7366,740,3035,457,29,44.043301,.28946543,.28637329,.18458463,.23957665,.56084317,.25927323,.037004914,.1428787,2020-06-09,Georgia,13059,328,15,.80219781,.15384614
CLAY,60.191879,.042993631,.17914012,.20461783,.57324839,0,.0044444446,.0077821012,.016666668,.42568544,.46176046,.0014430014,.015923567,.36724386,.051958434,.029069768,.12605043,.12997091,.13857678,,,,.42135641,.11183261,.46681097,.15151516,0,.055555556,.203125,,0,1386,155,20,590,640,2,20,4,63.652649,.015576324,.12928349,.18691589,.66822428,.1,0,0,.0023310024,.5007236,.41678727,.001447178,.010903426,.37916064,.031201247,.020348838,.049484536,.06779661,.0703125,.49782923,.50217074,0,.75976843,.023154847,.2170767,.125,0,.14285715,0,,.33333334,691,16,2,346,288,1,7,0,63.467957,.022354694,.13114753,.17138599,.67511177,0,0,0,.0066225166,.43203229,.45491251,.001345895,.013412816,.35666218,.057275541,.018480493,.085915491,.11658456,.12530713,.96630728,.033692721,0,.52489907,.12651414,.3485868,.061538462,0,0,.088235296,,0,743,94,4,321,338,1,9,2,59.061985,.056198347,.18512397,.21157025,.54710746,.014705882,0,.0078125,.022658611,.44292605,.50401932,.001607717,.022314049,.39549839,.044204321,.018121911,.074796751,.11729452,.12038835,,,,.37459806,.15916398,.46623793,.11363637,0,.052631579,.13559322,,0,1244,198,20,551,627,2,27,3,64.386925,.019434629,.10954063,.18021202,.69081271,0,0,.0098039219,.025575448,.4215017,.53071672,.0017064846,.010600707,.39419794,.04789272,.015424165,.077481844,.1195446,.12593985,.63139933,.36177474,.0068259384,.47440273,.19965871,.32593855,.15189873,0,.16666667,.15151516,,0,586,117,12,247,311,1,6,1,61.852665,.037617553,.13061652,.19331244,.63845348,0,.0080000004,0,.006546645,.48225468,.48643005,.003131524,.026123302,.40605429,.042236026,.018018018,.048913043,.099264704,.099796332,.59081417,.39561588,.013569937,.22964509,.55636746,.21398747,.062695928,.011013215,0,.004672897,.018018018,0,0,958,533,60,5,462,466,3,25,1,30,52.684826,.14883268,.2242218,.21400778,.41293773,.39883268,.55009729,.0019455253,.049124513,2020-06-09,Georgia,13061,49,2,.81481481,-.33333331
CLAYTON,51.022331,.10619827,.25423154,.31799418,.321576,.0023650385,.00042953482,.00044642857,.0023431133,.13112351,.70152605,.026281653,.092067614,.35666901,.031023223,.0094480896,.016777124,.056473941,.010256188,,,,.36115125,.039728325,.59912044,.038721573,0,.013002364,.04040404,.06666667,.0090579707,94819,3767,126,12433,66518,2492,8431,1700,56.666409,.043999787,.17509083,.32539004,.45551935,.0054644807,.0012206286,.0010673235,.0026977889,.18660718,.68204319,.016167294,.076592222,.34147283,.023147522,.009169084,.015335861,.038347147,.010161217,.79792172,.20207828,0,.75950181,.011783817,.22871435,.20394737,0,.10778443,.29310346,0,.045454547,38782,457,93,7237,26451,627,2867,250,59.499592,.036190476,.11478458,.31138322,.5376417,.020050125,.01580403,.0049519371,.0062420918,.18323536,.69945568,.0071848463,.066439912,.3482691,.039951026,.024162119,.016730379,.039105609,.015165877,.90585107,.087854609,.0062943264,.63670802,.042194646,.32109731,.21267454,0,.11231884,.26713949,.30000001,.070754714,22965,969,198,4208,16063,165,1465,149,49.967449,.13335408,.24886465,.30982468,.30795658,.0031398437,.0015530629,.0016979694,.0027541486,.11540255,.73241574,.027836056,.095401697,.37306884,.026704477,.0080590807,.015054516,.062973693,.01062457,,,,.41229576,.079958461,.5077458,.032248203,0,.012455516,.033304498,.04568528,.016489988,94374,7546,211,10891,69121,2627,8886,1618,57.543949,.051149279,.14199714,.31413656,.49271703,.0032921811,.00088941597,0,.00051264523,.1558156,.73530024,.01124528,.076450281,.35424706,.025533035,.010843094,.014050642,.025533194,.010480423,.85729104,.12420118,.01850776,.71915847,.017801568,.26303995,.042904291,0,.03809524,.059210528,,0,24099,429,13,3755,17720,271,1816,192,52.451672,.12918928,.19072102,.29239878,.38769093,.0045512277,.0027244049,.0038814067,.0045850528,.12252624,.75442815,.017370982,.088742428,.36677235,.038133398,.011692767,.020328311,.077816583,.014890069,.87378365,.098854691,.027361687,.31373003,.43393287,.2523371,.083067834,.010967694,.0081729721,.0060882801,.011439366,.022332506,.011722272,73168,31750,6075,294,8965,55200,1271,6490,1207,31,44.203548,.25019643,.28952274,.24760255,.2126783,.10401168,.70075297,.041098997,.15413208,2020-06-09,Georgia,13063,1362,54,.51165366,.58823526
CLINCH,54.812321,.070276976,.22364613,.29061595,.41546094,.011764706,.0036968577,0,.0089552235,.68392158,.22666667,.002745098,.034725092,.41411763,.03331995,.0030991735,.037547894,.042726349,.028368793,,,,.41333333,.052156862,.53450978,.17391305,0,.13043478,.20588236,,0,2550,133,20,1744,578,7,84,6,59.014214,.027411168,.18477157,.27715737,.51065987,.11111111,0,0,.0079522859,.76112187,.15764023,.0029013539,.030456852,.45261121,.015384615,.0029239766,.0084507046,.023230089,.0082304524,.20813166,.79186833,0,.78723407,.0096711796,.20309478,.69999999,0,.625,1,,,1034,10,7,787,163,3,30,2,57.708778,.040685225,.18415418,.2955032,.47965738,0,.003875969,.0048309178,.0044642859,.72444141,.19092755,.00067704805,.033547465,.43601894,.040154438,.0028248588,.035343036,.034424853,.033123028,.079180889,.92013651,.00068259385,.60731214,.050101556,.34258634,.11111111,0,0,.22222222,,0,1477,74,7,1070,282,1,47,1,54.379974,.080891997,.20944469,.30389157,.40577176,0,0,.0014388489,.0032327587,.72938144,.21219932,.0017182131,.03672934,.44716495,.027245207,.0022050717,.019343987,.044345897,.034238487,,,,.39561856,.065721646,.53865981,.043103449,0,.046511628,.017241379,,.06666667,2328,153,5,1698,494,4,84,7,57.208458,.065880038,.1740413,.27728614,.48279253,.029850746,0,.0070921984,.00407332,.58531934,.34699714,.00095328887,.03539823,.43183985,.029205607,.0020242915,.042452831,.047562424,.031683169,.65580058,.32598275,.018216683,.5195424,.051477596,.42897999,.2,0,.21428572,.16666667,,0,1049,54,9,614,364,1,36,2,53.919746,.10360934,.19320594,.29511678,.40806794,0,0,0,0,.73355961,.22146797,.0012728045,.040764332,.45905814,.030456852,.0022779044,.0252738,.046103183,.023310022,.11752228,.87144673,.011030972,.33856598,.29995757,.36147645,.11549894,0,.0046669496,0,0,0,0,2357,707,272,0,1729,522,3,96,5,32,49.456703,.17690875,.24138734,.25558659,.32611731,.65339851,.27071694,.0062849163,.069599628,2020-06-09,Georgia,13065,72,2,3.2352943,
COBB,52.16272,.098606564,.24225926,.31463066,.34450352,.0050809877,.0010779239,.00042464075,.00068749726,.61149871,.22753392,.035906266,.072829902,.42413083,.067844443,.019313227,.041059863,.078494072,.027441734,,,,.5023433,.077479467,.42017722,.016146002,0,.012070674,.031857815,.030018762,.010507881,339690,26319,399,207720,77291,12197,23985,8136,56.332993,.056447845,.1867644,.31040108,.44638667,.020839879,.002627081,.001561637,.0034166302,.69209039,.17729232,.024436636,.058853783,.42426124,.061791055,.019255999,.038399231,.069443986,.02813421,.35699928,.64300072,0,.82136941,.023867151,.15476346,.17180406,0,.15847512,.28155339,.30000001,.048814505,175597,4191,719,121529,31132,4291,9956,2257,62.848766,.029366275,.096823446,.24996035,.62384993,.0054017557,.0012287528,.001824528,.0030513001,.73138702,.16207483,.0093726376,.044951618,.44542706,.096466519,.040632889,.040005405,.090916701,.042408489,.27379066,.72433931,.0018700506,.7526077,.055612244,.19178005,.069124423,0,.061686475,.086092718,.1,.013422819,52920,2943,165,38705,8577,496,2267,387,51.371895,.1194631,.23876993,.30557629,.33619067,.0075545232,.0012287473,.00090793346,.0011951964,.59605491,.25310066,.03865606,.076497711,.43669486,.061968785,.017873796,.036279738,.081434526,.027545817,,,,.55192161,.09345983,.35461858,.02221409,0,.018730137,.026884701,.022747952,.018821023,316949,29622,607,188919,80220,12252,23988,8199,58.05891,.058744784,.15400337,.28253672,.50471514,.0028484231,.0011641444,.0010575743,.0027469925,.64955807,.24578954,.01931338,.058685023,.43585157,.068555415,.024005711,.036735315,.073887527,.026972186,.49513328,.5005002,.004366504,.81204468,.033424743,.15453058,.073015876,0,.069182388,.11445783,0,.020576132,84967,2840,184,55191,20884,1641,4910,1041,53.11562,.13440827,.19388528,.26392326,.40778321,.0065088756,.005332585,.0039650444,.0035208738,.59632772,.27218202,.03153206,.075504713,.42226359,.087490216,.028038228,.052259557,.11220907,.041014861,.57601786,.38003695,.043945178,.29488894,.60462588,.10048518,.079096191,.0089642797,.010753273,.0063315327,.014957182,.0097854724,.013302876,239090,144560,18896,1049,142576,65076,7539,18038,5670,33,46.628624,.21075581,.27214602,.26038176,.25671458,.54898053,.26274708,.054406103,.1338663,2020-06-09,Georgia,13067,3337,203,.56813908,.75
COFFEE,53.999191,.085581943,.22807147,.28564078,.40070584,0,0,0,.0009174312,.693102,.2233071,.01847429,.016763473,.41036808,.031891469,.0073375264,.012089498,.02783533,.017022593,,,,.34293342,.039758358,.61730826,.010224949,0,.0072202166,.026785715,0,0,14236,566,5,9867,3179,263,228,64,58.118649,.047987346,.17648093,.26876429,.50676745,.021978023,.0019920319,.00065402221,.0017343046,.76581109,.16758934,.0083878543,.011249781,.42559972,.015217772,.0075693862,.0073198196,.021665411,.0090375058,.23972487,.76027513,0,.77034056,.010065425,.21959403,.25,0,.2820513,.125,,.083333336,5961,60,15,4565,999,50,64,11,58.507774,.044997256,.16279495,.28040972,.51179808,0,0,0,0,.74743789,.18429738,.0053847488,.010609109,.41827342,.022398844,.0061936937,.011888112,.023381295,.014084507,.29534596,.70040703,.0042470358,.53465348,.017717561,.44762897,.027027028,0,0,0,,0,5757,102,2,4303,1061,31,58,14,53.689499,.10271165,.21102002,.2832256,.40304273,.0084420564,.0003735525,.00083495688,.0029336985,.71071625,.23224956,.016450686,.021519786,.42911461,.023995686,.0050742342,.0086051635,.03059122,.022111492,,,,.35446575,.047024135,.59851015,.066945605,0,.10050251,.037383176,0,.021739131,12887,606,32,9159,2993,212,273,49,60.138905,.046400953,.12700774,.26145151,.56513977,0,0,.0034129692,.0015789474,.5940938,.35524032,.0095541403,.01338489,.45396641,.018850433,.0049683829,.0095022628,.027864747,.020870076,.41893455,.54979736,.031268094,.66126233,.032426171,.30631152,.068965517,0,.07692308,.078125,,0,3454,112,6,2052,1227,33,45,5,56.639591,.089140661,.15572895,.26336041,.49177,0,.00068634178,.00081168831,.00043468812,.71832943,.23659475,.012070071,.025224455,.44135869,.027488761,.0086206896,.011133833,.033863518,.014051522,.22164068,.76062804,.017731255,.30997649,.45332193,.23670156,.067443348,.001549907,.00021362957,0,.0066755675,0,0,9362,4244,631,5,6725,2215,113,236,67,34,47.696369,.2145188,.2471901,.24432985,.29396126,.63267934,.26531845,.034443863,.067558311,2020-06-09,Georgia,13069,307,14,.75428569,.55555558
COLQUITT,55.537933,.076249242,.2166362,.26774833,.43936625,.002997003,.00035161743,.00028449504,.0006934813,.73191983,.16410108,.019968051,.03602986,.41286668,.032689776,.0069199265,.012729549,.036669075,.021668972,,,,.49586117,.037612546,.4665263,.021186441,0,.019011406,.029126214,.16666667,0,13772,518,10,10080,2260,275,473,40,59.895412,.038955539,.15709245,.25631616,.54763585,.0072463769,.0017969452,.00055066077,.0020618557,.79838383,.11797979,.0083501684,.029640084,.43353537,.020353356,.0067558438,.011456212,.023259327,.015660591,.18740711,.81164706,.00094581814,.78518516,.0090235686,.20579125,.20895523,0,.19512194,.5714286,,.052631579,7425,67,14,5928,876,62,210,9,61.007584,.030130636,.15381373,.23999158,.57606405,0,0,0,.00036576446,.8519038,.067735471,.005210421,.026548672,.45731464,.02727462,.01043257,.012310797,.024281576,.012099644,.066305004,.93349409,.00020092425,.67775553,.017635271,.30460921,.029850746,0,.03125,0,,0,4990,88,2,4251,338,26,126,5,54.910744,.094694324,.20842072,.26303115,.43385381,.0073831007,.0018635856,0,.00035810206,.75647867,.16775915,.016920732,.03783112,.43826219,.024423094,.0046546548,.0080428952,.040043123,.022292994,,,,.48727134,.04824695,.46448171,.030411448,0,.03875969,.018518519,0,.027027028,13120,633,17,9925,2201,222,487,38,60.817356,.038078371,.14279389,.23621874,.58290899,0,.0031007752,.0018744143,.0026585644,.8011747,.14596476,.0067435284,.027451849,.47639766,.019459708,.005106383,.0067712045,.026006332,.024675038,.20317599,.7874701,.0093539264,.70850557,.036763106,.25473136,.096000001,0,0,.12359551,,0,4597,169,12,3683,671,31,124,8,58.907242,.077412754,.13686484,.23871775,.54700464,.010279002,.0041528237,.0038095238,.0060266,.79050756,.15828319,.0096514132,.038194839,.43669808,.030893862,.0054676821,.01032019,.047682472,.026022306,.24083115,.73838991,.020778926,.35789713,.5016464,.14045645,.069910198,.013771782,.005563756,.012893983,.013513514,.13636364,.0068027209,8807,4418,615,49,6962,1394,85,336,20,35,48.985222,.19924514,.24040525,.23957092,.3207787,.65256256,.22423521,.048549861,.074652366,2020-06-09,Georgia,13071,589,16,1.8454106,.60000002
COLUMBIA,52.949177,.093848653,.23131622,.30605131,.3687838,.0044962531,.000540504,.00030638819,.0001271348,.70734876,.14117363,.020925242,.077220015,.43870491,.045134272,.019640388,.031381428,.042898383,.015651202,,,,.40094882,.051399045,.54765213,.014299333,0,.010570824,.022675738,.015151516,.012924071,66188,3402,45,46818,9344,1385,4941,1498,57.021275,.055165004,.17657714,.29743668,.47082117,.021146355,.0019123784,.00020641965,.0012388342,.76392949,.11119969,.01373018,.063085191,.44284996,.035333723,.019685157,.030378411,.034236021,.016078839,.21402629,.78597373,0,.80263972,.022293087,.17506717,.11523179,0,.11023622,.14285715,1,.026737968,33867,755,87,25872,3766,465,2055,417,62.20993,.032281488,.098956957,.25158438,.61717719,0,.00066711142,.00026239833,.00032088993,.78182501,.1067638,.0073478618,.046672828,.47271243,.052007474,.035452507,.030854734,.041733325,.021018216,.16063695,.83668792,.0026751591,.70702755,.040507443,.25246498,.012024048,0,.015527951,0,0,0,15923,645,6,12449,1700,117,707,175,52.577923,.10343207,.22887991,.3017363,.36595172,.0012539185,.00042498938,.00010745756,.0003544057,.70143825,.16307899,.021413928,.080281436,.45457748,.035717003,.015476312,.024155915,.045693602,.01589041,,,,.46601319,.054984305,.47900251,.0081752781,0,.0084388182,.0063761957,.011111111,.0094786733,62436,3433,25,43795,10182,1337,4952,1417,59.302464,.0439022,.13312754,.2829144,.54005587,.0011160715,0,.00034638032,.00036291053,.75940645,.14029002,.01079154,.057768632,.48349956,.031558186,.017132957,.021640617,.030726258,.015813729,.22854941,.75352895,.017921666,.70641232,.019029725,.27455798,.022792023,0,.020408163,.048780486,0,0,20757,395,8,15763,2912,224,1179,331,55.791573,.10215632,.16352496,.26350623,.47081247,.010531136,.0081521738,.0067453627,.0041229944,.68717289,.19521028,.017219625,.077178538,.45161214,.053066973,.025212649,.035535976,.06389714,.022384752,.37172899,.58703274,.041238319,.28600466,.52670562,.18728971,.081551991,.014757237,.010724299,.01089569,.021465808,.040540539,.021028038,42800,22543,3487,262,29411,8355,737,3300,955,36,47.151722,.19297145,.28366724,.25668329,.26667801,.66503674,.16343364,.032590006,.13893193,2020-06-09,Georgia,13073,288,8,.60893857,.60000002
