county,age_2016gen,age1829_2016gen,age3044_2016gen,age4560_2016gen,age60plus_2016gen,age1829reject_2016gen,age3044reject_2016gen,age4560reject_2016gen,age60plusreject_2016gen,white_2016gen,black_2016gen,hispanic_2016gen,other_2016gen,male_2016gen,VBM2016gen_2016gen,VBM2016prepri_2016gen,VBM2016genpri_2016gen,VBM2018gen_2016gen,VBM2018genpri_2016gen,partydem_2016gen,partyrep_2016gen,partynp_2016gen,electionday_2016gen,bymail_2016gen,early_2016gen,rejected_2016gen,lateballot_2016gen,WHreject_2016gen,BHreject_2016gen,HPreject_2016gen,OTreject_2016gen,votedpop_2016gen,votedbymailpop_2016gen,rejectedpop_2016gen,whitepop_2016gen,blackpop_2016gen,hispanicpop_2016gen,otherpop_2016gen,asianpop_2016gen,age_2016prepri,age1829_2016prepri,age3044_2016prepri,age4560_2016prepri,age60plus_2016prepri,age1829reject_2016prepri,age3044reject_2016prepri,age4560reject_2016prepri,age60plusreject_2016prepri,white_2016prepri,black_2016prepri,hispanic_2016prepri,other_2016prepri,male_2016prepri,VBM2016gen_2016prepri,VBM2016prepri_2016prepri,VBM2016genpri_2016prepri,VBM2018gen_2016prepri,VBM2018genpri_2016prepri,partydem_2016prepri,partyrep_2016prepri,partynp_2016prepri,electionday_2016prepri,bymail_2016prepri,early_2016prepri,rejected_2016prepri,lateballot_2016prepri,WHreject_2016prepri,BHreject_2016prepri,HPreject_2016prepri,OTreject_2016prepri,votedpop_2016prepri,votedbymailpop_2016prepri,rejectedpop_2016prepri,whitepop_2016prepri,blackpop_2016prepri,hispanicpop_2016prepri,otherpop_2016prepri,asianpop_2016prepri,age_2016genpri,age1829_2016genpri,age3044_2016genpri,age4560_2016genpri,age60plus_2016genpri,age1829reject_2016genpri,age3044reject_2016genpri,age4560reject_2016genpri,age60plusreject_2016genpri,white_2016genpri,black_2016genpri,hispanic_2016genpri,other_2016genpri,male_2016genpri,VBM2016gen_2016genpri,VBM2016prepri_2016genpri,VBM2016genpri_2016genpri,VBM2018gen_2016genpri,VBM2018genpri_2016genpri,partydem_2016genpri,partyrep_2016genpri,partynp_2016genpri,electionday_2016genpri,bymail_2016genpri,early_2016genpri,rejected_2016genpri,lateballot_2016genpri,WHreject_2016genpri,BHreject_2016genpri,HPreject_2016genpri,OTreject_2016genpri,votedpop_2016genpri,votedbymailpop_2016genpri,rejectedpop_2016genpri,whitepop_2016genpri,blackpop_2016genpri,hispanicpop_2016genpri,otherpop_2016genpri,asianpop_2016genpri,age_2018gen,age1829_2018gen,age3044_2018gen,age4560_2018gen,age60plus_2018gen,age1829reject_2018gen,age3044reject_2018gen,age4560reject_2018gen,age60plusreject_2018gen,white_2018gen,black_2018gen,hispanic_2018gen,other_2018gen,male_2018gen,VBM2016gen_2018gen,VBM2016prepri_2018gen,VBM2016genpri_2018gen,VBM2018gen_2018gen,VBM2018genpri_2018gen,partydem_2018gen,partyrep_2018gen,partynp_2018gen,electionday_2018gen,bymail_2018gen,early_2018gen,rejected_2018gen,lateballot_2018gen,WHreject_2018gen,BHreject_2018gen,HPreject_2018gen,OTreject_2018gen,votedpop_2018gen,votedbymailpop_2018gen,rejectedpop_2018gen,whitepop_2018gen,blackpop_2018gen,hispanicpop_2018gen,otherpop_2018gen,asianpop_2018gen,age_2018genpri,age1829_2018genpri,age3044_2018genpri,age4560_2018genpri,age60plus_2018genpri,age1829reject_2018genpri,age3044reject_2018genpri,age4560reject_2018genpri,age60plusreject_2018genpri,white_2018genpri,black_2018genpri,hispanic_2018genpri,other_2018genpri,male_2018genpri,VBM2016gen_2018genpri,VBM2016prepri_2018genpri,VBM2016genpri_2018genpri,VBM2018gen_2018genpri,VBM2018genpri_2018genpri,partydem_2018genpri,partyrep_2018genpri,partynp_2018genpri,electionday_2018genpri,bymail_2018genpri,early_2018genpri,rejected_2018genpri,lateballot_2018genpri,WHreject_2018genpri,BHreject_2018genpri,HPreject_2018genpri,OTreject_2018genpri,votedpop_2018genpri,votedbymailpop_2018genpri,rejectedpop_2018genpri,whitepop_2018genpri,blackpop_2018genpri,hispanicpop_2018genpri,otherpop_2018genpri,asianpop_2018genpri,age_2020combopri,age1829_2020combopri,age3044_2020combopri,age4560_2020combopri,age60plus_2020combopri,age1829reject_2020combopri,age3044reject_2020combopri,age4560reject_2020combopri,age60plusreject_2020combopri,white_2020combopri,black_2020combopri,hispanic_2020combopri,other_2020combopri,male_2020combopri,VBM2016gen_2020combopri,VBM2016prepri_2020combopri,VBM2016genpri_2020combopri,VBM2018gen_2020combopri,VBM2018genpri_2020combopri,partydem_2020combopri,partyrep_2020combopri,partynp_2020combopri,electionday_2020combopri,bymail_2020combopri,early_2020combopri,newvoter_2020combopri,rejected_2020combopri,lateballot_2020combopri,WHreject_2020combopri,BHreject_2020combopri,HPreject_2020combopri,OTreject_2020combopri,votedpop_2020combopri,votedbymailpop_2020combopri,newvoterpop_2020combopri,rejectedpop_2020combopri,whitepop_2020combopri,blackpop_2020combopri,hispanicpop_2020combopri,otherpop_2020combopri,asianpop_2020combopri,county_code,county_age,county_age1829,county_age3044,county_age4560,county_age60plus,county_white,county_black,county_hispanic,county_other,datestr,state,fips,cases,deaths,d_cases,d_deaths
APPLING,55.841106,.081653669,.19140798,.27188465,.45505369,0,0,0,0,.77033228,.14069234,.0090365633,.023539796,.41915751,.074298605,.058677685,.066725008,.077452958,.06421268,,,,.51814264,.085360765,.39649659,0,0,0,0,0,0,7193,614,0,5541,1012,65,160,19,59.45467,.047830924,.1448832,.26001114,.54727477,.040697675,.007677543,.0085561499,.0096544717,.80531663,.10893928,.0059942664,.016685206,.43002346,.078882501,.058339965,.068976581,.077922076,.056412987,.17670055,.82329947,0,.81886894,.072973676,.10815741,.19642857,0,.19298245,.10810811,,.014084507,3837,280,55,3090,418,23,60,5,58.271297,.056070734,.15462583,.27755013,.51175326,0,0,0,.00042140749,.82603383,.097372174,.0048889793,.016174251,.43267468,.081628211,.060936499,.066006601,.077031471,.055397727,.051355794,.9467954,.0018488085,.67590141,.0735384,.25056019,.0030395137,0,0,.027777778,,0,4909,361,1,4055,478,24,75,5,55.027534,.10081421,.18712065,.26543301,.44663212,0,0,0,0,.78697795,.15037704,.0087006958,.031088082,.44040024,.064755477,.048142646,.05523945,.077870652,.065067098,,,,.43532482,.084831789,.47984338,0,0,0,0,0,0,6896,585,0,5427,1037,60,210,21,60.62162,.04689984,.12122416,.24324325,.58863276,0,0,0,0,.79604501,.15471113,.0038774719,.019077901,.46297014,.081640944,.0526876,.06565176,.092147432,.065450221,.21403645,.76386195,.02210159,.72431177,.08569213,.18999612,0,0,0,0,,0,2579,221,0,2053,399,10,48,6,57.377174,.091843188,.14701232,.24391401,.51723045,0,0,0,0,.79703283,.1624053,.0061553032,.03050901,.44665405,.08012151,.061158482,.069487855,.094843462,.076179862,.22427399,.75189394,.023832072,.33522728,.4709596,.19381313,.0682896,0,.0028409092,0,0,0,0,6336,2984,432,0,5050,1029,39,193,15,1,49.956741,.18789396,.22096537,.24609274,.34504792,.71954066,.17839564,.018910283,.083153442,2020-06-09,Georgia,13001,197,13,1.1413043,.29999995
ATKINSON,54.638466,.097765364,.20111732,.27653632,.42458099,.008163265,0,0,.0018796993,.71352988,.18065004,.034013607,.019154031,.41421014,.033801746,.009725906,.021390375,.028719397,.030555556,,,,.47165534,.037414964,.49092969,.040816326,0,.059999999,.055555556,0,0,2646,99,4,1888,478,90,48,2,59.036091,.057218309,.13996479,.2684859,.53433096,.015384615,0,0,.0016474464,.77152318,.13907285,.011589404,.017605634,.43294701,.021968365,.009136213,.024390243,.030985916,.029045643,.21357615,.78642386,0,.82119203,.012417219,.16639073,.26666668,0,.2,,,0,1208,15,4,932,168,14,20,2,65.139534,.011627907,.075581394,.18604651,.72674417,0,0,0,.0080000004,.65463918,.22680412,0,.0058139535,.41237113,.026595745,.018181818,.020942409,.052631579,.035460994,.35416666,.64583331,0,.72164947,.036082473,.24226804,.42857143,0,.25,,,0,194,7,3,127,44,0,1,0,53.909126,.11942099,.19018899,.27824688,.41214314,.01010101,.0042283298,0,.00097560976,.73760819,.1845004,.033438239,.02291918,.43666404,.024011299,.0075614369,.03208556,.034360189,.026388889,,,,.45436665,.038158931,.50747442,.10309278,0,.054054055,.11111111,0,0,2542,97,10,1875,469,85,57,1,61.025101,.05944518,.10303831,.2351387,.60237783,0,0,.0056179776,.0043859649,.69782329,.23943663,.021766966,.0092470273,.446863,.03009576,.010288066,.027210884,.024930747,.033505153,.33930859,.62099874,.0396927,.70550579,.0396927,.25480154,.096774191,0,.13043478,0,,0,781,31,3,545,187,17,7,1,55.359241,.1066494,.15975821,.28367877,.44991365,0,0,0,0,.76120692,.18836206,.02586207,.022452503,.44913793,.030744337,.0076045627,.018099548,.036138359,.028187919,.22758621,.75086206,.021551725,.37931034,.34008622,.28060344,.087219343,0,0,0,0,0,0,2320,789,202,0,1766,437,60,52,1,2,48.123806,.22382672,.22531323,.24506265,.3057974,.67700148,.18899979,.071989805,.062008917,2020-06-09,Georgia,13003,62,2,2.0999999,1
BACON,55.04076,.08561907,.20866445,.27582672,.42988977,.0029940121,0,.00092936802,.0011926058,.81581509,.089781024,.0065693432,.036144577,.41970804,.038566131,.013943112,.028353788,.041578788,.026371308,,,,.35450122,.051581509,.59391725,.04255319,0,.027272727,.052631579,,0,4110,212,8,3353,369,27,141,11,59.223721,.039910063,.15964025,.26812816,.53232151,0,.0035211267,.002096436,.0021119325,.87473345,.038379531,.0037313432,.032040473,.45309168,.025167786,.013948498,.013718411,.03487673,.029494382,.097014926,.9029851,0,.76599145,.019189766,.21481876,.25,0,.2,0,,0,1876,36,9,1641,72,7,57,2,57.829277,.053849224,.18189071,.26326287,.50099719,0,.0021929825,.0030303029,.0047770701,.8352018,.072869956,.0029895366,.026326286,.43721974,.036677908,.012857143,.033000767,.033921935,.024660913,.01687289,.97937757,.0037495312,.45478326,.050074738,.49514201,.096000001,0,.085365854,.25,,0,2676,134,12,2235,195,8,66,3,54.296093,.098610021,.20666142,.27642277,.41830578,.0026595744,0,0,.0012539185,.84362137,.091049381,.0059156381,.038290061,.43415639,.027438115,.011275965,.01542777,.043376014,.032057911,,,,.21450618,.054269549,.7312243,.016393442,0,.02586207,0,,0,3888,211,3,3280,354,23,146,10,63.089397,.021829521,.10602911,.23388773,.63825363,0,0,0,.0048859934,.86304128,.072507553,.0010070493,.032224532,.48539779,.028213166,.012517385,.011083744,.037190083,.028513238,.12802419,.86088711,.011088709,.54682779,.036253776,.41691843,.090909094,0,.13636364,0,,0,993,36,3,857,72,1,31,1,56.273632,.089415565,.17236736,.25666577,.48155132,.0090361442,0,.0020986358,.0016778524,.87947267,.076136671,.0064568198,.034742795,.46085551,.033311773,.013068181,.026525199,.049871299,.037600715,.093261458,.89676547,.0099730454,.19935432,.45036319,.35028249,.06948559,.0054127197,.0021522734,.0045283018,0,0,.040816326,3717,1674,258,8,3269,283,24,129,8,3,49.499107,.18410853,.23717949,.24985093,.32886106,.78070962,.13088849,.014460346,.073941559,2020-06-09,Georgia,13005,152,3,2.7073171,2
BAKER,57.552406,.066572241,.1763456,.2641643,.49291784,0,0,0,0,.54030645,.3757495,.0026648901,.018413598,.41439041,.10204082,.056430448,.050387599,.10344828,.12376238,,,,.49900067,.11858761,.38241172,0,0,0,0,,0,1501,178,0,811,564,4,26,7,60.969738,.040789474,.12368421,.25526315,.58026314,0,0,.010309278,.0090702949,.56625003,.36375001,.0024999999,.018421052,.42250001,.09554974,.058154237,.0311042,.087022901,.10714286,.45500001,.54500002,0,.7475,.068750001,.18375,.13207547,0,.14285715,.1,,.083333336,800,55,7,453,291,2,14,0,60.279091,.051433388,.14249578,.2470489,.55902195,0,0,0,0,.53618675,.36731517,.0023346303,.016863406,.40778211,.15004413,.094233476,.046956521,.12334802,.18952619,.98754865,.012451362,0,.55719846,.093385212,.34941635,0,0,0,0,,0,1285,120,0,689,472,3,20,2,57.222034,.084945329,.15391085,.26408747,.49705634,0,0,0,0,.56167763,.38404605,.0032894737,.026913373,.43832237,.090390101,.058282208,.04468599,.11177474,.1253482,,,,.45805922,.14144737,.40049341,0,0,0,0,0,0,1216,172,0,683,467,4,32,3,64.815193,.017721519,.083544306,.20759493,.69113922,0,0,0,.0036630037,.55392158,.39460784,0,.020253165,.45833334,.14105794,.082568809,.046783626,.1281337,.125,.49264705,.5,.0073529412,.62990195,.14215687,.22794117,.019607844,0,0,.071428575,,0,408,58,1,226,161,0,8,0,58.276703,.08387097,.12831542,.25376344,.53405017,0,0,0,.0013422819,.5776664,.38869005,.0042949175,.027956989,.45597708,.098073557,.059431523,.037113402,.1147086,.12448133,.90121686,.097351469,.0014316392,.2519685,.54545456,.20257695,.073118277,.0014619883,.0042949175,0,.0036900369,0,0,1397,762,102,1,807,543,6,39,0,4,52.059757,.16115889,.20325939,.2444545,.3911272,.51561791,.41240379,.0095065637,.062471706,2020-06-09,Georgia,13007,37,3,.19354844,.5
BALDWIN,54.532921,.10649581,.2056057,.25806451,.42983398,.0029638412,.0046054651,.0024461839,.002937289,.53883463,.37487274,.0064075692,.024619658,.39283788,.063459761,.025224775,.048557926,.070240974,.025751073,,,,.38301694,.085214682,.53176838,.05028386,0,.0094637228,.069230773,.125,.0039370079,16699,1423,62,8998,6260,107,390,86,59.282303,.059235193,.14846289,.24093977,.55136216,.0063291141,.0033670033,.0020746889,.0081595648,.58774406,.32733473,.0035285815,.019370157,.39778876,.053363118,.025155727,.04190002,.058314472,.026179368,.46348944,.53639257,.00011796626,.76076216,.03846154,.20077629,.22818792,0,.097560972,.28676471,0,0,8502,327,68,4997,2783,30,155,37,61.416874,.043102015,.12248294,.23581295,.59860212,.0077220076,.0054347827,.0014114326,.0027800945,.55816853,.35991278,.0018688678,.013979032,.38638842,.071822308,.03480617,.046151388,.073534511,.034442157,.47328606,.5251379,.0015760441,.5860458,.065566108,.34838811,.06287425,0,.05050505,.086666666,0,0,6421,421,21,3584,2311,12,84,18,54.401913,.11269133,.19572704,.25860968,.43297192,.0022637239,.0016291952,.0014796547,.0014729709,.55599326,.38741949,.0055649346,.027168367,.41386858,.0563807,.023418574,.040603854,.0726493,.025979297,,,,.38798225,.089851812,.52216595,.021669341,0,.00867052,.028378379,0,.0069930069,15993,1437,27,8892,6196,89,426,77,61.922077,.036525972,.11302759,.22625811,.6241883,0,0,0,.00032509753,.57287127,.38059404,.0023762377,.017654222,.42574257,.045641448,.021710698,.035041224,.047444511,.025079617,.51999998,.46772277,.012277228,.69168317,.02990099,.27841583,.0078125,0,.016949153,0,0,0,5050,151,1,2893,1922,12,87,14,57.844448,.093497276,.13665621,.23526984,.53457665,0,.0024154589,.0021045248,.0015436864,.53957665,.41619307,.0056832223,.030945702,.41611069,.067192897,.029676259,.044480756,.087607853,.030149776,.55843836,.41973478,.021826867,.26735854,.53652912,.19611235,.057435222,.0038102495,.0038711803,.0020718232,.0056127221,0,.0062111802,12141,6514,696,20,6551,5053,69,375,70,5,49.427185,.19593267,.229673,.23953319,.33486116,.51827604,.4037669,.0080114007,.069945693,2020-06-09,Georgia,13009,393,29,.45555556,1.4166667
BANKS,54.494125,.08739718,.20828438,.29773796,.40658051,0,0,0,0,.89978766,.011889596,.010757254,.038337249,.46001416,.033001423,.021728145,.027290449,.032001354,.030567685,,,,.50332624,.036093418,.46058032,0,0,0,0,0,0,7065,255,0,6357,84,76,261,30,58.473549,.047558494,.15462869,.29577824,.5020346,.0053475937,0,0,.0015197569,.91205847,.0077953716,.0031668697,.035350967,.47697929,.031917568,.022004889,.027423715,.032880437,.028957529,.087169439,.91087168,.0019588638,.8496955,.024604142,.12570037,.059999999,0,.039473683,0,0,.052631579,4105,101,6,3744,32,13,139,4,59.66634,.041297935,.13798754,.29269093,.5280236,0,0,0,.001241465,.92298061,.0068879146,.0021916092,.022943297,.46963057,.04095453,.030757401,.026796974,.040456433,.036334913,.036896877,.9618417,.0012614317,.75485283,.033187225,.21195993,.021978023,0,.02739726,0,,0,3194,106,2,2948,22,7,70,4,53.877075,.1016027,.20305838,.29686812,.39847082,0,0,0,0,.91424841,.01334881,.011462566,.044258196,.48142773,.027379185,.018691588,.023558369,.031905595,.030632028,,,,.5613755,.035548463,.40307602,0,0,0,0,0,0,6892,245,0,6301,92,79,301,28,60.004948,.046821468,.12676056,.27636087,.55005711,0,0,0,0,.93736017,.00857569,.0037285609,.028930338,.50037283,.044306256,.030274361,.034138657,.040863533,.029973773,.057792693,.93288589,.0093214018,.75801641,.033929903,.20805369,0,0,0,0,,0,2682,91,0,2514,23,10,76,4,56.476097,.09210296,.15583961,.27368236,.47837508,0,0,0,0,.93067229,.014705882,.0085784318,.041148659,.48616946,.040307499,.025110783,.028944582,.042927228,.036548607,.10136554,.88497901,.013655462,.24597339,.50717789,.24684873,.072141483,0,0,0,0,0,0,5712,2897,412,0,5316,84,49,235,27,6,48.69199,.19527847,.23512636,.26269507,.30690011,.86540443,.020121999,.02170641,.092767172,2020-06-09,Georgia,13011,99,1,1.75,
BARROW,52.04641,.088078357,.27136138,.29618058,.34437969,.002391391,.00038809833,0,.00061162078,.76593149,.095334895,.03086357,.065646283,.43185282,.039485831,.017674142,.046482183,.044033352,.025780624,,,,.427618,.045262054,.52711999,.014457831,0,.0097919218,.017699115,.027777778,.0078740157,29517,1336,18,22608,2814,911,1870,283,56.391483,.046340179,.21153991,.29240954,.44971037,.0048701297,.00035561877,.00077180343,.0021746403,.81016582,.073612109,.016798846,.05499135,.43799567,.035363015,.017385006,.047410969,.039457358,.024243638,.17258041,.82734746,.000072118855,.80165827,.020403748,.177938,.12367491,0,.10555556,.07692308,,0,13870,283,35,11237,1021,233,731,71,61.199364,.030240806,.13533694,.26432705,.57009518,0,0,.00070621469,.0029469549,.83684212,.055614036,.0063157897,.040321074,.43438596,.065884478,.041739132,.044162344,.049655173,.037466843,.073291048,.92547572,.0012332628,.62859648,.058947369,.31245613,.042402826,0,.055555556,0,,0,5700,336,12,4770,317,36,216,18,51.772522,.10780723,.25263658,.29072067,.3488355,.0010190217,.00014494854,.00025192089,.00041990343,.76520354,.10951623,.032974184,.07100483,.44988793,.034893043,.013813478,.033862229,.045087803,.025816485,,,,.50459182,.051992189,.443416,.009708738,0,.0066401064,.0030487804,.014285714,.012987013,27658,1438,13,21164,3029,912,1939,264,59.881542,.043511923,.14354289,.25286466,.56008053,.0035587188,0,0,.00027647222,.81658328,.091859937,.011520388,.055125427,.46884948,.04111322,.020739581,.034135241,.041888092,.026271574,.20691223,.7868728,.006214946,.75306958,.033045325,.2138851,.011494253,0,.014925373,0,,0,6597,218,2,5387,606,76,356,33,56.261082,.094878942,.16789638,.25359347,.48363119,.0051843319,.0016276041,.0017241379,.0018081139,.76466089,.12815332,.025445014,.071377821,.4354046,.056269445,.024050228,.052052476,.069036409,.034835037,.30091733,.6794256,.019657092,.277165,.5706563,.15217866,.080723614,.0048381095,.0035491972,.0034612964,.0055370987,.031055901,.010791367,18314,10451,1477,39,14004,2347,466,1306,174,7,46.529865,.21048854,.27927589,.25252524,.25771031,.70210093,.11213377,.052065954,.13369934,2020-06-09,Georgia,13013,356,20,.83505154,3
BARTOW,53.302864,.092638224,.22018585,.31228504,.37489089,.013300084,.0022149684,.001726122,.0047928793,.7986697,.076987989,.018316291,.071538582,.44490221,.035652414,.013981646,.022974962,.039909616,.015665796,,,,.51538765,.04445051,.44016182,.10720363,0,.085490197,.23622048,.12,.047904193,40292,1791,189,32180,3102,738,2787,151,57.040024,.052733913,.1726182,.30957463,.46507326,.011690647,.0030219781,.00091911765,.0034669114,.83639848,.057363208,.0098571628,.058993693,.45749098,.030225607,.013681021,.019983828,.034710392,.01575911,.17444089,.82551348,.00004564126,.81230319,.0181171,.1695797,.20256411,0,.19795223,.1,0,.05952381,21913,397,79,18328,1257,216,1244,42,60.482319,.040667977,.1219057,.27848724,.5589391,.014492754,.004029009,.0014109347,.0072056241,.87653625,.033211369,.0045032366,.041355599,.47799981,.043244828,.022443606,.022046192,.039226051,.019421324,.067936331,.93007392,.001989767,.70785254,.032179378,.2599681,.22485207,0,.20242915,.44444445,,.024390243,10659,343,76,9343,354,48,421,14,53.003235,.10459736,.20860635,.31098393,.37581235,.0097161848,.00089743588,.0013759889,.0030600626,.80412728,.088146701,.01931512,.073440135,.46393278,.03204136,.012405274,.019698726,.039785668,.016228838,,,,.52066267,.049648575,.42968875,.065507248,0,.05078809,.1038961,.090909094,.043062203,37846,1879,113,30433,3336,731,2746,145,60.614479,.04242564,.11182845,.26919529,.5765506,0,0,0,.00119976,.8427068,.074912302,.0083738826,.054761358,.48738259,.031971581,.015631542,.019436732,.034442361,.015459816,.19628707,.78458232,.019130632,.7926898,.019576779,.1877334,.051612902,0,.032786883,.25,,.035714287,8837,173,8,7447,662,74,475,16,56.409672,.093798071,.15101489,.27449068,.48069635,.0156,.0072049689,.0060142153,.0046050576,.8227663,.093959734,.013010385,.065508574,.44895205,.049852151,.019383498,.028591599,.058201779,.022584228,.24540682,.7298463,.024746906,.32664692,.54636121,.12699187,.074663267,.014636652,.0095984405,.013300843,.022610484,.01980198,.019690577,26671,14572,1990,171,21944,2506,347,1746,110,8,47.385307,.20673296,.25197124,.2666052,.27469063,.75281322,.09552829,.030403871,.12125465,2020-06-09,Georgia,13015,527,39,.45983374,.25806451
BEN HILL,56.033157,.073157892,.20385964,.25929824,.4636842,0,0,0,0,.62660521,.27856436,.0087257158,.022807017,.38722423,.040126015,.021014493,.033800095,.05065123,.032734275,,,,.27263746,.046098124,.6812644,0,0,0,0,,0,6074,280,0,3806,1692,53,130,19,60.092125,.039004456,.14635958,.25,.56463593,.01904762,0,0,.0052631581,.65828091,.2620545,.003144654,.017087666,.3951782,.034057971,.022448264,.037516169,.039123632,.028052805,.34797892,.65131807,.00070298772,.70789659,.02620545,.26589796,.13333334,0,.25641027,0,,0,2862,75,10,1884,750,9,46,3,61.938217,.021923268,.12356751,.23667166,.61783755,0,0,0,0,.65427512,.25836432,.001858736,.017438963,.41682157,.047165316,.039871383,.033553876,.04496124,.028462999,.39262062,.60170293,.0056764428,.53066915,.048327137,.42100373,0,0,0,0,,0,2152,104,0,1408,556,4,35,4,55.830414,.084161095,.19180061,.25880441,.46523389,0,0,0,0,.6324771,.30964109,.005629838,.024200831,.41133004,.028618488,.017054264,.028526971,.057142857,.039315157,,,,.28888106,.071604505,.63951445,0,0,0,0,0,0,5684,407,0,3595,1760,32,134,16,62.041225,.036851969,.10243598,.2267333,.63397878,0,0,0,0,.64741641,.30759877,.0018237082,.015615241,.45410335,.033565547,.022969646,.029383887,.04864182,.035514019,.37872341,.59452885,.02674772,.5544073,.058966566,.38662615,0,0,0,0,,0,1645,97,0,1065,506,3,25,2,60.108757,.056123722,.12297331,.22998254,.59092045,0,0,0,.00042211905,.6362052,.3378984,.0024900399,.017959591,.42206174,.0365243,.023076924,.03365659,.072289154,.03961039,.41633466,.56025898,.023406375,.1999502,.49327689,.30677292,.063108005,.00061274512,.0052290838,0,.0017006802,0,0,4016,1981,253,1,2555,1357,10,72,15,9,49.700932,.18649918,.23549718,.23271647,.34528717,.58642507,.34560445,.016393442,.051395148,2020-06-09,Georgia,13017,93,1,1.3846154,
BERRIEN,55.254723,.077298492,.21048489,.2868388,.42537785,.00203666,.00074794318,0,.00037009621,.82638371,.077459566,.0059355986,.032115869,.4393827,.05381031,.033126935,.043422733,.05115848,.040118869,,,,.44264728,.061285056,.49606767,.0078534028,0,.0074626864,.03125,,0,6739,413,3,5569,522,40,204,17,59.035263,.040302265,.16246851,.27550378,.52172542,.0078125,0,0,.0048280023,.84997046,.062020082,.0026580035,.024559194,.45540461,.048447207,.03180737,.044198897,.04712218,.04005168,.14821428,.85119045,.00059523812,.77288836,.036916714,.19019492,.12,0,.10126583,.083333336,,0,3386,125,15,2878,210,9,78,1,59.927456,.036055602,.15595135,.26802781,.53996527,0,0,0,.00080450525,.8540296,.071134865,.0028782894,.018679408,.4555921,.060051106,.047330763,.040033363,.059255857,.047226388,.12489627,.87344396,.0016597511,.64432567,.05180921,.30386513,.010309278,0,.015625,0,,0,2432,126,1,2077,173,7,43,2,54.920834,.089970976,.20316027,.2815221,.42534667,.0017921147,.0007936508,.00057273771,.00075815013,.85635358,.085240729,.0063141277,.030312803,.45840567,.044440348,.026439089,.034293551,.051343571,.03831232,,,,.43977901,.060615629,.49960536,.02,0,.012345679,.028169014,0,0,6335,384,7,5425,540,40,188,9,61.050602,.040963855,.12530121,.24771084,.58602411,0,0,0,0,.88425493,.06747891,.0028116214,.017831326,.50562322,.057645336,.040152963,.043122675,.064922482,.037547529,.13789868,.85600376,.0060975607,.65229619,.051077787,.29662606,0,0,0,0,,0,2134,109,0,1887,144,6,37,1,57.760342,.079627112,.15847738,.24664983,.51524568,0,.0061274511,.0015748031,.00075386354,.88074464,.083963543,.0058173356,.026995532,.47139809,.066372707,.038267147,.050412465,.073823996,.052385408,.15163855,.83362418,.01473725,.29842931,.48322669,.218344,.063313268,.0045294412,.015512895,.0045924224,.0054644807,0,0,5157,2492,326,9,4542,433,30,139,5,10,49.230953,.18661344,.24250403,.25312155,.31776097,.82731676,.1026926,.014949461,.055041198,2020-06-09,Georgia,13019,59,0,2.1052632,
