line number,contest name,choice name,party name,total votes,percent of votes,num Precinct total,num Precinct rptg,over votes,under votes
707,Superior Court - Cobb - Kell,Tain Kell (I),NP,145063,100,1,1,0,0
708,Superior Court - Conasauga - Minter,B. Scott Minter (I),NP,20646,100,2,2,0,0
709,Superior Court - Cordele - Fachini,Denise D. Fachini (I),NP,9502,100,4,4,0,0
710,Superior Court - Cordele - Chasteen,Bobby Chasteen (I),NP,9584,100,4,4,0,0
711,Superior Court - Cordele - Hughes,Chris Hughes (I),NP,9718,100,4,4,0,0
712,Superior Court - Coweta - Palmer,Emory L. Palmer (I),NP,67327,100,5,5,0,0
713,Superior Court - Coweta - Simpson,John Simpson (I),NP,67360,100,5,5,0,0
714,Superior Court - Coweta - Blackmon,Dennis Blackmon (I),NP,67946,100,5,5,0,0
715,Superior Court - Coweta - Baker,Nina Markette Baker (I),NP,67602,100,5,5,0,0
716,Superior Court - Coweta - Sakrison,Travis Sakrison (I),NP,66716,100,5,5,0,0
717,Superior Court - Dougherty - Marshall,Denise Marshall (I),NP,15516,100,1,1,0,0
718,Superior Court - Dougherty - Lockette,Willie E. Lockette (I),NP,15864,100,1,1,0,0
719,Superior Court - Dougherty - Darrisaw,Victoria S. Darrisaw (I),NP,15330,100,1,1,0,0
720,Superior Court - Douglas - McClain,Beau McClain (I),NP,29471,100,1,1,0,0
721,Superior Court - Dublin - Helton,Jon Franklin Helton (I),NP,12282,100,4,4,0,0
722,Superior Court - Dublin - Green,Jud Green (I),NP,12447,100,4,4,0,0
723,Superior Court - Dublin - Gillis,"Donald W. """"Donny"""" Gillis (I)",NP,12453,100,4,4,0,0
724,Superior Court - Eastern - Freesemann,Penny Haas Freesemann (I),NP,49401,100,1,1,0,0
725,Superior Court - Eastern - Morse,"John E. ""Pancho"" Morse, Jr. (I)",NP,49342,100,1,1,0,0
726,Superior Court - Eastern - Bass,Lisa Colbert,NP,34891,64.85,1,1,0,0
727,Superior Court - Eastern - Bass,Tracy O'Connell,NP,18912,35.15,1,1,0,0
728,Superior Court - Enotah - Parks,Joy R. Parks (I),NP,25123,100,4,4,0,0
729,Superior Court - Flint - Veal,Loletha Hale,NP,19977,36.27,1,1,0,0
730,Superior Court - Flint - Veal,Holly Veal (I),NP,35097,63.73,1,1,0,0
731,Superior Court - Flint - Pipkin,Trea Pipkin (I),NP,50619,100,1,1,0,0
732,Superior Court - Griffin - Ballard,Scott L. Ballard (I),NP,51441,100,4,4,0,0
733,Superior Court - Griffin - Sams,W. Fletcher Sams (I),NP,51433,100,4,4,0,0
734,Superior Court - Gwinnett - Rich/Tribunal Superior del Circuito Judicial- Gwinnett - Rich,Tamela Adkins,NP,93385,57.32,1,1,0,0
735,Superior Court - Gwinnett - Rich/Tribunal Superior del Circuito Judicial- Gwinnett - Rich,Randy Rich (I),NP,69534,42.68,1,1,0,0
736,Superior Court - Gwinnett - Schrader/Tribunal Superior del Circuito Judicial- Gwinnett - Schrader,Deborah R. Fluker,NP,32793,20.22,1,1,0,0
737,Superior Court - Gwinnett - Schrader/Tribunal Superior del Circuito Judicial- Gwinnett - Schrader,Kelly Kautz,NP,17029,10.5,1,1,0,0
738,Superior Court - Gwinnett - Schrader/Tribunal Superior del Circuito Judicial- Gwinnett - Schrader,Christa Kirk,NP,20474,12.62,1,1,0,0
739,Superior Court - Gwinnett - Schrader/Tribunal Superior del Circuito Judicial- Gwinnett - Schrader,B. T. Parker,NP,31552,19.45,1,1,0,0
740,Superior Court - Gwinnett - Schrader/Tribunal Superior del Circuito Judicial- Gwinnett - Schrader,"Kathryn """"Kathy"""" Schrader (I)",NP,60371,37.22,1,1,0,0
741,Superior Court - Gwinnett - Beyers/Tribunal Superior del Circuito Judicial- Gwinnett - Beyers,Karen E. Beyers (I),NP,147982,100,1,1,0,0
742,Superior Court - Gwinnett - Batchelor/Tribunal Superior del Circuito Judicial- Gwinnett - Batchelor,Ronnie K. Batchelor (I),NP,146818,100,1,1,0,0
743,Superior Court - Gwinnett - Whitner/Tribunal Superior del Circuito Judicial- Gwinnett - Whitner,Tadia Whitner (I),NP,147827,100,1,1,0,0
744,Superior Court - Gwinnett - Davis/Tribunal Superior del Circuito Judicial- Gwinnett - Davis,Warren Davis (I),NP,147514,100,1,1,0,0
745,Superior Court - Houston - Lukemire,Edward D. Lukemire (I),NP,26144,100,1,1,0,0
746,Superior Court - Houston - Adams,G.E. Bo Adams (I),NP,26004,100,1,1,0,0
747,Superior Court - Houston - Lumsden,Katherine K. Lumsden (I),NP,26083,100,1,1,0,0
748,Superior Court - Lookout Mountain - Graham,Kristina Cook Graham (I),NP,30775,100,4,4,0,0
749,Superior Court - Lookout Mountain - House,Brian House (I),NP,30982,100,4,4,0,0
750,Superior Court - Macon - Monroe,Jeffery O. Monroe (I),NP,40220,100,3,3,0,0
751,Superior Court - Macon - Colvin,Verda M. Colvin (I),NP,40782,100,3,3,0,0
752,Superior Court - Middle - Palmer,Tobe C. Karrh,NP,6533,29.29,5,5,0,0
753,Superior Court - Middle - Palmer,Tommy J. Smith,NP,15769,70.71,5,5,0,0
754,Superior Court - Mountain - Caudell,B. Chan Caudell (I),NP,19957,100,3,3,0,0
755,Superior Court - Northeastern - Gosselin,Kathlene F. Gosselin (I),NP,41023,100,2,2,0,0
756,Superior Court - Northeastern - Oliver,Bonnie Chessher Oliver (I),NP,40772,100,2,2,0,0
757,Superior Court - Northeastern - Bearden,Clint Garry Bearden (I),NP,40583,100,2,2,0,0
758,Superior Court - Northern - Watson,Harvey Wasserman,NP,25393,100,5,5,0,0
759,Superior Court - Northern - Malcom,Jeffery S. Malcom (I),NP,26268,100,5,5,0,0
760,Superior Court - Northern - Phelps,Chris Phelps (I),NP,26161,100,5,5,0,0
761,Superior Court - Ocmulgee - Burleson,Alison Teresa Burleson (I),NP,35952,100,8,8,0,0
762,Superior Court - Ocmulgee - Prior,Stephen A. Bradley,NP,36128,100,8,8,0,0
763,Superior Court - Ocmulgee - Massey,Terry N. Massey (I),NP,36052,100,8,8,0,0
764,Superior Court - Ocmulgee - Trammell,Brenda Holbert Trammell (I),NP,36164,100,8,8,0,0
765,Superior Court - Ocmulgee - Petty,Amanda S. Petty (I),NP,36311,100,8,8,0,0
766,Superior Court - Oconee - Kaufold,"Howard C. Kaufold, Jr. (I)",NP,12873,100,6,6,0,0
767,Superior Court - Oconee - Wall,Sarah F. Wall (I),NP,13501,100,6,6,0,0
768,Superior Court - Oconee - Johnson,C. Michael Johnson (I),NP,13149,100,6,6,0,0
769,Superior Court - Ogeechee - Peed,F. Gates Peed (I),NP,27484,100,4,4,0,0
770,Superior Court - Ogeechee - Muldrew,Michael Muldrew (I),NP,27218,100,4,4,0,0
771,Superior Court - Ogeechee - Bennett,"Lovett Bennett, Jr. (I)",NP,27526,100,4,4,0,0
772,Superior Court - Pataula - Earnest,T. Craig Earnest (I),NP,10400,100,7,7,0,0
773,Superior Court - Piedmont - Booth,Joseph H. Booth (I),NP,29726,100,3,3,0,0
774,Superior Court - Piedmont - Mingledorff,Currie Mingledorff (I),NP,29607,100,3,3,0,0
775,Superior Court - Piedmont - Primm,Nicholas Primm (I),NP,29472,100,3,3,0,0
776,Superior Court - Rockdale - Mumford,Robert F. Mumford (I),NP,20967,100,1,1,0,0
777,Superior Court - Rome - Niedrach,"John E. """"Jack"""" Niedrach (I)",NP,17674,100,1,1,0,0
778,Superior Court - Rome - Durham,Bryan Johnson,NP,17224,100,1,1,0,0
779,Superior Court - South Georgia - Lanier,Heather Hendricks Lanier (I),NP,14831,100,5,5,0,0
780,Superior Court - South Georgia - Chason,J. Kevin Chason (I),NP,14930,100,5,5,0,0
781,Superior Court - Southern - Cowart,Richard M. Cowart (I),NP,28932,100,5,5,0,0
782,Superior Court - Southwestern - Smith,R. Rucker Smith (I),NP,16791,100,6,6,0,0
783,Superior Court - Southwestern - Brown,Jimmie Brown (I),NP,16643,100,6,6,0,0
784,Superior Court - Stone Mountain - Adams,Gregory A. Adams (I),NP,150832,100,1,1,0,0
785,Superior Court - Stone Mountain - Seeliger,Roderick Bridges,NP,22010,13.6,1,1,0,0
786,Superior Court - Stone Mountain - Seeliger,Aaron Chausmer,NP,10523,6.5,1,1,0,0
787,Superior Court - Stone Mountain - Seeliger,Vincent C. Crawford,NP,24922,15.4,1,1,0,0
788,Superior Court - Stone Mountain - Seeliger,Yolanda C. Parker-Smith,NP,73500,45.41,1,1,0,0
789,Superior Court - Stone Mountain - Seeliger,"Melinda """"Mindy"""" Pillow",NP,30905,19.09,1,1,0,0
790,Superior Court - Stone Mountain - Hydrick,Stacey K. Hydrick (I),NP,148485,100,1,1,0,0
791,Superior Court - Stone Mountain - Morris,Shondeana C. Morris (I),NP,149484,100,1,1,0,0
792,Superior Court - Stone Mountain - Hunter,Linda Warren Hunter (I),NP,149687,100,1,1,0,0
793,Superior Court - Stone Mountain - Scott,Mark Anthony Scott (I),NP,148474,100,1,1,0,0
794,Superior Court - Stone Mountain - Barrie,Tangela M. Barrie (I),NP,150555,100,1,1,0,0
795,Superior Court - Tallapoosa - Murphy,Mark H.  Murphy (I),NP,15170,100,2,2,0,0
796,Superior Court - Tifton - Cross,Melanie B. Cross (I),NP,15696,100,4,4,0,0
797,Superior Court - Toombs - Hammond,Britt Hammond (I),NP,11467,100,6,6,0,0
798,Superior Court - Toombs - Hinesley,Hal Hinesley (I),NP,11402,100,6,6,0,0
799,Superior Court - Waycross - Brooks,J. Kelly Brooks (I),NP,24512,100,6,6,0,0
800,Superior Court - Waycross - Spivey,Andrew C. Spivey (I),NP,24633,100,6,6,0,0
801,Superior Court - Western - Stephens,Lawton Evans Stephens (I),NP,32214,100,2,2,0,0
802,Superior Court - Western - Haggard,H. Patrick Haggard (I),NP,31429,100,2,2,0,0
803,Superior Court - Bell-Forsyth - Dickinson,David L. Dickinson (I),NP,40214,100,1,1,0,0
804,Superior Court - Towaliga - Fears,Bill Fears (I),NP,15288,100,3,3,0,0
805,Superior Court - Paulding - Bucci,Dean Bucci (I),NP,29923,100,1,1,0,0
806,Superior Court - Paulding - Beavers,Tonny S. Beavers (I),NP,29727,100,1,1,0,0
807,Superior Court - Paulding - Lyles,David Lyles (I),NP,29811,100,1,1,0,0
808,Rep Party Question 1,YES,REP,755189,73.13,159,159,0,0
809,Rep Party Question 1,NO,REP,277427,26.87,159,159,0,0
810,Dem Party Question 1,YES,DEM,1096554,91.38,159,159,0,0
811,Dem Party Question 1,NO,DEM,103461,8.62,159,159,0,0
812,Rep Party Question 2,YES,REP,498728,48.22,159,159,0,0
813,Rep Party Question 2,NO,REP,535560,51.78,159,159,0,0
814,Dem Party Question 2,YES,DEM,1163179,96.62,159,159,0,0
815,Dem Party Question 2,NO,DEM,40670,3.38,159,159,0,0
816,Rep Party Question 3,YES,REP,681617,65.76,159,159,0,0
817,Rep Party Question 3,NO,REP,354926,34.24,159,159,0,0
818,Dem Party Question 3,YES,DEM,1139459,94.32,159,159,0,0
819,Dem Party Question 3,NO,DEM,68622,5.68,159,159,0,0
820,Dem Party Question 4,YES,DEM,1037144,87.64,159,159,0,0
821,Dem Party Question 4,NO,DEM,146300,12.36,159,159,0,0
822,Dem Party Question 5,YES,DEM,1021322,85.42,159,159,0,0
823,Dem Party Question 5,NO,DEM,174389,14.58,159,159,0,0
824,Dem Party Question 6,YES,DEM,1119103,93.14,159,159,0,0
825,Dem Party Question 6,NO,DEM,82441,6.86,159,159,0,0
