

                                                                     REP - President of the United States
                                                            Donald J. Trump (I)                                                                                                                                   
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Oglethorpe                    936                           1517                          818                           2                             3273                          3273                          
Paulding                      6106                          10157                         3671                          24                            19958                         19958                         
Peach                         758                           910                           399                           1                             2068                          2068                          
Pickens                       3209                          2102                          1792                          11                            7114                          7114                          
Pierce                        1305                          1804                          1144                          0                             4253                          4253                          
Pike                          1808                          1639                          761                           2                             4210                          4210                          
Polk                          2043                          2526                          1857                          6                             6432                          6432                          
Pulaski                       474                           585                           466                           0                             1525                          1525                          
Putnam                        1234                          2075                          560                           1                             3870                          3870                          
Quitman                       59                            70                            17                            0                             146                           146                           
Rabun                         881                           1656                          758                           0                             3295                          3295                          
Randolph                      31                            194                           18                            0                             243                           243                           
Richmond                      4067                          5824                          777                           10                            10678                         10678                         
Rockdale                      1167                          2631                          621                           2                             4421                          4421                          
Schley                        342                           384                           375                           2                             1103                          1103                          
Screven                       321                           673                           159                           4                             1157                          1157                          
Seminole                      451                           385                           148                           0                             984                           984                           
Spalding                      2486                          3675                          933                           2                             7096                          7096                          
Stephens                      1044                          2132                          1283                          2                             4461                          4461                          
Stewart                       63                            109                           40                            2                             214                           214                           
Sumter                        953                           993                           500                           3                             2449                          2449                          
Talbot                        146                           283                           31                            0                             460                           460                           
Taliaferro                    30                            55                            5                             0                             90                            90                            
Tattnall                      1236                          1328                          786                           0                             3350                          3350                          
Taylor                        336                           573                           323                           2                             1234                          1234                          
Telfair                       605                           349                           241                           1                             1196                          1196                          
Terrell                       305                           329                           45                            1                             680                           680                           
Thomas                        1356                          1740                          282                           2                             3380                          3380                          
Tift                          1972                          1857                          1134                          1                             4964                          4964                          
Toombs                        1549                          1603                          911                           2                             4065                          4065                          
Towns                         731                           1633                          880                           0                             3244                          3244                          
Treutlen                      428                           425                           209                           0                             1062                          1062                          
Troup                         3113                          3930                          1600                          9                             8652                          8652                          
Turner                        377                           421                           309                           0                             1107                          1107                          
Twiggs                        259                           245                           52                            0                             556                           556                           
Union                         1701                          2888                          647                           6                             5242                          5242                          
Upson                         1168                          2081                          1007                          0                             4256                          4256                          
Walker                        4786                          4618                          1020                          15                            10439                         10439                         
Walton                        6448                          7322                          1446                          37                            15253                         15253                         
Ware                          1975                          1905                          896                           4                             4780                          4780                          
Warren                        112                           166                           47                            1                             326                           326                           
Washington                    180                           363                           44                            1                             588                           588                           
Wayne                         1987                          1831                          1144                          2                             4964                          4964                          
Webster                       22                            42                            6                             0                             70                            70                            
Wheeler                       302                           244                           80                            0                             626                           626                           
White                         2466                          3151                          858                           0                             6475                          6475                          
Whitfield                     5558                          4340                          1425                          12                            11335                         11335                         
Wilcox                        465                           550                           174                           0                             1189                          1189                          
Wilkes                        300                           536                           78                            1                             915                           915                           
Wilkinson                     494                           335                           61                            0                             890                           890                           
Worth                         1596                          1449                          451                           0                             3496                          3496                          
Totals:                       363284                        453815                        127972                        1873                          946944                        946944                        

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              DEM - President of the United States
                                                            Michael Bennet                                                                                                                                        Joseph R. Biden                                                                                                                                       Michael R. Bloomberg                                                                                                                                  Pete Buttigieg                                                                                                                                        John K. Delaney                                                                                                                                       Tulsi Gabbard                                                                                                                                         Amy Klobuchar                                                                                                                                         Deval Patrick                                                                                                                                         Bernie Sanders                                                                                                                                        Tom Steyer                                                                                                                                            Elizabeth Warren                                                                                                                                      Andrew Yang                                                                                                                                           
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Appling                       11                            3                             1                             0                             15                            260                           315                           72                            0                             647                           4                             3                             0                             0                             7                             2                             1                             0                             0                             3                             6                             5                             2                             0                             13                            0                             3                             2                             0                             5                             1                             2                             1                             0                             4                             0                             3                             0                             0                             3                             36                            18                            7                             0                             61                            4                             10                            0                             0                             14                            4                             3                             0                             0                             7                             7                             2                             1                             0                             10                            789                           
Atkinson                      3                             2                             3                             0                             8                             130                           103                           36                            0                             269                           1                             1                             2                             0                             4                             0                             0                             0                             0                             0                             1                             0                             2                             0                             3                             0                             1                             1                             0                             2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             2                             15                            6                             3                             0                             24                            0                             0                             2                             0                             2                             3                             0                             0                             0                             3                             0                             1                             0                             0                             1                             318                           
Bacon                         1                             1                             1                             0                             3                             39                            86                            12                            0                             137                           1                             3                             0                             0                             4                             0                             0                             0                             0                             0                             3                             1                             0                             0                             4                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             4                             9                             1                             0                             14                            3                             1                             0                             0                             4                             4                             4                             1                             0                             9                             1                             0                             0                             0                             1                             177                           
Baker                         6                             6                             1                             0                             13                            90                            231                           45                            8                             374                           6                             2                             5                             0                             13                            5                             1                             0                             0                             6                             2                             4                             3                             0                             9                             6                             6                             4                             0                             16                            3                             2                             3                             0                             8                             2                             0                             0                             0                             2                             22                            23                            6                             1                             52                            5                             4                             1                             0                             10                            8                             8                             7                             0                             23                            11                            7                             4                             1                             23                            549                           
