

                                                                     REP - President of the United States
                                                            Donald J. Trump (I)                                                                                                                                   
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Monroe                        648                           1208                          234                           1                             2091                          23                            102                           13                            0                             138                           2229                          
Montgomery                    142                           243                           13                            0                             398                           3                             23                            1                             0                             27                            425                           
Morgan                        376                           959                           186                           0                             1521                          12                            78                            5                             0                             95                            1616                          
Murray                        245                           409                           23                            0                             677                           7                             40                            3                             0                             50                            727                           
Muscogee                      9074                          11107                         4815                          93                            25089                         490                           833                           222                           3                             1548                          26637                         
Newton                        6055                          7357                          2076                          14                            15502                         123                           443                           67                            1                             634                           16136                         
Oconee                        879                           2243                          310                           0                             3432                          41                            217                           12                            0                             270                           3702                          
Oglethorpe                    343                           690                           111                           0                             1144                          9                             63                            5                             0                             77                            1221                          
Paulding                      4579                          6020                          1556                          25                            12180                         85                            466                           43                            3                             597                           12777                         
Peach                         975                           1392                          608                           3                             2978                          49                            110                           38                            0                             197                           3175                          
Pickens                       270                           602                           115                           1                             988                           15                            79                            7                             0                             101                           1089                          
Pierce                        102                           244                           80                            0                             426                           2                             39                            2                             0                             43                            469                           
Pike                          190                           422                           79                            0                             691                           7                             67                            6                             0                             80                            771                           
Polk                          435                           767                           249                           2                             1453                          9                             97                            9                             0                             115                           1568                          
Pulaski                       91                            237                           19                            0                             347                           4                             13                            0                             0                             17                            364                           
Putnam                        471                           982                           179                           1                             1633                          11                            108                           10                            0                             129                           1762                          
Quitman                       148                           167                           55                            0                             370                           22                            50                            30                            0                             102                           472                           
Rabun                         114                           633                           95                            0                             842                           4                             116                           6                             0                             126                           968                           
Randolph                      525                           542                           270                           0                             1337                          98                            184                           90                            0                             372                           1709                          
Richmond                      10305                         14793                         3987                          88                            29173                         246                           833                           125                           2                             1206                          30379                         
Rockdale                      6037                          7012                          4340                          41                            17430                         306                           676                           295                           3                             1280                          18710                         
Schley                        73                            142                           29                            0                             244                           0                             6                             0                             0                             6                             250                           
Screven                       618                           638                           264                           5                             1525                          154                           110                           126                           1                             391                           1916                          
Seminole                      238                           222                           282                           1                             743                           9                             31                            9                             0                             49                            792                           
Spalding                      2001                          2767                          771                           4                             5543                          42                            271                           22                            0                             335                           5878                          
Stephens                      156                           487                           79                            1                             723                           6                             61                            2                             0                             69                            792                           
Stewart                       203                           334                           82                            1                             620                           16                            38                            25                            2                             81                            701                           
Sumter                        1149                          1689                          800                           2                             3640                          82                            132                           75                            0                             289                           3929                          
Talbot                        385                           818                           80                            0                             1283                          31                            91                            11                            0                             133                           1416                          
Taliaferro                    110                           212                           65                            0                             387                           23                            25                            16                            0                             64                            451                           
Tattnall                      277                           423                           108                           0                             808                           8                             39                            0                             0                             47                            855                           
Taylor                        221                           415                           67                            0                             703                           13                            40                            7                             0                             60                            763                           
Telfair                       404                           604                           160                           1                             1169                          78                            140                           83                            0                             301                           1470                          
Terrell                       476                           705                           124                           4                             1309                          52                            102                           21                            0                             175                           1484                          
Thomas                        1155                          1602                          321                           8                             3086                          29                            130                           13                            0                             172                           3258                          
Tift                          735                           989                           195                           3                             1922                          23                            68                            11                            0                             102                           2024                          
Toombs                        360                           584                           94                            2                             1040                          12                            64                            1                             0                             77                            1117                          
Towns                         43                            505                           49                            0                             597                           3                             72                            6                             0                             81                            678                           
Treutlen                      94                            179                           25                            0                             298                           5                             10                            1                             0                             16                            314                           
Troup                         2144                          2480                          771                           16                            5411                          44                            189                           26                            0                             259                           5670                          
