"county","total_requests2020","early_returned2020","mail_returned2020","mail_counted2020","early_counted2020","counted2020","not_returned2020","returned_pct2020","counted_pct2020","mail_counted_pct2020","early_counted_pct2020","total_requests2016","early_returned2016","mail_returned2016","mail_counted2016","early_counted2016","counted2016","not_returned2016","returned_pct2016","counted_pct2016","mail_counted_pct2016","early_counted_pct2016"
"ADAMS",3394,469,2669,2642,469,3111,256,92.4572775486152,99.1395793499044,98.9883851629824,100,446,194,219,202,192,394,33,92.6008968609866,95.3995157384988,92.2374429223744,98.9690721649485
"ASHLAND",2369,366,1799,1741,365,2106,204,91.3887716336007,97.2748267898383,96.7759866592551,99.7267759562842,300,143,147,124,143,267,10,96.6666666666667,92.0689655172414,84.3537414965986,100
"BARRON",6602,1093,4863,4770,1092,5862,646,90.2150863374735,98.4217595701813,98.0876002467613,99.9085086916743,840,261,528,491,260,751,51,93.9285714285714,95.1837769328264,92.9924242424242,99.6168582375479
"BAYFIELD",3897,462,3019,3000,462,3462,416,89.3251218886323,99.4541798333812,99.3706525339516,100,617,117,430,392,117,509,70,88.6547811993517,93.0530164533821,91.1627906976744,100
"BROWN",50687,5997,39665,38863,5960,44823,5025,90.0862154003985,98.1625859576891,97.9780663053069,99.3830248457562,12356,7321,4510,3768,7270,11038,525,95.7510521204273,93.2972698842025,83.5476718403548,99.3033738560306
"BUFFALO",2310,429,1704,1704,420,2124,177,92.3376623376623,99.57805907173,100,97.9020979020979,194,88,95,88,86,174,11,94.3298969072165,95.0819672131148,92.6315789473684,97.7272727272727
"BURNETT",2105,237,1601,1562,231,1793,267,87.3159144893112,97.5516866158868,97.5640224859463,97.4683544303797,160,15,134,113,15,128,11,93.125,85.9060402684564,84.3283582089552,100
"CALUMET",11141,738,9023,8819,736,9555,1380,87.6133201687461,97.8895604958508,97.739111160368,99.7289972899729,1864,1338,489,450,1333,1783,37,98.0150214592275,97.591680350301,92.0245398773006,99.626307922272
"CHIPPEWA",11730,2364,8489,8396,2357,10753,877,92.5234441602728,99.0785957799687,98.9044646012487,99.7038917089678,1858,919,776,743,928,1671,163,91.227125941873,98.5840707964602,95.7474226804124,100.979325353645
"CLARK",3708,846,2581,2560,838,3398,281,92.4217907227616,99.1537788152903,99.1863618752422,99.0543735224586,336,79,186,175,79,254,71,78.8690476190476,95.8490566037736,94.0860215053764,100
"COLUMBIA",12494,2479,9310,9177,2468,11645,705,94.35729149992,98.7785223513445,98.5714285714286,99.556272690601,1133,615,418,367,607,974,100,91.1738746690203,94.2884801548887,87.799043062201,98.6991869918699
"CRAWFORD",2573,395,2019,1974,395,2369,159,93.8204430625729,98.135874067937,97.7711738484398,100,293,128,147,139,124,263,18,93.8566552901024,95.6363636363636,94.5578231292517,96.875
"DANE",176826,16456,142688,141128,16381,157509,17682,90.0003393166163,98.972628562811,98.9067055393586,99.5442391832766,28300,17992,8740,8022,17879,25901,1568,94.4593639575972,96.8913661529253,91.7848970251716,99.3719430858159
"DODGE",16283,3364,11754,11711,3356,15067,1165,92.8452987778665,99.6626537901839,99.6341670920538,99.7621878715815,1687,761,845,809,756,1565,81,95.1985773562537,97.4470734744707,95.7396449704142,99.3429697766097
"DOOR",9044,1412,7215,7010,1412,8422,417,95.3892083149049,97.6237394227425,97.1586971586972,100,1943,934,925,870,929,1799,84,95.6767884714359,96.7724583109198,94.0540540540541,99.4646680942184
"DOUGLAS",6476,1119,4681,4634,1116,5750,676,89.5614576899321,99.1379310344828,98.9959410382397,99.7319034852547,1006,331,586,547,328,875,89,91.1530815109344,95.4198473282443,93.3447098976109,99.0936555891239
"DUNN",6781,824,5412,5174,820,5994,545,91.9628373396254,96.1193072482361,95.6023651145602,99.5145631067961,806,316,454,429,311,740,36,95.5334987593052,96.1038961038961,94.4933920704846,98.4177215189873
"EAU CLAIRE",22147,5958,13337,12998,5952,18950,2852,87.1224093556689,98.211972013475,97.4581989952763,99.8992950654582,4570,3155,1258,1204,3146,4350,157,96.5645514223195,98.5723997280761,95.7074721780604,99.7147385103011
"FLORENCE",834,50,650,648,50,698,134,83.9328537170264,99.7142857142857,99.6923076923077,100,125,34,69,61,34,95,22,82.4,92.2330097087379,88.4057971014493,100
"FOND DU LAC",19023,2687,15086,14926,2671,17597,1250,93.4290069915366,99.0097338659765,98.9394140262495,99.4045403796055,3471,1274,2035,1855,1259,3114,162,95.3327571305099,94.1069809610154,91.1547911547912,98.8226059654631
"FOREST",1500,156,1244,1159,156,1315,100,93.3333333333333,93.9285714285714,93.1672025723473,100,50,22,27,27,22,49,1,98,100,100,100
"GRANT",7685,822,6304,6238,822,7060,559,92.726089785296,99.0738142015156,98.9530456852792,100,1195,421,646,590,412,1002,128,89.2887029288703,93.9081537019681,91.3312693498452,97.8622327790974
"GREEN",7841,1613,5832,5759,1608,7367,396,94.949623772478,98.9523169912693,98.7482853223594,99.6900185988841,462,258,179,175,257,432,25,94.5887445887446,98.8558352402746,97.7653631284916,99.6124031007752
"GREEN LAKE",3207,639,2382,2369,639,3008,186,94.200187090739,99.5696789142668,99.4542401343409,100,477,187,248,239,186,425,42,91.1949685534591,97.7011494252874,96.3709677419355,99.4652406417112
"IOWA",5512,840,4328,4299,833,5132,344,93.7590711175617,99.3034055727554,99.3299445471349,99.1666666666667,835,459,326,303,455,758,50,94.0119760479042,96.5605095541401,92.9447852760736,99.1285403050109
"IRON",1864,145,1616,1610,142,1752,103,94.4742489270386,99.488926746167,99.6287128712871,97.9310344827586,173,71,94,87,71,158,8,95.3757225433526,95.7575757575758,92.5531914893617,100
"JACKSON",2558,449,1834,1792,449,2241,275,89.2494136043784,98.1603153745072,97.7099236641221,100,251,99,131,122,99,221,21,91.6334661354582,96.0869565217391,93.1297709923664,100
"JEFFERSON",18413,3319,13738,13575,3306,16881,1356,92.6356378645522,98.9681655625256,98.8135099723395,99.6083157577584,2263,1426,692,643,1419,2062,145,93.5925762262484,97.3559962228517,92.9190751445087,99.5091164095372
"JUNEAU",3557,209,3098,3084,209,3293,250,92.9716052853528,99.5766555790747,99.5480955455132,100,378,94,238,182,91,273,46,87.8306878306878,82.2289156626506,76.4705882352941,96.8085106382979
"KENOSHA",28509,3537,21751,21212,3490,24702,3221,88.7018134624154,97.6826953495729,97.5219530136546,98.6711902742437,7583,4871,2295,2053,4818,6871,417,94.5008571805354,95.8833379849288,89.4553376906318,98.9119277355779
"KEWAUNEE",3833,0,3633,3571,0,3571,200,94.7821549699974,98.2934214148087,98.2934214148087,NA,520,15,498,478,15,493,7,98.6538461538462,96.1013645224172,95.9839357429719,100
"LA CROSSE",24015,4476,17264,16307,4462,20769,2275,90.5267541120133,95.5335786568537,94.4566728452271,99.6872207327971,6588,4541,1901,1590,4518,6108,146,97.7838494231937,94.8152747593915,83.6401893740137,99.4935036335609
"LAFAYETTE",2738,504,2106,2098,501,2599,128,95.3250547845142,99.5785440613027,99.6201329534663,99.4047619047619,159,42,107,100,42,142,10,93.7106918238994,95.3020134228188,93.4579439252336,100
"LANGLADE",2752,450,2121,2113,449,2562,181,93.4229651162791,99.6499416569428,99.6228194247996,99.7777777777778,488,118,315,107,118,225,55,88.7295081967213,51.9630484988453,33.968253968254,100
"LINCOLN",4575,713,3483,3395,711,4106,379,91.7158469945355,97.8551000953289,97.4734424346827,99.7194950911641,615,222,331,318,218,536,62,89.9186991869919,96.9258589511754,96.0725075528701,98.1981981981982
"MANITOWOC",14720,2800,11087,10985,2782,13767,833,94.3410326086957,99.1358824800173,99.080003607829,99.3571428571429,2505,1311,1086,1038,1303,2341,108,95.688622754491,97.6637463496037,95.5801104972376,99.3897787948131
"MARATHON",24667,4269,18429,17982,4255,22237,1969,92.0176754368184,97.9689840514583,97.574475012209,99.6720543452799,4123,1993,1925,1761,1978,3739,205,95.0278923114237,95.4313425216947,91.4805194805195,99.2473657802308
"MARINETTE",7575,1585,5359,5298,1579,6877,631,91.6699669966997,99.0351382488479,98.8617279343161,99.6214511041009,1151,440,624,585,432,1017,87,92.4413553431798,95.5827067669173,93.75,98.1818181818182
"MARQUETTE",2365,346,1877,1838,343,2181,142,93.9957716701903,98.110661268556,97.9222163026106,99.1329479768786,56,33,22,20,33,53,1,98.2142857142857,96.3636363636364,90.9090909090909,100
"MENOMINEE",109,24,33,33,24,57,52,52.2935779816514,100,100,100,39,37,2,2,37,39,0,100,100,100,100
"MILWAUKEE",195919,23017,140964,137475,22836,160311,31938,83.6983651406959,97.7619358340296,97.5248999744616,99.2136247121693,39972,23976,13174,12202,23794,35996,2822,92.9400580406284,96.8936742934051,92.6218308790041,99.2409075742409
