"county","total_requests2020","early_returned2020","mail_returned2020","mail_counted2020","early_counted2020","counted2020","not_returned2020","returned_pct2020","counted_pct2020","mail_counted_pct2020","early_counted_pct2020","total_requests2016","early_returned2016","mail_returned2016","mail_counted2016","early_counted2016","counted2016","not_returned2016","returned_pct2016","counted_pct2016","mail_counted_pct2016","early_counted_pct2016"
"MONROE",5992,1251,4281,4174,1251,5425,460,92.3230974632844,98.0657989877079,97.5005839757066,100,807,455,311,283,451,734,41,94.9194547707559,95.822454308094,90.9967845659164,99.1208791208791
"OCONTO",6836,858,5552,5477,853,6330,426,93.7682855471036,98.7519500780031,98.6491354466859,99.4172494172494,703,335,310,303,333,636,58,91.7496443812233,98.6046511627907,97.741935483871,99.4029850746269
"ONEIDA",8073,670,6847,6798,667,7465,556,93.1128452867583,99.3082346680857,99.2843581130422,99.5522388059701,1577,526,936,840,522,1362,115,92.707672796449,93.1600547195622,89.7435897435898,99.2395437262358
"OUTAGAMIE",39299,3770,30913,30297,3755,34052,4616,88.2541540497214,98.1806648790474,98.0073108400996,99.6021220159151,8662,6117,2165,2065,6082,8147,380,95.6130223966751,98.3699589471142,95.3810623556582,99.4278240967795
"OZAUKEE",28432,6493,19780,19024,6461,25485,2159,92.4064434440068,97.000723175884,96.1779575328615,99.5071615586016,7354,5117,1909,1711,5077,6788,328,95.5398422627142,96.6125818388842,89.6280775275013,99.21829196795
"PEPIN",1196,69,1001,987,69,1056,126,89.4648829431438,98.6915887850467,98.6013986013986,100,67,34,22,22,34,56,11,83.5820895522388,100,100,100
"PIERCE",6096,799,4879,4747,796,5543,418,93.1430446194226,97.6224022543149,97.2945275671244,99.6245306633292,719,351,324,308,347,655,44,93.8803894297636,97.037037037037,95.0617283950617,98.8603988603989
"POLK",5554,720,3989,4044,712,4756,845,84.785740007202,100,100,98.8888888888889,158,81,49,45,77,122,28,82.2784810126582,93.8461538461538,91.8367346938776,95.0617283950617
"PORTAGE",14446,2386,10908,10724,2370,13094,1152,92.0254741797037,98.4955619076275,98.3131646497983,99.3294216261526,2572,1580,904,813,1573,2386,88,96.5785381026438,96.0547504025765,89.9336283185841,99.5569620253165
"PRICE",2659,411,2114,2100,410,2510,134,94.9605114704776,99.4059405940594,99.3377483443709,99.7566909975669,359,124,226,216,122,338,9,97.4930362116992,96.5714285714286,95.5752212389381,98.3870967741936
"RACINE",41871,9392,28537,27837,9346,37183,3942,90.5853693487139,98.0331672335153,97.5470441882468,99.5102214650767,8355,3189,4656,4377,3136,7513,510,93.8958707360862,95.768005098789,94.0077319587629,98.3380370021951
"RICHLAND",2805,468,2144,2104,465,2569,193,93.1194295900178,98.353751914242,98.134328358209,99.3589743589744,296,115,140,129,111,240,41,86.1486486486486,94.1176470588235,92.1428571428571,96.5217391304348
"ROCK",28878,4425,22022,21462,4398,25860,2431,91.5818269963294,97.7804665935645,97.4570883661793,99.3898305084746,5183,3013,1909,1641,2982,4623,261,94.9643063862628,93.9252336448598,85.9612362493452,98.9711251244607
"RUSK",1869,248,1484,1434,240,1674,137,92.6698769395399,96.6512702078522,96.6307277628032,96.7741935483871,278,31,204,201,31,232,43,84.5323741007194,98.7234042553192,98.5294117647059,100
"SAUK",14637,2227,11486,11240,2224,13464,924,93.687230989957,98.1842047691971,97.8582622322828,99.8652896273013,2227,1111,992,893,1090,1983,124,94.4319712617872,94.2938659058488,90.0201612903226,98.1098109810981
"SAWYER",3007,510,2251,2186,507,2693,246,91.8190887928168,97.5371242303513,97.1123944913372,99.4117647058823,509,137,319,312,134,446,53,89.5874263261297,97.8070175438597,97.8056426332288,97.8102189781022
"SHAWANO",6172,1217,4656,4633,1212,5845,299,95.1555411535969,99.523241954708,99.5060137457045,99.5891536565325,872,357,478,443,355,798,37,95.756880733945,95.5688622754491,92.6778242677824,99.4397759103641
"SHEBOYGAN",24702,5227,17538,17248,5213,22461,1937,92.1585296737106,98.6646167362179,98.3464477135363,99.7321599387794,4295,2209,1789,1682,2196,3878,297,93.0849825378347,96.9984992496248,94.0190050307434,99.4114984155727
"ST. CROIX",14626,1356,11591,11301,1354,12655,1679,88.5204430466293,97.7446512705646,97.4980588387542,99.8525073746313,2200,1149,918,839,1137,1976,133,93.9545454545455,95.5974842767296,91.3943355119826,98.9556135770235
"TAYLOR",2768,588,2008,1983,586,2569,172,93.7861271676301,98.959938366718,98.7549800796813,99.6598639455782,319,109,123,116,108,224,87,72.7272727272727,96.551724137931,94.3089430894309,99.0825688073395
"TREMPEALEAU",3968,708,2579,2843,706,3549,681,82.8377016129032,100,100,99.7175141242938,346,128,151,137,125,262,67,80.635838150289,93.9068100358423,90.728476821192,97.65625
"VERNON",5194,651,4126,4078,645,4723,417,91.9715055833654,98.8695834205568,98.8366456616578,99.0783410138249,529,251,227,211,247,458,51,90.359168241966,95.81589958159,92.9515418502203,98.406374501992
"VILAS",5352,985,3943,3885,982,4867,424,92.0777279521674,98.7621753246753,98.5290388029419,99.6954314720812,134,88,42,39,88,127,4,97.0149253731343,97.6923076923077,92.8571428571429,100
"WALWORTH",21379,4577,15168,14965,4557,19522,1634,92.3569858272136,98.8706001519372,98.6616561181435,99.5630325540747,4221,2145,1779,1652,2120,3772,297,92.9637526652452,96.1264016309888,92.8611579539067,98.8344988344988
"WASHBURN",2786,404,2181,2111,397,2508,201,92.7853553481694,97.0212765957447,96.7904630903255,98.2673267326733,296,89,161,152,88,240,46,84.4594594594595,96,94.4099378881988,98.876404494382
"WASHINGTON",38900,10789,26008,25711,10747,36458,2103,94.5938303341902,99.0787292442319,98.858043678868,99.6107146167393,7878,5374,2195,1952,5338,7290,309,96.0776846915461,96.3139120095125,88.9293849658314,99.3301079270562
"WAUKESHA",127056,29352,89258,88012,29240,117252,8446,93.3525374637955,98.8550712418852,98.6040466960945,99.6184246388662,30141,21195,7695,7036,21025,28061,1251,95.8495073156166,97.1304949809623,91.4359974009097,99.1979240386884
"WAUPACA",9084,1516,7028,6925,1514,8439,540,94.0554821664465,98.7710674157303,98.5344336937962,99.868073878628,1378,509,779,741,505,1246,90,93.4687953555878,96.7391304347826,95.1219512195122,99.2141453831041
"WAUSHARA",3850,359,3208,3139,358,3497,283,92.6493506493507,98.0375665825624,97.8491271820449,99.7214484679666,464,142,284,255,140,395,38,91.8103448275862,92.7230046948357,89.7887323943662,98.5915492957747
"WINNEBAGO",37607,6138,25407,25138,6087,31225,6062,83.8806605153296,98.9855761610398,98.9412366670603,99.169110459433,7422,4604,2536,2293,4571,6864,282,96.2004850444624,96.1344537815126,90.4179810725552,99.2832319721981
"WOOD",13668,3334,9476,9298,3319,12617,858,93.7225636523266,98.4933645589383,98.1215702828198,99.5500899820036,2196,1074,1046,947,1069,2016,76,96.5391621129326,95.0943396226415,90.5353728489484,99.5344506517691
