"HINDI","Muni2","County","total_ballots_2020","registered_voters_2020","provisional_all_2020","prov_counted_2020","prov_rejected_2020","abs_issued_2020","abs_counted_2020","abs_rejected_2020","total_ballots_2016","registered_voters_2016","provisional_all_2016","prov_counted_2016","prov_rejected_2016","abs_issued_2016","abs_counted_2016","abs_not_returned_2016","abs_late_2016","abs_rejected_2016"
14034,"TOWN OF OAK GROVE","DODGE COUNTY",311,634,0,0,0,12,12,0,416,634,0,0,0,10,10,0,0,0
14036,"TOWN OF PORTLAND","DODGE COUNTY",314,648,0,0,0,4,4,0,421,653,0,0,0,9,8,0,1,0
14038,"TOWN OF RUBICON","DODGE COUNTY",799,1464,0,0,0,146,143,0,967,1457,0,0,0,44,43,0,0,1
14040,"TOWN OF SHIELDS","DODGE COUNTY",198,365,0,0,0,0,0,0,264,358,0,0,0,11,11,0,0,0
14042,"TOWN OF THERESA","DODGE COUNTY",338,658,0,0,0,83,83,0,466,687,0,0,0,15,15,0,0,0
14044,"TOWN OF TRENTON","DODGE COUNTY",366,772,0,0,0,9,9,0,511,811,0,0,0,11,1,2,0,0
14046,"TOWN OF WESTFORD","DODGE COUNTY",433,837,0,0,0,9,9,0,555,839,0,0,0,11,11,0,0,0
14106,"VILLAGE OF BROWNSVILLE","DODGE COUNTY",180,346,0,0,0,36,36,0,248,358,0,0,0,5,5,0,0,0
14111,"VILLAGE OF CLYMAN","DODGE COUNTY",95,217,0,0,0,26,26,0,148,223,0,0,0,6,6,0,0,0
14136,"VILLAGE OF HUSTISFORD","DODGE COUNTY",331,576,0,0,0,83,83,0,402,683,0,0,0,16,8,0,0,0
14141,"VILLAGE OF IRON RIDGE","DODGE COUNTY",257,536,0,0,0,59,58,0,339,559,0,0,0,4,4,0,0,0
14143,"VILLAGE OF KEKOSKEE","DODGE COUNTY",260,595,0,0,0,35,35,0,54,104,0,0,0,0,0,0,0,0
14146,"VILLAGE OF LOMIRA","DODGE COUNTY",498,1300,0,0,0,115,115,0,790,1371,0,0,0,63,62,1,0,0
14147,"VILLAGE OF LOWELL","DODGE COUNTY",88,184,0,0,0,4,4,0,115,194,0,0,0,0,0,0,0,0
14161,"VILLAGE OF NEOSHO","DODGE COUNTY",184,356,0,0,0,37,37,0,242,373,0,0,0,10,9,1,0,0
14176,"VILLAGE OF RANDOLPH","DODGE COUNTY",352,687,0,0,0,61,61,0,434,725,0,0,0,33,32,1,0,0
14177,"VILLAGE OF REESEVILLE","DODGE COUNTY",181,361,0,0,0,10,9,0,231,376,0,0,0,6,6,0,0,0
14186,"VILLAGE OF THERESA","DODGE COUNTY",369,779,0,0,0,41,41,0,527,788,0,0,0,28,28,0,0,0
14206,"CITY OF BEAVER DAM","DODGE COUNTY",3886,8101,0,0,0,447,445,1,4977,8074,0,0,0,406,391,12,0,0
14226,"CITY OF FOX LAKE","DODGE COUNTY",332,770,0,0,0,40,40,0,499,842,0,0,0,32,31,1,0,0
14236,"CITY OF HORICON","DODGE COUNTY",857,1968,0,0,0,81,81,0,1195,2019,0,0,0,76,72,3,0,0
14241,"CITY OF JUNEAU","DODGE COUNTY",579,1107,0,0,0,113,112,0,709,1166,0,0,0,37,37,0,0,0
14251,"CITY OF MAYVILLE","DODGE COUNTY",1424,2897,0,0,0,372,372,0,1923,2991,0,0,0,205,1,3,0,0
14292,"CITY OF WAUPUN","DODGE COUNTY",1203,2460,0,0,0,0,0,0,1484,2653,0,0,0,178,176,2,0,0
15002,"TOWN OF BAILEYS HARBOR","DOOR COUNTY",561,915,0,0,0,78,78,0,656,892,0,0,0,124,2,3,0,0
15004,"TOWN OF BRUSSELS","DOOR COUNTY",318,663,0,0,0,18,18,0,487,659,0,0,0,21,21,0,0,0
15006,"TOWN OF CLAY BANKS","DOOR COUNTY",155,258,0,0,0,14,14,0,219,275,0,0,0,16,15,1,1,0
15008,"TOWN OF EGG HARBOR","DOOR COUNTY",521,1050,0,0,0,96,96,0,647,994,0,0,0,75,74,0,0,1
15010,"TOWN OF FORESTVILLE","DOOR COUNTY",373,647,0,0,0,15,15,0,434,646,0,0,0,26,26,0,0,0
15012,"TOWN OF GARDNER","DOOR COUNTY",428,830,0,0,0,11,11,0,557,826,0,0,0,30,11,2,0,1
15014,"TOWN OF GIBRALTAR","DOOR COUNTY",564,905,0,0,0,64,64,0,671,878,1,1,0,134,123,10,0,1
15016,"TOWN OF JACKSONPORT","DOOR COUNTY",342,596,0,0,0,26,26,0,418,598,0,0,0,44,41,3,0,0
15018,"TOWN OF LIBERTY GROVE","DOOR COUNTY",965,1575,0,0,0,193,193,0,1110,1545,0,0,0,195,195,1,1,0
15020,"TOWN OF NASEWAUPEE","DOOR COUNTY",681,1362,0,0,0,14,14,0,947,1358,0,0,0,51,49,0,0,0
15022,"TOWN OF SEVASTOPOL","DOOR COUNTY",1206,2066,0,0,0,220,220,0,1468,2057,0,0,0,242,233,7,0,1
15024,"TOWN OF STURGEON BAY","DOOR COUNTY",265,556,0,0,0,0,0,0,399,563,0,0,0,29,26,3,0,0
15026,"TOWN OF UNION","DOOR COUNTY",354,701,0,0,0,0,0,0,554,681,0,0,0,26,2,1,0,0
15028,"TOWN OF WASHINGTON","DOOR COUNTY",432,644,0,0,0,47,47,0,424,650,0,0,0,70,2,2,0,0
15118,"VILLAGE OF EGG HARBOR","DOOR COUNTY",178,258,0,0,0,42,42,0,168,224,0,0,0,40,39,1,0,0
15121,"VILLAGE OF EPHRAIM","DOOR COUNTY",164,270,0,0,0,13,13,0,225,291,0,0,0,59,56,1,1,1
15127,"VILLAGE OF FORESTVILLE","DOOR COUNTY",0,269,0,0,0,0,0,0,200,289,0,0,0,12,11,1,0,0
15181,"VILLAGE OF SISTER BAY","DOOR COUNTY",493,799,0,0,0,66,66,0,555,704,0,0,0,94,0,1,0,0
15281,"CITY OF STURGEON BAY","DOOR COUNTY",0,5498,0,0,0,485,484,0,3861,5397,0,0,0,612,601,5,0,1
16002,"TOWN OF AMNICON","DOUGLAS COUNTY",334,709,0,0,0,33,33,0,433,719,0,0,0,10,9,1,0,9
16004,"TOWN OF BENNETT","DOUGLAS COUNTY",234,410,0,0,0,18,18,0,307,381,0,0,0,19,19,0,0,0
16006,"TOWN OF BRULE","DOUGLAS COUNTY",222,414,0,0,0,42,42,0,273,445,0,0,0,10,10,0,0,0
16008,"TOWN OF CLOVERLAND","DOUGLAS COUNTY",56,144,0,0,0,8,8,0,90,146,0,0,0,3,3,0,0,0
16010,"TOWN OF DAIRYLAND","DOUGLAS COUNTY",55,139,0,0,0,0,0,0,59,136,0,0,0,5,4,0,0,0
16012,"TOWN OF GORDON","DOUGLAS COUNTY",223,517,0,0,0,46,46,0,328,525,1,1,0,26,26,1,0,0
16014,"TOWN OF HAWTHORNE","DOUGLAS COUNTY",273,634,0,0,0,0,0,0,363,658,0,0,0,3,3,0,0,0
16016,"TOWN OF HIGHLAND","DOUGLAS COUNTY",127,239,0,0,0,2,2,0,127,218,0,0,0,2,2,0,0,0
16018,"TOWN OF LAKESIDE","DOUGLAS COUNTY",194,431,0,0,0,2,2,0,244,429,0,0,0,4,4,0,0,0
16020,"TOWN OF MAPLE","DOUGLAS COUNTY",216,402,0,0,0,11,11,0,278,440,0,0,0,11,10,1,0,0
16022,"TOWN OF OAKLAND","DOUGLAS COUNTY",308,731,0,0,0,47,46,0,460,732,0,0,0,19,16,0,0,2
16024,"TOWN OF PARKLAND","DOUGLAS COUNTY",315,716,0,0,0,16,16,0,457,773,0,0,0,10,9,1,0,0
16026,"TOWN OF SOLON SPRINGS","DOUGLAS COUNTY",276,667,0,0,0,20,20,0,496,638,0,0,0,19,19,0,0,0
16028,"TOWN OF SUMMIT","DOUGLAS COUNTY",349,664,0,0,0,71,71,0,471,667,0,0,0,11,10,1,0,0
16030,"TOWN OF SUPERIOR","DOUGLAS COUNTY",662,1441,0,0,0,61,61,0,921,1430,0,0,0,21,19,2,0,0
16032,"TOWN OF WASCOTT","DOUGLAS COUNTY",264,583,0,0,0,41,41,0,323,573,0,0,0,40,40,0,0,0
16146,"VILLAGE OF LAKE NEBAGAMON","DOUGLAS COUNTY",410,771,0,0,0,35,35,0,467,798,0,0,0,31,30,1,0,0
16165,"VILLAGE OF OLIVER","DOUGLAS COUNTY",130,271,0,0,0,8,8,0,183,276,0,0,0,7,7,0,0,0
16171,"VILLAGE OF POPLAR","DOUGLAS COUNTY",199,392,0,0,0,18,18,0,236,390,0,0,0,11,11,0,0,0
16181,"VILLAGE OF SOLON SPRINGS","DOUGLAS COUNTY",194,399,0,0,0,26,26,0,351,418,0,0,0,21,21,0,0,0
16182,"VILLAGE OF SUPERIOR","DOUGLAS COUNTY",197,405,0,0,0,47,47,0,297,432,0,0,0,14,14,0,0,0
16281,"CITY OF SUPERIOR","DOUGLAS COUNTY",0,13780,2,0,2,535,532,0,7911,14304,1,0,1,709,580,98,7,2
17002,"TOWN OF COLFAX","DUNN COUNTY",312,700,0,0,0,7,7,0,391,659,0,0,0,10,10,0,0,0
17004,"TOWN OF DUNN","DUNN COUNTY",429,840,0,0,0,46,46,0,504,835,0,0,0,22,22,0,0,0
17006,"TOWN OF EAU GALLE","DUNN COUNTY",220,456,0,0,0,16,14,0,253,491,0,0,0,18,18,0,0,0
17008,"TOWN OF ELK MOUND","DUNN COUNTY",575,1033,0,0,0,8,8,0,599,978,0,0,0,15,0,1,0,0
17010,"TOWN OF GRANT","DUNN COUNTY",156,271,0,0,0,27,27,0,180,261,0,0,0,5,5,0,0,0
17012,"TOWN OF HAY RIVER","DUNN COUNTY",166,332,0,0,0,0,0,0,212,328,0,0,0,6,6,0,0,0
17014,"TOWN OF LUCAS","DUNN COUNTY",180,441,0,0,0,0,0,0,263,476,0,0,0,5,4,1,0,0
17016,"TOWN OF MENOMONIE","DUNN COUNTY",904,1935,0,0,0,90,89,0,1164,1950,0,0,0,40,40,0,0,0
17018,"TOWN OF NEW HAVEN","DUNN COUNTY",156,374,0,0,0,5,5,0,211,373,1,1,0,1,1,0,0,0
17020,"TOWN OF OTTER CREEK","DUNN COUNTY",141,282,0,0,0,15,15,0,183,289,0,0,0,2,2,0,0,0
17022,"TOWN OF PERU","DUNN COUNTY",61,139,0,0,0,8,8,0,82,134,0,0,0,1,1,0,0,0
17024,"TOWN OF RED CEDAR","DUNN COUNTY",662,1396,0,0,0,0,0,0,768,1353,0,0,0,20,20,0,0,0
17026,"TOWN OF ROCK CREEK","DUNN COUNTY",288,605,0,0,0,50,50,0,373,569,0,0,0,9,8,1,0,0
17028,"TOWN OF SAND CREEK","DUNN COUNTY",174,316,0,0,0,3,3,0,231,316,0,0,0,6,6,0,0,0
17030,"TOWN OF SHERIDAN","DUNN COUNTY",121,271,0,0,0,6,6,0,166,261,0,0,0,6,6,0,0,0
17032,"TOWN OF SHERMAN","DUNN COUNTY",282,571,0,0,0,15,15,0,337,543,0,0,0,8,8,0,0,0
17034,"TOWN OF SPRING BROOK","DUNN COUNTY",556,1002,0,0,0,36,36,0,612,952,0,0,0,27,27,1,0,0
17036,"TOWN OF STANTON","DUNN COUNTY",228,492,0,0,0,5,5,0,253,452,0,0,0,11,0,0,0,0
17038,"TOWN OF TAINTER","DUNN COUNTY",751,1607,0,0,0,107,107,0,924,1561,0,0,0,58,57,1,0,0
17040,"TOWN OF TIFFANY","DUNN COUNTY",169,364,0,0,0,22,22,0,212,375,0,0,0,3,0,0,0,0
17042,"TOWN OF WESTON","DUNN COUNTY",146,340,0,0,0,12,12,0,197,345,3,2,1,6,6,0,0,0
17044,"TOWN OF WILSON","DUNN COUNTY",125,288,0,0,0,5,5,0,169,273,0,0,0,2,2,0,0,0
17106,"VILLAGE OF BOYCEVILLE","DUNN COUNTY",215,496,0,0,0,32,32,0,265,513,1,1,0,4,4,0,0,0
17111,"VILLAGE OF COLFAX","DUNN COUNTY",309,589,0,0,0,45,45,0,354,577,0,0,0,28,29,0,0,0
17116,"VILLAGE OF DOWNING","DUNN COUNTY",51,131,0,0,0,1,1,0,57,120,0,0,0,0,0,0,0,0
17121,"VILLAGE OF ELK MOUND","DUNN COUNTY",236,428,0,0,0,0,0,0,281,414,0,0,0,11,10,0,0,1
17141,"VILLAGE OF KNAPP","DUNN COUNTY",127,250,0,0,0,13,13,0,152,239,0,0,0,14,12,1,0,1
17176,"VILLAGE OF RIDGELAND","DUNN COUNTY",40,126,0,0,0,3,3,0,71,107,0,0,0,0,0,0,0,0
17191,"VILLAGE OF WHEELER","DUNN COUNTY",50,137,0,0,0,0,0,0,69,0,2,0,2,0,0,0,0,0
17251,"CITY OF MENOMONIE","DUNN COUNTY",2722,7893,0,0,0,244,243,1,4871,8712,0,0,0,426,416,8,0,4
18002,"TOWN OF BRIDGE CREEK","EAU CLAIRE COUNTY",362,710,0,0,0,36,36,0,435,689,0,0,0,11,5,0,0,0
18004,"TOWN OF BRUNSWICK","EAU CLAIRE COUNTY",668,1182,0,0,0,5,5,0,783,1140,0,0,0,21,20,1,0,0
18006,"TOWN OF CLEAR CREEK","EAU CLAIRE COUNTY",231,459,0,0,0,9,9,0,306,454,0,0,0,0,0,0,0,0
18008,"TOWN OF DRAMMEN","EAU CLAIRE COUNTY",211,463,0,0,0,10,9,1,344,478,1,0,1,10,10,0,0,0
18010,"TOWN OF FAIRCHILD","EAU CLAIRE COUNTY",89,153,0,0,0,5,5,0,113,160,0,0,0,4,4,0,0,0
18012,"TOWN OF LINCOLN","EAU CLAIRE COUNTY",349,669,0,0,0,39,39,0,453,676,0,0,0,6,5,0,0,0
18014,"TOWN OF LUDINGTON","EAU CLAIRE COUNTY",298,639,0,0,0,52,52,0,446,631,0,0,0,14,12,2,0,0
18016,"TOWN OF OTTER CREEK","EAU CLAIRE COUNTY",142,278,0,0,0,11,11,0,182,279,0,0,0,7,0,3,0,0
18018,"TOWN OF PLEASANT VALLEY","EAU CLAIRE COUNTY",1312,2450,0,0,0,96,93,0,1669,2277,0,0,0,75,72,3,0,0
18020,"TOWN OF SEYMOUR","EAU CLAIRE COUNTY",1088,2153,0,0,0,258,258,0,1456,2113,0,0,0,149,32,1,0,0
18022,"TOWN OF UNION","EAU CLAIRE COUNTY",736,1622,0,0,0,64,64,0,1029,1596,0,0,0,29,7,13,0,0
18024,"TOWN OF WASHINGTON","EAU CLAIRE COUNTY",2546,4849,0,0,0,575,575,0,3202,4705,1,0,1,538,529,6,0,0
18026,"TOWN OF WILSON","EAU CLAIRE COUNTY",84,220,0,0,0,6,6,0,132,228,0,0,0,1,1,0,0,0
18126,"VILLAGE OF FAIRCHILD","EAU CLAIRE COUNTY",94,231,0,0,0,7,7,0,135,236,0,0,0,2,2,0,0,0
18127,"VILLAGE OF FALL CREEK","EAU CLAIRE COUNTY",461,843,0,0,0,99,99,0,539,800,1,1,0,43,43,0,0,0
18201,"CITY OF ALTOONA","EAU CLAIRE COUNTY",2201,4481,0,0,0,437,437,0,2743,4142,2,1,1,519,502,13,1,2
18202,"CITY OF AUGUSTA","EAU CLAIRE COUNTY",327,733,0,0,0,48,47,0,418,707,1,1,0,33,30,2,0,0
18221,"CITY OF EAU CLAIRE","EAU CLAIRE COUNTY",17414,37724,0,0,0,4178,4173,0,25616,38265,7,1,6,3085,2969,90,3,5
19002,"TOWN OF AURORA","FLORENCE COUNTY",0,615,0,0,0,0,0,0,345,586,0,0,0,19,18,1,0,0
19004,"TOWN OF COMMONWEALTH","FLORENCE COUNTY",122,260,0,0,0,0,0,0,143,250,0,0,0,10,0,0,0,0
19006,"TOWN OF FENCE","FLORENCE COUNTY",88,150,0,0,0,0,0,0,95,151,0,0,0,2,2,0,0,0
19008,"TOWN OF FERN","FLORENCE COUNTY",0,130,0,0,0,0,0,0,93,129,0,0,0,13,0,2,0,0
19010,"TOWN OF FLORENCE","FLORENCE COUNTY",626,1291,0,0,0,42,42,0,747,1314,1,1,0,96,91,1,0,1
19012,"TOWN OF HOMESTEAD","FLORENCE COUNTY",129,265,0,0,0,0,0,0,155,242,0,0,0,9,9,0,0,0
19014,"TOWN OF LONG LAKE","FLORENCE COUNTY",67,134,0,0,0,1,1,0,86,122,0,0,0,5,5,0,0,0
19016,"TOWN OF TIPLER","FLORENCE COUNTY",56,105,0,0,0,7,7,0,66,103,0,0,0,6,0,0,0,0
20002,"TOWN OF ALTO","FOND DU LAC COUNTY",302,668,0,0,0,14,14,0,427,670,0,0,0,14,14,0,0,0
20004,"TOWN OF ASHFORD","FOND DU LAC COUNTY",594,1113,0,0,0,16,16,0,660,1105,0,0,0,24,24,0,0,0
20006,"TOWN OF AUBURN","FOND DU LAC COUNTY",844,1607,0,0,0,114,112,0,1022,1552,0,0,0,26,26,0,0,0
20008,"TOWN OF BYRON","FOND DU LAC COUNTY",482,1053,0,0,0,8,8,0,726,1109,0,0,0,31,29,2,2,1
20010,"TOWN OF CALUMET","FOND DU LAC COUNTY",466,929,0,0,0,47,47,0,626,943,0,0,0,38,37,1,0,0
20012,"TOWN OF EDEN","FOND DU LAC COUNTY",330,672,0,0,0,19,19,0,445,681,0,0,0,9,9,0,0,0
20014,"TOWN OF ELDORADO","FOND DU LAC COUNTY",415,903,0,0,0,49,48,0,622,918,0,0,0,25,24,0,0,1
20016,"TOWN OF EMPIRE","FOND DU LAC COUNTY",981,1873,0,0,0,0,0,0,1289,1933,0,0,0,100,94,5,0,1
20018,"TOWN OF FOND DU LAC","FOND DU LAC COUNTY",1130,2238,0,0,0,66,65,0,1428,2088,0,0,0,117,107,6,0,4
2002,"TOWN OF AGENDA","ASHLAND COUNTY",130,251,0,0,0,3,3,0,168,263,0,0,0,5,0,0,0,0
20020,"TOWN OF FOREST","FOND DU LAC COUNTY",350,682,0,0,0,18,18,0,497,719,0,0,0,15,14,1,0,0
20022,"TOWN OF FRIENDSHIP","FOND DU LAC COUNTY",667,1503,0,0,0,4,4,0,939,1534,0,0,0,48,46,1,0,1
20024,"TOWN OF LAMARTINE","FOND DU LAC COUNTY",518,1109,0,0,0,59,59,0,730,1113,0,0,0,30,30,0,0,0
20026,"TOWN OF MARSHFIELD","FOND DU LAC COUNTY",376,713,0,0,0,42,42,0,459,718,0,0,0,43,41,2,0,0
20028,"TOWN OF METOMEN","FOND DU LAC COUNTY",213,437,0,0,0,2,2,0,302,437,0,0,0,10,7,3,0,0
20030,"TOWN OF OAKFIELD","FOND DU LAC COUNTY",204,417,0,0,0,2,2,0,286,433,0,0,0,9,9,0,0,0
20032,"TOWN OF OSCEOLA","FOND DU LAC COUNTY",623,1150,0,0,0,226,226,0,788,1253,0,0,0,51,42,5,0,0
20034,"TOWN OF RIPON","FOND DU LAC COUNTY",424,869,0,0,0,46,46,0,608,878,0,0,0,22,21,0,0,1
20036,"TOWN OF ROSENDALE","FOND DU LAC COUNTY",219,434,0,0,0,8,8,0,312,451,0,0,0,11,11,0,0,0
20038,"TOWN OF SPRINGVALE","FOND DU LAC COUNTY",215,431,0,0,0,3,3,0,294,438,0,0,0,13,12,1,0,0
2004,"TOWN OF ASHLAND","ASHLAND COUNTY",223,338,0,0,0,0,0,0,210,359,0,0,0,17,16,1,0,0
20040,"TOWN OF TAYCHEEDAH","FOND DU LAC COUNTY",1583,3090,0,0,0,257,253,0,2037,3021,1,1,0,169,165,4,0,0
20042,"TOWN OF WAUPUN","FOND DU LAC COUNTY",431,858,0,0,0,2,2,0,597,940,0,0,0,11,11,0,0,0
2006,"TOWN OF CHIPPEWA","ASHLAND COUNTY",113,241,0,0,0,1,1,0,148,231,0,0,0,7,7,0,0,0
2008,"TOWN OF GINGLES","ASHLAND COUNTY",223,492,0,0,0,1,1,0,325,481,0,0,0,22,21,0,0,1
2010,"TOWN OF GORDON","ASHLAND COUNTY",91,174,0,0,0,0,0,0,110,165,0,0,0,8,6,1,0,0
20106,"VILLAGE OF BRANDON","FOND DU LAC COUNTY",231,470,0,0,0,31,31,0,301,522,0,0,0,12,12,0,0,0
20111,"VILLAGE OF CAMPBELLSPORT","FOND DU LAC COUNTY",480,1015,0,0,0,107,106,0,632,1073,0,0,0,36,35,0,0,1
2012,"TOWN OF JACOBS","ASHLAND COUNTY",174,393,0,0,0,0,0,0,250,415,0,0,0,1,1,0,0,0
20121,"VILLAGE OF EDEN","FOND DU LAC COUNTY",197,452,0,0,0,31,30,0,262,455,0,0,0,9,9,0,0,0
20126,"VILLAGE OF FAIRWATER","FOND DU LAC COUNTY",73,173,0,0,0,2,2,0,119,208,0,0,0,3,3,0,0,0
2014,"TOWN OF LA POINTE","ASHLAND COUNTY",214,295,0,0,0,68,68,0,228,304,2,1,1,51,44,6,0,0
20151,"VILLAGE OF MOUNT CALVARY","FOND DU LAC COUNTY",156,322,0,0,0,1,1,0,208,320,0,0,0,10,10,0,0,0
2016,"TOWN OF MARENGO","ASHLAND COUNTY",133,243,0,0,0,0,0,0,176,247,0,0,0,10,9,0,0,0
20161,"VILLAGE OF NORTH FOND DU LAC","FOND DU LAC COUNTY",1165,2558,0,0,0,178,177,0,1570,2607,0,0,0,200,196,0,0,0
20165,"VILLAGE OF OAKFIELD","FOND DU LAC COUNTY",312,663,0,0,0,36,35,0,448,712,0,0,0,31,31,0,0,0
20176,"VILLAGE OF ROSENDALE","FOND DU LAC COUNTY",313,631,0,0,0,105,101,0,406,630,0,0,0,13,13,0,0,0
2018,"TOWN OF MORSE","ASHLAND COUNTY",145,320,0,0,0,4,4,0,209,326,0,0,0,2,2,0,0,0
20181,"VILLAGE OF ST. CLOUD","FOND DU LAC COUNTY",178,311,0,0,0,0,0,0,236,347,0,0,0,5,3,0,0,2
2020,"TOWN OF PEEKSVILLE","ASHLAND COUNTY",56,100,0,0,0,4,4,0,83,120,0,0,0,7,7,0,0,0
2022,"TOWN OF SANBORN","ASHLAND COUNTY",130,621,0,0,0,0,0,0,300,676,0,0,0,4,4,0,0,0
20226,"CITY OF FOND DU LAC","FOND DU LAC COUNTY",9264,20647,0,0,0,878,875,0,13428,21150,1,0,1,1944,1849,31,1,29
2024,"TOWN OF SHANAGOLDEN","ASHLAND COUNTY",42,82,0,0,0,2,2,0,54,84,0,0,0,4,4,0,0,0
2026,"TOWN OF WHITE RIVER","ASHLAND COUNTY",267,532,0,0,0,5,5,0,382,516,0,0,0,8,6,2,0,0
20276,"CITY OF RIPON","FOND DU LAC COUNTY",1752,3923,0,0,0,294,294,0,2649,4220,0,0,0,286,279,6,3,1
21002,"TOWN OF ALVIN","FOREST COUNTY",58,117,0,0,0,0,0,0,67,120,0,0,0,3,5,0,0,0
21004,"TOWN OF ARGONNE","FOREST COUNTY",181,322,0,0,0,5,5,0,188,339,0,0,0,0,0,0,0,0
21006,"TOWN OF ARMSTRONG CREEK","FOREST COUNTY",146,284,0,0,0,5,5,0,192,251,0,0,0,9,8,0,0,0
21008,"TOWN OF BLACKWELL","FOREST COUNTY",31,88,0,0,0,0,0,0,40,114,0,0,0,3,3,0,0,0
21010,"TOWN OF CASWELL","FOREST COUNTY",41,54,0,0,0,6,6,0,43,64,0,0,0,1,1,0,0,0
21012,"TOWN OF CRANDON","FOREST COUNTY",236,403,0,0,0,1,1,0,232,405,0,0,0,5,5,0,0,0
21014,"TOWN OF FREEDOM","FOREST COUNTY",145,254,0,0,0,21,21,0,176,254,0,0,0,18,17,0,0,1
21016,"TOWN OF HILES","FOREST COUNTY",175,258,0,0,0,28,28,0,193,279,0,0,0,50,49,0,0,1
21018,"TOWN OF LAONA","FOREST COUNTY",317,697,0,0,0,39,39,0,420,706,0,0,0,36,36,0,0,0
21020,"TOWN OF LINCOLN","FOREST COUNTY",347,623,0,0,0,25,25,0,382,610,0,0,0,47,43,2,0,2
21022,"TOWN OF NASHVILLE","FOREST COUNTY",341,689,0,0,0,10,10,0,416,717,0,0,0,36,32,3,0,1
21024,"TOWN OF POPPLE RIVER","FOREST COUNTY",19,26,0,0,0,1,1,0,17,25,0,0,0,0,0,0,0,0
21026,"TOWN OF ROSS","FOREST COUNTY",30,81,0,0,0,0,0,0,58,91,0,0,0,3,3,0,0,0
21028,"TOWN OF WABENO","FOREST COUNTY",226,579,0,0,0,9,9,0,372,616,0,0,0,15,14,0,0,1
2106,"VILLAGE OF BUTTERNUT","ASHLAND COUNTY",91,171,0,0,0,6,6,0,122,177,0,0,0,8,8,0,0,0
21211,"CITY OF CRANDON","FOREST COUNTY",469,950,0,0,0,0,0,0,568,1005,0,0,0,57,48,1,0,2
22002,"TOWN OF BEETOWN","GRANT COUNTY",145,347,0,0,0,4,4,0,208,363,0,0,0,4,3,1,0,0
22004,"TOWN OF BLOOMINGTON","GRANT COUNTY",81,203,0,0,0,0,0,0,165,217,0,0,0,5,4,0,0,1
22006,"TOWN OF BOSCOBEL","GRANT COUNTY",100,207,0,0,0,2,2,0,157,210,0,0,0,6,6,0,0,0
22008,"TOWN OF CASSVILLE","GRANT COUNTY",105,212,0,0,0,0,0,0,125,238,0,0,0,1,1,0,0,0
2201,"CITY OF ASHLAND","ASHLAND COUNTY",1952,4331,0,0,0,266,266,0,3124,4685,0,0,0,292,262,13,1,1
22010,"TOWN OF CASTLE ROCK","GRANT COUNTY",89,162,0,0,0,12,12,0,110,160,0,0,0,0,0,0,0,0
22012,"TOWN OF CLIFTON","GRANT COUNTY",65,146,0,0,0,10,10,0,101,172,0,0,0,2,2,0,0,0
22014,"TOWN OF ELLENBORO","GRANT COUNTY",144,304,0,0,0,1,1,0,194,351,0,0,0,7,7,0,0,0
22016,"TOWN OF FENNIMORE","GRANT COUNTY",79,252,0,0,0,0,0,0,142,269,0,0,0,2,2,0,0,0
22018,"TOWN OF GLEN HAVEN","GRANT COUNTY",78,232,0,0,0,7,7,0,126,246,0,0,0,1,1,0,0,0
22020,"TOWN OF HARRISON","GRANT COUNTY",136,279,0,0,0,0,0,0,9,306,0,0,0,4,4,0,0,0
22022,"TOWN OF HAZEL GREEN","GRANT COUNTY",0,691,0,0,0,0,0,0,475,715,0,0,0,170,0,0,0,0
22024,"TOWN OF HICKORY GROVE","GRANT COUNTY",93,182,0,0,0,2,2,0,143,188,0,0,0,1,1,0,0,0
22026,"TOWN OF JAMESTOWN","GRANT COUNTY",594,1206,0,0,0,0,0,0,574,1187,0,0,0,27,26,1,0,1
22028,"TOWN OF LIBERTY","GRANT COUNTY",124,263,0,0,0,8,8,0,171,288,0,0,0,5,5,0,0,0
22030,"TOWN OF LIMA","GRANT COUNTY",180,370,0,0,0,7,7,0,253,418,0,0,0,0,0,0,0,0
22032,"TOWN OF LITTLE GRANT","GRANT COUNTY",60,159,0,0,0,2,2,0,116,150,0,0,0,4,3,0,0,1
22034,"TOWN OF MARION","GRANT COUNTY",91,266,0,0,0,6,6,0,182,284,1,1,0,7,7,0,0,0
22036,"TOWN OF MILLVILLE","GRANT COUNTY",45,97,0,0,0,4,4,0,85,99,0,0,0,5,5,0,0,0
22038,"TOWN OF MOUNT HOPE","GRANT COUNTY",49,109,0,0,0,5,5,0,93,120,0,0,0,3,3,0,0,0
22040,"TOWN OF MOUNT IDA","GRANT COUNTY",134,288,0,0,0,12,12,0,178,297,0,0,0,1,1,0,0,0
22042,"TOWN OF MUSCODA","GRANT COUNTY",91,337,0,0,0,0,0,0,189,345,0,0,0,0,0,0,0,0
22044,"TOWN OF NORTH LANCASTER","GRANT COUNTY",132,294,0,0,0,0,0,0,158,295,0,0,0,4,0,1,0,0
22046,"TOWN OF PARIS","GRANT COUNTY",141,400,0,0,0,3,3,0,231,423,0,0,0,8,8,0,0,0
22048,"TOWN OF PATCH GROVE","GRANT COUNTY",66,176,0,0,0,1,1,0,149,184,0,0,0,8,8,0,0,0
22050,"TOWN OF PLATTEVILLE","GRANT COUNTY",411,894,0,0,0,0,0,0,566,900,0,0,0,19,18,1,0,0
