"HINDI","Muni2","County","total_ballots_2020","registered_voters_2020","provisional_all_2020","prov_counted_2020","prov_rejected_2020","abs_issued_2020","abs_counted_2020","abs_rejected_2020","total_ballots_2016","registered_voters_2016","provisional_all_2016","prov_counted_2016","prov_rejected_2016","abs_issued_2016","abs_counted_2016","abs_not_returned_2016","abs_late_2016","abs_rejected_2016"
10058,"TOWN OF WASHBURN","CLARK COUNTY",84,164,0,0,0,4,4,0,105,172,0,0,0,9,9,0,0,0
1006,"TOWN OF COLBURN","ADAMS COUNTY",72,136,0,0,0,0,0,0,82,148,0,0,0,2,0,0,0,2
10060,"TOWN OF WESTON","CLARK COUNTY",153,325,0,0,0,29,29,0,230,359,0,0,0,5,5,0,0,0
10062,"TOWN OF WITHEE","CLARK COUNTY",142,323,0,0,0,17,17,0,198,353,0,0,0,7,7,0,0,0
10064,"TOWN OF WORDEN","CLARK COUNTY",113,266,0,0,0,19,19,0,165,262,0,0,0,7,7,0,0,0
10066,"TOWN OF YORK","CLARK COUNTY",189,368,0,0,0,16,16,0,234,399,0,0,0,6,4,0,0,0
1008,"TOWN OF DELL PRAIRIE","ADAMS COUNTY",381,959,0,0,0,24,24,0,570,993,0,0,0,29,29,1,0,0
1010,"TOWN OF EASTON","ADAMS COUNTY",277,583,0,0,0,23,23,0,339,567,0,0,0,11,11,0,0,0
10111,"VILLAGE OF CURTISS","CLARK COUNTY",26,60,0,0,0,1,1,0,34,63,0,0,0,0,0,0,0,0
10116,"VILLAGE OF DORCHESTER","CLARK COUNTY",144,317,0,0,0,39,39,0,208,355,0,0,0,13,12,1,0,0
1012,"TOWN OF JACKSON","ADAMS COUNTY",342,643,0,0,0,0,0,0,425,649,0,0,0,25,22,2,0,3
10131,"VILLAGE OF GRANTON","CLARK COUNTY",89,196,0,0,0,18,18,0,140,206,0,0,0,5,5,0,0,0
1014,"TOWN OF LEOLA","ADAMS COUNTY",73,154,0,0,0,0,0,0,104,162,0,0,0,1,1,0,0,0
