county,party,race,first_time_status,age_group,vote_mode,vote_count
BRE,REP,2,first_time,18-29,A,2
BRO,REP,2,first_time,18-29,A,2
CLA,REP,2,first_time,18-29,A,1
CLL,REP,2,first_time,18-29,A,1
DAD,REP,2,first_time,18-29,A,3
DUV,REP,2,first_time,18-29,A,3
ESC,REP,2,first_time,18-29,A,4
FLA,REP,2,first_time,18-29,A,1
LEE,REP,2,first_time,18-29,A,3
MAN,REP,2,first_time,18-29,A,2
MRT,REP,2,first_time,18-29,A,1
ORA,REP,2,first_time,18-29,A,5
OSC,REP,2,first_time,18-29,A,1
PAL,REP,2,first_time,18-29,A,3
PAS,REP,2,first_time,18-29,A,2
PIN,REP,2,first_time,18-29,A,3
POL,REP,2,first_time,18-29,A,1
PUT,REP,2,first_time,18-29,A,1
SAN,REP,2,first_time,18-29,A,2
SAR,REP,2,first_time,18-29,A,3
STJ,REP,2,first_time,18-29,A,2
STL,REP,2,first_time,18-29,A,1
SUM,REP,2,first_time,18-29,A,1
ALA,DEM,3,first_time,18-29,A,14
BAK,DEM,3,first_time,18-29,A,1
BAY,DEM,3,first_time,18-29,A,2
BRE,DEM,3,first_time,18-29,A,15
BRO,DEM,3,first_time,18-29,A,144
CHA,DEM,3,first_time,18-29,A,3
CIT,DEM,3,first_time,18-29,A,2
CLA,DEM,3,first_time,18-29,A,9
CLL,DEM,3,first_time,18-29,A,1
CLM,DEM,3,first_time,18-29,A,1
DAD,DEM,3,first_time,18-29,A,49
DUV,DEM,3,first_time,18-29,A,19
ESC,DEM,3,first_time,18-29,A,15
GAD,DEM,3,first_time,18-29,A,3
GLA,DEM,3,first_time,18-29,A,1
HER,DEM,3,first_time,18-29,A,1
HIL,DEM,3,first_time,18-29,A,74
IND,DEM,3,first_time,18-29,A,4
JAC,DEM,3,first_time,18-29,A,1
LAK,DEM,3,first_time,18-29,A,4
LEE,DEM,3,first_time,18-29,A,17
LEO,DEM,3,first_time,18-29,A,15
MAN,DEM,3,first_time,18-29,A,2
MON,DEM,3,first_time,18-29,A,1
MRN,DEM,3,first_time,18-29,A,3
MRT,DEM,3,first_time,18-29,A,1
NAS,DEM,3,first_time,18-29,A,4
OKA,DEM,3,first_time,18-29,A,6
ORA,DEM,3,first_time,18-29,A,43
OSC,DEM,3,first_time,18-29,A,10
PAL,DEM,3,first_time,18-29,A,51
PAS,DEM,3,first_time,18-29,A,7
PIN,DEM,3,first_time,18-29,A,25
POL,DEM,3,first_time,18-29,A,7
PUT,DEM,3,first_time,18-29,A,1
SAN,DEM,3,first_time,18-29,A,1
SAR,DEM,3,first_time,18-29,A,5
SEM,DEM,3,first_time,18-29,A,6
STJ,DEM,3,first_time,18-29,A,7
STL,DEM,3,first_time,18-29,A,16
SUM,DEM,3,first_time,18-29,A,1
SUW,DEM,3,first_time,18-29,A,2
VOL,DEM,3,first_time,18-29,A,3
WAK,DEM,3,first_time,18-29,A,2
BRO,IND,3,first_time,18-29,A,1
BRO,NPA,3,first_time,18-29,A,4
PAL,NPA,3,first_time,18-29,A,5
PIN,NPA,3,first_time,18-29,A,1
ALA,REP,3,first_time,18-29,A,2
BRO,REP,3,first_time,18-29,A,2
CIT,REP,3,first_time,18-29,A,1
CLA,REP,3,first_time,18-29,A,1
CLM,REP,3,first_time,18-29,A,1
DAD,REP,3,first_time,18-29,A,1
ESC,REP,3,first_time,18-29,A,1
LEV,REP,3,first_time,18-29,A,1
MAN,REP,3,first_time,18-29,A,1
MON,REP,3,first_time,18-29,A,1
MRN,REP,3,first_time,18-29,A,1
ORA,REP,3,first_time,18-29,A,1
OSC,REP,3,first_time,18-29,A,1
PIN,REP,3,first_time,18-29,A,1
ALA,DEM,4,first_time,18-29,A,9
BRE,DEM,4,first_time,18-29,A,8
BRO,DEM,4,first_time,18-29,A,160
CHA,DEM,4,first_time,18-29,A,3
CIT,DEM,4,first_time,18-29,A,1
CLA,DEM,4,first_time,18-29,A,4
CLL,DEM,4,first_time,18-29,A,24
DAD,DEM,4,first_time,18-29,A,286
DES,DEM,4,first_time,18-29,A,2
DUV,DEM,4,first_time,18-29,A,11
ESC,DEM,4,first_time,18-29,A,1
FLA,DEM,4,first_time,18-29,A,3
HEN,DEM,4,first_time,18-29,A,1
HER,DEM,4,first_time,18-29,A,2
HIG,DEM,4,first_time,18-29,A,1
HIL,DEM,4,first_time,18-29,A,103
IND,DEM,4,first_time,18-29,A,3
LAK,DEM,4,first_time,18-29,A,10
LEE,DEM,4,first_time,18-29,A,47
LEO,DEM,4,first_time,18-29,A,12
LEV,DEM,4,first_time,18-29,A,2
MAN,DEM,4,first_time,18-29,A,19
MON,DEM,4,first_time,18-29,A,1
MRN,DEM,4,first_time,18-29,A,3
MRT,DEM,4,first_time,18-29,A,2
OKA,DEM,4,first_time,18-29,A,2
ORA,DEM,4,first_time,18-29,A,82
OSC,DEM,4,first_time,18-29,A,73
PAL,DEM,4,first_time,18-29,A,68
PAS,DEM,4,first_time,18-29,A,15
PIN,DEM,4,first_time,18-29,A,43
POL,DEM,4,first_time,18-29,A,25
SAN,DEM,4,first_time,18-29,A,2
SAR,DEM,4,first_time,18-29,A,27
SEM,DEM,4,first_time,18-29,A,12
STJ,DEM,4,first_time,18-29,A,8
STL,DEM,4,first_time,18-29,A,11
VOL,DEM,4,first_time,18-29,A,12
DAD,GRE,4,first_time,18-29,A,1
BRE,IND,4,first_time,18-29,A,1
HAR,LPF,4,first_time,18-29,A,1
ALA,NPA,4,first_time,18-29,A,1
BRO,NPA,4,first_time,18-29,A,15
DAD,NPA,4,first_time,18-29,A,3
DUV,NPA,4,first_time,18-29,A,1
HIL,NPA,4,first_time,18-29,A,4
ORA,NPA,4,first_time,18-29,A,5
OSC,NPA,4,first_time,18-29,A,1
PAL,NPA,4,first_time,18-29,A,4
PIN,NPA,4,first_time,18-29,A,10
ALA,REP,4,first_time,18-29,A,4
BRA,REP,4,first_time,18-29,A,1
BRO,REP,4,first_time,18-29,A,49
CHA,REP,4,first_time,18-29,A,1
CIT,REP,4,first_time,18-29,A,1
CLL,REP,4,first_time,18-29,A,10
DAD,REP,4,first_time,18-29,A,141
DUV,REP,4,first_time,18-29,A,6
FLA,REP,4,first_time,18-29,A,1
GLA,REP,4,first_time,18-29,A,1
HAM,REP,4,first_time,18-29,A,1
HER,REP,4,first_time,18-29,A,3
HIL,REP,4,first_time,18-29,A,24
LAK,REP,4,first_time,18-29,A,1
LEE,REP,4,first_time,18-29,A,16
LEO,REP,4,first_time,18-29,A,3
MAN,REP,4,first_time,18-29,A,3
MON,REP,4,first_time,18-29,A,4
MRN,REP,4,first_time,18-29,A,2
MRT,REP,4,first_time,18-29,A,1
NAS,REP,4,first_time,18-29,A,1
ORA,REP,4,first_time,18-29,A,14
OSC,REP,4,first_time,18-29,A,15
PAL,REP,4,first_time,18-29,A,10
PAS,REP,4,first_time,18-29,A,8
PIN,REP,4,first_time,18-29,A,5
POL,REP,4,first_time,18-29,A,12
SAN,REP,4,first_time,18-29,A,1
SAR,REP,4,first_time,18-29,A,8
SEM,REP,4,first_time,18-29,A,5
STJ,REP,4,first_time,18-29,A,6
STL,REP,4,first_time,18-29,A,2
VOL,REP,4,first_time,18-29,A,4
WAK,REP,4,first_time,18-29,A,1
ALA,DEM,5,first_time,18-29,A,84
BAY,DEM,5,first_time,18-29,A,17
BRE,DEM,5,first_time,18-29,A,149
BRO,DEM,5,first_time,18-29,A,225
CHA,DEM,5,first_time,18-29,A,34
CIT,DEM,5,first_time,18-29,A,16
CLA,DEM,5,first_time,18-29,A,24
CLL,DEM,5,first_time,18-29,A,76
CLM,DEM,5,first_time,18-29,A,4
DAD,DEM,5,first_time,18-29,A,110
DES,DEM,5,first_time,18-29,A,1
DIX,DEM,5,first_time,18-29,A,1
DUV,DEM,5,first_time,18-29,A,90
ESC,DEM,5,first_time,18-29,A,70
FLA,DEM,5,first_time,18-29,A,10
FRA,DEM,5,first_time,18-29,A,1
GAD,DEM,5,first_time,18-29,A,2
GIL,DEM,5,first_time,18-29,A,1
GUL,DEM,5,first_time,18-29,A,1
HAM,DEM,5,first_time,18-29,A,1
HAR,DEM,5,first_time,18-29,A,1
HEN,DEM,5,first_time,18-29,A,1
HER,DEM,5,first_time,18-29,A,20
HIG,DEM,5,first_time,18-29,A,5
HIL,DEM,5,first_time,18-29,A,277
IND,DEM,5,first_time,18-29,A,26
JAC,DEM,5,first_time,18-29,A,2
LAF,DEM,5,first_time,18-29,A,1
LAK,DEM,5,first_time,18-29,A,32
LEE,DEM,5,first_time,18-29,A,129
