election_date,vote_mode,party,county,race,age_group,vote_count
03/15/2016,P,DEM,HEN,1,18-29,1
03/15/2016,E,DEM,HER,1,18-29,1
03/17/2020,E,DEM,HER,1,18-29,1
03/15/2016,Y,DEM,HER,1,18-29,2
03/17/2020,Y,DEM,HER,1,18-29,1
03/15/2016,A,REP,HER,1,18-29,3
03/17/2020,A,REP,HER,1,18-29,2
03/15/2016,E,REP,HER,1,18-29,1
03/17/2020,E,REP,HER,1,18-29,1
03/15/2016,Y,REP,HER,1,18-29,1
03/17/2020,Y,REP,HER,1,18-29,1
03/15/2016,A,DEM,HIG,1,18-29,1
03/15/2016,Y,REP,HIG,1,18-29,2
03/17/2020,Y,REP,HIG,1,18-29,1
03/15/2016,A,DEM,HIL,1,18-29,1
03/17/2020,A,DEM,HIL,1,18-29,9
03/15/2016,E,DEM,HIL,1,18-29,3
03/17/2020,E,DEM,HIL,1,18-29,10
03/15/2016,Y,DEM,HIL,1,18-29,17
03/17/2020,Y,DEM,HIL,1,18-29,13
03/15/2016,A,REP,HIL,1,18-29,6
03/17/2020,A,REP,HIL,1,18-29,6
03/15/2016,E,REP,HIL,1,18-29,3
03/17/2020,E,REP,HIL,1,18-29,2
03/15/2016,P,REP,HIL,1,18-29,1
03/15/2016,Y,REP,HIL,1,18-29,8
03/17/2020,Y,REP,HIL,1,18-29,2
03/17/2020,Y,REP,HOL,1,18-29,2
03/17/2020,A,DEM,IND,1,18-29,2
03/17/2020,E,DEM,IND,1,18-29,1
03/15/2016,Y,DEM,IND,1,18-29,2
03/17/2020,E,REP,IND,1,18-29,1
03/15/2016,Y,REP,IND,1,18-29,1
03/15/2016,E,DEM,JAC,1,18-29,1
03/17/2020,E,DEM,JAC,1,18-29,1
03/15/2016,Y,DEM,JAC,1,18-29,1
03/15/2016,Y,REP,JAC,1,18-29,1
03/17/2020,Y,REP,JAC,1,18-29,1
03/17/2020,A,DEM,LAF,1,18-29,1
03/15/2016,E,DEM,LAK,1,18-29,1
03/17/2020,E,DEM,LAK,1,18-29,1
03/15/2016,Y,DEM,LAK,1,18-29,1
03/17/2020,E,REP,LAK,1,18-29,1
03/15/2016,Y,REP,LAK,1,18-29,5
03/17/2020,Y,REP,LAK,1,18-29,2
03/17/2020,A,DEM,LEE,1,18-29,1
03/15/2016,B,DEM,LEE,1,18-29,1
03/15/2016,Y,DEM,LEE,1,18-29,2
03/17/2020,Y,DEM,LEE,1,18-29,3
03/15/2016,A,REP,LEE,1,18-29,4
03/17/2020,A,REP,LEE,1,18-29,2
03/17/2020,E,REP,LEE,1,18-29,1
03/15/2016,Y,REP,LEE,1,18-29,5
03/17/2020,Y,REP,LEE,1,18-29,2
03/15/2016,A,DEM,LEO,1,18-29,2
03/17/2020,A,DEM,LEO,1,18-29,4
03/17/2020,B,DEM,LEO,1,18-29,1
03/15/2016,E,DEM,LEO,1,18-29,2
03/17/2020,E,DEM,LEO,1,18-29,7
03/15/2016,P,DEM,LEO,1,18-29,1
03/15/2016,Y,DEM,LEO,1,18-29,12
03/17/2020,Y,DEM,LEO,1,18-29,16
03/17/2020,A,REP,LEO,1,18-29,1
03/17/2020,E,REP,LEO,1,18-29,1
03/15/2016,P,REP,LEO,1,18-29,1
03/15/2016,Y,REP,LEO,1,18-29,5
03/17/2020,Y,REP,LEO,1,18-29,2
03/15/2016,Y,DEM,LEV,1,18-29,2
03/17/2020,Y,REP,LEV,1,18-29,1
03/17/2020,A,REP,LIB,1,18-29,1
03/15/2016,Y,REP,MAD,1,18-29,1
03/15/2016,E,DEM,MAN,1,18-29,1
03/17/2020,E,DEM,MAN,1,18-29,1
03/15/2016,Y,DEM,MAN,1,18-29,2
03/17/2020,Y,DEM,MAN,1,18-29,2
03/15/2016,A,REP,MAN,1,18-29,4
03/15/2016,Y,REP,MAN,1,18-29,2
03/17/2020,Y,REP,MAN,1,18-29,1
03/15/2016,A,DEM,MON,1,18-29,1
03/15/2016,Y,DEM,MON,1,18-29,1
03/17/2020,Y,DEM,MON,1,18-29,2
03/15/2016,A,REP,MON,1,18-29,1
03/17/2020,A,REP,MON,1,18-29,1
03/15/2016,E,REP,MON,1,18-29,3
03/17/2020,Y,REP,MON,1,18-29,1
03/15/2016,E,DEM,MRN,1,18-29,1
03/17/2020,E,DEM,MRN,1,18-29,2
03/15/2016,Y,DEM,MRN,1,18-29,5
03/17/2020,Y,DEM,MRN,1,18-29,4
03/15/2016,A,REP,MRN,1,18-29,2
03/17/2020,A,REP,MRN,1,18-29,4
03/15/2016,E,REP,MRN,1,18-29,2
03/15/2016,Y,REP,MRN,1,18-29,7
03/17/2020,Y,REP,MRN,1,18-29,2
03/15/2016,Y,REP,MRT,1,18-29,1
03/17/2020,Y,REP,MRT,1,18-29,1
03/15/2016,Y,DEM,NAS,1,18-29,3
03/17/2020,Y,DEM,NAS,1,18-29,1
03/15/2016,Y,REP,NAS,1,18-29,1
03/17/2020,Y,REP,NAS,1,18-29,1
03/17/2020,A,DEM,OKA,1,18-29,2
03/15/2016,E,DEM,OKA,1,18-29,1
03/17/2020,E,DEM,OKA,1,18-29,1
03/15/2016,Y,DEM,OKA,1,18-29,2
03/17/2020,Y,DEM,OKA,1,18-29,3
