vre602,cd,ss,sh,cc,ed,mu,ext,address,white,black,hispanic,asian,other,total,,,,,,,,,,,,,,,,,,,
03B,005,038,056,4,2,03,00827,"Grove Park Recreation Center 750 Francis Pl Nw
Split (03B, 03H, 09I)","21
1","547
39","6
1","3
0","98
8","675
49",,,,,,,,,,,,,,,,,,,
03C,005,038,056,4,2,03,00827,Atlanta Police Athletic League 120 Anderson Ave Nw,"47
3","1,430
51","17
0","4
0","244
8","1,742
62",,,,,,,,,,,,,,,,,,,
03D,005,039,056,4,2,03,00826,"Washington Park Library 1116 M L King Jr Dr Sw
Split (03D, 04A)","77
7","927
42","9
1","4
0","173
5","1,190
55",,,,,,,,,,,,,,,,,,,
03E,005,039,056,4,2,03,00826,Greater Bethany Baptist Church 786 Thurmond Street,"119
3","2,179
94","17
1","7
0","363
29","2,685
127",,,,,,,,,,,,,,,,,,,
03F,005,039,056,3,2,03,00828,"Peachtree Christian Church 1580 Peachtree Street Nw
Split (02W, 03F, 06L1, 06L2)","769
108","579
52","91
16","175
16","397
50","2,011
242",,,,,,,,,,,,,,,,,,,
03G,005,039,056,4,2,03,00826,"Simpson Street Church Of Christ 800 Joseph E. Boone Blvd Nw
Split (03G, 03L)","31
2","813
23","10
0","5
0","105
2","964
27",,,,,,,,,,,,,,,,,,,
03H,005,038,055,4,2,03,00829,"Grove Park Recreation Center 750 Francis Pl Nw
Split (03B, 03H, 09I)","31
2","845
50","6
0","3
0","152
6","1,037
58",,,,,,,,,,,,,,,,,,,
03I,005,039,056,4,2,03,00826,"Antioch Baptist Ch Family Cntr
540 Cameron M Alexander Blvd Nw
Split (03I, 03P1A, 03P2, 04F)","669
64","258
31","81
7","260
9","187
26","1,455
137",,,,,,,,,,,,,,,,,,,
03L,005,039,056,4,2,03,00826,"Simpson Street Church Of Christ 800 Joseph E. Boone Blvd Nw
Split (03G, 03L)","25
0","584
26","5
0","0
0","101
5","715
31",,,,,,,,,,,,,,,,,,,
03M,005,038,055,4,2,03,00829,"M28 Church
1150 Niles Avenue","380
35","249
12","15
2","17
1","122
6","783
56",,,,,,,,,,,,,,,,,,,
03N,005,039,056,4,2,03,00826,Lindsay Street Baptist Church 550 Lindsay St,"232
20","1,997
113","40
3","20
1","373
31","2,662
168",,,,,,,,,,,,,,,,,,,
03P1A,005,039,056,3,2,03,00828,"Antioch Baptist Ch Family Cntr
540 Cameron M Alexander Blvd Nw
Split (03I, 03P1A, 03P2, 04F)","1,624
239","1,215
125","180
19","282
39","725
135","4,026
557",,,,,,,,,,,,,,,,,,,
03P2,005,036,056,4,2,03,00830,"Antioch Baptist Ch Family Cntr
540 Cameron M Alexander Blvd Nw
Split (03I, 03P1A, 03P2, 04F)","1
0","17
0","0
0","0
0","3
0","21
0",,,,,,,,,,,,,,,,,,,
03S,005,038,055,4,2,03,00829,"Berean Seventh Day Advent. Church 291 Hamilton E Holmes Dr
Split (03S, 10F)","30
3","708
16","7
0","1
0","97
7","843
26",,,,,,,,,,,,,,,,,,,
03T,005,036,056,4,2,03,00830,"Central United Methodist Ch 501 Mitchell St
Split (03T, 04J)","108
10","1,229
93","17
2","12
0","240
25","1,606
130",,,,,,,,,,,,,,,,,,,
04A,005,039,056,4,2,04,00831,"Washington Park Library 1116 M L King Jr Dr Sw
Split (03D, 04A)","73
1","1,162
48","10
0","3
0","191
4","1,439
53",,,,,,,,,,,,,,,,,,,
04B,005,036,057,4,2,04,00832,"Flipper Temple AME Church
580 Atlanta Student Movement Blvd","122
11","2,390
75","20
1","10
0","269
18","2,811
105",,,,,,,,,,,,,,,,,,,
04C,005,039,056,4,2,04,00831,"C. A. Scott Recreation Bldg 1565 M L King Jr Dr Sw
Split (04C, 04D)","0
1","128
4","0
0","0
0","17
0","145
5",,,,,,,,,,,,,,,,,,,
04D,005,039,056,4,2,04,00831,"C. A. Scott Recreation Bldg 1565 M L King Jr Dr Sw
Split (04C, 04D)","106
4","1,337
48","14
0","5
1","195
12","1,657
65",,,,,,,,,,,,,,,,,,,
04F,005,036,056,4,2,04,00833,"Antioch Baptist Ch Family Cntr
540 Cameron M Alexander Blvd Nw
Split (03I, 03P1A, 03P2, 04F)","460
39","1,507
106","59
2","86
6","356
26","2,468
179",,,,,,,,,,,,,,,,,,,
04G,005,036,057,4,2,04,00832,"James Orange Park 1305 Oakland Ln
Split (04G, 04M)","52
3","761
33","11
0","3
0","123
6","950
42",,,,,,,,,,,,,,,,,,,
04I,005,036,057,4,2,04,00832,"Paul L. Dunbar School 500 Whitehall Terrace Sw
Split (04I, 04V)","865
35","2,749
106","67
4","53
2","713
28","4,447
175",,,,,,,,,,,,,,,,,,,
04J,005,036,056,4,2,04,00833,"Central United Methodist Ch 501 Mitchell St
Split (03T, 04J)","20
2","1,397
100","18
0","3
0","132
7","1,570
109",,,,,,,,,,,,,,,,,,,
04K,005,036,057,4,2,04,00832,"West Hunter Street Baptist Church 1040 Ralph David Abernathy Blvd Sw
Split (04K, 04L)","184
21","1,973
81","24
3","11
1","347
14","2,539
120",,,,,,,,,,,,,,,,,,,
04L,005,039,056,4,2,04,00831,"West Hunter Street Baptist Church 1040 Ralph David Abernathy Blvd Sw
Split (04K, 04L)","218
11","1,326
65","24
1","22
2","288
14","1,878
93",,,,,,,,,,,,,,,,,,,
04M,005,036,058,4,2,04,00834,"James Orange Park 1305 Oakland Ln
Split (04G, 04M)","55
4","731
28","3
1","3
0","124
7","916
40",,,,,,,,,,,,,,,,,,,
04S,005,036,057,4,2,04,00832,St Peters Bapt Church Rec Bldg 1558 Venetian Dr,"97
2","1,964
52","20
0","6
0","339
5","2,426
59",,,,,,,,,,,,,,,,,,,
04T,005,036,057,4,2,04,00832,W Oakland Missionary Bapt Ch 1025 Violet St,"71
4","941
30","14
0","5
1","164
7","1,195
42",,,,,,,,,,,,,,,,,,,
04V,005,036,057,5,2,04,00508,"Paul L. Dunbar School 500 Whitehall Terrace Sw
Split (04I, 04V)","122
10","2,782
115","22
1","10
0","475
28","3,411
154",,,,,,,,,,,,,,,,,,,
04W,005,036,057,4,2,04,00832,"Morehouse College-Archer Hall
876 Atlanta Student Movement Blvd","19
2","3,181
115","31
1","14
0","174
12","3,419
130",,,,,,,,,,,,,,,,,,,
