,,Voting Method,,,,,,
,,Null,Absentee,Early Vote,Mail,Polling,Unknown,
,,Count,Count,Count,Count,Count,Count,
Precinct Name,Null,60,3804,1506,619,7778,5669,
,ADAMS - CITY OF ADAMS - WARD 1,,48,1,1,133,99,
,ADAMS - CITY OF ADAMS - WARD 2,,87,2,2,198,135,
,ADAMS - CITY OF ADAMS - WARD 3,,39,3,,93,72,
,ADAMS - CITY OF ADAMS - WARD 4,1,84,2,,121,96,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,,8,1,,15,11,
,ADAMS - TOWN OF ADAMS - WARD 1,,126,11,6,309,245,
,ADAMS - TOWN OF ADAMS - WARD 2,,44,7,1,116,89,
,ADAMS - TOWN OF ADAMS - WARD 3,,16,,,32,22,
,ADAMS - TOWN OF BIG FLATS - WARD 1,1,56,2,,145,106,
,ADAMS - TOWN OF BIG FLATS - WARD 2,,96,10,3,224,176,
,ADAMS - TOWN OF COLBURN - WARD 1,,40,2,,85,68,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,,62,2,,159,115,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,5,201,10,3,395,297,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,,31,2,1,59,32,
,ADAMS - TOWN OF EASTON - WARD 1,3,79,2,5,186,143,
,ADAMS - TOWN OF EASTON - WARD 2,,73,1,1,179,129,
,ADAMS - TOWN OF JACKSON - WARD 1,,121,10,3,216,156,
,ADAMS - TOWN OF JACKSON - WARD 2,,147,16,7,253,191,
,ADAMS - TOWN OF LEOLA - WARD 1,,34,1,1,105,81,
,ADAMS - TOWN OF LINCOLN - WARD 1,,79,3,,152,123,
,ADAMS - TOWN OF MONROE - WARD 1,,106,6,1,205,163,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,2,64,1,2,124,88,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,,59,5,,151,104,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,,10,,,22,17,
,ADAMS - TOWN OF NEW HAVEN - WARD,,165,4,3,276,204,
,ADAMS - TOWN OF PRESTON - WARD 1,2,169,17,9,358,273,
,ADAMS - TOWN OF PRESTON - WARD 2,1,95,4,,187,140,
,ADAMS - TOWN OF QUINCY - WARD 1,,201,19,3,367,280,
,ADAMS - TOWN OF QUINCY - WARD 2,1,33,3,,66,42,
,ADAMS - TOWN OF QUINCY - WARD 3,,15,1,1,49,42,
,ADAMS - TOWN OF RICHFIELD - WARD 1,,34,2,,68,52,
,ADAMS - TOWN OF ROME - WARD 1,,207,9,1,292,240,
,ADAMS - TOWN OF ROME - WARD 2,,317,25,13,360,316,
,ADAMS - TOWN OF ROME - WARD 3,2,257,14,6,338,276,
,ADAMS - TOWN OF ROME - WARD 4,,249,17,7,308,273,
,ADAMS - TOWN OF ROME - WARD 5,,238,12,7,325,281,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,,49,3,1,121,90,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,,168,15,4,379,279,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 1,,120,1,4,210,158,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 2,1,119,8,1,203,156,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 3,,26,3,2,46,36,
,ADAMS - VILLAGE OF FRIENDSHIP - WARD 1,1,125,4,4,208,166,
,ASHLAND - CITY OF ASHLAND - WARD 1,,230,7,8,406,319,
,ASHLAND - CITY OF ASHLAND - WARD 10,,122,3,4,248,177,
,ASHLAND - CITY OF ASHLAND - WARD 11,,164,4,8,304,221,
,ASHLAND - CITY OF ASHLAND - WARD 2,,105,5,2,209,137,
,ASHLAND - CITY OF ASHLAND - WARD 3,,145,,6,250,186,
,ASHLAND - CITY OF ASHLAND - WARD 4,,248,6,5,398,284,
,ASHLAND - CITY OF ASHLAND - WARD 5,,211,6,5,338,209,
,ASHLAND - CITY OF ASHLAND - WARD 6,,111,10,5,239,150,
,ASHLAND - CITY OF ASHLAND - WARD 7,,128,4,12,331,123,
,ASHLAND - CITY OF ASHLAND - WARD 8,,147,8,8,265,164,
,ASHLAND - CITY OF ASHLAND - WARD 9,,124,,3,232,116,
,ASHLAND - CITY OF MELLEN - WARD 1,,88,2,1,184,152,
,ASHLAND - TOWN OF AGENDA - WARD 1,,66,,1,165,144,
,ASHLAND - TOWN OF ASHLAND - WARD 1,,81,4,2,211,165,
,ASHLAND - TOWN OF CHIPPEWA - WARD 1,,64,1,1,147,126,
,ASHLAND - TOWN OF GINGLES - WARD 1,,135,5,2,327,252,
,ASHLAND - TOWN OF GORDON - WARD 1,,19,1,1,35,28,
,ASHLAND - TOWN OF GORDON - WARD 2,,32,,,88,77,
,ASHLAND - TOWN OF JACOBS - WARD 1,,83,2,1,250,208,
,ASHLAND - TOWN OF LA POINTE - WARD 1,,190,14,4,254,176,
,ASHLAND - TOWN OF MARENGO - WARD 1,,30,,3,75,58,
,ASHLAND - TOWN OF MARENGO - WARD 2,,37,,7,94,67,
,ASHLAND - TOWN OF MORSE - WARD 1,,68,3,1,155,126,
,ASHLAND - TOWN OF MORSE - WARD 2,,7,,,33,23,
,ASHLAND - TOWN OF MORSE - WARD 3,,9,,,18,16,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 1,,20,2,1,39,29,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 2,,21,3,,44,38,
,ASHLAND - TOWN OF SANBORN - WARD 1,,20,1,,109,54,
,ASHLAND - TOWN OF SANBORN - WARD 2,,45,,,191,120,
,ASHLAND - TOWN OF SHANAGOLDEN - WARD 1,,42,1,,58,52,
,ASHLAND - TOWN OF WHITE RIVER - WARD 1,,89,3,9,346,236,
,ASHLAND - TOWN OF WHITE RIVER - WARD 2,,12,,,39,29,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 1,,8,,,17,10,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 2,,50,1,,102,72,
,BARRON - CITY OF BARRON - WARD 1,,207,10,2,322,234,
,BARRON - CITY OF BARRON - WARD 2,,114,2,,175,130,
,BARRON - CITY OF BARRON - WARD 3,,45,,2,67,51,
,BARRON - CITY OF BARRON - WARD 4,,44,1,1,84,61,
,BARRON - CITY OF BARRON - WARD 5,,88,1,2,143,77,
,BARRON - CITY OF BARRON - WARD 6,,11,,,25,15,
,BARRON - CITY OF BARRON - WARD 7,,72,2,2,95,74,
,BARRON - CITY OF CHETEK - WARD 1,3,120,12,2,199,157,
,BARRON - CITY OF CHETEK - WARD 2,1,71,3,1,155,113,
,BARRON - CITY OF CHETEK - WARD 3,,85,2,4,157,115,
,BARRON - CITY OF CHETEK - WARD 4,6,117,4,1,224,180,
,BARRON - CITY OF CUMBERLAND - WARD 1,,94,4,2,197,120,
,BARRON - CITY OF CUMBERLAND - WARD 2,,176,1,2,280,217,
,BARRON - CITY OF CUMBERLAND - WARD 3,1,104,2,3,196,137,
,BARRON - CITY OF CUMBERLAND - WARD 4,1,116,3,1,202,141,
,BARRON - CITY OF RICE LAKE - WARD 1,,75,5,1,118,79,
,BARRON - CITY OF RICE LAKE - WARD 10,1,189,5,9,271,207,
,BARRON - CITY OF RICE LAKE - WARD 11,,187,7,1,251,204,
,BARRON - CITY OF RICE LAKE - WARD 12,1,233,17,4,357,259,
,BARRON - CITY OF RICE LAKE - WARD 13,,39,3,1,85,43,
,BARRON - CITY OF RICE LAKE - WARD 2,,113,5,2,205,138,
,BARRON - CITY OF RICE LAKE - WARD 3,,172,3,5,264,196,
,BARRON - CITY OF RICE LAKE - WARD 4,,107,2,3,173,135,
,BARRON - CITY OF RICE LAKE - WARD 5,,235,9,6,343,269,
,BARRON - CITY OF RICE LAKE - WARD 6,,140,3,2,198,147,
,BARRON - CITY OF RICE LAKE - WARD 7,,56,,1,98,76,
,BARRON - CITY OF RICE LAKE - WARD 8,,72,3,1,156,105,
,BARRON - CITY OF RICE LAKE - WARD 9,,109,5,,143,106,
,BARRON - TOWN OF ALMENA - WARD 1,,94,3,,215,150,
,BARRON - TOWN OF ALMENA - WARD 2,,52,2,3,102,76,
,BARRON - TOWN OF ARLAND - WARD 1,,71,1,,193,108,
,BARRON - TOWN OF BARRON - WARD 1,,56,,,123,92,
,BARRON - TOWN OF BARRON - WARD 2,,65,4,,148,113,
,BARRON - TOWN OF BEAR LAKE - WARD 1,,108,7,2,270,196,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,1,364,22,8,615,418,
,BARRON - TOWN OF CHETEK - WARD 1,2,205,6,6,437,333,
,BARRON - TOWN OF CHETEK - WARD 2,1,147,6,8,274,203,
,BARRON - TOWN OF CLINTON - WARD 1,,85,2,,233,177,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,,114,5,1,281,198,
,BARRON - TOWN OF CUMBERLAND - WARD 1,,148,5,2,334,247,
,BARRON - TOWN OF DALLAS - WARD 1,,69,,1,193,136,
,BARRON - TOWN OF DOVRE - WARD 1,2,124,1,2,245,173,
,BARRON - TOWN OF DOYLE - WARD 1,,35,,3,83,62,
,BARRON - TOWN OF DOYLE - WARD 2,,43,,1,99,76,
,BARRON - TOWN OF LAKELAND - WARD 1,,36,,,79,53,
,BARRON - TOWN OF LAKELAND - WARD 2,,138,5,2,327,215,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,,74,2,3,213,149,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,,57,,2,124,95,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,,137,7,3,332,223,
,BARRON - TOWN OF OAK GROVE - WARD 1,,58,,,132,98,
,BARRON - TOWN OF OAK GROVE - WARD 2,,84,7,4,184,145,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,,40,,2,98,74,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,,43,1,,76,53,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,,187,17,5,330,241,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,,123,,4,260,186,
,BARRON - TOWN OF RICE LAKE - WARD 1,,218,10,3,329,265,
,BARRON - TOWN OF RICE LAKE - WARD 2,,195,9,,295,233,
,BARRON - TOWN OF RICE LAKE - WARD 3,,112,3,4,194,144,
,BARRON - TOWN OF RICE LAKE - WARD 4,,146,3,2,213,170,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,,126,4,2,228,170,
,BARRON - TOWN OF STANFOLD - WARD 1,,110,4,1,228,182,
,BARRON - TOWN OF STANLEY - WARD 1,,108,3,,207,137,
,BARRON - TOWN OF STANLEY - WARD 2,1,132,5,3,271,207,
,BARRON - TOWN OF STANLEY - WARD 3,1,88,,,171,129,
,BARRON - TOWN OF STANLEY - WARD 4,,104,2,1,199,146,
,BARRON - TOWN OF SUMNER - WARD 1,,105,5,,258,166,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,1,40,2,2,167,119,
,BARRON - TOWN OF VANCE CREEK - WARD 1,,70,,,222,140,
,BARRON - VILLAGE OF ALMENA - WARD 1,,53,2,1,179,109,
,BARRON - VILLAGE OF CAMERON - WARD 1,,131,3,4,347,233,
,BARRON - VILLAGE OF CAMERON - WARD 2,,33,2,1,116,75,
,BARRON - VILLAGE OF CAMERON - WARD 3,,16,1,,36,23,
,BARRON - VILLAGE OF DALLAS - WARD 1,,46,,2,100,71,
,BARRON - VILLAGE OF HAUGEN - WARD 1,,26,1,,103,76,
,BARRON - VILLAGE OF NEW AUBURN - WARD 2,1,3,,,5,4,
,BARRON - VILLAGE OF NEW AUBURN - WARD 3,,,,,1,,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,,36,2,,110,85,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,,76,4,3,223,142,
,BAYFIELD - CITY OF BAYFIELD - WARD 1,,44,3,,55,32,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,,76,1,3,91,70,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,,55,1,1,80,59,
,BAYFIELD - CITY OF BAYFIELD - WARD 4,,61,,3,79,51,
,BAYFIELD - CITY OF WASHBURN - WARD 1,,302,7,10,364,294,
,BAYFIELD - CITY OF WASHBURN - WARD 2,,111,12,5,162,104,
,BAYFIELD - CITY OF WASHBURN - WARD 3,,77,3,1,140,91,
,BAYFIELD - CITY OF WASHBURN - WARD 4,,239,6,6,342,243,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,,182,3,7,375,268,
,BAYFIELD - TOWN OF BARNES - WARD 1,1,314,22,10,474,371,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,1,299,18,4,441,306,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,,189,7,2,285,203,
,BAYFIELD - TOWN OF BELL - WARD 1,,128,5,6,170,122,
,BAYFIELD - TOWN OF CABLE - WARD 1,1,243,6,5,416,301,
,BAYFIELD - TOWN OF CLOVER - WARD 1,1,115,6,7,170,126,
,BAYFIELD - TOWN OF DELTA - WARD 1,,115,,3,183,141,
,BAYFIELD - TOWN OF DRUMMOND - WARD 1,,148,12,4,248,180,
,BAYFIELD - TOWN OF EILEEN - WARD 1,,103,7,5,244,170,
