,,Voting Method,,,,,,
,,Null,Absentee,Early Vote,Mail,Polling,Unknown,
,,Count,Count,Count,Count,Count,Count,
Precinct Name,Null,3,421,177,186,1179,721,
,ADAMS - CITY OF ADAMS - WARD 1,,5,,,15,8,
,ADAMS - CITY OF ADAMS - WARD 2,,12,,,30,16,
,ADAMS - CITY OF ADAMS - WARD 3,,4,,,12,7,
,ADAMS - CITY OF ADAMS - WARD 4,,5,,,10,4,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,,,,,3,1,
,ADAMS - TOWN OF ADAMS - WARD 1,,7,,1,29,16,
,ADAMS - TOWN OF ADAMS - WARD 2,,1,,,8,4,
,ADAMS - TOWN OF ADAMS - WARD 3,,,,,1,,
,ADAMS - TOWN OF BIG FLATS - WARD 1,,3,1,,16,4,
,ADAMS - TOWN OF BIG FLATS - WARD 2,,1,,,9,4,
,ADAMS - TOWN OF COLBURN - WARD 1,,2,,,2,2,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,,4,1,,19,12,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,,6,,,35,18,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,,4,,,6,1,
,ADAMS - TOWN OF EASTON - WARD 1,,2,,,11,9,
,ADAMS - TOWN OF EASTON - WARD 2,,3,,,13,6,
,ADAMS - TOWN OF JACKSON - WARD 1,,1,,1,8,2,
,ADAMS - TOWN OF JACKSON - WARD 2,,7,,1,15,8,
,ADAMS - TOWN OF LEOLA - WARD 1,,8,1,1,16,9,
,ADAMS - TOWN OF LINCOLN - WARD 1,,9,1,,20,13,
,ADAMS - TOWN OF MONROE - WARD 1,,3,,,9,3,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,,5,,,12,6,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,,5,2,,17,5,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,,,,,2,,
,ADAMS - TOWN OF NEW HAVEN - WARD,,11,,,34,16,
,ADAMS - TOWN OF PRESTON - WARD 1,,6,1,2,24,12,
,ADAMS - TOWN OF PRESTON - WARD 2,,8,1,,18,7,
,ADAMS - TOWN OF QUINCY - WARD 1,,8,,,22,11,
,ADAMS - TOWN OF QUINCY - WARD 2,,1,,,6,4,
,ADAMS - TOWN OF QUINCY - WARD 3,,,,,5,2,
,ADAMS - TOWN OF RICHFIELD - WARD 1,,,,,6,1,
,ADAMS - TOWN OF ROME - WARD 1,,8,1,,16,9,
,ADAMS - TOWN OF ROME - WARD 2,,11,2,2,12,7,
,ADAMS - TOWN OF ROME - WARD 3,,8,,,10,6,
,ADAMS - TOWN OF ROME - WARD 4,,8,,1,12,9,
,ADAMS - TOWN OF ROME - WARD 5,,16,1,2,29,12,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,,3,2,,12,4,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,,9,1,,20,10,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 1,,7,1,,25,12,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 2,,2,,1,13,6,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 3,,,1,1,1,1,
,ADAMS - VILLAGE OF FRIENDSHIP - WARD 1,,7,,1,19,11,
,ASHLAND - CITY OF ASHLAND - WARD 1,,26,1,,55,25,
,ASHLAND - CITY OF ASHLAND - WARD 10,,14,1,2,37,20,
,ASHLAND - CITY OF ASHLAND - WARD 11,,23,3,1,52,27,
,ASHLAND - CITY OF ASHLAND - WARD 2,,8,2,2,32,20,
,ASHLAND - CITY OF ASHLAND - WARD 3,,16,,,38,13,
,ASHLAND - CITY OF ASHLAND - WARD 4,,29,1,2,64,23,
,ASHLAND - CITY OF ASHLAND - WARD 5,,47,2,2,85,34,
,ASHLAND - CITY OF ASHLAND - WARD 6,,16,5,3,37,14,
,ASHLAND - CITY OF ASHLAND - WARD 7,,20,2,4,37,13,
,ASHLAND - CITY OF ASHLAND - WARD 8,,24,4,3,48,16,
,ASHLAND - CITY OF ASHLAND - WARD 9,,29,,1,57,20,
,ASHLAND - CITY OF MELLEN - WARD 1,,7,,,14,10,
,ASHLAND - TOWN OF AGENDA - WARD 1,,4,,,17,10,
,ASHLAND - TOWN OF ASHLAND - WARD 1,,9,2,1,39,20,
,ASHLAND - TOWN OF CHIPPEWA - WARD 1,,4,,1,12,6,
,ASHLAND - TOWN OF GINGLES - WARD 1,,17,2,,42,20,
,ASHLAND - TOWN OF GORDON - WARD 2,,5,,,11,8,
,ASHLAND - TOWN OF JACOBS - WARD 1,,7,1,1,26,16,
,ASHLAND - TOWN OF LA POINTE - WARD 1,,12,,1,19,7,
,ASHLAND - TOWN OF MARENGO - WARD 1,,3,,1,13,8,
,ASHLAND - TOWN OF MARENGO - WARD 2,,12,,6,35,19,
,ASHLAND - TOWN OF MORSE - WARD 1,,2,,,15,8,
,ASHLAND - TOWN OF MORSE - WARD 2,,,,,6,1,
,ASHLAND - TOWN OF MORSE - WARD 3,,,,,1,,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 1,,2,,,5,4,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 2,,1,1,,2,1,
,ASHLAND - TOWN OF SANBORN - WARD 1,,2,,,11,6,
,ASHLAND - TOWN OF SANBORN - WARD 2,,4,,,19,11,
,ASHLAND - TOWN OF SHANAGOLDEN - WARD 1,,2,,,4,3,
,ASHLAND - TOWN OF WHITE RIVER - WARD 1,,17,1,5,78,36,
,ASHLAND - TOWN OF WHITE RIVER - WARD 2,,1,,,5,4,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 1,,1,,,1,1,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 2,,5,,,14,4,
,BARRON - CITY OF BARRON - WARD 1,,20,5,1,50,21,
,BARRON - CITY OF BARRON - WARD 2,,8,,,21,11,
,BARRON - CITY OF BARRON - WARD 3,,5,,1,9,6,
,BARRON - CITY OF BARRON - WARD 4,,4,,,11,6,
,BARRON - CITY OF BARRON - WARD 5,,9,1,1,17,7,
,BARRON - CITY OF BARRON - WARD 6,,1,,,4,1,
,BARRON - CITY OF BARRON - WARD 7,,5,,,9,5,
,BARRON - CITY OF CHETEK - WARD 1,,9,1,,20,13,
,BARRON - CITY OF CHETEK - WARD 2,,6,2,,20,7,
,BARRON - CITY OF CHETEK - WARD 3,,11,,1,30,18,
,BARRON - CITY OF CHETEK - WARD 4,,6,,,24,12,
,BARRON - CITY OF CUMBERLAND - WARD 1,,13,1,,38,10,
,BARRON - CITY OF CUMBERLAND - WARD 2,,10,,,25,10,
,BARRON - CITY OF CUMBERLAND - WARD 3,,7,,1,20,13,
,BARRON - CITY OF CUMBERLAND - WARD 4,,4,,,20,3,
,BARRON - CITY OF RICE LAKE - WARD 1,,8,,,21,9,
,BARRON - CITY OF RICE LAKE - WARD 10,,27,1,,48,26,
,BARRON - CITY OF RICE LAKE - WARD 11,,15,1,1,27,15,
,BARRON - CITY OF RICE LAKE - WARD 12,1,15,4,,41,16,
,BARRON - CITY OF RICE LAKE - WARD 13,,6,1,,16,3,
,BARRON - CITY OF RICE LAKE - WARD 2,,13,2,,26,11,
,BARRON - CITY OF RICE LAKE - WARD 3,,27,,1,52,30,
,BARRON - CITY OF RICE LAKE - WARD 4,,16,1,1,29,18,
,BARRON - CITY OF RICE LAKE - WARD 5,,17,2,4,41,20,
,BARRON - CITY OF RICE LAKE - WARD 6,,22,2,,41,16,
,BARRON - CITY OF RICE LAKE - WARD 7,,7,,1,14,9,
,BARRON - CITY OF RICE LAKE - WARD 8,,9,1,1,21,9,
,BARRON - CITY OF RICE LAKE - WARD 9,,13,,,15,6,
,BARRON - TOWN OF ALMENA - WARD 1,,4,,,19,9,
,BARRON - TOWN OF ALMENA - WARD 2,,2,,,7,4,
,BARRON - TOWN OF ARLAND - WARD 1,,11,,,41,11,
,BARRON - TOWN OF BARRON - WARD 1,,5,,,13,6,
,BARRON - TOWN OF BARRON - WARD 2,,5,,,22,10,
,BARRON - TOWN OF BEAR LAKE - WARD 1,,10,,,42,22,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,,22,4,2,44,22,
,BARRON - TOWN OF CHETEK - WARD 1,,11,,,32,14,
,BARRON - TOWN OF CHETEK - WARD 2,,14,1,2,28,14,
,BARRON - TOWN OF CLINTON - WARD 1,,8,2,,43,21,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,,9,1,,27,11,
,BARRON - TOWN OF CUMBERLAND - WARD 1,,14,,,39,17,
,BARRON - TOWN OF DALLAS - WARD 1,,5,,,20,7,
,BARRON - TOWN OF DOVRE - WARD 1,,14,1,1,32,14,
,BARRON - TOWN OF DOYLE - WARD 1,,4,,1,15,11,
,BARRON - TOWN OF DOYLE - WARD 2,,5,,1,14,3,
,BARRON - TOWN OF LAKELAND - WARD 1,,4,,,9,1,
,BARRON - TOWN OF LAKELAND - WARD 2,,13,,1,31,10,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,,8,,,32,12,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,,2,,,10,5,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,,15,,3,38,15,
,BARRON - TOWN OF OAK GROVE - WARD 1,,6,,,23,11,
,BARRON - TOWN OF OAK GROVE - WARD 2,,5,1,,15,8,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,,6,,,20,12,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,,3,,,8,5,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,,9,2,,27,15,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,,18,,,44,22,
,BARRON - TOWN OF RICE LAKE - WARD 1,,11,2,,32,18,
,BARRON - TOWN OF RICE LAKE - WARD 2,,11,,,20,7,
,BARRON - TOWN OF RICE LAKE - WARD 3,,9,3,1,22,15,
,BARRON - TOWN OF RICE LAKE - WARD 4,,7,,,20,5,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,,13,,,26,16,
,BARRON - TOWN OF STANFOLD - WARD 1,,6,,,23,15,
,BARRON - TOWN OF STANLEY - WARD 1,,14,,,36,15,
,BARRON - TOWN OF STANLEY - WARD 2,1,7,,1,28,17,
,BARRON - TOWN OF STANLEY - WARD 3,,11,,,27,16,
,BARRON - TOWN OF STANLEY - WARD 4,,14,,1,39,15,
,BARRON - TOWN OF SUMNER - WARD 1,,14,1,,45,10,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,1,2,,,23,13,
,BARRON - TOWN OF VANCE CREEK - WARD 1,,10,,,38,9,
,BARRON - VILLAGE OF ALMENA - WARD 1,,5,,,26,5,
,BARRON - VILLAGE OF CAMERON - WARD 1,,29,1,2,72,35,
,BARRON - VILLAGE OF CAMERON - WARD 2,,6,1,,20,11,
,BARRON - VILLAGE OF CAMERON - WARD 3,,3,,,8,4,
,BARRON - VILLAGE OF DALLAS - WARD 1,,4,,,12,4,
,BARRON - VILLAGE OF HAUGEN - WARD 1,,6,,,13,9,
,BARRON - VILLAGE OF NEW AUBURN - WARD 2,1,,,,1,,
,BARRON - VILLAGE OF NEW AUBURN - WARD 3,,,,,1,,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,,3,,,15,7,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,,8,2,1,27,13,
,BAYFIELD - CITY OF BAYFIELD - WARD 1,,4,1,,7,4,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,,6,,1,8,7,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,,7,,1,12,6,
,BAYFIELD - CITY OF BAYFIELD - WARD 4,,4,,1,6,2,
,BAYFIELD - CITY OF WASHBURN - WARD 1,,33,,4,44,20,
,BAYFIELD - CITY OF WASHBURN - WARD 2,,15,,1,29,11,
,BAYFIELD - CITY OF WASHBURN - WARD 3,,11,,1,19,12,
,BAYFIELD - CITY OF WASHBURN - WARD 4,,34,,1,57,23,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,,25,1,5,44,16,
,BAYFIELD - TOWN OF BARNES - WARD 1,,8,3,1,23,14,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,,24,2,,47,21,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,,21,1,2,33,12,
,BAYFIELD - TOWN OF BELL - WARD 1,,7,,,10,6,
,BAYFIELD - TOWN OF CABLE - WARD 1,,14,,,45,23,
,BAYFIELD - TOWN OF CLOVER - WARD 1,,7,1,,10,7,
,BAYFIELD - TOWN OF DELTA - WARD 1,,6,,2,14,8,
,BAYFIELD - TOWN OF DRUMMOND - WARD 1,,7,,1,24,9,
,BAYFIELD - TOWN OF EILEEN - WARD 1,,9,1,2,36,15,
,BAYFIELD - TOWN OF EILEEN - WARD 2,,6,,,16,8,
,BAYFIELD - TOWN OF GRAND VIEW - WARD 1,,2,1,,15,3,
,BAYFIELD - TOWN OF HUGHES - WARD 1,,6,,,16,7,
,BAYFIELD - TOWN OF IRON RIVER - WARD 1,,4,,,10,7,
,BAYFIELD - TOWN OF IRON RIVER - WARD 2,,13,1,1,44,12,
,BAYFIELD - TOWN OF KELLY - WARD 1,,18,,,43,24,
