,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,FLORENCE - TOWN OF COMMONWEALTH - WARD 2,2,,
,FLORENCE - TOWN OF COMMONWEALTH - WARD 3,1,,
,FLORENCE - TOWN OF FENCE - WARD 1,4,,
,FLORENCE - TOWN OF FLORENCE - WARD 1,2,,
,FLORENCE - TOWN OF FLORENCE - WARD 2,3,,
,FLORENCE - TOWN OF FLORENCE - WARD 3,6,,
,FLORENCE - TOWN OF FLORENCE - WARD 5,3,,
,FLORENCE - TOWN OF FLORENCE - WARD 6,2,,
,FLORENCE - TOWN OF FLORENCE - WARD 7,2,,
,FLORENCE - TOWN OF HOMESTEAD - WARD 1,6,,
,FLORENCE - TOWN OF LONG LAKE - WARD 1,15,,
,FLORENCE - TOWN OF TIPLER - WARD 1,5,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 1,15,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 10,35,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 11,24,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 12,28,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 13,23,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 14,27,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 15,39,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 16,21,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 17,3,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 18,2,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 19,20,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 2,30,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 21,42,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 22,39,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 23,32,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 24,48,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 25,58,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 3,41,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 4,27,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 5,43,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 6,32,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 7,36,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 8,55,,
,FOND DU LAC - CITY OF FOND DU LAC - WARD 9,32,,
,FOND DU LAC - CITY OF RIPON - WARD 1,18,,
,FOND DU LAC - CITY OF RIPON - WARD 10,13,,
,FOND DU LAC - CITY OF RIPON - WARD 11,23,,
,FOND DU LAC - CITY OF RIPON - WARD 2,17,,
,FOND DU LAC - CITY OF RIPON - WARD 3,8,,
,FOND DU LAC - CITY OF RIPON - WARD 4,2,,
,FOND DU LAC - CITY OF RIPON - WARD 5,9,,
,FOND DU LAC - CITY OF RIPON - WARD 6,9,,
,FOND DU LAC - CITY OF RIPON - WARD 7,15,,
,FOND DU LAC - CITY OF RIPON - WARD 8,17,,
,FOND DU LAC - CITY OF RIPON - WARD 9,18,,
,FOND DU LAC - CITY OF WAUPUN - WARD 10,7,,
,FOND DU LAC - CITY OF WAUPUN - WARD 11,7,,
,FOND DU LAC - CITY OF WAUPUN - WARD 12,5,,
,FOND DU LAC - CITY OF WAUPUN - WARD 9,22,,
,FOND DU LAC - TOWN OF ALTO - WARD 1,32,,
,FOND DU LAC - TOWN OF ALTO - WARD 2,12,,
,FOND DU LAC - TOWN OF ASHFORD - WARD 1,30,,
,FOND DU LAC - TOWN OF ASHFORD - WARD 2,23,,
,FOND DU LAC - TOWN OF ASHFORD - WARD 3,31,,
,FOND DU LAC - TOWN OF AUBURN - WARD 1,33,,
,FOND DU LAC - TOWN OF AUBURN - WARD 2,21,,
,FOND DU LAC - TOWN OF AUBURN - WARD 3,44,,
,FOND DU LAC - TOWN OF BYRON - WARD 1,29,,
,FOND DU LAC - TOWN OF BYRON - WARD 2,24,,
,FOND DU LAC - TOWN OF CALUMET - WARD 1,32,,
,FOND DU LAC - TOWN OF CALUMET - WARD 2,25,,
,FOND DU LAC - TOWN OF EDEN - WARD 1,35,,
,FOND DU LAC - TOWN OF EDEN - WARD 2,12,,
,FOND DU LAC - TOWN OF ELDORADO - WARD 1,19,,
,FOND DU LAC - TOWN OF ELDORADO - WARD 2,8,,
,FOND DU LAC - TOWN OF ELDORADO - WARD 3,18,,
,FOND DU LAC - TOWN OF EMPIRE - WARD 1,25,,
,FOND DU LAC - TOWN OF EMPIRE - WARD 2,22,,
,FOND DU LAC - TOWN OF EMPIRE - WARD 3,21,,
,FOND DU LAC - TOWN OF EMPIRE - WARD 4,10,,
,FOND DU LAC - TOWN OF FOND DU LAC - WARD 1,37,,
,FOND DU LAC - TOWN OF FOND DU LAC - WARD 2,16,,
,FOND DU LAC - TOWN OF FOND DU LAC - WARD 3,18,,
,FOND DU LAC - TOWN OF FOND DU LAC - WARD 4,1,,
,FOND DU LAC - TOWN OF FOND DU LAC - WARD 5,16,,
,FOND DU LAC - TOWN OF FOND DU LAC - WARD 6,1,,
,FOND DU LAC - TOWN OF FOND DU LAC - WARD 7,1,,
,FOND DU LAC - TOWN OF FOND DU LAC - WARD 8,1,,
,FOND DU LAC - TOWN OF FOREST - WARD 1,28,,
,FOND DU LAC - TOWN OF FOREST - WARD 2,19,,
,FOND DU LAC - TOWN OF FRIENDSHIP - WARD 1,20,,
,FOND DU LAC - TOWN OF FRIENDSHIP - WARD 2,38,,
,FOND DU LAC - TOWN OF FRIENDSHIP - WARD 3,13,,
,FOND DU LAC - TOWN OF LAMARTINE - WARD 1,34,,
,FOND DU LAC - TOWN OF LAMARTINE - WARD 2,32,,
,FOND DU LAC - TOWN OF MARSHFIELD - WARD 1,13,,
,FOND DU LAC - TOWN OF MARSHFIELD - WARD 2,26,,
,FOND DU LAC - TOWN OF METOMEN - WARD 1,16,,
,FOND DU LAC - TOWN OF METOMEN - WARD 2,9,,
,FOND DU LAC - TOWN OF OAKFIELD - WARD 1,15,,
,FOND DU LAC - TOWN OF OAKFIELD - WARD 2,17,,
,FOND DU LAC - TOWN OF OSCEOLA - WARD 1,34,,
,FOND DU LAC - TOWN OF OSCEOLA - WARD 2,28,,
,FOND DU LAC - TOWN OF RIPON - WARD 1,56,,
,FOND DU LAC - TOWN OF RIPON - WARD 2,15,,
,FOND DU LAC - TOWN OF ROSENDALE - WARD 1,38,,
,FOND DU LAC - TOWN OF SPRINGVALE - WARD 1,30,,
,FOND DU LAC - TOWN OF TAYCHEEDAH - WARD 1,32,,
,FOND DU LAC - TOWN OF TAYCHEEDAH - WARD 2,24,,
,FOND DU LAC - TOWN OF TAYCHEEDAH - WARD 3,20,,
,FOND DU LAC - TOWN OF TAYCHEEDAH - WARD 4,34,,
,FOND DU LAC - TOWN OF TAYCHEEDAH - WARD 5,27,,
,FOND DU LAC - TOWN OF WAUPUN - WARD 1,15,,
,FOND DU LAC - TOWN OF WAUPUN - WARD 2,29,,
,FOND DU LAC - VILLAGE OF BRANDON - WARD 1,22,,
,FOND DU LAC - VILLAGE OF CAMPBELLSPORT - WARD 1,14,,
,FOND DU LAC - VILLAGE OF CAMPBELLSPORT - WARD 2,13,,
,FOND DU LAC - VILLAGE OF CAMPBELLSPORT - WARD 3,13,,
,FOND DU LAC - VILLAGE OF CAMPBELLSPORT - WARD 4,13,,
,FOND DU LAC - VILLAGE OF EDEN - WARD 1,22,,
,FOND DU LAC - VILLAGE OF FAIRWATER - WARD 1,15,,
,FOND DU LAC - VILLAGE OF MOUNT CALVARY - WARD 1,18,,
,FOND DU LAC - VILLAGE OF NORTH FOND DU LAC - WARD 1,26,,
,FOND DU LAC - VILLAGE OF NORTH FOND DU LAC - WARD 2,21,,
,FOND DU LAC - VILLAGE OF NORTH FOND DU LAC - WARD 3,22,,
,FOND DU LAC - VILLAGE OF NORTH FOND DU LAC - WARD 4,13,,
,FOND DU LAC - VILLAGE OF NORTH FOND DU LAC - WARD 5,14,,
,FOND DU LAC - VILLAGE OF NORTH FOND DU LAC - WARD 6,11,,
,FOND DU LAC - VILLAGE OF OAKFIELD - WARD 1,11,,
,FOND DU LAC - VILLAGE OF OAKFIELD - WARD 2,29,,
,FOND DU LAC - VILLAGE OF ROSENDALE - WARD 1,13,,
,FOND DU LAC - VILLAGE OF ROSENDALE - WARD 2,20,,
,FOND DU LAC - VILLAGE OF ST. CLOUD - WARD 1,27,,
,FOREST - CITY OF CRANDON - WARD 1,15,,
,FOREST - CITY OF CRANDON - WARD 2,12,,
,FOREST - CITY OF CRANDON - WARD 3,13,,
,FOREST - CITY OF CRANDON - WARD 4,16,,
,FOREST - TOWN OF ALVIN - WARD 1,7,,
,FOREST - TOWN OF ARGONNE - WARD 2,22,,
,FOREST - TOWN OF ARGONNE - WARD 3,7,,
,FOREST - TOWN OF ARMSTRONG CREEK - WARD 1,28,,
,FOREST - TOWN OF BLACKWELL - WARD 1,2,,
,FOREST - TOWN OF CASWELL - WARD 1,5,,
,FOREST - TOWN OF CRANDON - WARD 1,27,,
,FOREST - TOWN OF CRANDON - WARD 2,3,,
,FOREST - TOWN OF CRANDON - WARD 3,1,,
,FOREST - TOWN OF FREEDOM - WARD 1,14,,
,FOREST - TOWN OF HILES - WARD 1,13,,
,FOREST - TOWN OF LAONA - WARD 1,10,,
,FOREST - TOWN OF LAONA - WARD 2,13,,
,FOREST - TOWN OF LAONA - WARD 3,18,,
,FOREST - TOWN OF LINCOLN - WARD 1,25,,
,FOREST - TOWN OF LINCOLN - WARD 2,2,,
,FOREST - TOWN OF LINCOLN - WARD 3,12,,
,FOREST - TOWN OF NASHVILLE - WARD 1,24,,
,FOREST - TOWN OF NASHVILLE - WARD 2,15,,
,FOREST - TOWN OF NASHVILLE - WARD 3,6,,
,FOREST - TOWN OF POPPLE RIVER - WARD 1,3,,
,FOREST - TOWN OF ROSS - WARD 1,6,,
,FOREST - TOWN OF WABENO - WARD 1,14,,
,FOREST - TOWN OF WABENO - WARD 2,1,,
,FOREST - TOWN OF WABENO - WARD 3,3,,
,FOREST - TOWN OF WABENO - WARD 4,19,,
,FOREST - TOWN OF WABENO - WARD 5,3,,
,GRANT - CITY OF BOSCOBEL - WARD 1,12,,
,GRANT - CITY OF BOSCOBEL - WARD 2,16,,
,GRANT - CITY OF BOSCOBEL - WARD 3,23,,
,GRANT - CITY OF BOSCOBEL - WARD 4,20,,
,GRANT - CITY OF CUBA CITY - WARD 1,11,,
,GRANT - CITY OF CUBA CITY - WARD 2,11,,
,GRANT - CITY OF CUBA CITY - WARD 3,2,,
,GRANT - CITY OF CUBA CITY - WARD 4,7,,
,GRANT - CITY OF FENNIMORE - WARD 1,8,,
,GRANT - CITY OF FENNIMORE - WARD 2,6,,
,GRANT - CITY OF FENNIMORE - WARD 3,9,,
,GRANT - CITY OF FENNIMORE - WARD 4,5,,
,GRANT - CITY OF LANCASTER - WARD 1,9,,
,GRANT - CITY OF LANCASTER - WARD 2,8,,
,GRANT - CITY OF LANCASTER - WARD 3,4,,
,GRANT - CITY OF LANCASTER - WARD 4,12,,
,GRANT - CITY OF LANCASTER - WARD 5,6,,
,GRANT - CITY OF LANCASTER - WARD 6,16,,
,GRANT - CITY OF PLATTEVILLE - WARD 1,13,,
,GRANT - CITY OF PLATTEVILLE - WARD 2,22,,
,GRANT - CITY OF PLATTEVILLE - WARD 3,15,,
,GRANT - CITY OF PLATTEVILLE - WARD 4,8,,
,GRANT - CITY OF PLATTEVILLE - WARD 5,7,,
,GRANT - CITY OF PLATTEVILLE - WARD 6,1,,
,GRANT - CITY OF PLATTEVILLE - WARD 7,10,,
,GRANT - CITY OF PLATTEVILLE - WARD 8,18,,
,GRANT - TOWN OF BEETOWN - WARD 1,16,,
,GRANT - TOWN OF BLOOMINGTON - WARD 1,13,,
,GRANT - TOWN OF BOSCOBEL - WARD 1,1,,
,GRANT - TOWN OF CASSVILLE - WARD 1,11,,
,GRANT - TOWN OF CASTLE ROCK - WARD 1,12,,
,GRANT - TOWN OF CLIFTON - WARD 1,5,,
,GRANT - TOWN OF ELLENBORO - WARD 1,28,,
,GRANT - TOWN OF FENNIMORE - WARD 1,11,,
,GRANT - TOWN OF FENNIMORE - WARD 2,2,,
,GRANT - TOWN OF GLEN HAVEN - WARD 1,14,,
,GRANT - TOWN OF HARRISON - WARD 1,18,,
,GRANT - TOWN OF HAZEL GREEN - WARD 1,26,,
,GRANT - TOWN OF HAZEL GREEN - WARD 2,18,,
,GRANT - TOWN OF HICKORY GROVE - WARD 1,9,,
,GRANT - TOWN OF JAMESTOWN - WARD 1,16,,
,GRANT - TOWN OF JAMESTOWN - WARD 2,28,,
,GRANT - TOWN OF JAMESTOWN - WARD 3,16,,
,GRANT - TOWN OF LIBERTY - WARD 1,29,,
,GRANT - TOWN OF LIMA - WARD 1,27,,
,GRANT - TOWN OF LITTLE GRANT - WARD 1,10,,
,GRANT - TOWN OF MARION - WARD 1,8,,
,GRANT - TOWN OF MILLVILLE - WARD 1,6,,
,GRANT - TOWN OF MOUNT HOPE - WARD 1,4,,
,GRANT - TOWN OF MOUNT IDA - WARD 1,9,,
,GRANT - TOWN OF MUSCODA - WARD 1,14,,
,GRANT - TOWN OF NORTH LANCASTER - WARD 1,10,,
,GRANT - TOWN OF PARIS - WARD 1,4,,
,GRANT - TOWN OF PARIS - WARD 2,20,,
,GRANT - TOWN OF PATCH GROVE - WARD 1,6,,
,GRANT - TOWN OF PLATTEVILLE - WARD 1,24,,
,GRANT - TOWN OF PLATTEVILLE - WARD 2,9,,
,GRANT - TOWN OF PLATTEVILLE - WARD 3,9,,
,GRANT - TOWN OF POTOSI - WARD 1,32,,
,GRANT - TOWN OF SMELSER - WARD 1,10,,
,GRANT - TOWN OF SMELSER - WARD 2,4,,
,GRANT - TOWN OF SOUTH LANCASTER - WARD 1,13,,
,GRANT - TOWN OF SOUTH LANCASTER - WARD 2,4,,
,GRANT - TOWN OF SOUTH LANCASTER - WARD 3,7,,
,GRANT - TOWN OF WATERLOO - WARD 1,19,,
,GRANT - TOWN OF WATTERSTOWN - WARD 1,10,,
,GRANT - TOWN OF WINGVILLE - WARD 1,9,,
,GRANT - TOWN OF WOODMAN - WARD 1,3,,
,GRANT - TOWN OF WYALUSING - WARD 1,13,,
,GRANT - VILLAGE OF BAGLEY - WARD 1,14,,
,GRANT - VILLAGE OF BLOOMINGTON - WARD 1,22,,
,GRANT - VILLAGE OF BLUE RIVER - WARD 1,16,,
,GRANT - VILLAGE OF CASSVILLE - WARD 1,21,,
,GRANT - VILLAGE OF CASSVILLE - WARD 2,7,,
,GRANT - VILLAGE OF DICKEYVILLE - WARD 1,16,,
,GRANT - VILLAGE OF DICKEYVILLE - WARD 2,9,,
,GRANT - VILLAGE OF HAZEL GREEN - WARD 1,15,,
,GRANT - VILLAGE OF HAZEL GREEN - WARD 2,13,,
,GRANT - VILLAGE OF LIVINGSTON - WARD 1,22,,
,GRANT - VILLAGE OF MONTFORT - WARD 1,11,,
,GRANT - VILLAGE OF MOUNT HOPE - WARD 1,4,,
,GRANT - VILLAGE OF MUSCODA - WARD 1,7,,
,GRANT - VILLAGE OF MUSCODA - WARD 2,13,,
,GRANT - VILLAGE OF PATCH GROVE - WARD 1,6,,
,GRANT - VILLAGE OF POTOSI - WARD 1,25,,
,GRANT - VILLAGE OF TENNYSON - WARD 1,11,,
,GRANT - VILLAGE OF WOODMAN - WARD 1,3,,
,GREEN - CITY OF BRODHEAD - WARD 1,7,,
,GREEN - CITY OF BRODHEAD - WARD 2,11,,
,GREEN - CITY OF BRODHEAD - WARD 3,9,,
,GREEN - CITY OF BRODHEAD - WARD 4,9,,
,GREEN - CITY OF BRODHEAD - WARD 5,12,,
,GREEN - CITY OF BRODHEAD - WARD 6,18,,
,GREEN - CITY OF MONROE - WARD 1,11,,
,GREEN - CITY OF MONROE - WARD 2,18,,
,GREEN - CITY OF MONROE - WARD 3,19,,
,GREEN - CITY OF MONROE - WARD 4,11,,
,GREEN - CITY OF MONROE - WARD 5,9,,
,GREEN - CITY OF MONROE - WARD 6,14,,
,GREEN - CITY OF MONROE - WARD 7,17,,
,GREEN - CITY OF MONROE - WARD 8,8,,
,GREEN - CITY OF MONROE - WARD 9,17,,
,GREEN - TOWN OF ADAMS - WARD 1,25,,
,GREEN - TOWN OF ALBANY - WARD 1,19,,
,GREEN - TOWN OF ALBANY - WARD 2,35,,
,GREEN - TOWN OF BROOKLYN - WARD 1,29,,
,GREEN - TOWN OF BROOKLYN - WARD 2,9,,
,GREEN - TOWN OF BROOKLYN - WARD 3,6,,
,GREEN - TOWN OF CADIZ - WARD 1,21,,
,GREEN - TOWN OF CLARNO - WARD 1,22,,
,GREEN - TOWN OF CLARNO - WARD 2,17,,
,GREEN - TOWN OF DECATUR - WARD 1,31,,
,GREEN - TOWN OF DECATUR - WARD 2,13,,
,GREEN - TOWN OF DECATUR - WARD 3,10,,
,GREEN - TOWN OF EXETER - WARD 1,22,,
,GREEN - TOWN OF EXETER - WARD 2,8,,
,GREEN - TOWN OF EXETER - WARD 3,32,,
,GREEN - TOWN OF EXETER - WARD 4,9,,
,GREEN - TOWN OF JEFFERSON - WARD 1,44,,
,GREEN - TOWN OF JEFFERSON - WARD 2,8,,
,GREEN - TOWN OF JORDAN - WARD 1,28,,
,GREEN - TOWN OF MONROE - WARD 1,26,,
,GREEN - TOWN OF MONROE - WARD 2,14,,
,GREEN - TOWN OF MOUNT PLEASANT - WARD 1,16,,
,GREEN - TOWN OF MOUNT PLEASANT - WARD 2,5,,
,GREEN - TOWN OF MOUNT PLEASANT - WARD 3,5,,
,GREEN - TOWN OF NEW GLARUS - WARD 1,46,,
,GREEN - TOWN OF NEW GLARUS - WARD 2,9,,
,GREEN - TOWN OF SPRING GROVE - WARD 1,36,,
,GREEN - TOWN OF SYLVESTER - WARD 1,21,,
,GREEN - TOWN OF SYLVESTER - WARD 2,14,,
,GREEN - TOWN OF WASHINGTON - WARD 1,38,,
,GREEN - TOWN OF YORK - WARD 1,46,,
,GREEN - VILLAGE OF ALBANY - WARD 1,18,,
,GREEN - VILLAGE OF ALBANY - WARD 2,9,,
,GREEN - VILLAGE OF BELLEVILLE - WARD 3,9,,
,GREEN - VILLAGE OF BROOKLYN - WARD 2,20,,
,GREEN - VILLAGE OF BROWNTOWN - WARD 1,12,,
,GREEN - VILLAGE OF MONTICELLO - WARD 1,15,,
,GREEN - VILLAGE OF MONTICELLO - WARD 2,21,,
,GREEN - VILLAGE OF NEW GLARUS - WARD 1,12,,
,GREEN - VILLAGE OF NEW GLARUS - WARD 2,10,,
,GREEN - VILLAGE OF NEW GLARUS - WARD 3,20,,
,GREEN - VILLAGE OF NEW GLARUS - WARD 4,6,,
,GREEN LAKE - CITY OF BERLIN - WARD 1,17,,
,GREEN LAKE - CITY OF BERLIN - WARD 2,14,,
,GREEN LAKE - CITY OF BERLIN - WARD 3,7,,
,GREEN LAKE - CITY OF BERLIN - WARD 4,14,,
,GREEN LAKE - CITY OF BERLIN - WARD 5,6,,
,GREEN LAKE - CITY OF BERLIN - WARD 6,15,,
,GREEN LAKE - CITY OF GREEN LAKE - WARD 1,11,,
,GREEN LAKE - CITY OF GREEN LAKE - WARD 2,11,,
,GREEN LAKE - CITY OF GREEN LAKE - WARD 3,18,,
,GREEN LAKE - CITY OF MARKESAN - WARD 1,8,,
,GREEN LAKE - CITY OF MARKESAN - WARD 2,19,,
,GREEN LAKE - CITY OF MARKESAN - WARD 3,10,,
,GREEN LAKE - CITY OF PRINCETON - WARD 1,6,,
,GREEN LAKE - CITY OF PRINCETON - WARD 2,5,,
,GREEN LAKE - CITY OF PRINCETON - WARD 3,11,,
,GREEN LAKE - CITY OF PRINCETON - WARD 4,11,,
,GREEN LAKE - TOWN OF BERLIN - WARD 1,34,,
,GREEN LAKE - TOWN OF BERLIN - WARD 2,6,,
,GREEN LAKE - TOWN OF BERLIN - WARD 3,5,,
,GREEN LAKE - TOWN OF BROOKLYN - WARD 1,34,,
,GREEN LAKE - TOWN OF BROOKLYN - WARD 2,7,,
,GREEN LAKE - TOWN OF BROOKLYN - WARD 3,19,,
,GREEN LAKE - TOWN OF GREEN LAKE - WARD 1,39,,
,GREEN LAKE - TOWN OF KINGSTON - WARD 1,17,,
,GREEN LAKE - TOWN OF KINGSTON - WARD 2,3,,
,GREEN LAKE - TOWN OF MACKFORD - WARD 1,27,,
,GREEN LAKE - TOWN OF MANCHESTER - WARD 1,22,,
,GREEN LAKE - TOWN OF MARQUETTE - WARD 1,20,,
,GREEN LAKE - TOWN OF PRINCETON - WARD 1,28,,
,GREEN LAKE - TOWN OF PRINCETON - WARD 3,16,,
,GREEN LAKE - TOWN OF PRINCETON - WARD 4,3,,
,GREEN LAKE - TOWN OF SENECA - WARD 1,16,,
,GREEN LAKE - TOWN OF ST. MARIE - WARD 1,4,,
,GREEN LAKE - TOWN OF ST. MARIE - WARD 2,6,,
,GREEN LAKE - VILLAGE OF KINGSTON - WARD 1,17,,
,GREEN LAKE - VILLAGE OF MARQUETTE - WARD 1,11,,
,IOWA - CITY OF DODGEVILLE - WARD 1,10,,
,IOWA - CITY OF DODGEVILLE - WARD 2,7,,
,IOWA - CITY OF DODGEVILLE - WARD 3,12,,
,IOWA - CITY OF DODGEVILLE - WARD 4,4,,
,IOWA - CITY OF DODGEVILLE - WARD 5,10,,
,IOWA - CITY OF DODGEVILLE - WARD 6,16,,
,IOWA - CITY OF DODGEVILLE - WARD 7,11,,
,IOWA - CITY OF DODGEVILLE - WARD 8,4,,
,IOWA - CITY OF DODGEVILLE - WARD 9,6,,
,IOWA - CITY OF MINERAL POINT - WARD 1,18,,
,IOWA - CITY OF MINERAL POINT - WARD 2,17,,
,IOWA - CITY OF MINERAL POINT - WARD 3,3,,
,IOWA - CITY OF MINERAL POINT - WARD 4,16,,
,IOWA - CITY OF MINERAL POINT - WARD 5,3,,
,IOWA - CITY OF MINERAL POINT - WARD 6,6,,
,IOWA - TOWN OF ARENA - WARD 1,10,,
,IOWA - TOWN OF ARENA - WARD 2,67,,
,IOWA - TOWN OF BRIGHAM - WARD 1,1,,
,IOWA - TOWN OF BRIGHAM - WARD 2,48,,
,IOWA - TOWN OF CLYDE - WARD 1,15,,
,IOWA - TOWN OF DODGEVILLE - WARD 1,14,,
,IOWA - TOWN OF DODGEVILLE - WARD 2,5,,
,IOWA - TOWN OF DODGEVILLE - WARD 3,22,,
,IOWA - TOWN OF DODGEVILLE - WARD 4,1,,
,IOWA - TOWN OF EDEN - WARD 1,18,1,
,IOWA - TOWN OF HIGHLAND - WARD 1,4,,
,IOWA - TOWN OF HIGHLAND - WARD 2,10,,
,IOWA - TOWN OF LINDEN - WARD 1,9,,
,IOWA - TOWN OF LINDEN - WARD 2,4,,
,IOWA - TOWN OF LINDEN - WARD 3,5,,
,IOWA - TOWN OF MIFFLIN - WARD 1,11,,
,IOWA - TOWN OF MIFFLIN - WARD 2,3,,
,IOWA - TOWN OF MINERAL POINT - WARD 1,14,,
,IOWA - TOWN OF MINERAL POINT - WARD 2,5,,
,IOWA - TOWN OF MOSCOW - WARD 1,25,,
,IOWA - TOWN OF MOSCOW - WARD 2,8,,
,IOWA - TOWN OF PULASKI - WARD 1,6,,
,IOWA - TOWN OF RIDGEWAY - WARD 1,15,,
,IOWA - TOWN OF RIDGEWAY - WARD 2,7,,
,IOWA - TOWN OF WALDWICK - WARD 1,11,,
,IOWA - TOWN OF WALDWICK - WARD 2,7,,
,IOWA - TOWN OF WYOMING - WARD 1,8,,
,IOWA - TOWN OF WYOMING - WARD 2,11,,
,IOWA - VILLAGE OF ARENA - WARD 1,27,,
,IOWA - VILLAGE OF AVOCA - WARD 1,20,,
,IOWA - VILLAGE OF BARNEVELD - WARD 1,38,,
,IOWA - VILLAGE OF BARNEVELD - WARD 2,8,,
,IOWA - VILLAGE OF BLANCHARDVILLE - WARD 2,5,,
,IOWA - VILLAGE OF COBB - WARD 1,14,,
,IOWA - VILLAGE OF HIGHLAND - WARD 1,10,,
,IOWA - VILLAGE OF HOLLANDALE - WARD 1,12,,
,IOWA - VILLAGE OF LINDEN - WARD 1,14,,
,IOWA - VILLAGE OF REWEY - WARD 1,15,,
,IOWA - VILLAGE OF RIDGEWAY - WARD 1,29,,
,IRON - CITY OF HURLEY - WARD 1,22,,
,IRON - CITY OF HURLEY - WARD 2,9,,
,IRON - CITY OF HURLEY - WARD 3,2,,
,IRON - CITY OF HURLEY - WARD 4,13,,
,IRON - CITY OF MONTREAL - WARD 1,16,,
,IRON - CITY OF MONTREAL - WARD 2,13,,
,IRON - TOWN OF ANDERSON - WARD 1,2,,
,IRON - TOWN OF CAREY - WARD 1,7,,
,IRON - TOWN OF GURNEY - WARD 1,4,,
,IRON - TOWN OF KIMBALL - WARD 1,11,,
,IRON - TOWN OF KNIGHT - WARD 1,8,,
,IRON - TOWN OF MERCER - WARD 1,8,,
,IRON - TOWN OF MERCER - WARD 2,6,,
,IRON - TOWN OF MERCER - WARD 3,10,,
,IRON - TOWN OF MERCER - WARD 4,18,,
,IRON - TOWN OF OMA - WARD 1,16,,
,IRON - TOWN OF PENCE - WARD 1,6,,
,IRON - TOWN OF SAXON - WARD 1,18,,
,IRON - TOWN OF SHERMAN - WARD 1,13,,
,JACKSON - CITY OF BLACK RIVER FALLS - WARD 1,28,,
,JACKSON - CITY OF BLACK RIVER FALLS - WARD 2,23,,
,JACKSON - CITY OF BLACK RIVER FALLS - WARD 3,13,,
,JACKSON - CITY OF BLACK RIVER FALLS - WARD 4,21,,
,JACKSON - TOWN OF ADAMS - WARD 1,31,,
,JACKSON - TOWN OF ADAMS - WARD 2,22,,
,JACKSON - TOWN OF ADAMS - WARD 3,3,,
,JACKSON - TOWN OF ALBION - WARD 1,6,,
,JACKSON - TOWN OF ALBION - WARD 2,12,,
,JACKSON - TOWN OF ALBION - WARD 3,24,,
,JACKSON - TOWN OF ALBION - WARD 4,2,,
,JACKSON - TOWN OF ALMA - WARD 1,11,,
,JACKSON - TOWN OF ALMA - WARD 2,23,,
,JACKSON - TOWN OF ALMA - WARD 3,4,,
,JACKSON - TOWN OF BEAR BLUFF - WARD 1,13,,
,JACKSON - TOWN OF BROCKWAY - WARD 1,21,,
,JACKSON - TOWN OF BROCKWAY - WARD 2,3,,
,JACKSON - TOWN OF BROCKWAY - WARD 3,1,,
,JACKSON - TOWN OF BROCKWAY - WARD 4,8,,
,JACKSON - TOWN OF BROCKWAY - WARD 5,10,,
,JACKSON - TOWN OF CITY POINT - WARD 1,8,,
,JACKSON - TOWN OF CLEVELAND - WARD 1,17,,
,JACKSON - TOWN OF CURRAN - WARD 1,13,,
,JACKSON - TOWN OF FRANKLIN - WARD 1,8,,
,JACKSON - TOWN OF GARDEN VALLEY - WARD 1,20,,
,JACKSON - TOWN OF GARFIELD - WARD 1,32,,
,JACKSON - TOWN OF HIXTON - WARD 1,2,,
,JACKSON - TOWN OF HIXTON - WARD 2,9,,
,JACKSON - TOWN OF IRVING - WARD 1,16,,
,JACKSON - TOWN OF IRVING - WARD 2,2,,
,JACKSON - TOWN OF IRVING - WARD 3,4,,
,JACKSON - TOWN OF KNAPP - WARD 1,17,,
,JACKSON - TOWN OF KOMENSKY - WARD 1,16,,
,JACKSON - TOWN OF MANCHESTER - WARD 1,33,,
,JACKSON - TOWN OF MELROSE - WARD 1,20,,
,JACKSON - TOWN OF MILLSTON - WARD 1,11,,
,JACKSON - TOWN OF NORTH BEND - WARD 1,16,,
,JACKSON - TOWN OF NORTHFIELD - WARD 1,37,,
,JACKSON - TOWN OF SPRINGFIELD - WARD 1,19,,
,JACKSON - VILLAGE OF ALMA CENTER - WARD 1,25,,
