,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,BARRON - CITY OF RICE LAKE - WARD 13,4,,
,BARRON - CITY OF RICE LAKE - WARD 2,15,,
,BARRON - CITY OF RICE LAKE - WARD 3,17,,
,BARRON - CITY OF RICE LAKE - WARD 4,11,,
,BARRON - CITY OF RICE LAKE - WARD 5,14,,
,BARRON - CITY OF RICE LAKE - WARD 6,8,,
,BARRON - CITY OF RICE LAKE - WARD 7,10,,
,BARRON - CITY OF RICE LAKE - WARD 8,12,,
,BARRON - CITY OF RICE LAKE - WARD 9,8,,
,BARRON - TOWN OF ALMENA - WARD 1,21,,
,BARRON - TOWN OF ALMENA - WARD 2,13,,
,BARRON - TOWN OF ARLAND - WARD 1,23,,
,BARRON - TOWN OF BARRON - WARD 1,13,,
,BARRON - TOWN OF BARRON - WARD 2,17,,
,BARRON - TOWN OF BEAR LAKE - WARD 1,33,,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,32,,
,BARRON - TOWN OF CHETEK - WARD 1,32,,
,BARRON - TOWN OF CHETEK - WARD 2,29,,
,BARRON - TOWN OF CLINTON - WARD 1,18,,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,29,,
,BARRON - TOWN OF CUMBERLAND - WARD 1,37,,
,BARRON - TOWN OF DALLAS - WARD 1,25,,
,BARRON - TOWN OF DOVRE - WARD 1,35,,
,BARRON - TOWN OF DOYLE - WARD 1,10,,
,BARRON - TOWN OF DOYLE - WARD 2,17,,
,BARRON - TOWN OF LAKELAND - WARD 1,8,,
,BARRON - TOWN OF LAKELAND - WARD 2,39,,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,31,,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,12,,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,34,,
,BARRON - TOWN OF OAK GROVE - WARD 1,7,,
,BARRON - TOWN OF OAK GROVE - WARD 2,15,,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,12,,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,13,,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,17,,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,34,,
,BARRON - TOWN OF RICE LAKE - WARD 1,30,,
,BARRON - TOWN OF RICE LAKE - WARD 2,20,,
,BARRON - TOWN OF RICE LAKE - WARD 3,13,,
,BARRON - TOWN OF RICE LAKE - WARD 4,21,,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,35,,
,BARRON - TOWN OF STANFOLD - WARD 1,26,,
,BARRON - TOWN OF STANLEY - WARD 1,21,,
,BARRON - TOWN OF STANLEY - WARD 2,28,,
,BARRON - TOWN OF STANLEY - WARD 3,24,,
