,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
Precinct Name,Null,,2,
,ADAMS - CITY OF ADAMS - WARD 1,22,,
,ADAMS - CITY OF ADAMS - WARD 2,31,,
,ADAMS - CITY OF ADAMS - WARD 3,12,,
,ADAMS - CITY OF ADAMS - WARD 4,35,,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,3,,
,ADAMS - TOWN OF ADAMS - WARD 1,79,,
,ADAMS - TOWN OF ADAMS - WARD 2,24,,
,ADAMS - TOWN OF ADAMS - WARD 3,7,,
,ADAMS - TOWN OF BIG FLATS - WARD 1,20,,
,ADAMS - TOWN OF BIG FLATS - WARD 2,58,,
,ADAMS - TOWN OF COLBURN - WARD 1,20,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,24,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,87,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,12,,
,ADAMS - TOWN OF EASTON - WARD 1,39,1,
,ADAMS - TOWN OF EASTON - WARD 2,41,,
,ADAMS - TOWN OF JACKSON - WARD 1,59,,
,ADAMS - TOWN OF JACKSON - WARD 2,76,,
,ADAMS - TOWN OF LEOLA - WARD 1,14,,
,ADAMS - TOWN OF LINCOLN - WARD 1,34,,
,ADAMS - TOWN OF MONROE - WARD 1,78,,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,26,,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,25,,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,5,,
,ADAMS - TOWN OF NEW HAVEN - WARD,85,,
,ADAMS - TOWN OF PRESTON - WARD 1,85,,
,ADAMS - TOWN OF PRESTON - WARD 2,45,,
,ADAMS - TOWN OF QUINCY - WARD 1,90,,
,ADAMS - TOWN OF QUINCY - WARD 2,13,,
,ADAMS - TOWN OF QUINCY - WARD 3,10,,
,ADAMS - TOWN OF RICHFIELD - WARD 1,13,,
,ADAMS - TOWN OF ROME - WARD 1,125,,
,ADAMS - TOWN OF ROME - WARD 2,191,,
,ADAMS - TOWN OF ROME - WARD 3,146,,
,ADAMS - TOWN OF ROME - WARD 4,158,,
,ADAMS - TOWN OF ROME - WARD 5,132,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,19,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,72,,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 1,55,,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 2,51,,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 3,10,,
,ADAMS - VILLAGE OF FRIENDSHIP - WARD 1,54,,
,ASHLAND - CITY OF ASHLAND - WARD 1,104,,
,ASHLAND - CITY OF ASHLAND - WARD 10,56,,
,ASHLAND - CITY OF ASHLAND - WARD 11,71,,
,ASHLAND - CITY OF ASHLAND - WARD 2,36,,
,ASHLAND - CITY OF ASHLAND - WARD 3,71,,
,ASHLAND - CITY OF ASHLAND - WARD 4,103,,
,ASHLAND - CITY OF ASHLAND - WARD 5,73,,
,ASHLAND - CITY OF ASHLAND - WARD 6,32,,
