,,Voting Method,,,,,,
,,Null,Absentee,Early Vote,Mail,Polling,Unknown,
,,Count,Count,Count,Count,Count,Count,
Precinct Name,Null,41,2490,1034,247,3980,3640,
,ADAMS - CITY OF ADAMS - WARD 1,,30,,,68,61,
,ADAMS - CITY OF ADAMS - WARD 2,,49,2,,94,76,
,ADAMS - CITY OF ADAMS - WARD 3,,26,1,,50,44,
,ADAMS - CITY OF ADAMS - WARD 4,1,63,1,,82,70,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,,5,1,,7,7,
,ADAMS - TOWN OF ADAMS - WARD 1,,90,10,2,200,175,
,ADAMS - TOWN OF ADAMS - WARD 2,,33,6,,74,65,
,ADAMS - TOWN OF ADAMS - WARD 3,,12,,,22,18,
,ADAMS - TOWN OF BIG FLATS - WARD 1,,42,,,92,80,
,ADAMS - TOWN OF BIG FLATS - WARD 2,,73,10,2,161,140,
,ADAMS - TOWN OF COLBURN - WARD 1,,30,1,,59,52,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,,37,,,82,68,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,5,144,8,2,240,211,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,,17,2,1,33,24,
,ADAMS - TOWN OF EASTON - WARD 1,3,55,2,3,127,107,
,ADAMS - TOWN OF EASTON - WARD 2,,57,1,,108,87,
,ADAMS - TOWN OF JACKSON - WARD 1,,93,9,1,147,120,
,ADAMS - TOWN OF JACKSON - WARD 2,,106,15,4,169,143,
,ADAMS - TOWN OF LEOLA - WARD 1,,21,,,60,57,
,ADAMS - TOWN OF LINCOLN - WARD 1,,58,2,,102,95,
,ADAMS - TOWN OF MONROE - WARD 1,,89,6,1,152,132,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,2,46,1,1,78,67,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,,41,1,,84,67,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,,10,,,14,13,
,ADAMS - TOWN OF NEW HAVEN - WARD,,100,2,2,147,126,
,ADAMS - TOWN OF PRESTON - WARD 1,,127,11,7,230,201,
,ADAMS - TOWN OF PRESTON - WARD 2,1,64,3,,113,95,
,ADAMS - TOWN OF QUINCY - WARD 1,,149,15,2,241,209,
,ADAMS - TOWN OF QUINCY - WARD 2,1,21,3,,37,25,
,ADAMS - TOWN OF QUINCY - WARD 3,,14,1,1,32,31,
,ADAMS - TOWN OF RICHFIELD - WARD 1,,25,1,,40,35,
,ADAMS - TOWN OF ROME - WARD 1,,159,7,1,202,183,
,ADAMS - TOWN OF ROME - WARD 2,,260,23,11,286,265,
,ADAMS - TOWN OF ROME - WARD 3,1,194,12,4,245,215,
,ADAMS - TOWN OF ROME - WARD 4,,208,14,6,243,224,
,ADAMS - TOWN OF ROME - WARD 5,,174,9,5,218,211,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,,31,1,,70,58,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,,110,9,1,221,184,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 1,,92,,1,133,114,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 2,1,88,8,,134,115,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 3,,23,2,1,36,31,
,ADAMS - VILLAGE OF FRIENDSHIP - WARD 1,,95,3,1,135,125,
,ASHLAND - CITY OF ASHLAND - WARD 1,,148,3,5,234,214,
,ASHLAND - CITY OF ASHLAND - WARD 10,,72,1,2,131,114,
,ASHLAND - CITY OF ASHLAND - WARD 11,,98,1,6,155,138,
,ASHLAND - CITY OF ASHLAND - WARD 2,,68,3,,110,93,
,ASHLAND - CITY OF ASHLAND - WARD 3,,93,,3,143,136,
,ASHLAND - CITY OF ASHLAND - WARD 4,,157,4,1,201,186,
,ASHLAND - CITY OF ASHLAND - WARD 5,,112,4,2,145,118,
,ASHLAND - CITY OF ASHLAND - WARD 6,,60,3,2,122,102,
,ASHLAND - CITY OF ASHLAND - WARD 7,,44,,3,71,68,
,ASHLAND - CITY OF ASHLAND - WARD 8,,83,3,3,119,99,
,ASHLAND - CITY OF ASHLAND - WARD 9,,56,,2,86,66,
,ASHLAND - CITY OF MELLEN - WARD 1,,66,1,1,124,111,
,ASHLAND - TOWN OF AGENDA - WARD 1,,47,,1,107,100,
,ASHLAND - TOWN OF ASHLAND - WARD 1,,55,2,,122,109,
,ASHLAND - TOWN OF CHIPPEWA - WARD 1,,46,1,,85,78,
,ASHLAND - TOWN OF GINGLES - WARD 1,,76,3,1,148,136,
,ASHLAND - TOWN OF GORDON - WARD 1,,11,1,1,18,15,
,ASHLAND - TOWN OF GORDON - WARD 2,,16,,,51,46,
,ASHLAND - TOWN OF JACOBS - WARD 1,,54,1,,124,113,
,ASHLAND - TOWN OF LA POINTE - WARD 1,,91,12,2,111,95,
,ASHLAND - TOWN OF MARENGO - WARD 1,,20,,,46,43,
,ASHLAND - TOWN OF MARENGO - WARD 2,,16,,,27,27,
,ASHLAND - TOWN OF MORSE - WARD 1,,51,2,,96,89,
,ASHLAND - TOWN OF MORSE - WARD 2,,4,,,14,13,
,ASHLAND - TOWN OF MORSE - WARD 3,,8,,,15,15,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 1,,14,2,,28,22,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 2,,17,2,,35,32,
,ASHLAND - TOWN OF SANBORN - WARD 1,,6,1,,39,28,
,ASHLAND - TOWN OF SANBORN - WARD 2,,25,,,87,75,
,ASHLAND - TOWN OF SHANAGOLDEN - WARD 1,,29,1,,39,36,
,ASHLAND - TOWN OF WHITE RIVER - WARD 1,,41,,,125,108,
,ASHLAND - TOWN OF WHITE RIVER - WARD 2,,6,,,13,11,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 1,,4,,,7,5,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 2,,32,1,,54,47,
,BARRON - CITY OF BARRON - WARD 1,,155,5,1,194,174,
,BARRON - CITY OF BARRON - WARD 2,,70,2,,93,81,
,BARRON - CITY OF BARRON - WARD 3,,28,,,40,37,
,BARRON - CITY OF BARRON - WARD 4,,34,1,1,52,41,
,BARRON - CITY OF BARRON - WARD 5,,41,,,61,48,
,BARRON - CITY OF BARRON - WARD 6,,6,,,12,9,
,BARRON - CITY OF BARRON - WARD 7,,54,2,1,63,53,
,BARRON - CITY OF CHETEK - WARD 1,2,88,9,2,122,113,
,BARRON - CITY OF CHETEK - WARD 2,1,46,1,1,86,75,
,BARRON - CITY OF CHETEK - WARD 3,,57,2,1,80,70,
,BARRON - CITY OF CHETEK - WARD 4,4,73,4,1,128,121,
,BARRON - CITY OF CUMBERLAND - WARD 1,,59,3,1,102,89,
,BARRON - CITY OF CUMBERLAND - WARD 2,,142,1,2,194,173,
,BARRON - CITY OF CUMBERLAND - WARD 3,1,72,2,1,116,99,
,BARRON - CITY OF CUMBERLAND - WARD 4,,84,3,1,117,109,
,BARRON - CITY OF RICE LAKE - WARD 1,,53,3,1,65,56,
,BARRON - CITY OF RICE LAKE - WARD 10,,119,4,5,142,128,
,BARRON - CITY OF RICE LAKE - WARD 11,,140,6,,177,160,
,BARRON - CITY OF RICE LAKE - WARD 12,,187,11,4,236,206,
,BARRON - CITY OF RICE LAKE - WARD 13,,17,2,,33,25,
,BARRON - CITY OF RICE LAKE - WARD 2,,67,2,2,107,91,
,BARRON - CITY OF RICE LAKE - WARD 3,,102,,3,131,110,
,BARRON - CITY OF RICE LAKE - WARD 4,,55,1,2,79,76,
,BARRON - CITY OF RICE LAKE - WARD 5,,170,6,1,225,197,
,BARRON - CITY OF RICE LAKE - WARD 6,,83,1,2,97,94,
,BARRON - CITY OF RICE LAKE - WARD 7,,27,,,43,38,
,BARRON - CITY OF RICE LAKE - WARD 8,,36,2,,68,60,
,BARRON - CITY OF RICE LAKE - WARD 9,,62,4,,79,71,
,BARRON - TOWN OF ALMENA - WARD 1,,69,1,,126,100,
,BARRON - TOWN OF ALMENA - WARD 2,,35,1,3,65,54,
,BARRON - TOWN OF ARLAND - WARD 1,,37,1,,78,60,
,BARRON - TOWN OF BARRON - WARD 1,,31,,,66,57,
,BARRON - TOWN OF BARRON - WARD 2,,47,4,,88,79,
,BARRON - TOWN OF BEAR LAKE - WARD 1,,65,6,2,138,117,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,,264,13,4,411,307,
,BARRON - TOWN OF CHETEK - WARD 1,1,146,5,5,280,243,
,BARRON - TOWN OF CHETEK - WARD 2,1,105,5,5,165,142,
,BARRON - TOWN OF CLINTON - WARD 1,,56,,,132,112,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,,74,2,1,168,135,
,BARRON - TOWN OF CUMBERLAND - WARD 1,,99,4,2,183,159,
,BARRON - TOWN OF DALLAS - WARD 1,,36,,1,96,83,
,BARRON - TOWN OF DOVRE - WARD 1,1,76,,,134,112,
,BARRON - TOWN OF DOYLE - WARD 1,,18,,,36,30,
,BARRON - TOWN OF DOYLE - WARD 2,,25,,,54,52,
,BARRON - TOWN OF LAKELAND - WARD 1,,27,,,49,37,
,BARRON - TOWN OF LAKELAND - WARD 2,,84,4,,187,151,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,,44,2,3,109,90,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,,39,,2,69,61,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,,96,6,,185,147,
,BARRON - TOWN OF OAK GROVE - WARD 1,,36,,,73,67,
,BARRON - TOWN OF OAK GROVE - WARD 2,,59,5,3,112,103,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,,29,,1,47,44,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,,26,1,,36,28,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,,146,12,5,224,182,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,,76,,4,136,116,
,BARRON - TOWN OF RICE LAKE - WARD 1,,156,5,3,194,169,
,BARRON - TOWN OF RICE LAKE - WARD 2,,129,9,,171,150,
,BARRON - TOWN OF RICE LAKE - WARD 3,,76,,2,106,95,
,BARRON - TOWN OF RICE LAKE - WARD 4,,86,2,1,114,98,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,,84,3,2,124,104,
,BARRON - TOWN OF STANFOLD - WARD 1,,70,1,,127,117,
,BARRON - TOWN OF STANLEY - WARD 1,,62,2,,100,80,
,BARRON - TOWN OF STANLEY - WARD 2,,89,4,1,146,130,
,BARRON - TOWN OF STANLEY - WARD 3,,58,,,86,80,
,BARRON - TOWN OF STANLEY - WARD 4,,59,2,,96,89,
,BARRON - TOWN OF SUMNER - WARD 1,,51,2,,109,96,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,,24,,,81,69,
,BARRON - TOWN OF VANCE CREEK - WARD 1,,38,,,105,83,
,BARRON - VILLAGE OF ALMENA - WARD 1,,35,2,1,89,69,
,BARRON - VILLAGE OF CAMERON - WARD 1,,77,2,2,158,131,
,BARRON - VILLAGE OF CAMERON - WARD 2,,20,1,,55,48,
,BARRON - VILLAGE OF CAMERON - WARD 3,,10,,,15,14,
,BARRON - VILLAGE OF DALLAS - WARD 1,,33,,2,63,51,
,BARRON - VILLAGE OF HAUGEN - WARD 1,,8,1,,32,29,
,BARRON - VILLAGE OF NEW AUBURN - WARD 2,,3,,,4,4,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,,22,1,,59,53,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,,49,2,1,127,103,
,BAYFIELD - CITY OF BAYFIELD - WARD 1,,25,2,,29,23,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,,51,,2,56,48,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,,39,1,,48,43,
,BAYFIELD - CITY OF BAYFIELD - WARD 4,,44,,1,52,38,
,BAYFIELD - CITY OF WASHBURN - WARD 1,,181,6,4,218,198,
,BAYFIELD - CITY OF WASHBURN - WARD 2,,63,12,2,78,65,
,BAYFIELD - CITY OF WASHBURN - WARD 3,,35,,,64,57,
,BAYFIELD - CITY OF WASHBURN - WARD 4,,139,5,5,167,153,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,,97,,2,206,172,
,BAYFIELD - TOWN OF BARNES - WARD 1,1,257,17,7,355,307,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,1,218,14,3,289,221,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,,122,3,,162,138,
,BAYFIELD - TOWN OF BELL - WARD 1,,84,4,4,113,90,
,BAYFIELD - TOWN OF CABLE - WARD 1,,164,3,4,246,205,
,BAYFIELD - TOWN OF CLOVER - WARD 1,,82,5,6,111,90,
,BAYFIELD - TOWN OF DELTA - WARD 1,,81,,1,119,101,
,BAYFIELD - TOWN OF DRUMMOND - WARD 1,,115,11,3,169,144,
,BAYFIELD - TOWN OF EILEEN - WARD 1,,68,6,3,118,100,
,BAYFIELD - TOWN OF EILEEN - WARD 2,,19,,,43,38,
,BAYFIELD - TOWN OF GRAND VIEW - WARD 1,,82,5,2,149,121,
,BAYFIELD - TOWN OF HUGHES - WARD 1,,66,3,2,128,103,
