,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,BARRON - CITY OF RICE LAKE - WARD 8,57,7,
,BARRON - CITY OF RICE LAKE - WARD 9,54,9,
,BARRON - TOWN OF ALMENA - WARD 1,111,8,
,BARRON - TOWN OF ALMENA - WARD 2,60,1,
,BARRON - TOWN OF ARLAND - WARD 1,75,2,
,BARRON - TOWN OF BARRON - WARD 1,61,5,
,BARRON - TOWN OF BARRON - WARD 2,79,4,
,BARRON - TOWN OF BEAR LAKE - WARD 1,123,8,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,329,24,
,BARRON - TOWN OF CHETEK - WARD 1,226,26,
,BARRON - TOWN OF CHETEK - WARD 2,137,10,
,BARRON - TOWN OF CLINTON - WARD 1,115,11,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,156,6,
,BARRON - TOWN OF CUMBERLAND - WARD 1,152,10,
,BARRON - TOWN OF DALLAS - WARD 1,87,6,
,BARRON - TOWN OF DOVRE - WARD 1,123,8,
,BARRON - TOWN OF DOYLE - WARD 1,32,3,
,BARRON - TOWN OF DOYLE - WARD 2,49,1,
,BARRON - TOWN OF LAKELAND - WARD 1,45,2,
,BARRON - TOWN OF LAKELAND - WARD 2,163,15,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,96,5,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,57,4,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,155,12,
,BARRON - TOWN OF OAK GROVE - WARD 1,67,3,
,BARRON - TOWN OF OAK GROVE - WARD 2,97,7,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,43,1,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,34,1,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,172,14,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,122,11,
,BARRON - TOWN OF RICE LAKE - WARD 1,143,13,
,BARRON - TOWN OF RICE LAKE - WARD 2,133,12,
,BARRON - TOWN OF RICE LAKE - WARD 3,84,9,
,BARRON - TOWN OF RICE LAKE - WARD 4,88,9,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,100,10,
,BARRON - TOWN OF STANFOLD - WARD 1,123,1,
,BARRON - TOWN OF STANLEY - WARD 1,87,5,
,BARRON - TOWN OF STANLEY - WARD 2,128,7,
,BARRON - TOWN OF STANLEY - WARD 3,80,4,
,BARRON - TOWN OF STANLEY - WARD 4,85,8,
,BARRON - TOWN OF SUMNER - WARD 1,106,1,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,68,5,
,BARRON - TOWN OF VANCE CREEK - WARD 1,92,8,
,BARRON - VILLAGE OF ALMENA - WARD 1,75,10,
,BARRON - VILLAGE OF CAMERON - WARD 1,146,6,
,BARRON - VILLAGE OF CAMERON - WARD 2,48,3,
,BARRON - VILLAGE OF CAMERON - WARD 3,14,,
,BARRON - VILLAGE OF DALLAS - WARD 1,58,3,
,BARRON - VILLAGE OF HAUGEN - WARD 1,28,2,
,BARRON - VILLAGE OF NEW AUBURN - WARD 2,4,,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,50,7,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,108,8,
,BAYFIELD - CITY OF BAYFIELD - WARD 1,24,2,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,40,1,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,34,5,
,BAYFIELD - CITY OF BAYFIELD - WARD 4,40,4,
,BAYFIELD - CITY OF WASHBURN - WARD 1,154,10,
,BAYFIELD - CITY OF WASHBURN - WARD 2,52,8,
,BAYFIELD - CITY OF WASHBURN - WARD 3,51,7,
,BAYFIELD - CITY OF WASHBURN - WARD 4,124,11,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,183,12,
,BAYFIELD - TOWN OF BARNES - WARD 1,269,29,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,234,13,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,135,7,
,BAYFIELD - TOWN OF BELL - WARD 1,89,7,
,BAYFIELD - TOWN OF CABLE - WARD 1,192,10,
,BAYFIELD - TOWN OF CLOVER - WARD 1,83,,
,BAYFIELD - TOWN OF DELTA - WARD 1,98,6,
,BAYFIELD - TOWN OF DRUMMOND - WARD 1,139,7,
,BAYFIELD - TOWN OF EILEEN - WARD 1,98,4,
,BAYFIELD - TOWN OF EILEEN - WARD 2,38,3,
,BAYFIELD - TOWN OF GRAND VIEW - WARD 1,131,5,
,BAYFIELD - TOWN OF HUGHES - WARD 1,104,15,
,BAYFIELD - TOWN OF IRON RIVER - WARD 1,76,3,
,BAYFIELD - TOWN OF IRON RIVER - WARD 2,192,13,
,BAYFIELD - TOWN OF KELLY - WARD 1,84,8,
,BAYFIELD - TOWN OF KEYSTONE - WARD 1,88,3,
,BAYFIELD - TOWN OF LINCOLN - WARD 1,76,4,
,BAYFIELD - TOWN OF MASON - WARD 1,55,5,
,BAYFIELD - TOWN OF NAMAKAGON - WARD 1,106,2,
,BAYFIELD - TOWN OF ORIENTA - WARD 1,37,2,
,BAYFIELD - TOWN OF OULU - WARD 1,108,6,
,BAYFIELD - TOWN OF PILSEN - WARD 1,61,8,
,BAYFIELD - TOWN OF PORT WING - WARD 1,135,5,
,BAYFIELD - TOWN OF RUSSELL - WARD 1,102,5,
,BAYFIELD - TOWN OF RUSSELL - WARD 2,42,3,
,BAYFIELD - TOWN OF TRIPP - WARD 1,51,1,
,BAYFIELD - TOWN OF WASHBURN - WARD 1,156,12,
,BAYFIELD - VILLAGE OF MASON - WARD 1,17,2,
,BROWN - CITY OF DE PERE - WARD 1,262,20,
,BROWN - CITY OF DE PERE - WARD 10,289,36,
,BROWN - CITY OF DE PERE - WARD 11,59,7,
,BROWN - CITY OF DE PERE - WARD 12,204,11,
,BROWN - CITY OF DE PERE - WARD 13,239,13,
,BROWN - CITY OF DE PERE - WARD 14,214,17,
,BROWN - CITY OF DE PERE - WARD 15,169,16,
,BROWN - CITY OF DE PERE - WARD 18,1,1,
,BROWN - CITY OF DE PERE - WARD 2,214,17,
,BROWN - CITY OF DE PERE - WARD 3,151,16,
