,,Voting Method,,,,,,
,,Null,Absentee,Early Vote,Mail,Polling,Unknown,
,,Count,Count,Count,Count,Count,Count,
Precinct Name,Null,1,258,73,123,369,260,
,ADAMS - CITY OF ADAMS - WARD 1,,27,,,41,35,
,ADAMS - CITY OF ADAMS - WARD 2,,40,,1,58,47,
,ADAMS - CITY OF ADAMS - WARD 3,,14,,2,19,18,
,ADAMS - CITY OF ADAMS - WARD 4,1,40,1,,44,36,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,,4,,,4,4,
,ADAMS - TOWN OF ADAMS - WARD 1,,95,3,2,153,126,
,ADAMS - TOWN OF ADAMS - WARD 2,,31,1,,49,40,
,ADAMS - TOWN OF ADAMS - WARD 3,,8,,,11,11,
,ADAMS - TOWN OF BIG FLATS - WARD 1,,29,,,46,39,
,ADAMS - TOWN OF BIG FLATS - WARD 2,,75,4,,103,91,
,ADAMS - TOWN OF COLBURN - WARD 1,,34,,,46,37,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,,29,,1,43,40,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,3,109,2,2,143,127,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,,14,2,1,21,16,
,ADAMS - TOWN OF EASTON - WARD 1,2,53,2,3,78,63,
,ADAMS - TOWN OF EASTON - WARD 2,,55,,,76,64,
,ADAMS - TOWN OF JACKSON - WARD 1,,68,6,2,92,80,
,ADAMS - TOWN OF JACKSON - WARD 2,,93,2,4,118,105,
,ADAMS - TOWN OF LEOLA - WARD 1,,20,,,33,32,
,ADAMS - TOWN OF LINCOLN - WARD 1,,50,3,,79,71,
,ADAMS - TOWN OF MONROE - WARD 1,,90,,2,113,94,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,1,32,,1,47,35,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,,37,,1,54,44,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,,6,,,8,8,
,ADAMS - TOWN OF NEW HAVEN - WARD,,97,2,2,112,100,
,ADAMS - TOWN OF PRESTON - WARD 1,,117,6,7,174,151,
,ADAMS - TOWN OF PRESTON - WARD 2,,64,2,1,87,70,
,ADAMS - TOWN OF QUINCY - WARD 1,,126,1,2,167,141,
,ADAMS - TOWN OF QUINCY - WARD 2,1,15,1,,23,18,
,ADAMS - TOWN OF QUINCY - WARD 3,,12,,,14,14,
,ADAMS - TOWN OF RICHFIELD - WARD 1,,24,,,28,25,
,ADAMS - TOWN OF ROME - WARD 1,,144,6,1,164,145,
,ADAMS - TOWN OF ROME - WARD 2,,212,9,6,222,196,
,ADAMS - TOWN OF ROME - WARD 3,1,168,2,2,182,159,
,ADAMS - TOWN OF ROME - WARD 4,,186,,7,199,184,
,ADAMS - TOWN OF ROME - WARD 5,,154,4,2,173,161,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,,20,,,39,35,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,,89,2,,132,110,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 1,,76,1,1,91,78,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 2,,61,1,,86,70,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 3,,14,,,18,12,
,ADAMS - VILLAGE OF FRIENDSHIP - WARD 1,,77,,1,98,87,
,ASHLAND - CITY OF ASHLAND - WARD 1,,119,,5,139,126,
,ASHLAND - CITY OF ASHLAND - WARD 10,,62,,1,86,78,
,ASHLAND - CITY OF ASHLAND - WARD 11,,91,1,4,105,96,
,ASHLAND - CITY OF ASHLAND - WARD 2,,42,,,56,45,
,ASHLAND - CITY OF ASHLAND - WARD 3,,82,,3,90,84,
,ASHLAND - CITY OF ASHLAND - WARD 4,,124,,1,146,129,
,ASHLAND - CITY OF ASHLAND - WARD 5,,85,1,2,96,74,
,ASHLAND - CITY OF ASHLAND - WARD 6,,46,1,1,60,48,
,ASHLAND - CITY OF ASHLAND - WARD 7,,43,,3,45,40,
,ASHLAND - CITY OF ASHLAND - WARD 8,,67,3,4,82,70,
,ASHLAND - CITY OF ASHLAND - WARD 9,,46,,2,61,46,
,ASHLAND - CITY OF MELLEN - WARD 1,,60,1,1,103,91,
,ASHLAND - TOWN OF AGENDA - WARD 1,,41,,,76,75,
,ASHLAND - TOWN OF ASHLAND - WARD 1,,50,2,,83,75,
,ASHLAND - TOWN OF CHIPPEWA - WARD 1,,37,,,58,53,
,ASHLAND - TOWN OF GINGLES - WARD 1,,66,,,97,86,
,ASHLAND - TOWN OF GORDON - WARD 1,,14,1,1,22,17,
,ASHLAND - TOWN OF GORDON - WARD 2,,13,1,,32,25,
,ASHLAND - TOWN OF JACOBS - WARD 1,,44,,,86,77,
,ASHLAND - TOWN OF LA POINTE - WARD 1,,79,2,1,90,72,
,ASHLAND - TOWN OF MARENGO - WARD 1,,21,,2,42,36,
,ASHLAND - TOWN OF MARENGO - WARD 2,,16,,,24,23,
,ASHLAND - TOWN OF MORSE - WARD 1,,45,1,,63,57,
,ASHLAND - TOWN OF MORSE - WARD 2,,5,,1,10,10,
,ASHLAND - TOWN OF MORSE - WARD 3,,8,,,10,9,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 1,,14,,,21,16,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 2,,11,,,27,26,
,ASHLAND - TOWN OF SANBORN - WARD 1,,5,,,10,9,
,ASHLAND - TOWN OF SANBORN - WARD 2,,19,,,55,42,
,ASHLAND - TOWN OF SHANAGOLDEN - WARD 1,,20,,,27,23,
,ASHLAND - TOWN OF WHITE RIVER - WARD 1,,37,,,76,67,
,ASHLAND - TOWN OF WHITE RIVER - WARD 2,,4,,,9,7,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 1,,5,,,6,3,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 2,,25,1,,38,33,
,BARRON - CITY OF BARRON - WARD 1,,124,2,2,135,119,
,BARRON - CITY OF BARRON - WARD 2,,55,1,,65,54,
,BARRON - CITY OF BARRON - WARD 3,,17,,,22,22,
,BARRON - CITY OF BARRON - WARD 4,,29,,1,41,34,
,BARRON - CITY OF BARRON - WARD 5,,40,,1,48,31,
,BARRON - CITY OF BARRON - WARD 6,,2,,,6,5,
,BARRON - CITY OF BARRON - WARD 7,,43,1,2,46,38,
,BARRON - CITY OF CHETEK - WARD 1,2,64,1,,77,71,
,BARRON - CITY OF CHETEK - WARD 2,,35,,2,55,50,
,BARRON - CITY OF CHETEK - WARD 3,,52,1,,67,57,
,BARRON - CITY OF CHETEK - WARD 4,2,57,,,80,72,
,BARRON - CITY OF CUMBERLAND - WARD 1,,51,4,1,65,52,
,BARRON - CITY OF CUMBERLAND - WARD 2,,95,,3,114,102,
,BARRON - CITY OF CUMBERLAND - WARD 3,1,58,,1,75,62,
,BARRON - CITY OF CUMBERLAND - WARD 4,,68,3,1,79,73,
,BARRON - CITY OF RICE LAKE - WARD 1,,46,,,49,43,
,BARRON - CITY OF RICE LAKE - WARD 10,,103,2,5,107,96,
,BARRON - CITY OF RICE LAKE - WARD 11,,107,2,,112,98,
,BARRON - CITY OF RICE LAKE - WARD 12,,146,8,4,156,133,
,BARRON - CITY OF RICE LAKE - WARD 13,,16,,,18,15,
,BARRON - CITY OF RICE LAKE - WARD 2,,58,,1,74,64,
,BARRON - CITY OF RICE LAKE - WARD 3,,82,1,1,93,74,
,BARRON - CITY OF RICE LAKE - WARD 4,,50,,1,59,57,
,BARRON - CITY OF RICE LAKE - WARD 5,,130,1,1,141,115,
,BARRON - CITY OF RICE LAKE - WARD 6,,61,1,1,64,62,
,BARRON - CITY OF RICE LAKE - WARD 7,,26,,,31,28,
,BARRON - CITY OF RICE LAKE - WARD 8,,32,1,,38,34,
,BARRON - CITY OF RICE LAKE - WARD 9,,32,,2,38,32,
,BARRON - TOWN OF ALMENA - WARD 1,,47,,,70,53,
,BARRON - TOWN OF ALMENA - WARD 2,,33,,2,44,35,
,BARRON - TOWN OF ARLAND - WARD 1,,36,,,50,38,
,BARRON - TOWN OF BARRON - WARD 1,,31,,,51,44,
,BARRON - TOWN OF BARRON - WARD 2,,44,2,,61,56,
,BARRON - TOWN OF BEAR LAKE - WARD 1,,53,1,1,84,76,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,,225,5,2,274,207,
,BARRON - TOWN OF CHETEK - WARD 1,1,137,1,3,182,160,
,BARRON - TOWN OF CHETEK - WARD 2,1,98,4,2,113,90,
,BARRON - TOWN OF CLINTON - WARD 1,,53,,,81,72,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,,73,1,1,115,87,
,BARRON - TOWN OF CUMBERLAND - WARD 1,,93,,3,128,108,
,BARRON - TOWN OF DALLAS - WARD 1,,38,,2,62,52,
,BARRON - TOWN OF DOVRE - WARD 1,,76,,1,111,93,
,BARRON - TOWN OF DOYLE - WARD 1,,15,,,23,20,
,BARRON - TOWN OF DOYLE - WARD 2,,21,,,32,31,
,BARRON - TOWN OF LAKELAND - WARD 1,1,28,,,33,25,
,BARRON - TOWN OF LAKELAND - WARD 2,,81,1,1,128,101,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,,38,,1,70,60,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,,36,,,51,42,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,,93,2,,144,107,
,BARRON - TOWN OF OAK GROVE - WARD 1,,36,,,51,47,
,BARRON - TOWN OF OAK GROVE - WARD 2,,57,1,2,83,74,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,,27,,1,37,36,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,,21,1,,26,21,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,,130,1,4,176,134,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,,70,,3,108,89,
,BARRON - TOWN OF RICE LAKE - WARD 1,,150,2,3,168,143,
,BARRON - TOWN OF RICE LAKE - WARD 2,,106,2,,122,104,
,BARRON - TOWN OF RICE LAKE - WARD 3,,63,,1,69,63,
,BARRON - TOWN OF RICE LAKE - WARD 4,,85,,,97,89,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,,86,,2,110,94,
,BARRON - TOWN OF STANFOLD - WARD 1,,72,1,1,105,94,
,BARRON - TOWN OF STANLEY - WARD 1,,53,2,,63,51,
,BARRON - TOWN OF STANLEY - WARD 2,,83,1,,103,91,
,BARRON - TOWN OF STANLEY - WARD 3,,53,,,70,65,
,BARRON - TOWN OF STANLEY - WARD 4,,57,,,67,62,
,BARRON - TOWN OF SUMNER - WARD 1,,55,1,,98,81,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,,27,,,61,52,
,BARRON - TOWN OF VANCE CREEK - WARD 1,,34,,,72,59,
,BARRON - VILLAGE OF ALMENA - WARD 1,,32,,,53,44,
,BARRON - VILLAGE OF CAMERON - WARD 1,,71,4,3,103,86,
,BARRON - VILLAGE OF CAMERON - WARD 2,,17,,,32,27,
,BARRON - VILLAGE OF CAMERON - WARD 3,,12,,,14,14,
,BARRON - VILLAGE OF DALLAS - WARD 1,,29,2,1,51,38,
,BARRON - VILLAGE OF HAUGEN - WARD 1,,7,1,,17,16,
,BARRON - VILLAGE OF NEW AUBURN - WARD 2,,4,,,4,4,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,,21,1,2,41,35,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,,45,2,,82,70,
,BAYFIELD - CITY OF BAYFIELD - WARD 1,,26,2,,25,19,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,,46,,2,44,35,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,,38,,,44,37,
,BAYFIELD - CITY OF BAYFIELD - WARD 4,,42,,1,45,34,
,BAYFIELD - CITY OF WASHBURN - WARD 1,,156,3,3,178,153,
,BAYFIELD - CITY OF WASHBURN - WARD 2,,61,9,3,71,53,
,BAYFIELD - CITY OF WASHBURN - WARD 3,,36,,2,51,44,
,BAYFIELD - CITY OF WASHBURN - WARD 4,,137,3,3,163,142,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,,98,,4,158,129,
,BAYFIELD - TOWN OF BARNES - WARD 1,1,196,13,6,231,191,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,,191,6,5,234,175,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,,114,,1,133,115,
,BAYFIELD - TOWN OF BELL - WARD 1,,86,4,3,109,74,
,BAYFIELD - TOWN OF CABLE - WARD 1,,158,4,4,218,168,
,BAYFIELD - TOWN OF CLOVER - WARD 1,,82,4,4,97,73,
,BAYFIELD - TOWN OF DELTA - WARD 1,,82,,1,103,85,
,BAYFIELD - TOWN OF DRUMMOND - WARD 1,,106,3,3,142,120,
,BAYFIELD - TOWN OF EILEEN - WARD 1,,64,4,3,90,75,
,BAYFIELD - TOWN OF EILEEN - WARD 2,,17,,,26,25,
,BAYFIELD - TOWN OF GRAND VIEW - WARD 1,,84,1,2,123,98,
,BAYFIELD - TOWN OF HUGHES - WARD 1,,69,3,2,100,70,
,BAYFIELD - TOWN OF IRON RIVER - WARD 1,,41,5,4,67,50,
