,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
Precinct Name,Null,1,695,
,ADAMS - CITY OF ADAMS - WARD 1,29,3,
,ADAMS - CITY OF ADAMS - WARD 2,48,2,
,ADAMS - CITY OF ADAMS - WARD 3,15,1,
,ADAMS - CITY OF ADAMS - WARD 4,24,,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,4,,
,ADAMS - TOWN OF ADAMS - WARD 1,57,3,
,ADAMS - TOWN OF ADAMS - WARD 2,24,1,
,ADAMS - TOWN OF ADAMS - WARD 3,1,,
,ADAMS - TOWN OF BIG FLATS - WARD 1,20,2,
,ADAMS - TOWN OF BIG FLATS - WARD 2,35,1,
,ADAMS - TOWN OF COLBURN - WARD 1,20,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,43,3,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,81,7,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,9,1,
,ADAMS - TOWN OF EASTON - WARD 1,36,,
,ADAMS - TOWN OF EASTON - WARD 2,46,1,
,ADAMS - TOWN OF JACKSON - WARD 1,43,4,
,ADAMS - TOWN OF JACKSON - WARD 2,45,2,
,ADAMS - TOWN OF LEOLA - WARD 1,20,,
,ADAMS - TOWN OF LINCOLN - WARD 1,19,2,
,ADAMS - TOWN OF MONROE - WARD 1,33,,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,21,,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,42,1,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,3,1,
,ADAMS - TOWN OF NEW HAVEN - WARD,60,5,
,ADAMS - TOWN OF PRESTON - WARD 1,66,6,
,ADAMS - TOWN OF PRESTON - WARD 2,42,1,
,ADAMS - TOWN OF QUINCY - WARD 1,64,5,
,ADAMS - TOWN OF QUINCY - WARD 2,16,1,
,ADAMS - TOWN OF QUINCY - WARD 3,8,2,
,ADAMS - TOWN OF RICHFIELD - WARD 1,15,1,
,ADAMS - TOWN OF ROME - WARD 1,51,2,
,ADAMS - TOWN OF ROME - WARD 2,40,4,
,ADAMS - TOWN OF ROME - WARD 3,52,7,
,ADAMS - TOWN OF ROME - WARD 4,39,,
