,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
Precinct Name,ADAMS - CITY OF ADAMS - WARD 1,11,,
,ADAMS - CITY OF ADAMS - WARD 2,14,,
,ADAMS - CITY OF ADAMS - WARD 4,8,,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,1,,
,ADAMS - TOWN OF ADAMS - WARD 1,18,,
,ADAMS - TOWN OF ADAMS - WARD 2,8,,
,ADAMS - TOWN OF BIG FLATS - WARD 1,3,,
,ADAMS - TOWN OF BIG FLATS - WARD 2,18,,
,ADAMS - TOWN OF COLBURN - WARD 1,9,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,14,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,30,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,6,,
,ADAMS - TOWN OF EASTON - WARD 1,20,,
,ADAMS - TOWN OF EASTON - WARD 2,11,,
,ADAMS - TOWN OF JACKSON - WARD 1,21,,
,ADAMS - TOWN OF JACKSON - WARD 2,19,,
,ADAMS - TOWN OF LEOLA - WARD 1,5,,
,ADAMS - TOWN OF LINCOLN - WARD 1,7,,
,ADAMS - TOWN OF MONROE - WARD 1,7,,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,8,,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,7,,
,ADAMS - TOWN OF NEW HAVEN - WARD,34,,
,ADAMS - TOWN OF PRESTON - WARD 1,15,,
,ADAMS - TOWN OF PRESTON - WARD 2,10,,
,ADAMS - TOWN OF QUINCY - WARD 1,24,,
,ADAMS - TOWN OF QUINCY - WARD 2,8,,
,ADAMS - TOWN OF QUINCY - WARD 3,3,,
,ADAMS - TOWN OF RICHFIELD - WARD 1,4,,
,ADAMS - TOWN OF ROME - WARD 1,32,,
,ADAMS - TOWN OF ROME - WARD 2,29,,
,ADAMS - TOWN OF ROME - WARD 3,37,,
,ADAMS - TOWN OF ROME - WARD 4,23,,
,ADAMS - TOWN OF ROME - WARD 5,28,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,12,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,28,,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 1,9,,
