,,Voting Method,,,,,,
,,Null,Absentee,Early Vote,Mail,Polling,Unknown,
,,Count,Count,Count,Count,Count,Count,
Precinct Name,Null,1,584,142,322,996,552,
,ADAMS - CITY OF ADAMS - WARD 1,,52,,1,91,65,
,ADAMS - CITY OF ADAMS - WARD 2,,73,,1,117,78,
,ADAMS - CITY OF ADAMS - WARD 3,,24,,2,44,33,
,ADAMS - CITY OF ADAMS - WARD 4,1,57,1,,66,51,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,,6,,,9,5,
,ADAMS - TOWN OF ADAMS - WARD 1,,135,3,5,230,167,
,ADAMS - TOWN OF ADAMS - WARD 2,,45,2,1,82,57,
,ADAMS - TOWN OF ADAMS - WARD 3,,10,,,13,12,
,ADAMS - TOWN OF BIG FLATS - WARD 1,1,44,,1,73,51,
,ADAMS - TOWN OF BIG FLATS - WARD 2,,103,4,,144,115,
,ADAMS - TOWN OF COLBURN - WARD 1,,48,,,69,51,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,,55,1,1,88,65,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,3,173,4,3,247,179,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,1,31,2,1,45,21,
,ADAMS - TOWN OF EASTON - WARD 1,2,82,2,5,129,94,
,ADAMS - TOWN OF EASTON - WARD 2,,74,,,127,89,
,ADAMS - TOWN OF JACKSON - WARD 1,,105,6,2,144,103,
,ADAMS - TOWN OF JACKSON - WARD 2,,138,2,8,184,143,
,ADAMS - TOWN OF LEOLA - WARD 1,,38,,,72,50,
,ADAMS - TOWN OF LINCOLN - WARD 1,,71,3,,115,94,
,ADAMS - TOWN OF MONROE - WARD 1,,107,,2,155,122,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,1,52,,4,89,49,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,,51,,2,86,56,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,,6,,,9,9,
,ADAMS - TOWN OF NEW HAVEN - WARD,2,165,2,2,220,156,
,ADAMS - TOWN OF PRESTON - WARD 1,2,143,8,7,253,196,
,ADAMS - TOWN OF PRESTON - WARD 2,,98,2,1,146,107,
,ADAMS - TOWN OF QUINCY - WARD 1,,176,4,3,261,187,
,ADAMS - TOWN OF QUINCY - WARD 2,1,30,1,,48,33,
,ADAMS - TOWN OF QUINCY - WARD 3,,15,,,20,18,
,ADAMS - TOWN OF RICHFIELD - WARD 1,,32,,,49,36,
,ADAMS - TOWN OF ROME - WARD 1,,200,7,2,233,197,
,ADAMS - TOWN OF ROME - WARD 2,,272,10,6,290,237,
,ADAMS - TOWN OF ROME - WARD 3,1,232,7,3,257,205,
,ADAMS - TOWN OF ROME - WARD 4,,227,2,7,252,222,
,ADAMS - TOWN OF ROME - WARD 5,,213,5,4,249,205,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,,40,,,78,52,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,,149,5,2,248,172,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 1,,116,2,2,164,113,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 2,,92,1,1,151,107,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 3,,16,1,,23,14,
,ADAMS - VILLAGE OF FRIENDSHIP - WARD 1,1,110,,2,160,124,
,ASHLAND - CITY OF ASHLAND - WARD 1,,203,4,6,254,186,
,ASHLAND - CITY OF ASHLAND - WARD 10,,110,2,3,148,114,
,ASHLAND - CITY OF ASHLAND - WARD 11,,154,2,4,197,144,
,ASHLAND - CITY OF ASHLAND - WARD 2,,80,1,1,113,66,
,ASHLAND - CITY OF ASHLAND - WARD 3,,144,,9,172,122,
,ASHLAND - CITY OF ASHLAND - WARD 4,,222,2,7,280,191,
,ASHLAND - CITY OF ASHLAND - WARD 5,,188,2,7,230,141,
,ASHLAND - CITY OF ASHLAND - WARD 6,,99,5,1,130,72,
,ASHLAND - CITY OF ASHLAND - WARD 7,,124,4,10,176,79,
,ASHLAND - CITY OF ASHLAND - WARD 8,,116,3,6,153,97,
,ASHLAND - CITY OF ASHLAND - WARD 9,1,102,,4,139,73,
,ASHLAND - CITY OF MELLEN - WARD 1,,91,1,2,158,127,
,ASHLAND - TOWN OF AGENDA - WARD 1,,62,,,130,113,
,ASHLAND - TOWN OF ASHLAND - WARD 1,,80,4,2,152,120,
,ASHLAND - TOWN OF CHIPPEWA - WARD 1,,57,,,112,85,
,ASHLAND - TOWN OF GINGLES - WARD 1,,136,4,,217,159,
,ASHLAND - TOWN OF GORDON - WARD 1,,17,1,1,34,25,
,ASHLAND - TOWN OF GORDON - WARD 2,,25,1,,58,44,
,ASHLAND - TOWN OF JACOBS - WARD 1,,75,,,176,138,
,ASHLAND - TOWN OF LA POINTE - WARD 1,,173,7,4,208,136,
,ASHLAND - TOWN OF MARENGO - WARD 1,,31,,3,64,44,
,ASHLAND - TOWN OF MARENGO - WARD 2,,32,,3,71,51,
,ASHLAND - TOWN OF MORSE - WARD 1,,70,3,,109,86,
,ASHLAND - TOWN OF MORSE - WARD 2,,9,,1,18,16,
,ASHLAND - TOWN OF MORSE - WARD 3,,11,,1,15,10,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 1,,18,,1,28,20,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 2,,13,2,,33,30,
,ASHLAND - TOWN OF SANBORN - WARD 1,,19,,,48,23,
,ASHLAND - TOWN OF SANBORN - WARD 2,,34,,2,105,56,
,ASHLAND - TOWN OF SHANAGOLDEN - WARD 1,,30,,,41,33,
,ASHLAND - TOWN OF WHITE RIVER - WARD 1,,80,,8,222,143,
,ASHLAND - TOWN OF WHITE RIVER - WARD 2,,11,,1,31,18,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 1,,8,,,9,5,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 2,,47,1,,82,55,
,BARRON - CITY OF BARRON - WARD 1,,193,2,2,236,166,
,BARRON - CITY OF BARRON - WARD 2,,104,2,,133,89,
,BARRON - CITY OF BARRON - WARD 3,,32,,,40,30,
,BARRON - CITY OF BARRON - WARD 4,,37,,1,59,43,
,BARRON - CITY OF BARRON - WARD 5,,94,1,1,106,43,
,BARRON - CITY OF BARRON - WARD 6,,8,,,18,10,
,BARRON - CITY OF BARRON - WARD 7,,69,1,2,70,48,
,BARRON - CITY OF CHETEK - WARD 1,4,101,2,,139,101,
,BARRON - CITY OF CHETEK - WARD 2,,67,,2,121,87,
,BARRON - CITY OF CHETEK - WARD 3,,82,2,2,131,85,
,BARRON - CITY OF CHETEK - WARD 4,4,105,1,1,156,114,
,BARRON - CITY OF CUMBERLAND - WARD 1,,81,5,1,125,65,
,BARRON - CITY OF CUMBERLAND - WARD 2,,131,1,4,168,126,
,BARRON - CITY OF CUMBERLAND - WARD 3,1,88,,3,134,84,
,BARRON - CITY OF CUMBERLAND - WARD 4,1,99,3,1,131,90,
,BARRON - CITY OF RICE LAKE - WARD 1,,74,,,93,66,
,BARRON - CITY OF RICE LAKE - WARD 10,,186,3,6,216,162,
,BARRON - CITY OF RICE LAKE - WARD 11,,153,2,,163,124,
,BARRON - CITY OF RICE LAKE - WARD 12,,196,8,7,241,167,
,BARRON - CITY OF RICE LAKE - WARD 13,,35,1,2,55,28,
,BARRON - CITY OF RICE LAKE - WARD 2,1,111,1,1,148,99,
,BARRON - CITY OF RICE LAKE - WARD 3,,146,2,2,179,123,
,BARRON - CITY OF RICE LAKE - WARD 4,,107,1,2,131,97,
,BARRON - CITY OF RICE LAKE - WARD 5,,203,3,2,232,169,
,BARRON - CITY OF RICE LAKE - WARD 6,,129,2,2,145,96,
,BARRON - CITY OF RICE LAKE - WARD 7,,53,,2,70,53,
,BARRON - CITY OF RICE LAKE - WARD 8,,61,1,,89,57,
,BARRON - CITY OF RICE LAKE - WARD 9,,82,,2,98,62,
,BARRON - TOWN OF ALMENA - WARD 1,,76,,,132,84,
,BARRON - TOWN OF ALMENA - WARD 2,,56,1,2,85,56,
,BARRON - TOWN OF ARLAND - WARD 1,,82,,,139,79,
,BARRON - TOWN OF BARRON - WARD 1,,59,,,100,73,
,BARRON - TOWN OF BARRON - WARD 2,,68,2,1,115,88,
,BARRON - TOWN OF BEAR LAKE - WARD 1,,96,1,1,171,135,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,1,328,12,5,420,280,
,BARRON - TOWN OF CHETEK - WARD 1,1,200,1,4,295,221,
,BARRON - TOWN OF CHETEK - WARD 2,1,148,5,4,199,141,
,BARRON - TOWN OF CLINTON - WARD 1,,83,,,149,110,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,,116,3,1,216,140,
,BARRON - TOWN OF CUMBERLAND - WARD 1,,135,3,4,220,165,
,BARRON - TOWN OF DALLAS - WARD 1,,69,,2,132,89,
,BARRON - TOWN OF DOVRE - WARD 1,1,122,2,4,217,143,
,BARRON - TOWN OF DOYLE - WARD 1,,31,1,4,61,42,
,BARRON - TOWN OF DOYLE - WARD 2,,38,,,75,49,
,BARRON - TOWN OF LAKELAND - WARD 1,1,36,,,51,37,
,BARRON - TOWN OF LAKELAND - WARD 2,,133,1,2,216,142,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,,63,,1,141,101,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,,52,,,84,59,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,,137,2,2,243,157,
,BARRON - TOWN OF OAK GROVE - WARD 1,,55,,,82,62,
,BARRON - TOWN OF OAK GROVE - WARD 2,,89,3,2,137,106,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,,39,,1,76,60,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,,36,2,,61,43,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,,182,1,7,253,177,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,,129,1,4,218,148,
,BARRON - TOWN OF RICE LAKE - WARD 1,,218,3,3,265,207,
,BARRON - TOWN OF RICE LAKE - WARD 2,,185,2,,215,160,
,BARRON - TOWN OF RICE LAKE - WARD 3,,99,,2,127,96,
,BARRON - TOWN OF RICE LAKE - WARD 4,,143,,2,171,140,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,,143,,2,211,151,
,BARRON - TOWN OF STANFOLD - WARD 1,,123,2,1,193,147,
,BARRON - TOWN OF STANLEY - WARD 1,,103,2,,152,98,
,BARRON - TOWN OF STANLEY - WARD 2,1,129,3,1,194,134,
,BARRON - TOWN OF STANLEY - WARD 3,1,83,,,133,108,
,BARRON - TOWN OF STANLEY - WARD 4,,103,,,151,104,
,BARRON - TOWN OF SUMNER - WARD 1,,97,1,,192,131,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,,50,,,123,85,
,BARRON - TOWN OF VANCE CREEK - WARD 1,,63,,,157,93,
,BARRON - VILLAGE OF ALMENA - WARD 1,,49,,,120,67,
,BARRON - VILLAGE OF CAMERON - WARD 1,,141,4,6,228,152,
,BARRON - VILLAGE OF CAMERON - WARD 2,,37,1,1,75,47,
,BARRON - VILLAGE OF CAMERON - WARD 3,,20,,,29,20,
,BARRON - VILLAGE OF DALLAS - WARD 1,,51,3,3,100,56,
,BARRON - VILLAGE OF HAUGEN - WARD 1,,20,1,,59,43,
,BARRON - VILLAGE OF NEW AUBURN - WARD 2,,4,,,4,4,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,,32,2,2,77,53,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,,76,3,1,150,96,
,BAYFIELD - CITY OF BAYFIELD - WARD 1,,49,4,,51,27,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,,66,,2,66,48,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,,54,,1,67,47,
,BAYFIELD - CITY OF BAYFIELD - WARD 4,,70,1,5,81,47,
,BAYFIELD - CITY OF WASHBURN - WARD 1,,290,5,9,331,232,
,BAYFIELD - CITY OF WASHBURN - WARD 2,,121,9,4,140,78,
,BAYFIELD - CITY OF WASHBURN - WARD 3,,87,4,2,129,68,
,BAYFIELD - CITY OF WASHBURN - WARD 4,,260,3,4,323,219,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,,192,1,12,301,209,
,BAYFIELD - TOWN OF BARNES - WARD 1,1,250,14,10,317,232,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,,272,9,6,352,245,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,,178,3,5,228,165,
,BAYFIELD - TOWN OF BELL - WARD 1,,138,4,5,171,102,
,BAYFIELD - TOWN OF CABLE - WARD 1,1,258,4,6,369,246,
,BAYFIELD - TOWN OF CLOVER - WARD 1,1,114,4,5,144,106,
,BAYFIELD - TOWN OF DELTA - WARD 1,,119,,5,165,119,
,BAYFIELD - TOWN OF DRUMMOND - WARD 1,,147,4,7,209,153,
,BAYFIELD - TOWN OF EILEEN - WARD 1,,99,4,4,168,112,
,BAYFIELD - TOWN OF EILEEN - WARD 2,,40,,,63,45,
,BAYFIELD - TOWN OF GRAND VIEW - WARD 1,,110,1,2,189,128,
,BAYFIELD - TOWN OF HUGHES - WARD 1,,103,3,3,169,105,
